Date,Abnormal Return
7/5/2017,-0.005186931
7/3/2017,0.013835359
6/30/2017,-0.001998942
6/29/2017,0.006920675
6/28/2017,-0.014134968
6/27/2017,-0.005911319
6/26/2017,0.001115393
6/23/2017,-0.000932267
6/22/2017,-0.007795204
6/21/2017,-0.011823183
6/20/2017,-0.016149641
6/19/2017,-0.01576436
6/16/2017,0.001771893
6/15/2017,0.019602461
6/14/2017,0.009493772
6/13/2017,-0.02172443
6/12/2017,0.036830827
6/9/2017,0.013567535
6/8/2017,-0.003535381
6/7/2017,-0.01061698
6/6/2017,0.001165381
6/5/2017,0.004880384
6/2/2017,0.001833108
6/1/2017,0.004374574
5/31/2017,0.001219585
5/30/2017,-0.001998937
5/26/2017,-0.001784977
5/25/2017,-0.016936029
5/24/2017,-0.018556635
5/23/2017,0.001596115
5/22/2017,-0.00084729
5/19/2017,0.013552799
5/18/2017,-0.001362937
5/17/2017,-0.00315611
5/16/2017,-0.004238299
5/15/2017,-0.008257966
5/12/2017,-0.01921222
5/11/2017,0.008221069
5/10/2017,-0.009151298
5/9/2017,-0.003726747
5/8/2017,-0.005173313
5/5/2017,-0.00365873
5/4/2017,-0.001644745
5/3/2017,0.009629384
5/2/2017,0.000464451
5/1/2017,-0.003564991
4/28/2017,-0.001062522
4/27/2017,-0.006739101
4/26/2017,-0.005935668
4/25/2017,-0.009854522
4/24/2017,-0.01151607
4/21/2017,-0.020561616
4/20/2017,0.000971409
4/19/2017,0.007185364
4/18/2017,0.009832045
4/17/2017,-0.006444053
4/13/2017,0.000185529
4/12/2017,-0.00499361
4/11/2017,0.002522963
4/10/2017,-6.3605E-05
4/7/2017,0.002883318
4/6/2017,-0.003384458
4/5/2017,0.001579768
4/4/2017,0.004091032
4/3/2017,0.004429102
3/31/2017,5.21003E-05
3/30/2017,0.003283517
3/29/2017,0.000872648
3/28/2017,-0.001589564
3/27/2017,-0.008338071
3/24/2017,0.00427271
3/23/2017,0.004174133
3/22/2017,0.002755822
3/21/2017,0.001413061
3/20/2017,-0.002550146
3/17/2017,0.005766008
3/16/2017,0.001392144
3/15/2017,-0.001449541
3/14/2017,-0.007126926
3/13/2017,-0.014260051
3/10/2017,0.017431115
3/9/2017,-0.005547736
3/8/2017,0.000417221
3/7/2017,-0.001571615
3/6/2017,-0.000502411
3/3/2017,-0.002853934
3/2/2017,0.006225311
3/1/2017,-0.001779181
2/28/2017,-0.0016029
2/27/2017,-0.009362297
2/24/2017,0.004076369
2/23/2017,-0.002771455
2/22/2017,-0.005075748
2/21/2017,-0.001486188
2/17/2017,-0.00441049
2/16/2017,0.004212939
2/15/2017,-0.002991918
2/14/2017,0.003732105
2/13/2017,0.005194241
2/10/2017,0.000604893
2/9/2017,-0.000674656
2/8/2017,-0.005134345
2/7/2017,-0.00361256
2/6/2017,0.000900456
2/3/2017,-0.007043936
2/2/2017,-0.000942693
2/1/2017,-0.000653674
1/31/2017,-0.007732773
1/30/2017,0.004718141
1/27/2017,-0.009303734
1/26/2017,-0.000865171
1/25/2017,0.003806774
1/24/2017,0.001429357
1/23/2017,-0.0226908
1/20/2017,-0.025363926
1/19/2017,0.00319394
1/18/2017,-0.003153006
1/17/2017,0.000282724
1/13/2017,-0.002920929
1/12/2017,-0.00026354
1/11/2017,0.000181602
1/10/2017,-0.002860649
1/9/2017,-0.000975502
1/6/2017,-0.000880949
1/5/2017,-0.004859572
1/4/2017,-0.005763498
1/3/2017,-0.006167706
12/30/2016,0.001457339
12/29/2016,0.000626929
12/28/2016,0.002608112
12/27/2016,-0.001761224
12/23/2016,0.000555824
12/22/2016,-0.000215889
12/21/2016,-0.00111027
12/20/2016,0.006473961
12/19/2016,0.003256048
12/16/2016,0.017534734
12/15/2016,-0.011744392
12/14/2016,0.001061948
12/13/2016,-0.010714123
12/12/2016,0.003725571
12/9/2016,0.001619678
12/8/2016,-0.004509167
12/7/2016,-0.000188769
12/6/2016,-0.001694934
12/5/2016,-0.013523257
12/2/2016,-0.002014597
12/1/2016,0.024215845
11/30/2016,-0.006520756
11/29/2016,-0.007818698
11/28/2016,-0.000461058
11/25/2016,-0.000967648
11/23/2016,0.004273103
11/22/2016,0.007741567
11/21/2016,-0.001405603
11/18/2016,-0.001361769
11/17/2016,-0.003341382
11/16/2016,0.001355679
11/15/2016,-8.09852E-05
11/14/2016,-0.006389835
11/11/2016,0.011350276
11/10/2016,0.024252212
11/9/2016,-0.004629773
11/8/2016,-0.000254191
11/7/2016,0.006981234
11/4/2016,0.007427803
11/3/2016,-0.002671783
11/2/2016,-0.006571737
11/1/2016,-0.000350026
10/31/2016,-0.003976779
10/28/2016,0.023909882
10/27/2016,-0.005140234
10/26/2016,0.009527912
10/25/2016,-0.005301553
10/24/2016,-0.007116462
10/21/2016,-0.003006567
10/20/2016,0.001805618
10/19/2016,0.000431854
10/18/2016,-0.002038478
10/17/2016,0.00184287
10/14/2016,0.003956809
10/13/2016,-0.001205621
10/12/2016,-0.001909734
10/11/2016,0.01530164
10/10/2016,-0.012458414
10/7/2016,-0.003034931
10/6/2016,-0.008308268
10/5/2016,-0.004564638
10/4/2016,0.000541303
10/3/2016,0.00413916
9/30/2016,-0.005417064
9/29/2016,-0.002471855
9/28/2016,-0.004957434
9/27/2016,0.004663696
9/26/2016,-0.002586268
9/23/2016,0.001101149
9/22/2016,-0.000540013
9/21/2016,-0.005531206
9/20/2016,0.007837204
9/19/2016,-0.008403491
9/16/2016,0.001654694
9/15/2016,-0.001238515
9/14/2016,-0.004400778
9/13/2016,-0.005234962
9/12/2016,-0.00297203
9/9/2016,-0.00391003
9/8/2016,0.001717747
9/7/2016,0.000477616
9/6/2016,-0.010837814
9/2/2016,-0.001578442
9/1/2016,-0.001236441
8/31/2016,-0.001620057
8/30/2016,0.002394466
8/29/2016,-0.001391415
8/26/2016,0.002318076
8/25/2016,0.00113005
8/24/2016,0.005246888
8/23/2016,-0.00494708
8/22/2016,0.002838438
8/19/2016,-0.004196858
8/18/2016,0.002137422
8/17/2016,0.001220979
8/16/2016,0.004220277
8/15/2016,-0.002967079
8/12/2016,-0.000752237
8/11/2016,-0.004390271
8/10/2016,0.002084942
8/9/2016,0.000545207
8/8/2016,0.00064407
8/5/2016,-0.005610973
8/4/2016,0.001059136
8/3/2016,-0.000752931
8/2/2016,0.003548059
8/1/2016,0.001670111
7/29/2016,-0.005253055
7/28/2016,-0.002665443
7/27/2016,-0.004764218
7/26/2016,-0.00571582
7/25/2016,-0.009901237
7/22/2016,-0.021100606
7/21/2016,-0.001958319
7/20/2016,-0.009091886
7/19/2016,0.002132499
7/18/2016,-0.00161846
7/15/2016,0.008648493
7/14/2016,0.002756459
7/13/2016,0.002956681
7/12/2016,-0.00589399
7/11/2016,-0.003310744
7/8/2016,-0.004262314
7/7/2016,0.00344637
7/6/2016,0.003534153
7/5/2016,0.00600432
7/1/2016,-0.001752451
6/30/2016,0.016030979
6/29/2016,0.002279144
6/28/2016,0.002267667
6/27/2016,0.002457784
6/24/2016,-0.00576464
6/23/2016,-0.000877106
6/22/2016,-0.00341676
6/21/2016,0.00068688
6/20/2016,0.001345885
6/17/2016,0.002155623
6/16/2016,0.005894301
6/15/2016,0.006883196
6/14/2016,0.022360253
6/13/2016,0.00163057
6/10/2016,0.00313369
6/9/2016,-0.000484571
6/8/2016,0.002124362
6/7/2016,-0.000705912
6/6/2016,0.000809316
6/3/2016,-0.000567055
6/2/2016,-0.004993606
6/1/2016,-0.005175352
5/31/2016,0.004719969
5/27/2016,-0.00122309
5/26/2016,-0.0021027
5/25/2016,0.000630495
5/24/2016,-0.002327026
5/23/2016,-0.000152501
5/20/2016,0.000417009
5/19/2016,-0.004505257
5/18/2016,-0.003583764
5/17/2016,0.001653747
5/16/2016,0.000388575
5/13/2016,-0.005948099
5/12/2016,-0.008059974
5/11/2016,0.005564612
5/10/2016,0.007159732
5/9/2016,-0.009100679
5/6/2016,0.004322323
5/5/2016,-0.005732095
5/4/2016,-0.011975606
5/3/2016,0.000800701
5/2/2016,-0.003744141
4/29/2016,0.000524492
4/28/2016,0.008836472
4/27/2016,-0.000781328
4/26/2016,0.005181241
4/25/2016,-0.000675718
4/22/2016,-0.007152185
4/21/2016,6.03969E-05
4/20/2016,-0.000809036
4/19/2016,-0.000379199
4/18/2016,-0.005982153
4/15/2016,0.001368075
4/14/2016,0.001107487
4/13/2016,-0.005148592
4/12/2016,-0.007008352
4/11/2016,0.000312277
4/8/2016,0.00226339
4/7/2016,0.003984719
4/6/2016,-0.013745185
4/5/2016,0.002772001
4/4/2016,-0.018514621
4/1/2016,-0.00232182
3/31/2016,0.000910341
3/30/2016,0.006496546
3/29/2016,-0.009683968
3/28/2016,0.011635419
3/24/2016,0.001689106
3/23/2016,0.007106133
3/22/2016,-3.28111E-05
3/21/2016,0.004450993
3/18/2016,-0.005972317
3/17/2016,0.019178377
3/16/2016,-0.009582384
3/15/2016,0.002281893
3/14/2016,-0.000967593
3/11/2016,-0.004057935
3/10/2016,-0.003825975
3/9/2016,-0.005700103
3/8/2016,0.004347702
3/7/2016,-0.006521302
3/4/2016,0.004429732
3/3/2016,-0.002391536
