Date,Abnormal Return
7/5/2017,-0.001833007
7/3/2017,0.003762843
6/30/2017,-0.008567035
6/29/2017,0.037535828
6/28/2017,0.010899534
6/27/2017,0.015097076
6/26/2017,0.008181301
6/23/2017,-0.002730837
6/22/2017,-0.008673862
6/21/2017,-0.008243773
6/20/2017,-0.005934178
6/19/2017,-0.004033516
6/16/2017,-0.000543336
6/15/2017,-0.008728434
6/14/2017,0.002725233
6/13/2017,0.000965272
6/12/2017,0.006624858
6/9/2017,0.024638904
6/8/2017,0.008685842
6/7/2017,0.003426314
6/6/2017,0.005245317
6/5/2017,-0.000201287
6/2/2017,-0.009860878
6/1/2017,0.008831599
5/31/2017,-0.01897508
5/30/2017,-0.0032507
5/26/2017,-0.007401906
5/25/2017,-0.011441748
5/24/2017,-0.008758524
5/23/2017,0.004850387
5/22/2017,-0.007450813
5/19/2017,0.004446269
5/18/2017,-0.001970231
5/17/2017,0.003776757
5/16/2017,-0.000258942
5/15/2017,-0.000366331
5/12/2017,-0.011533134
5/11/2017,-0.015181406
5/10/2017,-0.00069447
5/9/2017,-0.005247579
5/8/2017,-0.001317417
5/5/2017,-0.006425591
5/4/2017,0.005282244
5/3/2017,0.014343548
5/2/2017,-3.07E-05
5/1/2017,0.009330619
4/28/2017,-0.008608244
4/27/2017,-0.002530923
4/26/2017,0.000246001
4/25/2017,0.009279666
4/24/2017,-0.001408295
4/21/2017,-0.005517697
4/20/2017,0.016354976
4/19/2017,-0.003554958
4/18/2017,-0.001459336
4/17/2017,0.015815697
4/13/2017,-0.024725457
4/12/2017,-0.014459955
4/11/2017,-0.005158854
4/10/2017,-0.006337818
4/7/2017,-0.008528695
4/6/2017,0.004659766
4/5/2017,-0.000132454
4/4/2017,-0.005931879
4/3/2017,-0.000983068
3/31/2017,-0.007468657
3/30/2017,0.006536942
3/29/2017,-0.006551247
3/28/2017,0.001144455
3/27/2017,-0.006595083
3/24/2017,0.011562318
3/23/2017,-0.000108605
3/22/2017,-0.01169435
3/21/2017,-0.015236678
3/20/2017,-0.015191121
3/17/2017,-0.009299816
3/16/2017,0.012441827
3/15/2017,-0.011413925
3/14/2017,0.005284066
3/13/2017,-0.003011234
3/10/2017,-0.001567427
3/9/2017,0.007408932
3/8/2017,0.001337285
3/7/2017,-0.00161462
3/6/2017,-0.00062102
3/3/2017,0.002430384
3/2/2017,-0.009685844
3/1/2017,0.014715949
2/28/2017,0.000151839
2/27/2017,0.003040518
2/24/2017,-0.013509482
2/23/2017,0.001699136
2/22/2017,0.003253371
2/21/2017,-0.00487401
2/17/2017,-0.002633339
2/16/2017,-0.006254212
2/15/2017,0.003534212
2/14/2017,0.010712887
2/13/2017,-0.002747387
2/10/2017,-0.002206221
2/9/2017,0.012517853
2/8/2017,-0.013476573
2/7/2017,-0.003999574
2/6/2017,-0.009903973
2/3/2017,0.018101627
2/2/2017,-0.003581082
2/1/2017,-0.00109135
1/31/2017,0.005580393
1/30/2017,-0.00143239
1/27/2017,-0.009225467
1/26/2017,0.010818069
1/25/2017,0.0249773
1/24/2017,1.51E-05
1/23/2017,-0.011497153
1/20/2017,0.004731833
1/19/2017,0.010264559
1/18/2017,0.006886653
1/17/2017,-0.023919374
1/13/2017,0.012529137
1/12/2017,-0.002769186
1/11/2017,-0.00027352
1/10/2017,0.007005884
1/9/2017,-0.010059057
1/6/2017,-0.006973028
1/5/2017,-0.014549846
1/4/2017,-0.006324607
1/3/2017,0.005445498
12/30/2016,0.010772044
12/29/2016,-0.008306807
12/28/2016,-0.000720054
12/27/2016,-0.003014509
12/23/2016,0.002188038
12/22/2016,0.003067731
12/21/2016,-0.003852368
12/20/2016,0.011348152
12/19/2016,-0.004659523
12/16/2016,0.004925909
12/15/2016,0.004060063
12/14/2016,-0.01017735
12/13/2016,-0.007172886
12/12/2016,-0.022366575
12/9/2016,-0.010109027
12/8/2016,-0.00254902
12/7/2016,0.014540488
12/6/2016,0.017777006
12/5/2016,0.00702858
12/2/2016,-0.014486706
12/1/2016,0.031267122
11/30/2016,0.023786346
11/29/2016,0.00374418
11/28/2016,-0.013136716
11/25/2016,0.00388175
11/23/2016,-0.002168178
11/22/2016,-0.00081252
11/21/2016,-0.022663617
11/18/2016,0.009297415
11/17/2016,0.009775047
11/16/2016,-0.015307981
11/15/2016,-0.021273074
11/14/2016,0.028949121
11/11/2016,0.003700073
11/10/2016,0.073388618
11/9/2016,0.039827545
11/8/2016,-0.001673828
11/7/2016,-0.010093131
11/4/2016,-0.014219612
11/3/2016,0.00778953
11/2/2016,0.000118353
11/1/2016,0.008125583
10/31/2016,-0.004604622
10/28/2016,4.20E-05
10/27/2016,0.009400894
10/26/2016,0.01160017
10/25/2016,0.009183785
10/24/2016,0.003545574
10/21/2016,0.003667144
10/20/2016,-0.005555913
10/19/2016,0.004131679
10/18/2016,0.002342466
10/17/2016,-0.000865128
10/14/2016,-0.001148219
10/13/2016,-0.008668137
10/12/2016,-0.004306538
10/11/2016,0.011317544
10/10/2016,0.001249869
10/7/2016,0.007423674
10/6/2016,0.003615706
10/5/2016,0.022923572
10/4/2016,0.004425072
10/3/2016,-0.006049806
9/30/2016,-0.012078312
9/29/2016,-0.008989075
9/28/2016,-0.001801238
9/27/2016,-0.003448842
9/26/2016,-0.00797021
9/23/2016,0.00767306
9/22/2016,-0.010598244
9/21/2016,-0.029448383
9/20/2016,0.011576642
9/19/2016,0.01279032
9/16/2016,-0.01084333
9/15/2016,-0.020704301
9/14/2016,-0.008628425
9/13/2016,-0.013844791
9/12/2016,-0.02220659
9/9/2016,0.007282148
9/8/2016,0.005415925
9/7/2016,-0.004216277
9/6/2016,-0.014838824
9/2/2016,-0.0029192
9/1/2016,-0.007231246
8/31/2016,0.006552601
8/30/2016,0.023852252
8/29/2016,0.015050994
8/26/2016,0.004678473
8/25/2016,-0.003419058
8/24/2016,0.011154061
8/23/2016,-0.006985737
8/22/2016,0.00029945
8/19/2016,0.004289382
8/18/2016,-0.004420178
8/17/2016,0.001152719
8/16/2016,0.010432624
8/15/2016,0.004201647
8/12/2016,-0.006044015
8/11/2016,-0.004726321
8/10/2016,-0.011714902
8/9/2016,-8.27E-05
8/8/2016,0.005868968
8/5/2016,0.006707007
8/4/2016,0.005407674
8/3/2016,0.001330408
8/2/2016,0.005723015
8/1/2016,-0.001733834
7/29/2016,-0.005381787
7/28/2016,0.000682375
7/27/2016,0.002137064
7/26/2016,-0.003524317
7/25/2016,-0.000340679
7/22/2016,-0.005329855
7/21/2016,-0.00182079
7/20/2016,-0.000424314
7/19/2016,0.003674336
7/18/2016,0.008942348
7/15/2016,-0.023961138
7/14/2016,0.007246868
7/13/2016,-0.001824534
7/12/2016,-0.003225217
7/11/2016,0.001768971
7/8/2016,0.001914995
7/7/2016,0.00431471
7/6/2016,0.002770079
7/5/2016,-0.008798893
7/1/2016,-0.00879633
6/30/2016,-0.009445063
6/29/2016,-0.002611011
6/28/2016,0.001803437
6/27/2016,0.007511059
6/24/2016,-0.000614185
6/23/2016,0.003156744
6/22/2016,-0.003421749
6/21/2016,0.002971749
6/20/2016,-0.000244201
6/17/2016,-0.001226986
6/16/2016,-0.002455299
6/15/2016,0.000188593
6/14/2016,-0.020453649
6/13/2016,0.002581537
6/10/2016,-0.004707382
6/9/2016,-0.015033519
6/8/2016,-0.009545289
6/7/2016,-0.005983664
6/6/2016,-0.000199514
6/3/2016,-0.014327847
6/2/2016,-0.001405879
6/1/2016,0.004088956
5/31/2016,-0.001288633
5/27/2016,0.000527777
5/26/2016,0.001255437
5/25/2016,0.017625594
5/24/2016,-0.006989276
5/23/2016,0.001604741
5/20/2016,5.55E-05
5/19/2016,-0.00087468
5/18/2016,0.021370886
5/17/2016,-0.001595574
5/16/2016,-0.01173466
5/13/2016,-0.00881853
5/12/2016,0.002658755
