Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar2011,3.765,1.268,1.202,0.914,0.91,3.715,0.849,0.949,0,9.498,9.305,0,49.79,41.24,26.37,520.21,79.65,10.58,0,41.42,31.92,24.27,22.55,0,0.648,0,45,0.272,0,21.45,86.61,5.73,-59.43,15.92,0.59,0.037,24667,14449,10218,1763,0,581,0,7874,0,0,0,26,0,7900,-1913,24.22,5987,0,5987,0,0.927,0.914,6551.608,434,8308,15978,13256,29234,5798,0,0,0,0,930,930,11035,46997,36533,1995,0,5234,0,9416,-3175,6241,1248,741,3885,94904,13714,931,6091,20736,0,3591,0,3591,0,24327,0,0,0,0,1230,0,7870,33427,0,0,49025,126,12326,0,61477,5987,0,5987,434,-221,-45,0,-720,-1229,740,287,0,0,6219,-624,0,0,0,-22685,21784,-32,0,35,-1522,286,0,0,0,0,261,547,5244,-656,5563,16.61,13.4,5.24,5.35,14.05,12.27,3.71,0.27,3.35,10.95,11.55,8.66,64.49,64.15,0,322276.729,293042.729,-0.65,2.1,0.1,28.3,46.25,74.75,25.02,14.74,8.61,6,-1.97,0.372,15.95,1.93,1.89,No Debt,51.88,46.67,-0.4,80.14,92.02,95.38,61.29,6462.372,6472.72,1.19,04/21/11,04/25/12
Jun2011,4.352,1.502,1.429,1.113,1.11,4.644,1.546,1.692,0,10.687,10.393,0,47.95,44.69,28.99,577.61,78.44,9.84,0,41.73,32.83,25.58,35.51,0,0.65,0,47.29,0.283,0,19.49,83.69,4.98,-59.22,18.31,0.58,0.032,28571,16649,11922,1915,0,628,0,9379,0,0,0,172,0,9551,-2243,23.48,7308,0,7308,0,1.127,1.113,6564.67,481,9860,12091,16304,28395,6102,0,0,0,0,889,889,11512,46898,47761,2028,0,5961,0,10348,-3599,6749,1910,741,3440,106758,15270,1130,6467,22867,0,3992,0,3992,0,26859,0,0,0,0,1407,0,9149,37415,0,0,56239,389,12715,0,69343,7308,0,7308,481,-376,41,0,854,2366,669,284,0,0,11108,-777,0,0,0,-32873,18781,-185,0,22,-15032,83,0,0,0,0,-46,37,-3887,-962,10146,13.29,10.33,4.49,4.61,10.78,9.57,3.13,0.21,2.82,8.8,9.26,10.8,65.93,53.26,0,311115.424,282720.424,-1.39,1.46,-0.62,32.88,52.92,90,29.01,16.23,7.85,6,-2.07,0.431,21.07,1.75,1.71,No Debt,50.43,45.05,-0.24,79.91,122.16,116.43,61.97,6482.756,6488.33,1.11,07/20/11,07/25/12
Sep2011,4.299,1.47,1.387,1.007,1.01,5.211,0.891,1.586,0,11.778,11.097,0,54.47,36.3,23.75,502.55,57.3,7.09,0,40.25,30.81,23.43,20.72,0,0.658,0,40.8,0.253,0,17.33,79.05,4.5,-57.22,20.29,0.6,0.029,28270,16890,11380,2025,0,645,0,8710,0,0,0,81,0,8791,-2168,24.66,6623,0,6623,0,1.02,1.007,6576.612,543,9668,9815,16137,25952,5369,0,0,0,0,776,776,12891,44988,55618,2059,0,7110,0,11768,-3991,7777,4432,896,3556,116371,14632,1140,6069,21841,0,4091,0,6129,0,27970,0,0,0,0,1686,0,10100,39756,0,0,62841,443,13331,0,76615,6623,0,6623,543,-244,113,0,35,2329,636,298,0,0,10429,-1645,0,0,0,-27184,19156,-2926,0,-537,-13136,254,0,0,0,0,177,431,-2276,-4571,5858,13.78,10.45,4.62,4.91,11.87,9.52,3.3,0.22,3.03,9.12,9.6,10.42,65.78,54.51,0,354324.082,328372.082,-2.12,0.8,-1.44,35.66,56.96,98.75,31.4,16.09,8.18,7,-2.53,0.475,24.76,1.61,1.58,No Debt,59.06,49.04,-0.26,37.39,51.89,65.54,62.02,6497.967,6504.94,0.86,10/26/11,10/30/13
Dec2011,7.03,2.74,2.631,1.981,1.98,6.355,2.447,2.663,0,13.803,13.133,0,57.86,62.71,40.98,889.63,93.79,6.78,0,44.68,37.42,28.2,34.8,0,0.649,0,64.94,0.363,0,17.59,64.87,3.58,-43.7,25.48,0.55,0.022,46333,25630,20703,2605,0,758,0,17340,228,0,228,-91,0,17477,-4413,25.25,13064,0,13064,0,2.004,1.981,6591.004,721,18061,10310,19846,30156,8930,0,0,0,0,1236,1236,14449,54771,67445,2090,0,7508,0,12340,-4524,7816,4368,896,4281,138681,18221,2520,7435,28176,0,4886,0,6431,0,34607,0,0,0,0,2187,0,11833,48627,0,0,75709,384,13961,0,90054,13064,0,13064,721,-4767,-460,0,4314,1893,1456,420,0,0,17554,-1321,0,0,0,-40175,24510,-108,0,-34,-17128,91,0,0,0,0,-22,69,495,-1429,16125,11.54,9.1,4.19,4.41,10.09,8.4,2.98,0.18,2.72,7.57,7.95,12.58,66.89,48.74,0,377497.734,347341.734,-2.83,0.94,-1.71,43.2,67.09,125.25,38.48,19.43,7.56,7,-2.3,0.515,24.87,1.58,1.55,No Debt,60.32,51.94,-0.3,71.71,115.56,118.68,62.6,6517.287,6524.33,0.82,01/25/12,01/24/13
Mar2012,5.924,2.438,2.326,1.757,1.76,7.445,1.885,2.113,0,15.661,14.936,0,85.65,48.29,32.1,738.59,68.8,8.25,0,47.37,39.26,29.66,31.82,0,0.679,0,51.28,0.271,0,16.4,75.27,5.17,-53.7,17.64,0.53,0.03,39186,20622,18564,2339,0,841,0,15384,254,0,254,-106,0,15532,-3910,25.17,11622,0,11622,0,1.779,1.757,6614.251,740,16124,10121,18417,28538,7042,0,0,0,0,1102,1102,14030,50712,81638,2156,0,8855,0,13941,-5094,8847,4745,1141,4992,150934,17011,1299,6733,25043,0,6993,0,6993,0,32036,0,0,0,0,2446,0,13954,48436,0,0,87124,524,14850,0,102498,11622,0,11622,740,2725,134,0,-1505,-268,1459,424,0,0,13977,-1457,0,-350,0,-44847,32244,-52,0,-14,-14476,286,0,0,0,0,24,310,-189,-1509,12468,14.62,11.5,5.47,5.73,12.65,10.63,3.96,0.23,3.74,9.91,10.39,9.62,67.26,61.89,0,560568.116,532030.116,-3.04,0.35,-2.15,49.34,74.54,146.5,44.38,25.45,9.97,6,-2.44,0.533,30.03,1.58,1.55,No Debt,88.23,57.86,-0.31,57.34,92.23,92.27,64,6535.074,6544.87,1,04/25/12,04/24/13
Jun2012,5.283,1.915,1.789,1.331,1.33,7.184,1.09,1.537,0,17.032,16.2,0,83.43,32.95,22.49,490.78,43.58,7.14,0,42.81,33.04,25.19,20.63,0,0.686,0,38.22,0.223,0,19.95,76.58,5.07,-51.56,18.01,0.57,0.032,35023,20029,14994,2545,0,876,0,11573,292,0,292,-4,0,11861,-3037,25.6,8824,0,8824,0,1.346,1.331,6629.413,835,12696,7945,19709,27654,7657,0,0,0,0,1122,1122,15510,51943,89567,2315,0,10804,0,16205,-5718,10487,5461,1132,5438,162896,16808,1598,2911,21317,0,5822,0,7101,4642,33060,0,0,0,0,2530,0,15560,51150,0,0,95641,532,15573,0,111746,8824,0,8824,835,-529,-20,0,-359,-1069,1151,448,0,0,10189,-2056,0,0,0,-36069,26730,-907,0,-8,-12310,56,0,0,0,0,-111,-55,-2176,-2963,7226,13.73,11.61,4.9,5.15,13.22,10.56,3.7,0.21,3.49,9.19,9.68,10.33,68.32,55.02,0,547372.55,519718.55,-3.58,0.12,-2.62,52.76,77.75,152,47.08,27.2,9.38,6,-2.42,0.557,27.65,1.57,1.54,No Debt,90.89,75.73,-0.24,21.39,19.59,27.5,64.74,6556.172,6560.86,0.91,07/25/12,07/24/13
Sep2012,5.419,1.789,1.641,1.241,1.24,6.86,0.849,1.377,0.379,17.98,17.165,0,95.3,28.61,19.41,335.96,38.17,6.82,0,40.04,30.43,22.86,15.67,0,0.671,0,33.99,0.212,0.306,27.73,89.6,4.05,-57.82,22.55,0.6,0.027,35966,21565,14401,2551,0,906,0,10944,314,0,314,-365,0,10893,-2670,24.51,8223,0,8223,0,1.253,1.241,6636.692,981,11874,10746,18383,29129,10930,124,0,0,667,0,791,16803,57653,92122,2439,0,15984,0,21887,-6435,15452,5359,1135,5478,176064,21175,1535,3283,25993,0,5953,0,7445,5104,38542,0,0,0,0,16495,0,2817,57854,0,0,101289,499,16422,0,118210,8223,0,8223,981,-4394,331,0,2017,-855,339,448,0,0,9136,-3461,0,0,0,-30141,29321,-40,0,8,-4313,232,0,0,0,0,-2254,-2022,2801,-3501,5635,15.1,13.89,5.3,5.55,15.2,12.39,4.03,0.23,3.82,10.17,10.77,9.29,67.95,57.55,0.4,626546.038,597417.038,-4.37,-0.03,-3.06,55.24,81.61,157.75,49.37,29.2,9.37,6,-1.89,0.547,22.21,1.5,1.48,No Debt,100.3,82.13,-0.21,26.05,23.24,21.7,64.68,6567.792,6574.46,0.86,10/31/12,10/27/14
Dec2012,8.221,2.905,2.665,1.973,1.97,7.712,3.163,3.533,0.379,19.378,18.489,0,76.02,42.61,28.11,457.91,57.69,7.35,0,38.63,31.57,23.99,38.47,0,0.649,0,45.27,0.293,0.192,19.41,72.01,3.06,-49.54,29.79,0.61,0.021,54512,33452,21060,2840,0,1010,0,17210,421,0,421,41,0,17672,-4594,26,13078,0,13078,0,1.99,1.973,6630.519,1588,19260,16154,23666,39820,11598,0,0,0,0,1455,1455,19475,72348,97292,2627,0,16994,0,23214,-7792,15422,5843,1381,5183,196088,26398,1993,11214,39605,0,7274,0,7274,0,46879,0,0,0,0,2938,0,18925,68742,0,0,109567,612,17167,0,127346,13078,0,13078,1588,-2842,-664,0,6145,7036,1179,545,0,0,23426,-2317,0,0,0,-37192,26462,-138,0,-336,-13521,76,-1950,0,0,-2493,-130,-4497,5408,-2455,20971,12.06,9.86,3.92,4.11,10.88,8.88,3.06,0.19,2.79,7.67,8.24,12.14,68.39,41.36,1,499582.915,459762.915,-4.4,0.55,-2.97,63.65,85.72,157.5,51.19,34.59,7.08,4,-2.53,0.497,15.12,1.54,1.51,No Debt,95.92,72.8,0.04,16.94,-0.4,6.02,63.55,6572.412,6571.73,0.93,01/24/13,01/28/14
Mar2013,6.584,2.204,1.949,1.441,1.44,7.414,1.541,1.888,0.379,20.589,19.748,0,63.24,29.06,19.54,339.07,40.42,5.83,0,37.5,28.8,21.9,23.4,0,0.696,0,33.47,0.223,0.263,14.83,49.93,4.52,-30.58,20.19,0.63,0.031,43603,27254,16349,2672,0,1119,0,12558,420,0,420,-73,0,12905,-3358,26.02,9547,0,9547,0,1.451,1.441,6622.245,1692,14597,12053,27084,39137,7084,0,0,0,0,1245,1245,15871,63337,105550,2818,0,17737,0,24194,-9168,15026,5536,1400,5294,194743,14912,1610,4575,21097,0,7265,0,8709,5702,35508,0,0,0,0,19358,0,4387,59253,0,0,116572,964,17954,0,135490,9547,0,9547,1692,8198,210,0,-10567,-88,778,575,0,0,12504,-2008,0,-192.542,0,-43971,31969,-291,0,136.542,-14357,199,0,0,0,-2491,44,-2248,-4101,-2299,10205,10.56,8.53,3.07,3.2,9.52,7.59,2.48,0.17,2.23,6.45,7.07,14.14,67.72,31.36,1.8,416160.938,377023.938,-3.06,0.62,-2.15,68.33,88,149.5,51.55,37.34,7,5,-2.73,0.491,14.85,1.78,1.75,No Debt,78.43,60.01,-0.14,11.14,-17.99,-9.6,61.56,6577.403,6580.66,0.66,04/24/13,04/24/14
Jun2013,5.46,1.728,1.466,1.07,1.07,7.151,0.898,1.21,0.436,19.398,18.474,2.667,56.65,21.33,13.99,242.09,27.74,7.04,2.5,36.87,26.05,19.53,16.45,0.137,0.617,0.085,26.4,0.179,0.407,22.83,63.49,6.02,-34.64,15.16,0.63,0.042,35323,22299,13024,2645,0,1178,0,9201,385,-53,332,-98,0,9435,-2535,26.87,6900,0,6900,0,1.07,1.07,6469.854,1694,11182,11248,31358,42606,8839,0,0,0,0,1697,1697,15077,68219,104014,3055,0,20024,0,26889,-10562,16327,5875,1522,5421,199856,15516,1290,4875,21681,0,7333,0,8588,6050,36319,16958,0,16958,0,2672,0,20553,76502,0,0,104564,-234,19024,0,123354,6900,0,6900,1694,-117,-452,0,-318,-1911,567,578,0,0,7828,-1885,0,0,0,-41518,37266,-131,0,-239,-6507,60,-16000,0,0,-2811,16625,-2126,-805,-2016,5812,9.9,7.92,2.92,3.07,8.78,7.07,2.21,0.17,1.98,5.88,6.57,15.22,65.21,26.68,2.78,360242.449,334594.449,-5.33,-1.3,-4.15,70.31,88.61,143,48.76,38.36,5.44,5,-2.76,0.502,11.78,1.88,1.83,173.6,66.26,55.79,3.37,3.35,-19.61,-9.77,58.09,6430.323,6359.09,0.76,07/24/13,07/23/14
