Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,21.475,1.135,0.695,0.44,0.44,4.915,-4.105,-3.455,0,16.254,12.907,0,180.13,11.32,4.51,48.01,0,9.16,14.98,22.82,3.27,2.04,-19.11,0,0.435,0,50.43,0.553,0,12.07,66.45,36.52,-17.86,2.5,0.77,0.309,9857,7608,2249,1315,0,579,33,322,15,-12,3,-18,0,307,-89,28.99,201,0,201,0,0.44,0.44,459,202,521,2641,4240,6881,1304,0,0,0,0,2888,2888,215,11288,0,0,0,0,0,0,0,2902,1513,1513,1179,16882,5540,0,2190,7730,0,0,0,0,0,7730,0,0,0,0,0,0,1805,9535,5,0,1525,-66,6483,-600,7347,201,0,201,202,359,343,0,-2832,-2140,15,110,0,26,-1586,-298,0,-139,0,-1112,1939,0,0,0,390,0,0,0,-22,0,46,24,-1136,-298,-1884,77.98,36.65,11.08,13.96,44.12,27.43,2.23,2.86,2.02,35.54,51.55,1.94,28.8,190.97,0,81418.76,74537.76,-5.87,3.88,-0.51,52.91,168.65,57.75,25.9,32.76,7.97,4,-2.66,0.025,2.82,1.46,1.09,26.83,191.25,160.97,-0.22,36.72,-33.33,-2.24,27.23,451,452,0.95,4/27/2011,4/27/2012
Jun-11,21.55,1.052,0.522,0.41,0.41,4.915,-0.022,0.92,0,17.104,12.899,0,204.49,10.11,4.39,30.13,67.05,8.64,0,24.09,2.03,1.93,-0.1,0,0.433,0,54.86,0.569,0,13.24,69.37,37.09,-19.04,2.46,0.76,0.309,9913,7525,2388,1448,0,698,41,201,16,-15,1,23,0,225,-49,21.78,191,0,191,0,0.42,0.41,460,244,484,2047,4308,6355,1438,0,0,0,0,3229,3229,257,11279,0,0,0,0,0,0,0,3470,1909,1909,1283,17941,5721,0,2324,8045,0,0,0,0,0,8045,0,0,0,0,0,0,2131,10176,5,0,1715,-30,6675,-600,7765,190,0,190,244,-73,-274,0,178,-163,20,144,0,-12,423,-433,0,-469,0,-2077,2028,0,0,0,-951,0,0,0,-106,0,15,-91,-594,-433,-10,90.08,41.61,11.96,15.85,51.87,29.47,2.33,3.3,2.15,40.32,62.67,1.6,28.79,192.6,0,92838.46,86483.46,-8.42,2.43,-2.48,52.41,183.52,56.75,25.67,32.61,8.32,4,-2.5,0.084,4.25,1.4,1,13.4,206.07,178.34,-0.44,49.33,-8.89,9.81,27.33,453,454,0.91,7/27/2011,7/27/2012
Sep-11,23.592,0.922,0.319,0.14,0.14,4.36,0.581,1.729,0,17.068,12.818,0,216.23,3.25,1.36,15.75,10.75,7.02,0,23.46,0.73,0.58,2.46,0,0.408,0,55.16,0.588,0,12.55,71.82,38.36,-20.91,2.38,0.77,0.322,10876,8325,2551,1666,0,769,37,79,16,-17,-1,52,0,130,-67,51.54,63,0,63,0,0.14,0.14,461,278,425,2823,3503,6326,1496,0,0,0,0,3770,3770,312,11904,0,0,0,0,0,0,0,3999,1934,1934,1217,19054,6552,0,2426,8978,0,0,0,0,0,8978,0,0,0,0,0,0,2310,11288,5,0,1778,-241,6824,-600,7766,63,0,63,278,-75,-587,0,957,285,34,144,0,-7,797,-529,0,-48,0,-1287,1964,0,0,0,100,0,0,0,-82,0,0,-82,776,-529,268,113.81,49.59,12.67,16.87,64.76,31.83,2.28,4.35,2.11,43.49,75.21,1.33,27.6,190.66,0,98384.65,92058.65,-10.91,1.35,-4.3,53.33,198.18,47.5,23.41,32.87,8.04,4,-2.62,0.08,-3.02,1.33,0.91,4.65,241.69,177.54,-0.22,42.3,-72.55,-7.15,26.18,454,455,0.85,10/26/2011,10/26/2012
Dec-11,37.567,1.405,0.631,0.38,0.38,5.638,8.015,9.2,0,17.048,11.33,3.11,173.1,9.12,3.19,27.85,137.53,4.19,11.31,20.65,1.49,1.02,21.34,0.182,0.307,0.056,64.96,0.786,0,13.46,73.53,28.9,-31.17,3.16,0.79,0.251,17431,13831,3600,2436,0,862,42,260,14,-20,-6,19,0,273,-86,31.5,177,0,177,0,0.39,0.38,464,359,652,5269,4307,9576,2571,0,0,0,0,4992,4992,351,17490,0,1437,0,4106,106,5786,-1369,4417,2602,1955,769,25278,11145,0,3751,14896,0,0,0,0,0,14896,255,1160,1415,0,0,0,1210,17521,5,0,1955,-316,6990,-877,7757,177,0,177,359,-1077,-1260,0,5760,3481,68,160,0,24,4269,-550,0,-49,0,-1782,912,0,0,0,-1469,0,0,0,-57,0,-276,-333,2446,-550,3719,126.35,30.7,10.15,15.28,38.73,20.62,1.66,5.11,1.47,33.91,70.67,1.42,27.36,149.33,0,78760.5,70599.5,-17.46,-0.07,-7.74,69.75,217.74,33.88,18.69,37.51,4.96,5,-2.68,-0.021,-5.31,1.17,0.84,13,246.71,173.1,0,33.18,-58.24,-6.15,24.73,453,455,0.38,2/1/2012,1/31/2014
Mar-12,28.663,1.222,0.228,0.28,0.28,3.588,-6.139,-5.3,0,16.158,11.78,0,202.51,6.92,2.28,9.26,65.08,6.41,11.87,23.95,1.46,0.99,-21.42,0,0.357,0,55.38,0.578,0,12.55,62.67,42.08,-8.04,2.17,0.76,0.351,13185,10027,3158,1975,0,945,46,192,12,-21,-9,-99,0,84,-43,51.19,130,0,130,0,0.29,0.28,460,457,562,2288,3427,5715,1813,0,0,0,0,4255,4255,371,12154,0,0,0,0,0,0,0,4653,1970,1970,1562,20339,6886,0,3602,10488,0,0,0,0,0,10488,0,0,0,0,0,0,2580,13068,5,0,2085,-174,7192,-1837,7271,130,0,130,457,746,747,0,-4787,-3166,-38,160,0,19,-2438,-386,0,-50,0,-852,1738,0,0,0,450,0,-960,0,-85,0,40,-1005,-2981,-386,-2824,167.36,56.44,12.53,17.19,83.17,30.92,1.82,7.46,1.66,40.23,108.81,0.92,23.95,166.47,0,91129.5,85414.5,-16.34,-2.03,-8.59,56.18,232.77,27.14,17.91,32.35,7.08,5,-2.76,0.062,-3.05,1.16,0.75,9.14,205.44,175.93,1.1,33.47,-36.36,7.67,22.43,453,450,0.69,4/27/2012,4/26/2013
Jun-12,28.022,1.424,0.365,0.01,0.01,3.676,-0.138,1.297,0,16.604,11.027,0,228.35,0.38,0.14,13.7,5.3,6.32,0,26.07,0.83,0.05,-0.49,0,0.357,0,64.72,0.621,0,14.47,68.01,41.52,-12.02,2.2,0.74,0.336,12834,9488,3346,2125,0,1082,32,107,10,-21,-11,50,0,146,-109,74.66,7,0,7,0,0.02,0.01,458,485,652,2335,2635,4970,2035,0,0,0,0,4380,4380,408,11793,0,0,0,0,0,0,0,5097,2521,2521,1611,21022,7072,0,3892,10964,0,0,0,0,0,10964,0,0,0,0,0,0,2553,13517,5,0,2092,-328,7573,-1837,7505,7,0,7,485,-166,-124,0,239,-2,-43,221,0,-74,594,-657,0,-624,0,-565,1251,0,0,0,-595,0,0,0,-18,0,85,67,47,-657,-63,281.91,62.12,13.75,20.71,98.47,32.97,1.94,13.63,1.81,42.88,137.98,0.72,22.09,182.79,0,103214.2,98244.2,-18.91,-3.81,-10.69,56.11,246.29,16.76,14.18,29.06,7.46,6,-2.84,0.125,-6.33,1.08,0.68,5.1,231.9,185.5,-0.44,30.03,-97.56,35.36,20.69,451,452,0.77,7/27/2012,7/26/2013
Sep-12,30.544,1.226,-0.062,-0.6,-0.6,3.34,0.502,2.086,0,16.673,11.066,0,254.32,-14.56,-5,-2.08,-22.09,6.63,0,25.26,-0.2,-1.98,1.64,0,0.331,0,63.61,0.63,0,15.81,74.01,41.76,-16.44,2.19,0.75,0.342,13806,10319,3487,3242,0,230,43,-28,10,-22,-12,18,0,-22,-83,-377.27,-274,0,-274,0,-0.6,-0.6,452,554,554,2980,2268,5248,2392,0,0,0,0,5065,5065,413,13118,0,0,0,0,0,0,0,5662,2540,2540,1514,22834,8369,0,4236,12605,0,0,0,0,0,12605,0,0,0,0,0,0,2676,15281,5,0,1818,-296,7863,-1837,7553,-274,0,-274,554,-416,-647,0,1319,355,-36,217,0,127,943,-716,0,-37,0,-358,742,0,0,0,-369,0,0,0,-35,0,66,31,645,-716,227,3633.14,76.14,15.25,22.98,113.54,34.92,2.04,187.76,1.92,45.44,204.77,0.49,20.6,209.74,0,115206.96,109958.96,-22.15,-4.77,-12.6,57.8,260.82,1.35,4.17,40.25,7.25,6,-2.8,0.11,-5.89,1.04,0.64,0,261.68,215.36,-0.22,29.47,-528.57,32.97,19.35,452,453,0.82,10/26/2012,10/25/2013
Dec-12,46.64,2.25,0.798,0.21,0.21,4.727,6.7,11.143,0,18.044,10.826,8.436,250.87,4.98,1.42,22.89,47.75,7.3,5.64,24.13,1.9,0.46,14.36,0.468,0.252,0.118,74.11,0.768,0,16.38,75.31,31.37,-27.56,2.91,0.76,0.261,21268,16137,5131,786,0,3902,38,405,8,-27,-19,-49,0,337,-194,57.57,98,0,98,0,0.21,0.21,456,662,1026,8084,3364,11448,3817,0,0,0,0,6031,6031,0,21296,0,2966,0,6402,214,9582,-2522,7060,3277,2552,922,32555,13318,0,4892,18210,0,792,0,792,0,19002,3084,746,3830,0,476,0,1055,24363,5,0,1916,-239,8347,-1837,8192,98,0,98,662,-1025,-974,0,6337,4337,-148,236,0,-104,5081,-2026,0,-34,0,-1528,506,0,0,0,-3082,0,0,0,3433,0,-267,3166,5104,-2026,3055,0,53.07,13.9,23.17,271.21,27.19,1.87,0,1.74,38.04,174.8,0.57,20.7,205.47,0,113894.98,106276.98,-28.45,-6.76,-15.5,71.24,279.79,-1.9,0,40.41,4.91,4,-2.78,0.025,-1.91,1.12,0.8,15,261.5,220.6,-0.22,24.15,-44.74,60.14,18.96,456,454,0.91,1/30/2013,1/30/2015
Mar-13,34.708,1.758,0.246,0.18,0.18,4.213,-6.57,-5.123,0,18.532,12.96,6.681,266.49,3.95,1.08,6.19,42.63,6.89,3.84,26.57,1.13,0.51,-18.93,0.361,0.297,0.107,56.05,0.527,0,14.29,68.94,44.18,-10.47,2.07,0.73,0.356,16070,11801,4269,2674,0,1383,31,181,10,-33,-23,-77,0,81,18,-22.22,82,0,82,0,0.18,0.18,463,700,814,4481,3414,7895,2516,0,0,0,0,5395,5395,507,16313,0,0,0,0,0,0,0,7674,2535,2535,1855,28377,8916,0,5416,14332,0,0,0,0,0,14332,3040,0,3040,0,0,0,2573,19945,5,0,1998,-319,8585,-1837,8432,82,0,82,700,729,535,0,-4890,-3402,-80,229,0,99,-2372,-670,0,-103,0,-776,599,0,0,0,-950,0,0,0,-157,0,0,-157,-3603,-670,-3042,0,63.25,14.38,20.56,539.45,28.34,1.9,0,1.82,38.21,188.65,0.53,20.09,210.5,0,121252.95,116397.95,-26.48,-7.98,-16.41,55.98,292.42,-3.82,0,34.73,6.16,4,-3.02,0.11,2.34,1.14,0.76,5.48,283.99,253.39,-0.22,21.09,-35.71,43.86,19.1,455,455,0.83,4/26/2013,4/25/2014
Jun-13,34.439,1.768,0.11,-0.02,-0.02,4.067,0.055,1.93,0,19.109,13.389,6.656,277.69,-0.33,-0.1,2.43,1.89,6.36,4.34,28.62,0.5,-0.04,0.16,0.348,0.295,0.103,62,0.542,0,16.62,73.19,44.02,-12.55,2.07,0.71,0.344,15704,11209,4495,2798,0,1586,32,79,9,-33,-24,-38,0,17,-13,76.47,-7,0,-7,0,-0.02,-0.02,456,756,806,3704,3759,7463,2861,0,0,0,0,5420,5420,541,16285,0,0,0,0,0,0,0,8789,2614,2614,1935,29623,8990,0,5745,14735,0,0,0,0,0,14735,3042,0,3042,0,0,0,3113,20890,5,0,1991,-319,8893,-1837,8733,-7,0,-7,756,-211,-30,0,-77,-262,21,298,0,74,880,-855,0,-148,0,-1113,696,0,0,0,-1420,0,0,0,-209,0,0,-209,-777,-855,25,0,68.28,14.53,20.74,404.21,27.67,1.9,0,1.83,38.28,244.97,0.41,19.98,217.3,0,126904.33,122483.33,-29.38,-10.08,-18.76,56.14,305.83,-4.35,0,31.07,6.12,6,-3.03,0.152,4.01,1.11,0.74,2.39,281.76,248.23,-0.44,22.9,-300,24.16,18.91,456,457,0.64,7/26/2013,7/25/2014
