Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,30.042,7.094,5.537,3.09,3.09,10.32,2.573,4.886,0.72,54.785,52.469,5.76,107.49,23.09,13.09,39.12,23.52,7.45,0,41.66,18.43,10.29,8.57,0.105,0.565,0.059,53,0.318,0.233,33.39,54.47,15.2,-5.88,6,0.58,0.097,60341,35201,25140,6163,0,0,7855,11122,0,0,0,0,-28,11122,-4883,43.9,6239,0,6211,0,3.11,3.09,2008.584,3126,14248,13149,145,13294,22078,2019,0,0,4213,0,6232,9247,50851,22003,0,0,0,0,215560,-104485,111075,4655,4655,6152,194736,21011,5569,4916,31496,1817,0,0,0,0,33313,9484,274,9758,6595,34220,750,0,84636,1832,0,124417,-4253,14931,-26528,110100,6239,57,6239,3126,-1217,-766,-298,2391,110,73,0,0,266,9814,-4645,284,-3014,0,0,156,0,0,-1128,-8347,0,-58,0,-918,-1436,-13,-2425,-911,-4645,5169,10.44,10.42,1.96,2.05,16.16,6.41,0.99,2.7,0.99,4.42,6.05,16.53,7.7,15.75,2.68,216018.353,215049.353,-35.5,-16.81,-25.71,86.66,98.38,63.35,110.27,33.9,4.25,8,-2.59,0.591,4.6,1.53,1.34,N/A,108.01,90.41,-0.11,24.97,36.12,32.23,3.86,1994.735,2009.66,0.73,5/5/2011,5/3/2012
Jun-11,34.32,10.813,9.192,3.85,3.85,11.79,1.452,5.321,0.78,57.74,55.417,5.751,102.84,27.4,15.6,61.81,38.84,7.22,0,40.88,26.78,11.21,4.23,0.1,0.573,0.057,56.88,0.348,0.203,31.25,50.96,15.13,-4.58,6.03,0.59,0.098,68948,40759,28189,6460,0,0,3262,18467,0,0,0,-5260,-28,13207,-5447,41.24,7760,0,7732,0,3.88,3.85,2008.995,3257,21724,13335,221,13556,23613,2054,0,0,5232,0,7286,9551,54006,21724,0,0,0,0,220107,-105353,114754,4654,4654,6579,201717,22764,5648,4906,33318,1902,0,0,0,0,35220,9484,134,9618,6334,34115,777,0,86064,1832,0,130592,-4117,15027,-27382,115653,7760,-30,7760,3257,-1539,-1057,382,1925,-289,275,0,0,-313,10690,-7773,342,0,0,0,3,0,0,-646,-8074,0,-828,0,-60,-1556,-15,-2459,186,-7773,2917,8.98,8.72,1.78,1.86,15.62,5.62,0.89,1.89,0.88,3.5,4.53,22.08,8.77,14.27,2.86,205986.463,204727.463,-36.2,-16.01,-25.54,89.97,105.56,76.56,119.49,41,4.26,7,-2.42,0.587,5.96,1.53,1.33,N/A,109.66,97.9,0.33,29.89,42.59,81.91,4.75,1994.007,2002.98,0.74,8/4/2011,8/2/2012
Sep-11,32.237,8.283,6.674,3.92,3.92,14.473,2.375,5.765,0.78,60.704,58.367,4.892,92.59,26.48,15.43,43.26,27.17,6.02,0,41.64,20.7,12.15,7.37,0.081,0.592,0.048,52.89,0.318,0.199,29.57,50.35,16.21,-4.57,5.63,0.58,0.104,64432,37600,26832,6493,0,0,6999,13340,0,0,0,0,-28,13340,-5483,41.1,7857,0,7829,0,3.94,3.92,1998.673,3215,16555,14229,248,14477,20878,2111,0,0,3961,0,6072,11598,53025,22410,0,0,0,0,226536,-108159,118377,4654,4654,5633,204099,20746,5981,5366,32093,245,0,0,0,0,32338,9384,114,9498,0,34949,785,5638,83208,1832,0,136873,-4066,15110,-28559,120891,7857,-187,7857,3215,1541,904,-988,226,1683,862,0,0,-2095,11522,-6775,2050,0,0,0,0,0,0,-1335,-6060,0,-1160,0,-1772,-1549,-28,-4509,894,-6775,4747,6.86,6.4,1.53,1.59,11.92,4.61,0.75,1.11,0.73,2.79,3.49,28.65,10.92,12.38,3.24,184391.133,180442.133,-34.51,-15.16,-25.13,95.71,112.35,83.7,133.15,40.58,4.35,8,-2.42,0.58,6.51,1.64,1.45,N/A,109.43,90.01,0.57,30.12,109.63,61.65,6.2,1984.643,1991.48,0.74,11/3/2011,11/6/2012
Dec-11,30.176,6.68,5.013,2.58,2.58,14.346,0.886,4.562,0.81,61.268,58.925,5.124,106.4,16.92,9.91,31.72,17.68,7.04,0,3.29,16.61,8.54,2.94,0.084,0.579,0.048,3.82,0.29,0.314,33.15,34.84,9.13,7.44,9.99,0.97,0.097,59985,58012,1973,-14371,0,0,6379,9965,0,0,0,0,-29,9965,-4813,48.3,5152,0,5123,0,2.61,2.58,1987.857,3313,13278,15864,249,16113,21793,2123,0,0,3420,0,5543,9785,53234,22868,0,0,0,0,233432,-110824,122608,4642,4642,6122,209474,22147,5826,5287,33260,340,0,0,0,0,33600,9684,128,9812,9156,34725,799,0,88092,1832,0,140399,-6022,15156,-29685,121382,5152,57,5152,3313,-1091,515,51,1189,1005,379,0,0,-780,9069,-7307,0,0,0,0,0,0,0,2299,-5008,0,-1147,0,381,-1595,-15,-2376,1635,-7307,1762,7.92,7.42,1.74,1.81,14.6,5.18,0.84,1,0.81,3.12,3.89,25.71,11.9,13.5,2.9,210796.488,205634.488,-36.33,-17.59,-26.68,95.56,115.37,106.18,133.49,42.65,4.45,8,-6.14,0.569,6.34,1.58,1.42,N/A,109.64,89.88,0.52,12.32,-2.27,10.03,7.9,1970.727,1981.17,0.92,2/23/2012,2/21/2014
Mar-12,30.678,7.719,6.099,3.27,3.27,13.113,1.259,4.238,0.81,63.514,61.165,4.694,107.21,20.97,12.2,38.08,22.34,6.96,0,40.61,19.88,10.66,4.11,0.074,0.584,0.043,46.47,0.286,0.248,33.08,58.09,16.31,-8.7,5.59,0.59,0.106,60705,36053,24652,6123,0,0,6460,12069,0,0,0,0,-28,12069,-5570,46.15,6499,0,6471,0,3.3,3.27,1978.781,3205,15274,18871,239,19110,22005,2049,0,0,5298,0,7347,6760,55222,23226,0,0,0,0,238064,-113266,124798,4641,4641,7003,214890,22951,6290,4620,33861,396,0,0,0,0,34257,8765,114,8879,8866,36562,819,0,89383,1832,0,145278,-5875,15255,-30701,125507,6499,142,6499,3205,-168,-1847,-119,-676,-2727,491,0,0,919,8387,-5895,428,0,0,0,194,0,0,3300,-1973,0,-996,0,-867,-1590,-8,-3461,3007,-5895,2492,7.87,8.18,1.69,1.75,17.95,5.39,0.84,0.84,0.8,3.04,3.77,26.53,13.46,12.9,2.97,211852.321,202836.321,-35.56,-17.29,-25.35,98.02,115.94,128.03,136.91,45.12,4.41,8,-2.52,0.556,4,1.61,1.4,N/A,111.19,102.79,0.26,2.12,5.83,8.81,9.4,1963.862,1976.05,0.85,5/3/2012,5/2/2013
Jun-12,31.813,7.947,6.278,3.66,3.66,13.173,1.447,5.038,0.9,66.253,63.887,5.214,105.5,22.57,13.28,38.26,24.46,7.31,0,32.61,19.73,11.52,4.55,0.079,0.593,0.047,37.61,0.288,0.246,30.19,47.49,15.72,-1.58,5.81,0.67,0.116,62608,42192,20416,1250,0,0,6811,12355,0,0,0,0,-22,12355,-5123,41.46,7232,0,7210,0,3.68,3.66,1967.99,3284,15639,21209,246,21455,20711,2128,0,0,5058,0,7186,6656,56008,23073,0,0,0,0,246076,-117029,129047,4641,4641,6610,219379,21958,5212,5127,32297,359,0,0,0,0,32656,9765,107,9872,8681,36881,1292,0,89382,1832,0,150728,-5732,15322,-31871,129997,7232,-118,7232,3284,1405,488,-256,-1164,972,503,0,0,-2076,9915,-7067,0,0,0,0,15,0,0,1546,-5506,0,-1165,0,961,-1758,-3,-1965,2338,-7067,2848,7.86,8.01,1.59,1.65,17.68,5.38,0.84,0.78,0.8,3.24,4.13,24.21,14.29,12.2,3.13,207005.77,197073.77,-34.62,-17.01,-24.87,102.08,113.66,135.64,138.94,42.38,4.33,6,-2.55,0.559,2.87,1.72,1.5,N/A,108.3,96.41,0.7,-7.3,-4.94,-26.51,10.1,1954.147,1962.14,1,8/2/2012,8/7/2013
Sep-12,29.612,6.786,5.067,2.69,2.69,10.3,0.122,3.944,0.9,67.925,65.554,6.303,116.56,15.98,9.42,29.71,17.33,7.61,0,31.64,17.11,9.05,0.41,0.093,0.586,0.054,32.93,0.26,0.335,33.74,52.87,17.46,-1.67,5.23,0.68,0.131,58044,39676,18368,1352,0,0,7084,9932,0,0,0,0,-55,9932,-4624,46.56,5308,0,5253,0,2.71,2.69,1960.141,3370,13302,21313,261,21574,21464,2192,0,0,5803,0,7995,7432,58465,23505,0,0,0,0,252276,-119524,132752,4640,4640,7502,226864,22989,5318,5190,33497,2172,0,0,0,0,35669,10065,99,10164,8444,38365,1281,0,93923,1832,0,154229,-5558,15422,-32702,132941,5308,163,5308,3370,-627,-709,-466,1044,-610,455,0,0,-793,7730,-7490,0,0,0,0,0,0,0,248,-7242,0,-801,0,2100,-1751,-12,-464,104,-7490,240,9.55,11.32,1.72,1.78,31.38,6.55,0.95,0.92,0.91,3.83,4.97,20.12,14.02,12.87,2.93,228128.901,220171.901,-36.97,-18.12,-26.7,101.25,111.27,127.12,134.14,40.18,4.24,5,-2.21,0.57,3.83,1.64,1.41,N/A,117.85,103.88,0.25,-8.14,-31.38,-18.07,10.42,1945.84,1957.18,1.05,11/6/2012,11/8/2013
Dec-12,31.002,7.951,6.132,3.7,3.7,12.366,1.174,6.543,0.9,70.131,67.747,6.263,108.14,21.51,12.6,34.47,23,8.25,0,33.56,19.78,11.96,3.79,0.089,0.586,0.052,35.35,0.263,0.243,31.64,51.66,16.03,-3.99,5.69,0.66,0.117,60552,40232,20320,1182,0,0,7162,11976,0,0,0,0,-52,11976,-4679,39.07,7297,0,7245,0,3.73,3.7,1953.183,3554,15530,20939,266,21205,20997,2221,0,0,3923,0,6144,7374,55720,23718,0,0,0,0,263481,-122133,141348,4640,4640,7556,232982,22776,5571,5738,34085,127,0,0,0,0,34212,11966,99,12065,9699,39174,1308,0,96458,1832,0,159730,-6369,15497,-33884,136524,7297,20,7297,3554,374,1835,370,710,3606,566,0,0,-2243,12780,-10486,0,0,0,0,0,0,0,411,-10075,0,-1180,0,-147,-1745,-18,-3090,-374,-10486,2294,8.12,8.74,1.54,1.6,27.02,5.47,0.88,0.77,0.84,3.39,4.38,22.83,14.48,11.64,3.25,210516.138,202811.138,-38.66,-20.93,-28.99,102.74,112.03,139.86,142.49,36.12,4.07,6,-3,0.568,5.22,1.63,1.45,N/A,117.96,101.62,0.54,2.74,43.41,19.03,10.5,1936.248,1946.7,1.15,2/22/2013,2/20/2015
Mar-13,29.228,7.08,5.29,3.18,3.18,11.27,-1.275,2.939,0.9,72.218,69.827,7.289,118.82,17.86,10.51,28.15,18.71,8.33,0,31.94,18.1,10.87,-4.36,0.101,0.59,0.06,30.86,0.242,0.283,35.28,51.01,15.11,-0.62,6.04,0.68,0.113,56818,38672,18146,998,0,0,6865,10283,0,0,0,0,-61,10283,-4044,39.33,6239,0,6178,0,3.2,3.18,1943.931,3481,13764,17374,266,17640,21969,2280,0,0,4384,0,6664,8423,54696,24504,0,0,0,0,271239,-125266,145973,4640,4640,7597,237410,21617,5930,5048,32595,2090,0,0,0,0,34685,11960,93,12053,9517,39669,1352,0,97276,1832,0,164173,-6269,15585,-34925,140134,6239,-109,6239,3481,-1060,-520,-437,-1409,-3537,127,0,0,-596,5714,-8192,0,0,0,0,0,0,0,-267,-8459,0,-1027,0,1967,-1735,-10,-805,-3565,-8192,-2478,8.98,10.54,1.65,1.7,80.94,6.44,0.98,0.85,0.96,3.92,5.13,19.49,13.8,12.29,3.03,230561.893,228416.893,-41.04,-21.94,-30.83,99.12,110.71,139.18,144.17,28.63,4.11,5,-2.7,0.592,8.86,1.58,1.38,N/A,121.18,109.26,0.32,-4.73,-2.75,-8.28,10.52,1929.014,1940.43,1.14,5/2/2013,5/2/2014
Jun-13,29.621,6.196,4.435,2.77,2.77,9.766,-0.027,4.399,1,73.933,71.532,10.333,118.34,15.17,8.91,22.55,15.37,8.81,0,29.32,14.97,9.35,-0.09,0.14,0.585,0.082,27.95,0.238,0.361,32.25,48.63,15.85,-0.53,5.76,0.71,0.123,57369,40551,16818,1139,0,0,7090,8589,0,0,0,0,-39,8589,-3185,37.08,5404,0,5365,0,2.8,2.77,1936.783,3412,12001,20630,258,20888,20273,2360,0,0,5063,0,7423,7520,56104,25133,0,0,0,0,279025,-128433,150592,4640,4640,7579,244048,21609,4711,5180,31500,1913,0,0,0,0,33413,17960,91,18051,9282,39138,1323,0,101207,1832,0,167615,-6078,15677,-35943,142841,5404,-29,5404,3412,1508,-759,942,-836,1034,-95,0,0,-1235,8520,-8573,0,0,0,0,0,0,0,561,-8012,0,-1001,0,5826,-1921,-63,2841,3256,-8573,-53,9.59,12.12,1.6,1.65,0,6.64,0.99,0.93,0.98,4.19,5.62,17.79,13.35,12.01,3.13,228635.247,229034.247,-41.57,-23.34,-31.78,97.82,108.71,127.72,140.93,21.96,3.93,5,-0.89,0.603,9.46,1.68,1.46,N/A,126.43,114.81,0.43,-6.89,-24.32,-22.03,10.35,1921.391,1932.02,1.13,8/7/2013,8/6/2014
