Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
11-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.15,53.08,31.87,26.27,9999,0,0,0,0,0,0,0,0,0,0,0.23,0,731,167,564,119,0,57,0,388,0,-7,-7,17,0,398,-165,41.46,233,0,233,0,0,0,0,51,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,233,51,27,0,-26,27,53,0,7,0,1,345,-153,0,-1,0,0,0,0,0,1,-153,998,0,0,-279,0,79,798,991,-153,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.43,0,0,0,0,0,0,0,0,0,0,5/18/11,5/18/11
11-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.54,45.47,26.82,-0.34,9999,0,0,0,0,0,0,0,0,0,0,0.23,0,895,210,685,179,0,99,0,407,0,-9,-9,1,0,399,-159,39.85,240,0,240,0,0,0,0,72,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,240,72,-55,0,-200,-3,-236,0,64,0,-11,129,-132,0,-3,0,-1893,0,0,0,-4,-2032,0,0,0,29,0,226,255,-1645,-132,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.22,0,0,0,0,0,0,0,0,0,0,7/31/11,7/31/11
11-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.26,43.4,23.79,44.97,9999,0,0,0,0,0,0,0,0,0,0,0.25,0,954,236,718,196,0,108,0,414,0,-10,-10,-25,0,379,-152,40.11,227,0,227,0,0,0,0,97,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,227,97,-44,0,113,94,186,0,70,0,-15,565,-136,0,-1,0,-851,0,0,0,193,-795,0,0,0,-128,0,142,14,-225,-136,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.4,0,0,0,0,0,0,0,0,0,0,10/24/11,10/24/11
11-Dec,0.75,0.423,0.355,1.51,1.51,0,0.216,0.338,0,2.841,2.733,0.449,0,33.48,38.16,275.95,152.66,0,18.91,78.16,48.36,26.7,28.74,0.138,0.774,0.107,111.7,0.357,0,44.13,23.27,0,20.86,0,0.22,0,1131,247,884,213,0,124,0,547,0,-16,-16,-12,0,519,-217,41.81,302,0,302,0,1.57,1.51,1508,103,638,1512,2396,3908,547,0,0,0,0,0,0,149,4604,0,34,355,1089,327,1925,-450,1475,162,82,90,6331,63,0,296,530,279,90,0,90,0,899,0,398,398,0,0,0,135,1432,0,615,1606,-6,2684,0,4899,302,0,302,103,-102,0,82,22,2,0,76,0,27,510,-185,0,-19,0,-284,0,0,0,445,-43,0,0,0,-53,0,184,131,606,-185,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.7,1.51,0,12.11,0,9.64,0,2.55,0,0,0,39.11,5.12,5.12,34.19,0,0,0,0,0,0,0,1294,1508,0,2/18/12,2/18/12
12-Mar,0.495,0.236,0.185,0,0,0,-0.006,0.206,0,2.618,2.529,0.33,0,10.44,12.13,83.64,40.27,0,7.52,73.82,36.01,19.38,-1.13,0.126,0.779,0.098,46.23,0.157,0,41.57,42.5,0,-0.93,0,0.26,0,1058,277,781,247,0,153,0,381,0,-13,-13,14,0,382,-177,46.34,205,0,205,0,0,0,2138.085,110,505,1282,2628,3910,482,0,0,0,0,0,0,627,5019,0,34,373,1458,379,2392,-537,1855,189,82,121,7184,129,0,337,644,302,93,0,93,0,1039,0,404,404,0,0,0,144,1587,0,0,1171,-7,4433,0,5597,205,0,205,110,65,0,-28,6,22,-24,103,0,25,441,-453,0,-25,0,-877,636,0,0,-1,-720,0,0,0,-71,0,121,50,-230,-453,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.61,1.26,0,20.11,0,9.27,0,2.25,0,0,0.378,40.63,4.83,4.83,29.31,0,0,-41.78,0,0,0,0,2138.085,2138.09,0,5/18/12,5/18/12
12-Jun,0.63,-0.328,-0.402,-0.08,-0.08,0,-0.091,0.129,0,6.218,5.84,0.33,31.1,-6.64,-5.68,-112.08,-19.61,0,5.67,69,-62.75,-13.26,-14.44,0.053,0.892,0.047,29.56,0.107,0,44.55,10.69,0,33.86,0,0.31,0,1184,367,817,855,0,705,0,-743,0,-10,-10,-12,0,-765,608,79.48,-157,0,-157,0,-0.08,-0.08,1879,139,-616,2098,8090,10188,578,0,0,0,0,0,0,1201,11967,0,34,449,1567,542,2734,-629,2105,809,100,47,14928,43,0,441,637,312,85,0,85,0,1034,0,394,394,0,0,0,191,1619,0,0,1654,-29,11684,0,13309,-157,0,-157,139,-673,0,21,197,-475,-350,1106,0,-21,242,-413,0,-550,0,-6083,598,0,0,-2,-6450,6761,0,0,71,0,208,7040,816,-413,-171,21.75,0,5,5.33,261.34,46.21,16.59,0,13.19,56.35,101.22,0.99,0,0,0,66568.617,57086.617,4,4.83,4.21,0,30.28,0,13.71,0,26.12,0,0,0.533,45.73,11.57,11.57,0,38.23,0,-0.11,0,0,0,0,1879,2140.47,0,7/31/12,7/31/12
12-Sep,0.521,0.231,0.158,-0.02,-0.02,0,0.032,0.102,0,6.544,5.887,0.416,21.66,-1.72,-1.52,46.59,-5.66,0,5.47,74.48,29.87,-4.68,6.1,0.064,0.884,0.056,24.28,0.082,0,45.91,16.72,0,29.19,0,0.26,0,1262,322,940,319,0,244,0,377,0,-11,-11,6,0,372,-431,115.86,-59,0,-59,0,-0.02,-0.02,2420,176,559,2478,7974,10452,635,0,0,0,0,0,0,1198,12285,0,35,454,1716,655,3023,-734,2289,1423,590,41,16038,59,0,409,623,372,85,0,85,0,1080,0,530,530,0,0,0,254,1864,0,0,1595,-6,12585,0,14174,-59,0,-59,176,-49,0,31,-37,8,-60,179,0,4,248,-171,0,-336,0,-1633,1750,0,0,1,-389,-1,0,0,-231,0,739,507,380,-171,77,15.36,0,3.31,3.68,143.44,27.95,9.04,0,8.06,34.41,66.96,1.49,0,0,0,46915.56,37365.56,3.96,4.81,4.18,0,38.7,0,13.67,0,16.48,0,0,0.31,40.23,11.38,11.38,34.27,32.17,17.73,-1.19,0,0,0,0,2420,2166,0,10/24/12,10/24/12
12-Dec,0.526,0.247,0.173,0.02,0.02,0,0.16,0.226,0,4.956,4.371,0.993,26.62,1.33,1.64,61.67,5.82,0,3.93,74.95,33,4.04,30.47,0.2,0.778,0.156,30.52,0.102,0,41.39,14.94,0,26.45,0,0.25,0,1585,397,1188,368,0,297,0,523,0,-16,-2,-16,0,505,-441,87.33,64,0,64,0,0.03,0.02,3012,224,745,2384,7242,9626,719,0,0,0,0,0,0,922,11267,0,36,594,2005,444,3273,-882,2391,1388,587,57,15103,65,0,423,657,365,30,0,30,0,1052,1500,491,1991,0,0,0,305,3348,0,0,1659,2,10094,0,11755,64,0,64,224,36,0,-38,-7,-46,248,184,0,7,681,-198,0,0,0,-1716,2449,0,0,0,535,0,0,0,1361,0,-2675,-1314,-94,-198,483,0,0,5.37,6.09,280.21,40.15,12.26,0,10.98,46.83,102.71,0.97,0,0,0,63142.64,55872.64,2.65,3.34,2.87,0,35.08,0,0,0,12.74,0,0,0.28,36.18,10.71,10.71,32.69,28.24,18.98,-9.51,-29.87,-98.68,-41.61,0,2372,2372,0,2/1/13,2/1/13
13-Mar,0.583,0.244,0.147,0.09,0.09,0,0.157,0.288,0,4.904,4.282,0.937,25.58,7.36,5.79,43.79,20.35,0,2.6,71.67,25.58,15.02,26.89,0.191,0.78,0.149,27.62,0.096,0,41.24,16.57,0,24.67,0,0.28,0,1458,413,1045,379,0,293,0,373,0,-15,-15,-5,0,353,-134,37.96,219,0,219,0,0.09,0.09,2499,241,609,2325,7147,9472,659,0,0,0,0,0,0,911,11042,0,36,896,2105,299,3535,-1002,2533,1501,654,87,15163,75,0,430,695,338,30,0,30,0,1063,1500,420,1920,0,0,0,356,3339,0,0,1878,-15,9961,0,11824,219,0,219,241,54,0,-1,-11,90,-7,170,0,6,719,-327,0,-99,0,-1508,1602,0,0,6,-326,0,0,0,0,0,0,-444,-59,-327,392,2558,0,5.22,5.97,99.15,34.34,11.32,0,9.92,41.99,105.34,0.95,0,0,0,61673.38,54459.38,2.54,3.19,2.75,0,36.5,0,0.98,0,12.52,0,0,0.305,31.7,10.39,10.39,24.87,32.47,25.13,-1.64,17.78,0,3.39,0,2386,2411,0,5/2/13,5/2/13
13-Jun,0.725,0.312,0.223,0.13,0.13,0,0.421,0.528,0,5.08,4.409,0.891,24.88,10.95,8.62,70.31,30.96,0,2.53,74.35,31,18.37,58.14,0.175,0.785,0.138,34.91,0.117,0,39.01,10.79,0,28.22,0,0.26,0,1813,465,1348,442,0,344,0,562,0,-14,-14,-3,0,545,-212,38.9,333,0,333,0,0.14,0.13,2502,222,781,3001,7251,10252,775,0,0,0,0,0,0,394,11421,0,41,966,2215,175,3591,-1014,2577,1631,762,95,15724,55,0,505,732,316,32,0,32,0,1080,1500,351,1851,0,0,0,444,3375,0,0,2211,-29,10167,0,12349,333,0,333,222,328,0,-15,25,445,26,224,0,72,1322,-268,0,-122,0,-1953,1847,0,0,-2,-498,0,0,0,0,0,0,-149,676,-268,1054,113.09,0,4.9,5.64,32.31,21.75,10.56,0,8.56,19.45,28.62,3.49,0,0,0,60483.28,52398.28,2.83,3.31,3.07,0,38.03,0,4.67,0,12.51,0,0,0.281,-11.03,10.58,10.58,40.14,28.97,22.9,-0.83,15.08,262.5,195.12,0,2407,2431,0,7/25/13,7/25/13
