Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,13.149,4.289,3.674,2.758,2.76,12.48,3.499,4.864,0,75.899,64.52,4.997,293.66,15.13,12.21,115.59,45.84,9.63,0.48,65.76,26.78,20.97,26.61,0.066,0.815,0.054,38.29,0.146,0,44.86,16.04,0,28.82,0,0.34,0,8575,2936,5639,2117,0,1226,0,2296,190,-4,186,-90,0,2392,-594,24.83,1798,0,1798,0,2.798,2.758,652.134,401,2797,12415,24260,36675,4216,0,0,0,0,0,0,2419,43310,666,4072,0,67,2493,12509,-4260,8249,7324,6308,411,59960,516,0,3280,5676,3216,440,0,440,0,9332,0,0,0,0,32,0,1745,11109,18804,0,29666,381,0,0,48851,1798,0,1798,401,181,0,-78,31,240,289,432,0,12,3172,-890,0,-148,0,-7722,4820,0,0,-481,-4421,0,0,0,-251,0,140,-111,-1215,-890,2282,22.78,23.53,3.87,4.55,27.17,16.31,6.12,0.75,5,12.87,14.64,6.83,33.24,0,0,189008.386,155549.386,39.72,50.03,44.63,172.48,328.94,322.25,136.79,120.29,12.69,5,-2.89,0.266,13.94,4.64,4.64,574,320.12,278.82,-0.26,25.1,-9.07,-1.92,30.36,642.432,643.63,0,5/10/2011,4/25/2012
Jun-11,13.855,5.454,4.756,3.844,3.84,14.41,3.994,5.402,0,80.642,68.144,6.518,253.44,19.87,16.05,133.87,57.64,8.64,1.4,64.86,31.92,27.75,28.83,0.081,0.802,0.065,37.52,0.145,0,45.25,16.31,0,28.94,0,0.35,0,9026,3172,5854,1739,0,1234,0,2881,212,-13,199,5,0,3085,-580,18.8,2505,0,2505,0,3.889,3.844,651.441,455,3553,10320,28798,39118,4476,0,0,0,0,0,0,2848,46442,893,4630,0,69,2433,13495,-4492,9003,8058,6677,465,64861,567,0,3589,6092,1217,489,0,489,0,7798,2985,0,2985,0,157,0,1930,12870,19216,0,32172,603,0,0,51991,2506,0,2506,455,-205,0,-69,349,-61,175,434,0,10,3519,-917,0,-715,0,-13576,8807,0,0,-213,-6614,0,0,0,977,0,-19,958,-2095,-917,2602,18.26,17.59,3.14,3.72,20.6,12.57,4.94,0.65,3.86,9.93,11.31,8.84,31.73,0,0,163395.302,128479.302,40.71,52.07,45.92,184.63,334.76,346.75,145.83,129.01,10.12,4,-2.65,0.285,22.11,5.96,5.96,221.62,296.19,237.67,-0.17,30.91,34.5,29.83,28.15,643.832,644.71,0,7/27/2011,7/24/2012
Sep-11,14.857,5.92,5.168,4.169,4.17,15.75,4.998,6.038,0,84.759,71.677,6.499,257.77,20.44,16.3,142.73,59.23,7,2,65.25,31.46,28.08,33.64,0.077,0.794,0.061,37.88,0.145,0,43.02,15.21,0,27.81,0,0.35,0,9720,3378,6342,1880,0,1404,0,3058,211,-21,190,112,0,3360,-631,18.78,2729,0,2729,0,4.224,4.169,654.244,492,3873,10630,31930,42560,4583,0,0,0,0,0,0,2899,50042,891,4910,0,66,2073,13815,-4611,9204,8463,6989,488,69088,563,0,3563,7181,1218,489,0,489,0,8888,2986,0,2986,0,294,0,2090,14258,19697,0,34901,232,0,0,54830,2729,0,2729,492,-223,0,19,17,176,62,571,0,-80,3950,-680,0,-487,0,-22753,19480,0,0,993,-3447,0,0,0,0,0,0,-80,310,-680,3270,17.55,16.37,3.04,3.6,18.41,11.87,4.7,0.66,3.59,9.34,10.68,9.36,30.45,0,0,166748.835,128392.835,43.75,55.32,49.06,198.35,341.47,367,153.87,140.73,9.53,5,-2.64,0.254,18.44,5.63,5.63,145.62,311.56,245.7,-0.34,31.35,23.97,24.79,26.57,645.684,646.89,0,10/26/2011,10/30/2012
Dec-11,16.099,6.103,5.338,4.119,4.12,15.79,4.523,5.969,0,89.57,75.823,6.476,323.26,19.15,15.27,145.87,63.58,6.93,1.9,65.01,33.14,25.55,28.09,0.072,0.801,0.058,38.85,0.149,0,46.79,14.49,0.43,32.73,211.6,0.35,0.002,10583,3703,6880,1572,0,1301,500,3507,199,-20,179,-197,0,3489,-785,22.5,2704,0,2704,0,4.179,4.119,657.361,503,4012,9983,34643,44626,5427,0,0,0,35,0,35,2670,52758,790,5228,0,6125,2128,14400,-4797,9603,8924,7346,499,72574,588,197,4356,7148,1218,547,0,547,0,8913,2986,0,2986,0,331,0,2199,14429,20264,0,37605,276,0,0,58145,2704,0,2704,503,-909,0,-104,758,275,-183,537,0,88,3924,-951,0,-550,0,-18049,15639,0,0,-648,-4559,0,0,0,0,0,0,40,-647,-951,2973,21.71,20.47,3.61,4.26,19,14.51,5.58,0.86,4.47,11.9,13.68,7.31,28.66,0,0,209847.462,169425.462,46.52,59.04,52.81,212.25,358.67,362.57,159.38,149.33,11.26,5,-2.58,0.257,19.58,5.92,5.92,175.35,323.26,248,-0.35,24.07,5.24,12.52,25.35,647.772,649.16,0,1/26/2012,2/12/2014
Mar-12,16.138,6.179,5.405,4.379,4.38,16.38,4.68,5.6,0,94.769,81.154,8.377,320.93,19.29,15.44,141.3,62.13,9.26,1.66,64.41,31.84,27.15,29,0.088,0.8,0.071,36.63,0.142,0,44.26,18.3,0.42,26.38,216.51,0.36,0.002,10645,3789,6856,2026,0,1441,0,3389,182,-20,162,-6,0,3545,-655,18.48,2890,0,2890,0,4.444,4.379,659.633,511,4076,23108,26208,49316,5163,0,0,0,0,0,0,2380,56859,880,5486,0,6326,2143,14963,-5088,9875,8866,7325,664,77144,760,239,3429,6680,2468,594,0,594,0,9742,2987,0,2987,0,426,0,2277,15432,20795,0,40495,422,0,0,61712,2890,0,2890,511,301,-32,-276,-554,-521,354,556,0,-96,3694,-607,0,-92,0,-8596,17201,0,0,245,8151,0,0,0,1249,0,-19,1230,13125,-607,3087,19.44,19.59,3.39,3.95,17.64,13.95,5.27,0.8,4.13,10.64,12.18,8.21,27.72,0,0,208983.197,165122.197,52.03,63.62,57.98,224.49,379.15,383.36,173.63,160.03,10.69,4,-2.56,0.246,2.86,5.84,5.84,169.45,334.46,284.33,-0.31,22.73,58.77,44.07,24.16,649.968,651.18,0,4/25/2012,4/25/2013
Jun-12,17.864,6.327,5.314,4.214,4.28,17.49,5.262,6.433,0,99.074,71.547,9.499,290.33,17.62,13.65,133.45,46.04,8.32,1.51,60.39,27.42,23.59,29.46,0.096,0.752,0.072,34.95,0.145,0,53.06,47.2,6.18,12.04,14.75,0.4,0.027,11807,4677,7130,2355,0,1538,0,3237,180,-22,158,95,0,3490,-657,18.83,2833,-48,2785,0,4.274,4.214,660.946,670,4182,15437,27685,43122,6866,159,0,0,475,0,634,3235,53857,1040,5829,0,6937,2232,16137,-5228,10909,17982,10120,2263,86051,2419,157,5551,10043,3218,767,0,767,0,14028,2987,0,2987,0,1606,0,2709,21330,21357,0,43280,84,0,0,64721,2785,0,2785,670,-222,202,-912,254,505,-163,658,0,-203,4252,-774,0,-10055,0,-6878,5456,0,0,-135,-12386,0,0,0,749,0,-110,639,-7671,-774,3478,17.2,16.6,2.93,4.06,14.92,12.08,4.47,0.73,3.57,9.46,10.94,9.14,27.56,0,0,189660.976,152743.976,33.36,49.79,41.73,240.19,423.19,382.22,165.19,157.98,7.63,4,-2.07,0.36,8.75,3.84,3.79,147.14,325.82,279.82,-0.32,28.94,9.63,16.01,23.35,651.912,653.26,0,7/24/2012,7/25/2013
Sep-12,19.976,5.487,4.243,3.268,3.24,17.09,4.703,6.012,0,103.627,75.844,9.454,377.62,13.11,9.9,101.34,29.94,8.56,1.35,55.24,20.6,16.36,23.54,0.091,0.758,0.069,33.45,0.151,0,49.79,34.22,9.59,25.16,9.51,0.45,0.047,13304,5955,7349,2730,0,1879,0,2740,172,-21,151,-86,0,2805,-647,23.07,2158,18,2176,0,3.323,3.268,665.983,828,3654,16260,29464,45724,7259,132,0,0,486,0,618,3220,56821,1063,6127,0,7394,2233,17038,-5637,11401,18239,10485,2206,89730,2233,45,6347,10311,3218,905,0,905,0,14434,2988,0,2988,0,1561,0,2719,21702,22204,0,45456,368,0,0,68028,2176,0,2176,828,-307,18,-27,453,432,-168,762,0,-26,4004,-872,0,-525,0,-8823,7143,0,0,-230,-3307,0,0,0,-1,0,53,52,823,-872,3132,23.63,22.1,3.64,4.98,19.7,15.72,5.39,1.07,4.5,13.09,15.54,6.44,25.39,0,0,247896.201,208378.201,36.59,53.5,45.36,252.09,475.87,341.71,165.34,168.65,9.14,5,-2.01,0.331,7.56,3.94,3.89,130.48,378.62,285.53,-0.49,34.46,-21.61,-7.31,21.97,654.935,656.47,0,10/30/2012,10/24/2013
Dec-12,15.305,8.341,6.922,4.304,5.49,18.08,5.431,6.949,0,108.771,81.455,8.398,354.04,16.52,12.58,156.12,49.17,8.98,1.5,73.21,43.45,28.07,35.49,0.077,0.765,0.059,32.81,0.112,0,69.97,66.64,18.6,21.93,4.91,0.27,0.055,10283,2755,7528,1835,0,1225,0,4468,166,-22,144,17,0,4629,-957,20.67,3672,-786,2886,0,4.373,4.304,671.881,953,5604,14778,33310,48088,7885,77,0,0,428,0,505,3976,60454,1469,6257,0,7791,2240,17697,-5843,11854,18010,10537,2011,93798,2012,240,6968,10893,2549,895,0,895,0,14337,2988,0,2988,0,1972,0,2786,22083,22835,0,48342,538,0,0,71715,2886,0,2886,953,-559,113,683,409,482,-289,716,0,-79,4669,-1020,0,104,0,-9809,5380,0,0,-169,-5514,0,0,0,-669,0,-23,-692,-1482,-1020,3649,21.9,19.58,3.25,4.35,17.63,14.16,5.11,0.97,4.15,10.9,13.11,7.63,24.81,0,0,233425.653,190874.653,39.44,58.2,48.79,268.62,517.31,349.19,178.53,180.07,8.66,4,-2.19,0.325,7.65,4.22,4.18,203.09,384.42,323.91,-0.43,-4.93,4.49,36.67,20.96,660.888,659.32,0,1/29/2013,2/9/2015
Mar-13,19.253,7.139,5.802,2.487,2.62,17.4,3.612,5.401,0,114.114,87.021,7.77,397.48,18.19,14.05,118.54,45.66,8.64,1.57,60.34,28.94,25.84,18.76,0.068,0.781,0.053,32.82,0.136,0,53.63,37.2,10.24,26.67,8.91,0.4,0.045,12951,5136,7815,2450,0,1617,0,3748,180,-21,159,-25,0,3882,-354,9.12,3528,-182,3346,0,2.532,2.487,672.674,899,4802,15375,34723,50098,7612,0,0,0,508,140,648,4450,62808,1470,6394,0,7861,2554,18260,-5960,12300,17919,10595,2195,96692,2094,0,5889,10220,2150,882,0,882,0,13252,2989,0,2989,0,2057,0,2921,21219,23429,0,51688,356,0,0,75473,3346,0,3346,899,256,-142,-212,-999,-1465,202,708,0,-57,3633,-1203,0,0,0,-7870,6319,0,0,313,-2441,0,0,0,-401,0,-116,-517,597,-1203,2430,27.85,22.84,3.48,4.57,20.91,16.03,5.49,1.25,4.51,11.95,14.63,6.84,23.95,0,0,262885.322,217926.322,43.66,62.88,52.79,276.52,536.36,301.03,174.94,189.38,9.81,4,-2.1,0.325,18.91,4.74,4.69,178.48,419.71,351.79,-0.31,19.3,-43.21,15.54,20.42,660.268,661.38,0,4/25/2013,4/24/2014
Jun-13,19.37,7.02,5.497,4.77,4.1,18.42,4.572,6.953,0,118.464,91.491,7.495,440.63,16.73,13.05,110.55,34.67,9.25,1.5,60.36,26.44,24.63,23.61,0.063,0.779,0.049,31.99,0.132,0,50.97,30.88,8.69,28.78,10.49,0.4,0.038,13107,5195,7912,2681,0,1766,0,3465,182,-19,163,73,0,3701,-927,25.05,2774,454,3228,0,4.85,4.77,676.674,1030,4750,16164,38268,54432,7321,54,0,0,288,0,342,4766,66861,1564,6336,0,7910,3524,19255,-6343,12912,17954,11396,1891,101182,1758,0,6561,11530,3000,799,0,799,0,15329,1989,0,1989,0,2037,0,2975,22330,24334,0,54916,-398,0,0,78852,3228,0,3228,1030,-194,-16,-136,572,422,63,847,0,-885,4705,-1611,0,0,0,-15154,10687,0,0,2275,-3803,0,0,0,-151,0,46,-105,789,-1611,3094,29.71,23.92,3.72,4.82,24.05,17.41,5.96,1.44,4.91,12.96,16.15,6.19,23.06,0,0,293292.141,243849.141,48.23,66.9,56.73,287.81,546.7,282.27,178.34,198.59,10.23,5,-2.7,0.304,9.58,4.36,4.34,182.37,458.39,383.32,-0.64,8.43,13.19,10.95,19.74,664.96,665.62,0,7/25/2013,7/25/2014
