Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar2011,1.93,0.755,0.671,0.61,0.61,2.559,0.942,1.019,0.16,6.34,4.751,1.413,25.39,41.06,21.8,289.65,123.49,8.91,0,76.28,34.75,31.85,48.78,0.223,0.536,0.119,52.2,0.171,0.262,55.73,89.66,22.44,-11.49,4.07,0.24,0.058,16428,3897,12531,4553,0,2269,0,5709,0,0,0,316,0,6025,-793,13.16,5232,0,5232,0,0.62,0.61,8510,720,6429,7021,43129,50150,10033,175,54,0,827,0,1056,5024,66263,10748,0,0,0,0,17533,-9564,7969,13394,12554,1353,99727,3829,839,2917,8830,0,11887,0,11887,3325,24042,11915,0,11915,0,2317,0,8001,46275,63234,0,-9782,0,0,0,53452,5232,0,5232,720,3031,-170,0,-51,2775,-59,541,0,-537,8672,-658,0,0,0,-14394,8024,0,0,-111,-7139,1405,-848,0,2239,-1349,-10,1437,2998,-658,8014,10.12,9.92,4,5.34,9.07,8.24,3.2,0.62,2.56,5.78,6.37,15.7,24.29,17.67,2.28,214063.09,175828.09,0.46,2.37,1.41,36.42,31.98,40.84,16.38,27.05,4.76,6,-2.63,0.165,12.96,2.76,2.71,N/A,28.87,24.78,-0.33,18.12,35.56,10.38,16.27,8420,8431,0.95,04/28/11,04/19/12
Jun2011,2.032,0.944,0.863,0.68,0.68,2.418,0.62,0.695,0.16,6.815,5.224,1.423,26,42.51,22.55,365.8,145.93,8.84,0,78.65,35.53,33.82,30.52,0.209,0.525,0.11,52.43,0.167,0.235,78.74,103.28,29.88,5.34,3.05,0.21,0.07,17367,3708,13659,5095,0,2393,0,6171,0,0,0,148,0,6319,-445,7.04,5874,0,5874,0,0.7,0.68,8545,689,8065,9610,43162,52772,14987,232,56,0,1084,0,1372,5787,74918,10865,533,6521,8592,0,17991,-9829,8162,13325,12581,1434,108704,4197,580,3575,9560,0,15722,0,15722,3492,28774,11921,0,11921,0,2854,0,8072,51621,63415,0,-8195,1863,0,0,57083,5874,0,5874,689,-4886,-303,0,293,-5653,326,544,0,4162,5942,-642,0,0,0,-8286,8017,0,0,-39,-950,180,-1256,0,0,-1350,3,-2423,2589,-642,5300,9.7,10.75,3.82,4.98,9.06,8.27,3.19,0.62,2.53,5.58,6.12,16.34,23.72,16.98,2.35,217776,176925,0.14,2.78,1.56,37.07,32.86,42.18,17.75,28.26,4.43,7,-2.57,0.163,9.91,2.6,2.56,N/A,26.71,23.71,0.65,12.02,33.33,23.08,15.74,8427,8376,0.99,07/28/11,07/30/13
Sep2011,2.046,0.957,0.872,0.68,0.68,2.535,0.949,1,0.16,7.038,5.43,1.413,24.89,39.41,21.24,365.54,150.12,7.65,3.15,78.26,41.46,33.03,46.38,0.201,0.553,0.111,50.32,0.161,0.235,53.33,89.85,43.99,7.47,2.07,0.22,0.105,17372,3777,13595,4063,0,2329,0,7203,211,-94,117,-14,0,7306,-1568,21.46,5738,0,5738,0,0.68,0.68,8490,726,8126,12881,44522,57403,10153,235,56,0,1979,0,2270,5445,75271,8576,0,0,0,0,18242,-10209,8033,13563,12537,1972,107415,3719,705,2388,7953,0,14345,0,14345,3245,25543,11927,0,11927,0,2353,0,8201,48024,63492,0,-4101,0,0,0,59391,5738,0,5738,726,4733,-920,0,-442,2683,402,558,0,-1614,8493,-436,0,-875,0,-11299,10361,0,0,-66,-2315,336,-1934,0,0,-1341,70,-2869,3271,-436,8057,9.08,9.82,3.54,4.58,8.46,7.77,2.99,0.6,2.31,5.17,5.66,17.67,24.06,15.71,2.57,210051.19,164575.19,1.11,3.23,2.15,38.68,33.59,41.59,18.3,29.7,4.66,6,-2.63,0.128,7.6,2.95,2.86,76.63,28.08,23.98,-0.75,9.82,9.68,4.36,15.18,8392,8439.18,1,10/20/11,10/18/12
Dec2011,2.467,1.065,0.985,0.78,0.78,2.738,0.634,0.692,0.2,7.65,4.995,1.424,25.96,42.9,24.12,415.58,134.49,7.39,3.19,73,38.28,31.72,25.68,0.186,0.571,0.106,55.53,0.19,0.256,59.61,62.86,29.3,26.05,3.11,0.27,0.087,20885,5638,15247,4882,0,2371,0,7994,182,-95,87,158,0,8239,-1615,19.6,6624,0,6624,0,0.79,0.78,8465,678,9012,10610,41126,51736,13643,243,81,0,1027,0,1351,5783,72513,7550,0,0,0,0,18556,-10546,8010,22251,19670,1919,112243,3884,921,2677,8331,0,13985,0,13985,3057,25373,11932,0,11932,0,2431,0,8386,48122,63902,0,219,0,0,0,64121,6624,0,6624,678,-3652,891,0,176,-1400,14,575,0,-629,5862,-498,0,-8627,0,-10047,13896,0,0,-292,-5568,208,-1042,0,0,-1683,4,-2513,-2271,-498,5364,9.44,9.48,3.39,5.2,8.25,7.62,3.06,0.66,2.47,5.62,6.17,16.21,23.11,16.01,2.62,217596.72,177792.72,0.43,2.91,1.73,40.25,34.15,39.6,17.58,30.42,4.69,6,-2.61,0.226,9.33,2.86,2.8,84.15,27.31,24.3,0.68,5.97,1.3,-1.11,14.4,8402,8382,0.96,01/19/12,01/24/13
Mar2012,2.048,0.85,0.76,0.6,0.6,2.766,1.041,1.129,0.2,8.174,5.501,1.421,32.26,30.78,17.75,318.23,90.2,7.96,3.18,77.3,36.62,29.34,50.81,0.174,0.582,0.101,46.75,0.151,0.333,57.46,87.51,31.9,1.85,2.86,0.23,0.079,17407,3952,13455,4564,0,2517,0,6374,180,-95,85,-96,0,6363,-1255,19.72,5108,0,5108,0,0.61,0.6,8498,766,7224,6388,53141,59529,10961,233,73,0,1106,0,1412,4958,76860,9068,0,0,0,0,19177,-10952,8225,22454,19698,1403,118010,3790,958,3272,9230,0,13929,0,13929,3011,26170,11938,0,11938,0,2718,0,8525,49351,65273,0,3386,0,0,0,68659,5108,0,5108,766,2770,-50,0,-114,3346,-134,591,0,-83,9594,-749,0,-84,0,-23951,12182,0,0,361,-12241,1091,-1023,0,0,-1683,10,-1605,-4222,-749,8845,11.77,11.66,3.95,5.86,9.94,9.18,3.75,0.9,3.06,6.89,7.56,13.23,20.57,19.2,2.23,270984,223393,1.21,3.27,2.27,41.86,34.63,35.73,18.42,31.25,5.27,6,-2.58,0.188,12.31,2.94,2.88,67.09,32.85,26.77,-0.21,6.11,-1.64,12.58,13.04,8401,8400,0.99,04/19/12,04/18/13
Jun2012,2.12,0.147,0.053,-0.06,-0.06,2.171,0.828,0.901,0.2,7.918,5.935,1.425,30.59,-2.92,-1.64,22.07,-5.79,7.66,3.22,76.95,1.06,-2.72,39.07,0.18,0.547,0.098,46.46,0.151,0,79.73,91.51,27.94,16.16,3.27,0.23,0.071,18059,4163,13896,4917,0,2594,6193,192,227,-96,131,36,0,359,-851,237.05,-492,0,-492,0,-0.06,-0.06,8518,797,1252,6938,56102,63040,15780,210,96,0,831,0,1137,5127,85084,9776,528,6768,9385,0,19231,-10962,8269,16622,13452,1520,121271,4175,789,3875,9653,1231,18653,0,18653,3151,32688,10713,0,10713,0,3299,0,8208,54908,65797,0,-856,1422,0,0,66363,-492,0,-492,797,-5007,263,0,349,-4803,672,520,0,10983,7677,-622,0,-526,0,-11953,8836,0,0,-397,-4662,278,-1030,0,0,-1678,9,-2421,550,-622,7055,15.3,14.09,3.86,5.15,8.86,8.22,3.52,1.39,2.78,8.01,9.06,11.04,19.03,18.15,2.48,256374.79,205278.79,0.97,3.6,2.45,36.67,34.98,22,16.34,27.57,4.53,5,-2.98,0.129,8.36,2.6,2.57,2,32.42,28.45,0.23,4.33,-108.82,-84.43,11,8390,8381,1.04,07/26/12,07/31/14
Sep2012,1.885,0.746,0.663,0.53,0.53,2.064,0.928,0.999,0.2,8.165,6.043,1.417,29.76,26.43,14.69,271.31,116.52,7.98,3.18,73.96,33.16,27.9,49.23,0.174,0.565,0.098,38.96,0.132,0.377,56.27,79.49,30.22,7,3.02,0.26,0.086,16008,4168,11840,4072,0,2460,0,5308,159,-95,64,162,0,5534,-1068,19.3,4466,0,4466,0,0.53,0.53,8494,710,6339,5036,61608,66644,9871,461,48,0,1115,0,1624,5912,84051,10038,0,0,0,0,19730,-11401,8329,17889,14466,1569,121876,3631,847,2666,7559,2236,18295,0,18295,3312,31402,9714,0,9714,0,3501,0,8423,53040,66084,0,932,1820,0,0,68836,4466,0,4466,710,6156,-473,0,-567,3394,38,603,0,-727,8484,-603,0,-1145,0,-20138,14566,0,0,-399,-7719,417,-1632,0,0,-1676,177,-2714,-1902,-603,7881,16.09,14.42,3.64,4.92,8.67,8,3.49,1.9,2.71,8.23,9.4,10.64,17.08,17.2,2.69,250904.477,196210.477,1.61,3.68,2.59,35.54,34.34,15.67,15.86,28.14,4.53,4,-3.07,0.117,11.72,2.68,2.62,55.87,31.45,28.63,-0.6,-7.87,-22.06,-22.05,8.47,8396,8430.93,1.1,10/18/12,10/24/13
Dec2012,2.541,1.052,0.933,0.76,0.76,1.843,0.456,0.566,0.23,8.667,6.509,1.694,26.71,36.08,20.36,370,156.54,8.31,3.21,73.47,36.22,29.72,17.94,0.195,0.564,0.11,50.33,0.171,0.303,60.89,69.83,26.33,17.39,3.47,0.27,0.077,21456,5692,15764,5465,0,2528,0,7771,166,-105,61,-62,0,7770,-1393,17.93,6377,0,6377,0,0.76,0.76,8444,1009,8884,6017,62295,68312,14317,646,76,0,939,0,1661,5284,89574,10707,0,0,0,0,20471,-11773,8698,18068,14727,1636,128683,4356,630,2942,7949,2241,18354,0,18354,3366,31910,11947,0,11947,0,3853,0,8397,56107,66334,0,4236,2006,0,0,72576,6377,0,6377,1009,-4488,-33,0,685,-3616,140,603,0,267,4780,-930,0,-311,0,-10074,9115,0,0,-393,-2593,145,-1658,0,2232,-1933,-7,-1221,981,-930,3850,14.6,14.49,3.08,4.1,8.21,7.43,3.11,2.3,2.32,7.15,8.3,12.05,15.86,15.1,3.11,223669.54,169545.54,1.46,4,2.84,36.44,34.63,11.6,16.37,28.8,4.07,5,-3.06,0.151,9.43,2.81,2.76,74.01,30.03,26.37,0.68,3,-2.56,-1.22,6.34,8393,8374,1.15,01/24/13,01/23/14
Mar2013,2.431,1.04,0.915,0.72,0.72,2.074,1.036,1.147,0.23,9.185,7.039,1.7,28.61,32.45,18.43,344.63,139.15,8.39,3.07,76.64,37.15,29.55,42.64,0.185,0.572,0.106,47.8,0.156,0.319,53.4,86.39,36.16,3.17,2.52,0.23,0.093,20489,4787,15702,5450,0,2640,0,7612,150,-109,41,-50,0,7603,-1548,20.36,6055,0,6055,0,0.72,0.72,8429,1053,8765,5240,69243,74483,11991,802,11,0,1320,0,2133,4917,93524,11193,0,0,0,0,21451,-12247,9204,17922,14682,2262,134105,4532,689,3474,9259,2246,16511,0,16511,3913,31929,11949,0,11949,0,3818,0,9721,57417,66826,0,7657,2205,0,0,76688,6055,0,6055,1053,2191,-483,0,-67,3704,226,599,0,-1971,9666,-930,0,-108,0,-18160,10995,0,0,543,-7660,203,-1028,0,0,-1925,6,-2744,-777,-930,8736,14.67,13.79,3.11,4.06,8.81,7.92,3.19,2.73,2.35,7.08,8.24,12.14,14.67,15.48,3.01,238864.89,178576.89,2.04,4.32,3.25,38.37,36.18,10.47,17.57,29.93,4.23,5,-2.97,0.127,6.29,2.93,2.86,69.83,28.61,26.46,0.3,18.7,20,22.35,5.37,8364,8349,1.15,04/18/13,04/24/14
Jun2013,2.351,0.856,0.74,0.59,0.59,2.579,0.485,0.697,0.23,9.479,7.349,1.873,34.55,25.52,14.36,261.11,115.72,8.34,3.22,71.16,30.52,24.95,20.65,0.198,0.554,0.11,40.96,0.144,0.39,80.2,76.78,32.37,35.79,2.82,0.29,0.102,19896,5738,14158,5302,0,2783,0,6073,202,-120,82,-10,0,6145,-1180,19.2,4965,0,4965,0,0.59,0.59,8464,983,7248,3804,73218,77022,17486,328,201,0,1409,0,1938,5020,101466,10844,525,7326,11707,0,22504,-12513,9991,17738,14655,2392,142431,4828,592,4117,10182,2999,20639,0,20639,3597,37417,12601,0,12601,0,3469,0,10000,63487,67306,0,9895,1743,0,0,78944,4965,0,4965,983,-5666,187,0,486,-4857,-423,601,0,4634,5903,-1794,0,-20,0,-27024,22918,0,0,81,-5839,166,-1042,0,0,-1921,1328,-1469,-1436,-1794,4109,13.29,13.4,3.64,4.7,11.89,10.13,3.75,2.65,2.91,7.25,8.24,12.14,12.62,18.28,2.58,287732.4,226310.4,1.63,4.56,3.32,37.49,37.11,13.05,20.73,30.06,4.54,6,-2.63,0.131,11.82,2.71,2.66,50.61,35.67,28.56,0.25,10.9,1083.33,482.31,5.02,8345,8328,1.02,07/30/13,07/31/15
