Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,0.515,-0.476,-0.513,-0.51,-0.51,0,-0.67,-0.455,0,1.755,1.755,1.08,27.75,-104.47,-49.35,-114.9,-108.44,0,0,36.77,-96.57,-99.82,-130.07,0.615,0.412,0.253,18.18,0.124,0,37.71,146.17,141.29,32.83,0.65,0.63,0.979,49.03,31.002,18.028,24.212,0,41.162,0,-47.346,0.04,0,0.04,-1.485,0,-48.791,-0.15,-0.31,-48.941,0,-48.941,0,-0.51,-0.51,95.187,3.517,-45.274,100.655,0,100.655,20.26,0,0,0,0,50.823,50.823,55.168,226.906,0,26.391,0,39.575,81.749,177.331,-24.818,152.513,0,0,27.87,407.289,49.66,0.962,18.847,69.469,0.275,43.232,0,43.232,0,112.976,102.484,0.421,102.905,0,6.319,0,17.351,239.551,0.096,0,-463.922,0,631.564,0,167.738,-48.941,0,-48.941,3.517,-13.55,-5.481,-1.423,7.742,-5.614,0,5.93,0,1.811,-43.297,-20.476,0,0,0,0,0,0,0,30.587,10.111,0,0,0,30.656,0,3.627,34.283,1.097,-20.476,-63.773,0,0,15.81,15.81,0,0,5.6,0,18.31,-16.51,-15.36,-6.51,0,0,0,2651.513,2654.038,-1.45,-0.13,-1.03,0,43.63,0,0,0,4.34,0,0,0.441,32.12,2.01,1.56,N/A,28.45,21.83,-0.67,92.16,0,-36.78,0,95.187,95.55,0,5/13/2011,5/13/2011
Jun-11,0.595,-0.557,-0.601,-0.6,-0.6,0,-0.786,-0.23,0,3.351,3.351,1.297,29.13,-91.29,-44.73,-128.36,-140.96,0,0,31.82,-100.98,-101.26,-132.03,0.387,0.539,0.209,14.06,0.11,0,36.56,131.59,120.94,25.91,0.75,0.68,0.904,58.171,39.663,18.508,24.716,0,52.531,0,-58.739,0.046,0,0.046,-0.071,0,-58.764,-0.139,-0.24,-58.903,0,-58.903,0,-0.6,-0.6,97.757,4.318,-54.446,319.38,0,319.38,23.308,25.331,4.01,0,24.971,0,54.312,20.758,417.758,0,26.391,0,40.821,124.079,224.799,-24.619,200.18,0,0,28.217,646.155,57.199,1.025,23.968,82.192,0.287,56.257,0,56.257,0,138.736,134.177,0.359,134.536,0,6.534,0,17.897,297.703,0.104,0,-522.826,0,871.174,0,348.452,-58.903,0,-58.903,4.318,-3.048,-7.483,1.581,18.376,24.344,0,6.93,0,0.823,-22.488,-54.314,0,0,0,0,0,0,0,31.192,-23.122,0,0,0,31.564,0,232.771,264.335,218.725,-54.314,-76.802,0,0,8.69,8.69,0,0,15.91,0,16.28,-15.83,-14.7,-6.8,0,0,0,3028.937,2844.38,0.21,1.15,0.64,0,16.13,0,0,0,4.77,0,0,0.402,19.83,3.01,2.62,N/A,30.14,24.65,-8.82,-83.99,88.1,88.03,0,97.757,103.98,0,8/12/2011,8/12/2011
Sep-11,0.554,-0.583,-0.624,-0.63,-0.63,0,-0.868,-0.206,0,2.823,2.823,2.17,24.39,-81.02,-38.67,-113.03,-127.32,0,0,29.87,-111.81,-112.85,-156.65,0.769,0.42,0.323,10.23,0.086,0,28.88,121,116.8,24.68,0.78,0.7,0.898,57.666,40.442,17.224,27.618,0,54.083,0,-64.477,0.08,0,0.08,-0.594,0,-64.991,-0.087,-0.13,-65.078,0,-65.078,0,-0.63,-0.63,104.077,4.28,-60.711,213.328,65.06,278.388,18.25,22.343,6.848,0,20.025,0,49.216,66.267,412.121,0,26.391,0,44.102,180.354,288.173,-28.379,259.794,0,0,28.335,700.25,53.627,1.962,30.723,86.312,0.388,2.266,0,2.266,65.215,154.181,225,0.661,225.661,0,7.159,0,19.131,406.132,0.104,0,-587.903,-0.024,881.941,0,294.118,-65.078,0,-65.078,4.28,5.058,2.133,-1.343,11.881,30.513,0,7.89,0,0.904,-21.491,-68.844,0,0,0,0,0,0,0,-109.326,-178.17,0,0,0,90.952,0,2.657,93.609,-106.052,-68.844,-90.335,0,0,8.64,8.64,0,0,11.92,0,12.37,-11.91,-11.11,-9,0,0,0,2541.194,2488.855,-1.23,0.06,-0.86,0,18.03,0,0,0,2.25,3,-2.48,0.374,13.85,2.67,2.35,N/A,29.73,21.95,-0.2,63.42,-65.79,-70.97,0,104.077,104.19,0,11/14/2011,11/14/2011
Dec-11,0.377,-0.733,-0.779,-0.78,-0.78,0,-0.779,-0.259,0,2.143,2.143,2.68,28.56,-125.81,-46.11,-114.16,-139.23,0,0.07,19.9,-205.53,-206.96,-206.6,1.25,0.314,0.393,4.43,0.056,0,22.11,162.42,143.64,3.33,0.64,0.8,1.261,39.375,31.54,7.835,27.557,0,61.205,0,-80.927,0.089,-0.043,0.046,-0.496,0,-81.377,-0.112,-0.14,-81.489,0,-81.489,0,-0.78,-0.78,104.436,4.804,-76.53,255.266,25.061,280.327,9.539,20.297,3.665,0,26.12,0,50.082,32.89,372.838,0,26.391,0,48.883,227.461,342.393,-32.222,310.171,0,0,30.439,713.448,56.141,0.967,31.142,88.25,8.983,2.345,0,2.345,91.761,191.339,268.335,2.83,271.165,0,6.985,0,19.914,489.403,0.104,0,-669.392,-0.003,893.336,0,224.045,-81.489,0,-81.489,4.804,8.711,-2.807,0.937,6.181,39.654,0,8.68,0,1.263,-27.088,-54.262,0,0,0,0,0,0,0,69.515,15.253,0,0,0,50.835,0,2.938,53.773,41.938,-54.262,-81.35,0,0,13.33,13.33,0,0,13.99,0,14.62,-12.6,-11.76,-8.5,0,0,0,2985.377,2985.198,-2,-1.12,-1.69,0,17.98,0,0,0,1.76,3,-3.19,0.32,5.03,1.95,1.69,0,34.94,23.66,-0.33,-1.31,-333.33,-43.44,0,104.436,104.53,0,2/27/2012,2/27/2012
Mar-12,0.288,-0.817,-0.857,-0.86,-0.86,0,-1.127,-0.478,0,1.463,1.463,3.48,37.24,-190.25,-48.76,-104.61,-142.1,0,0.08,33.84,-294.24,-297.92,-391.4,2.378,0.202,0.481,5.54,0.041,0,41.1,294.15,241.21,-11.84,0.38,0.66,1.749,30.167,19.957,10.21,30.582,0,68.391,0,-88.763,0.09,-0.065,0.025,-1.076,0,-89.814,-0.059,-0.07,-89.873,0,-89.873,0,-0.86,-0.86,104.784,4.163,-85.586,218.57,25.009,243.579,13.589,32.741,0.197,0,22.489,0,55.427,46.302,358.897,0,26.391,0,50.662,290.028,411.232,-35.058,376.174,0,0,26.029,761.1,64.333,0.652,32.961,97.946,21.864,115.912,0,115.912,0,235.722,340.323,3.721,344.044,0,7.008,0,20.452,607.226,0.105,0,-759.265,-0.006,913.04,0,153.874,-89.873,0,-89.873,4.163,-4.05,-5.6,2.483,6.89,22.232,0,10.71,0,2.681,-50.087,-67.987,0,0,0,-14.992,15,0,0,-11.461,-79.44,0,0,0,83.838,0,8.993,92.831,-36.696,-67.987,-118.074,0,0,25.45,25.45,0,0,20.53,0,21.79,-14.57,-13.7,-7.3,0,0,0,3916.158,4038.487,-3.46,-2.36,-3.1,0,15.98,0,0,0,1.63,2,-3.95,0.387,11.99,1.52,1.29,0,37.94,22.79,-0.6,-44.08,-68.63,-71.64,0,104.784,105.16,0,5/10/2012,5/10/2012
Jun-12,0.253,-0.96,-1.002,-1,-1,0,-1.162,-0.579,0,0.591,0.591,4.168,31.29,-390.96,-54.93,-104.13,-150,3.62,0.08,17.87,-398.36,-396.21,-458.74,7.056,0.08,0.565,2.48,0.035,0,37.74,327.64,254.47,-35.43,0.36,0.82,2.29,26.653,21.891,4.762,36.083,0,74.854,0,-106.175,0.074,-0.084,-0.01,0.691,0,-105.494,-0.109,-0.1,-105.603,0,-105.603,0,-1,-1,105.242,4.348,-101.062,210.554,0,210.554,11.023,49.08,1,0,16.589,0,66.669,28.88,317.126,0,26.391,33.37,166.373,202.386,472.023,-38.381,433.642,0,0,26.101,776.869,78.601,0.84,32.773,112.214,38.098,136.214,0,136.214,0,286.526,396.155,4.72,400.875,0,6.783,0,20.47,714.654,0.105,0,-864.871,0,926.981,0,62.215,-105.603,0,-105.603,4.348,2.567,-12.838,0.097,15.957,25.966,0,12.54,0,1.768,-60.981,-61.286,0,0,0,0,25,0,0,17.071,-19.215,0,0,0,70.782,0,1.398,72.18,-8.016,-61.286,-122.267,0,0,52.94,52.94,0,0,21.26,0,22.9,-10.88,-10.32,-9.69,0,0,0,3295.463,3523.882,-4.79,-3.77,-4.39,0,12.97,0,0,0,0,2,-4.42,0.382,10.19,1.11,0.87,0,38.01,27.56,-0.15,-57.48,-66.67,-72.35,0,105.242,105.32,0.36,8/2/2012,8/2/2012
Sep-12,0.475,-0.977,-1.048,-1.05,-1.05,0,-1.548,-0.9,0,-0.264,-0.264,4.486,29.28,-2581.34,-55.89,-94.98,-133.3,3.56,0.07,-17.49,-216.47,-221.15,-326.17,-17.023,-0.034,0.586,-4.42,0.063,0,16.69,251.16,174.95,-59.52,0.52,1.17,2.252,50.104,58.865,-8.761,37.798,0,61.901,0,-108.46,0.038,-0.078,-0.04,-2.188,0,-110.688,-0.116,-0.1,-110.804,0,-110.804,0,-1.05,-1.05,105.556,7.522,-103.088,85.693,0,85.693,9.164,102.678,25.525,0,30.845,0,159.048,30.636,284.541,0,26.391,39.628,284.418,145.077,543.387,-45.35,498.037,0,0,26.599,809.177,162.025,1.762,26.748,190.535,54.029,2.904,0,2.904,138.338,385.806,414.207,6.278,420.485,0,2.477,0,28.284,837.052,0.106,0,-975.674,0,947.693,0,-27.875,-110.806,0,-110.806,7.522,1.858,-85.594,-0.829,71.24,-6.06,0,12.48,0,1.912,-94.952,-68.472,0,0,0,0,0,0,0,-1.616,-70.088,0,0,0,32.492,0,7.687,40.179,-124.861,-68.472,-163.424,0,0,0,0,0,0,21.02,0,23.83,-9.52,-9,-11.11,0,0,0,3096.946,3485.767,-7.1,-5.22,-6.29,0,12.27,0,0,0,-1.02,2,-3.08,0.465,-0.14,0.74,0.33,0,35.96,26.1,-0.43,-14.26,-66.67,-67.58,0,105.556,105.77,0.37,11/7/2012,11/7/2012
Dec-12,2.692,-0.679,-0.791,-0.78,-0.78,0,-0.892,-0.528,0,1.092,1.092,4.086,33.87,-743.04,-37.41,-67.94,-96.73,3.67,0.02,7.79,-29.67,-29.36,-33.15,3.742,0.112,0.419,9.92,0.319,0,8,98,69.06,-20.94,1.32,0.92,0.698,306.332,282.475,23.857,45.908,0,68.832,0,-90.883,0.085,-0.026,0.059,0.745,0,-90.079,0.148,0.16,-89.931,0,-89.931,0,-0.78,-0.78,113.81,12.792,-77.261,201.89,0,201.89,26.842,181.41,24.535,0,62.559,0,268.504,27.532,524.768,0,26.391,50.574,418.454,75.129,619.843,-57.543,562.3,0,0,27.122,1114.19,303.382,9.71,30.088,343.18,55.206,1.905,0,1.905,138.817,539.108,401.495,9.965,411.46,0,3.06,0,35.862,989.49,0.115,0,-1065.606,0,1190.191,0,124.7,-89.931,0,-89.931,12.792,-17.678,-90.694,-0.63,103.337,0.681,0,14.42,0,1.977,-60.061,-41.483,0,0,0,0,0,0,0,3.296,-38.187,0,0,0,-11.026,0,225.471,214.445,116.197,-41.483,-101.544,0,0,31.02,31.02,0,0,9.13,0,10,-11.26,-10.44,-9.58,0,0,0,3868.293,4133.069,-6.9,-4.07,-5.54,0,32.67,0,0,0,0.19,3,-0.31,0.481,6.89,0.97,0.48,0,35.28,27.33,-7.98,614.06,0,7.37,0,113.81,114.21,0.36,3/7/2013,3/7/2013
Mar-13,4.521,0.236,0.093,0.091,0.09,0,0.051,0.516,0,1.464,1.464,3.956,37.89,30.68,3.99,7.99,-5.52,4.19,0.1,17.15,-0.99,2,1.13,2.702,0.147,0.398,34.13,0.498,0,7.49,59.64,49.61,-2.54,1.84,0.83,0.45,561.792,465.472,96.32,47.045,0,54.859,0,-5.584,0.01,-0.118,-0.108,17.091,0,11.399,-0.151,1.32,11.248,0,11.248,0,0.1,0.091,124.265,17.85,29.367,214.417,0,214.417,46.139,132.665,41.698,0,63.255,0,237.618,27.819,525.993,0,26.391,54.603,473.627,51.494,665.99,-74.933,591.057,0,0,26.728,1143.778,304.204,14.658,26.053,344.915,56.293,134.415,0,134.415,0,535.623,388.785,10.46,399.245,0,12.091,0,28.236,975.195,0.115,0,-1054.357,0,1222.825,0,168.583,11.248,0,11.248,17.85,-19.297,18.22,-2.575,26.587,28.883,0,14.87,0,-8.772,64.079,-57.727,0,0,0,0,0,0,0,2.491,-55.236,0,0,0,-14.219,0,17.903,3.684,12.527,-57.727,6.352,0,0,25.88,25.88,0,0,4.77,0,4.87,-18.27,-15.63,-6.4,0,0,0,4363.412,4604.533,-6.61,-3.9,-5.27,0,69.96,0,0,-1550.66,1.36,4,0.86,0.368,3.46,0.98,0.54,0,39.48,32.91,-0.83,1469.79,110.58,128.89,0,114.712,115.16,0.44,5/10/2013,5/10/2013
Jun-13,3.428,0.102,-0.085,-0.26,-0.26,-2.624,-0.666,-0.323,0,5.183,5.183,4.889,107.36,-30.58,-8.05,-6.12,-10.74,5.76,15.34,24.8,-2.91,-7.53,-19.43,0.943,0.333,0.314,26.52,0.267,0,25.57,78.54,73.76,20.79,1.24,0.75,0.608,405.139,304.656,100.483,59.963,0,52.312,0,-11.792,0.039,-20.116,-20.077,1.668,0,-30.201,-0.301,-1,-30.502,0,-30.502,0,-0.26,-0.26,118.194,22.198,12.113,746.057,0,746.057,113.544,129.157,47.874,0,77.86,0,254.891,15.05,1129.542,0,26.402,58.492,508.658,37.082,822.012,-94.965,727.047,0,0,31.255,1887.844,262.227,16.08,39.046,317.353,5.695,163.497,0,163.497,0,486.545,578.74,9.249,587.989,0,68.293,0,115.591,1258.418,0.121,0,-1084.858,0,1714.163,0,629.426,-30.502,4.302,-30.502,22.198,-67.405,-147.466,-0.869,-18.057,-61.01,0,19.71,0,11.411,-38.193,-40.515,0,0,0,0,0,0,0,13.341,-27.174,0,0,0,218.248,0,378.759,597.007,531.64,-40.515,-78.708,0,0,20.71,20.71,0,0,9.66,0,9.74,-92.78,-64.67,-1.55,0,0,0,13036.725,12884.352,-4.22,-1.06,-2.47,0,97.93,0,0,-47.46,6.17,5,4.54,0.417,5.29,2.32,1.8,0,110.33,40.5,-5.44,1254.94,74,110.63,0,118.194,121.43,0.54,8/9/2013,8/9/2013
