Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,2.841,0.962,0.769,0.55,0.55,2.331,0.27,0.432,0.13,9.106,8.085,0,34.56,25.36,19.95,62.57,34.94,9.9,0,50.94,26.77,19.63,9.49,0,0.794,0,51.75,0.254,0.236,42.18,33.18,87.69,96.69,1.04,0.49,0.471,3392,1664,1728,396,0,422,2,908,0,0,0,10,0,918,-252,27.45,666,0,666,0,0.56,0.55,1194,231,1149,1343,1514,2857,1568,132,934,0,612,0,1678,941,7044,449,0,0,0,0,6712,-3055,3657,1186,924,974,13310,605,247,941,1793,0,0,0,0,0,1793,0,0,0,527,416,0,0,2736,1740,0,25206,-702,1068,-16738,10574,666,0,666,231,-44,-158,-9,54,-438,31,57,0,-31,516,-194,0,0,0,-873,1130,0,0,0,63,350,-771,0,0,-153,19,-555,24,-194,322,13.04,14.83,3.8,4.27,16.85,11.41,2.93,5.03,2.63,6.86,8.26,12.11,7.69,24.79,1.45,40130.035,37273.035,0.1,3.71,1.84,27.93,38.22,0,21.96,23.58,14.11,9,-2.62,0.576,4.15,3.93,2.99,No Debt,36.56,32.67,0.54,10.46,5.77,2.12,2.59,1167,1161.17,1.07,5/5/2011,5/4/2012
Jun-11,2.931,0.967,0.775,0.56,0.56,2.413,0.299,0.533,0.13,9.437,8.424,3.028,32.83,25.03,17.68,58.69,34.05,9.39,1.37,50.69,26.17,19.43,10.21,0.321,0.638,0.205,46.12,0.227,0.232,44.12,33.34,92.05,102.83,0.99,0.49,0.497,3458,1705,1753,411,0,424,13,905,0,-6,-6,10,0,909,-237,26.07,672,0,672,0,0.57,0.56,1180,226,1141,4501,1899,6400,1672,148,970,0,644,0,1762,1026,10860,334,0,0,0,0,6573,-2859,3714,1171,924,1019,17098,623,65,1065,1753,0,0,0,0,0,1753,3498,0,3498,532,412,0,0,6195,1741,0,25726,-686,1108,-16986,10903,672,0,672,226,-102,-84,-3,-182,-291,-46,53,0,15,629,-276,0,0,0,-818,550,0,0,2,-542,180,-452,0,3497,-150,-4,3071,3158,-276,353,12.68,13.61,3.48,3.9,15.48,10.59,2.77,3.1,2.48,6.69,8.12,12.32,9.58,22.03,1.55,37929.156,35027.156,0.18,4.04,2.03,28,38.44,13.57,22.16,23.87,8.08,7,-3.25,0.601,6.64,6.2,5.19,150.83,35.9,31.24,0.5,2.38,-9.68,-11.77,4.09,1156,1155.32,1.05,8/5/2011,8/3/2012
Sep-11,2.996,0.882,0.687,0.51,0.51,2.295,0.818,0.985,0.13,9.649,2.934,5.077,26.65,21.93,12.65,45.4,22.59,7.75,1.29,50.32,23.49,17.34,27.32,0.526,0.527,0.277,36.71,0.182,0.255,46.97,33.23,98.75,112.49,0.92,0.5,0.538,3466,1722,1744,388,0,395,147,814,0,-15,-15,-19,0,780,-179,22.95,601,0,601,0,0.52,0.51,1157,226,1021,1581,1037,2618,1784,148,1185,0,632,0,1965,1349,7716,350,0,0,0,0,7239,-2667,4572,7674,4451,595,20907,627,60,1395,2082,1586,0,0,0,0,3668,4215,0,4215,617,1381,0,0,9881,1741,0,26175,-690,1172,-17372,11026,601,0,601,226,22,22,1,109,213,6,93,0,1,1140,-193,0,0,0,-776,1649,0,0,-5376,-4696,33,-450,0,1200,-148,1,636,-2920,-193,947,11.15,11.61,2.76,9.08,12.29,8.93,2.27,2.11,2.43,7.01,8.68,11.52,12.52,17.2,1.95,30451.623,33634.623,-6.36,-1.89,-4.33,28.74,38.01,12.64,12.56,19.11,5.11,4,-2.72,0.831,24.34,2.1,1.57,54.27,33.52,24.82,1.1,-4.19,-28.17,-27.7,5.29,1144,1142.65,1.01,11/4/2011,11/2/2012
Dec-11,2.966,0.689,0.32,0.26,0.26,2.071,0.709,0.842,0.17,9.611,2.978,4.907,29.11,10.85,5.76,19.96,8.99,7.97,1.47,45.26,10.67,8.71,23.92,0.511,0.534,0.273,29.91,0.165,0.654,41.22,30.47,91.47,102.22,1,0.55,0.549,3420,1872,1548,444,0,474,265,365,0,-21,-10,-7,0,348,-50,14.37,298,0,298,0,0.26,0.26,1153,425,794,992,1943,2935,1545,115,1004,0,669,0,1788,1560,7828,265,188,2998,3947,0,7133,-2705,4428,7558,4452,418,20497,625,101,1392,2118,1381,0,0,0,0,3499,4211,0,4211,701,1134,0,0,9545,1741,0,26278,-776,1194,-17485,10952,298,0,298,425,236,203,-192,-141,241,64,66,0,-123,971,-153,0,0,0,-1186,226,0,0,116,-997,127,-300,0,-200,-193,3,-563,-589,-153,818,15.48,14.06,3.03,9.78,13.89,10.43,2.48,2.73,2.61,8.73,11.95,8.37,12.7,18.54,1.92,33170.845,35827.845,-5.8,-1.51,-4,29.01,38.02,10.68,11.22,19.22,5.29,4,-2.76,0.651,25.14,2.24,1.73,17.38,31.91,26.46,0.28,0.03,-66.23,-44.88,5.68,1136,1139.5,1.07,2/24/2012,2/24/2014
Mar-12,2.679,0.611,0.329,0.22,0.22,1.996,0.297,0.385,0.17,9.674,3.149,4.618,33.61,9.63,5.23,21.17,8.55,9.04,1.54,49.05,12.72,8.49,11.09,0.477,0.553,0.264,30.24,0.154,0.773,43.21,33.8,104.48,113.89,0.87,0.51,0.583,3121,1590,1531,462,0,509,163,397,0,-21,-21,-14,0,362,-97,26.8,265,0,265,0,0.23,0.22,1165,329,712,1193,1572,2765,1478,114,996,0,743,0,1853,1495,7591,239,0,0,0,0,6840,-2562,4278,7468,4452,433,20009,589,106,1136,1831,1078,0,0,0,0,2909,4207,0,4207,684,1138,0,0,8938,1741,0,26345,-742,1112,-17385,11071,265,0,265,329,63,-91,5,-181,-178,-4,69,0,-32,449,-103,0,0,0,-243,616,0,0,0,270,259,-300,0,-300,-195,18,-518,201,-103,346,21.68,16.84,3.47,10.67,15.83,12.24,2.9,3.8,3.04,11.17,16.65,6.01,11.71,20.69,1.79,38461.604,40981.604,-5.39,-1.18,-3.62,28.21,37.49,8.84,10.48,18.85,5.79,4,-2.93,0.663,23.05,2.61,1.97,18.9,33.99,29.57,-0.43,-5.7,-60,-36.49,5.7,1143,1144.35,1.21,5/4/2012,5/3/2013
Jun-12,2.89,0.799,0.516,0.38,0.38,2.039,0.458,0.585,0.17,9.807,3.336,4.134,28.69,16.05,9.03,32.55,13.66,8.67,1.6,49.51,17.93,13.37,15.86,0.421,0.572,0.241,33.41,0.169,0.447,44.57,30.07,101.27,115.77,0.9,0.5,0.56,3335,1684,1651,456,0,480,117,598,0,-20,-20,-2,0,576,-130,22.57,446,0,446,0,0.38,0.38,1154,326,922,1192,1141,2333,1629,123,1040,0,722,0,1885,1506,7353,218,0,0,0,0,6840,-2666,4174,7363,4452,413,19521,555,101,1165,1821,2000,0,0,0,0,3821,2703,0,2703,700,1139,0,0,8363,1741,0,26592,-741,1164,-17598,11158,446,0,446,326,-151,-32,50,-105,-211,21,64,0,29,675,-146,0,0,0,-415,882,0,0,0,321,68,-300,0,-575,-195,5,-997,-1,-146,529,20.94,14.07,2.93,8.6,12.57,10.26,2.49,3.84,2.62,10.15,16.34,6.12,12.63,17.32,2.23,32642.334,35012.334,-5.3,-0.89,-3.4,29.36,37.36,7.47,10.14,18.98,5.51,5,-2.2,0.676,17.81,1.92,1.43,29.9,33.26,26.87,0.58,-1.4,-32.14,-17.37,5.45,1140,1137.76,1.27,8/3/2012,8/2/2013
Sep-12,2.971,1.044,0.757,0.67,0.67,2.243,0.925,1.056,0.17,10.174,3.696,5.077,27.56,27.8,15.67,47.91,23.18,8.37,1.62,51.33,24.78,23.13,31.12,0.499,0.556,0.277,34.77,0.169,0.254,43.69,27.71,103.22,119.2,0.88,0.49,0.551,3390,1650,1740,453,0,463,-16,840,0,-21,-21,24,0,843,-59,7,784,0,784,0,0.68,0.67,1141,327,1191,1210,2451,3661,1623,124,988,0,736,0,1848,1452,8584,225,0,0,0,0,6806,-2751,4055,7261,4452,389,20514,501,106,1318,1925,1500,0,0,0,0,3425,4190,0,4190,350,1146,0,0,9111,1741,0,27179,-617,1193,-18093,11403,784,0,784,327,18,37,25,-55,31,119,-78,0,22,1205,-150,0,0,0,-1484,193,0,0,0,-1441,63,-600,0,992,-194,-7,254,18,-150,1055,18.01,12.29,2.71,7.46,11.54,9.61,2.4,3.31,2.48,9.1,14.88,6.72,13.21,15.98,2.47,30889.248,32918.248,-4.86,-0.47,-2.95,32.51,37.28,8.32,11.28,19.45,5.19,6,-2.98,0.688,1.66,2.51,1.97,40,30.27,26.43,1.49,-0.83,31.37,18.37,5.44,1130,1120.8,1.26,11/2/2012,11/1/2013
Dec-12,2.648,0.531,0.158,0.24,0.24,2.532,0.879,0.964,0.21,9.891,3.518,5.131,30.89,8.33,5.21,10.71,7.25,8.3,1.62,48.54,4.67,8.86,33.2,0.519,0.547,0.284,28.54,0.147,0.875,37.68,26.43,107.29,118.54,0.85,0.51,0.605,2979,1533,1446,432,0,425,450,139,0,-23,-23,39,0,155,109,-70.32,264,0,264,0,0.24,0.24,1125,419,597,1416,2549,3965,1230,116,935,0,706,0,1757,1278,8230,215,189,3006,3696,0,6891,-2979,3912,7062,4362,602,20021,444,206,954,1604,1500,0,2,2,324,3430,4186,0,4186,269,1175,0,0,9060,1741,0,27205,-699,1176,-18462,10961,264,0,264,419,381,91,82,129,624,-6,208,0,-424,1085,-96,0,0,0,-660,507,0,0,60,-189,133,-600,0,0,-235,12,-690,206,-96,989,20.46,12.2,3.12,8.78,12.07,10.33,2.76,3.84,2.8,10.51,17.79,5.62,12.22,17.4,2.33,34231.68,35952.68,-4.6,-0.75,-2.97,32.54,36.25,8.05,10.93,19.91,5.43,7,-3.15,0.618,-3.08,2.4,1.89,6.04,31.34,27.17,1.13,-10.72,-7.69,-22.93,5.33,1114,1108.18,1.23,2/22/2013,2/24/2015
Mar-13,2.569,0.661,0.354,0.32,0.32,2.504,0.246,0.321,0.21,9.874,3.559,5.124,35.48,13.22,7.29,24.97,12.02,8.26,1.62,47.63,13.69,12.55,9.57,0.519,0.556,0.288,27.67,0.145,0.656,42.16,26.57,104.38,119.97,0.87,0.52,0.599,2885,1511,1374,459,0,419,101,395,0,-23,-23,2,0,374,-12,3.21,362,0,362,0,0.32,0.32,1123,345,742,1393,2469,3862,1333,99,930,0,671,0,1700,1310,8205,204,0,0,0,0,6773,-3034,3739,7004,4362,549,19701,440,109,1059,1608,1500,0,2,2,0,3110,4183,0,4183,258,1198,0,0,8749,1741,0,27330,-650,1049,-18518,10952,362,0,362,345,-112,57,10,-369,-385,26,75,0,-63,360,-84,0,0,0,-536,615,0,0,27,22,454,-679,0,0,-232,52,-405,-23,-84,276,22.04,14.17,3.59,9.97,14.15,12.13,3.2,3.96,3.27,11.93,20.23,4.94,11.21,19.36,2.14,39352.642,41173.642,-4.41,-0.49,-2.74,31.61,35.89,8.95,11.35,19.58,5.93,7,-3.01,0.638,-0.92,2.64,2.09,17.17,35.62,31.55,-0.09,-4.11,45.45,8.18,5.56,1107,1109.15,1.21,5/3/2013,5/2/2014
Jun-13,2.728,1.098,0.811,0.58,0.58,2.605,0.517,0.604,0.28,10.051,3.777,4.69,34.85,23.98,13.5,55.43,21.05,9.21,1.77,51.53,29.73,21.66,18.94,0.467,0.571,0.266,32.12,0.156,0.483,44.65,27,105.64,123.29,0.86,0.48,0.561,3047,1477,1570,471,0,389,-196,906,0,-24,-24,0,0,882,-222,25.17,660,0,660,0,0.59,0.58,1117,321,1227,1180,2064,3244,1491,101,926,0,693,0,1720,1583,8038,203,0,0,0,0,6679,-3068,3611,6909,4362,637,19398,437,218,1145,1800,1000,0,2,2,0,2802,4165,0,4165,240,1123,0,0,8330,1741,0,27677,-590,1117,-18877,11068,660,0,660,321,-160,-20,-318,174,-301,-40,75,0,-40,675,-98,0,0,0,-1866,2268,0,0,5,309,343,-721,0,-514,-309,4,-1197,-213,-98,577,19.25,13.38,3.47,9.23,13.58,11.83,3.19,2.95,3.28,10.73,17.18,5.82,12.39,18.52,2.5,38375.775,40296.775,-4.62,-0.27,-2.82,32.13,35.37,11.82,12.4,20.25,6.12,7,-2.96,0.659,0.23,2.87,2.25,37.75,37.09,33.92,0.72,-5.61,52.63,37.42,6.53,1103,1101.17,1.3,8/2/2013,7/31/2014
