Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,5.256,1.8,1.029,0.57,0.57,3.099,0.599,1.301,0.43,19.038,-3.558,11,30.61,12.16,5.07,23.69,8.66,6.05,5.16,58.99,18.59,10.91,11.41,0.578,0.42,0.243,27.44,0.116,0.754,38.68,0,0,38.68,0,0.41,0,31247,12813,18434,8042,0,0,4584,5808,0,-846,-846,308,-60,5270,-1802,34.19,3468,0,3408,0,0.57,0.57,5945,4584,10700,1391,0,1391,13246,0,0,0,0,0,0,5100,19737,4845,0,0,0,0,247446,-144077,103369,133575,73602,6559,268085,0,1499,18349,22393,6902,0,0,0,3959,33254,58126,0,58126,28510,23149,299,12203,155541,6495,0,32649,2713,91636,-20949,112544,3468,0,3468,4584,72,0,0,-1309,-1069,731,0,0,18,7732,-4168,0,-54,11,0,0,0,0,136,-4075,18,0,0,-1300,-2540,119,-3703,-46,-4168,3564,8.77,9.88,1.61,0,12.17,5.12,1.45,1.43,1.96,6.07,11.56,8.65,14.4,13.17,5.55,180948.872,244884.872,-26.08,-22.97,-24.4,41.91,30.3,21.44,0,0.23,1.54,6,-2.8,0.655,2.74,0.59,0.59,6.87,30.71,27.33,-0.01,2.18,39.02,-2.39,6.38,5925,5911.43,0.59,5/6/2011,5/4/2012
Jun-11,5.291,1.848,1.075,0.6,0.6,3.127,0.623,1.516,0.43,19.207,-3.247,11.236,31.41,12.69,5.32,24.61,9.2,5.62,5.15,59.5,19.57,11.4,11.78,0.585,0.418,0.245,27.76,0.117,0.717,39.43,0,0,39.43,0,0.41,0,31495,12756,18739,7972,0,0,4602,6165,0,-848,-848,234,-67,5551,-1893,34.1,3658,0,3591,0,0.6,0.6,5953,4602,11001,3831,0,3831,13608,0,0,0,0,0,0,4800,22239,5207,0,0,0,0,252050,-147444,104606,133044,73591,6918,272014,0,1130,18145,21823,7910,0,0,0,3804,33537,58663,0,58663,28350,25065,306,12290,158211,6495,0,33687,2720,91687,-20786,113803,3658,0,3658,4602,-593,0,0,-728,-482,2087,0,0,-840,9025,-5314,0,-8,19,0,0,0,0,-72,-5375,181,0,0,1392,-2542,-241,-1210,2440,-5314,3711,9.18,10.04,1.64,0,12.63,5.2,1.49,2.23,1.98,6.3,12.11,8.26,12.38,13.37,5.44,186105.506,249153.506,-26.06,-22.95,-24.33,40.9,30.45,0,0,0.69,1.54,7,-2.76,0.66,1.49,0.66,0.66,7.27,31.86,30.13,-0.23,1.97,-10.45,-7.18,4.29,5932,5925.04,0.52,8/5/2011,8/3/2012
Sep-11,5.287,1.863,1.087,0.61,0.61,2.881,0.862,1.746,0.43,19.173,-3.198,12.02,28.52,12.74,5.27,24.62,9.37,4.41,5.16,59.79,19.81,11.51,16.3,0.627,0.409,0.257,27.39,0.115,0.705,38.78,0,0,38.78,0,0.4,0,31478,12656,18822,7969,0,0,4618,6235,0,-889,-889,239,-63,5585,-1899,34,3686,0,3623,0,0.61,0.61,5954,4618,11092,10762,0,10762,13377,0,0,0,0,0,0,4466,28605,4483,0,0,0,0,256626,-150840,105786,132565,73590,6214,277653,0,929,17860,21337,8900,0,0,0,3794,34031,62326,0,62326,28190,26446,267,12778,164038,6495,0,34758,1677,91455,-20770,113615,3686,0,3686,4618,-52,0,0,-496,-213,2124,0,0,178,10393,-5262,0,-368,46,0,0,0,0,9,-5575,17,0,0,4925,-2545,-284,2113,6931,-5262,5131,14.55,9.9,1.49,0,10.82,4.61,1.35,5.8,1.83,5.74,10.79,9.27,11.58,12.23,6.03,169000.679,229731.679,-25.87,-22.86,-24.17,40.11,30.4,0,0,1.16,1.48,6,-2.96,0.641,-1.28,0.84,0.84,7.01,31.68,27.54,-0.01,-0.58,-70.53,3.9,2.51,5936,5925.69,0.44,11/3/2011,11/2/2012
Dec-11,5.463,-0.7,-1.469,-1.13,-1.13,0.865,0.374,1.276,0.44,17.807,-4.159,10.926,30.24,-24.38,-9.75,-32.84,-14.39,5.08,5.6,48.68,-27.66,-20.55,6.85,0.614,0.39,0.239,23.1,0.119,0,37.15,0,0,37.15,0,0.51,0,32503,16679,15824,17331,0,0,7483,-8990,0,-952,-952,252,-50,-9690,3062,31.6,-6628,0,-6678,0,-1.13,-1.13,5950,4573,-4165,3045,0,3045,13231,0,0,0,0,0,0,6709,22985,3718,1689,28054,225400,5136,260279,-153192,107087,130185,70842,6467,270442,0,1003,19956,23567,3453,0,0,0,3872,30892,61300,0,61300,34011,25748,263,12694,164908,6495,0,25453,3180,91156,-20750,105534,-6628,0,-6628,4573,-591,0,0,2192,-138,-2013,0,0,11799,7593,-5366,0,-1938,0,0,0,0,0,1079,-6225,21,0,0,-6308,-2545,-17,-8849,-7481,-5366,2227,46.52,34.96,1.7,0,12.3,5.18,1.42,0,1.9,8.42,23.53,4.25,7.84,14,5.72,179217.662,241188.662,-27.31,-23.95,-25.64,36.64,30.67,0,0,-2.05,1.34,5,-3.08,0.603,-3.53,0.74,0.74,0,30.24,27.41,-0.01,3.49,-727.78,-157.76,-0.73,5919,5926.51,0.58,2/24/2012,2/21/2014
Mar-12,5.357,1.841,1.073,0.6,0.6,0.897,0.603,1.321,0.44,17.856,-4.324,11.86,31.23,13.63,5.31,23.8,9.51,5.08,5.11,59.72,19.17,11.26,11.26,0.664,0.389,0.259,28.17,0.118,0.733,37.76,0,0,37.76,0,0.4,0,31822,12817,19005,8344,0,0,4560,6101,0,-859,-859,275,-68,5517,-1865,33.8,3652,0,3584,0,0.6,0.6,5940,4560,10936,2442,0,2442,13167,0,0,0,0,0,0,5156,20765,4302,0,0,0,0,260211,-152980,107231,130299,70929,6759,269356,0,1601,17593,21779,10741,0,0,0,0,32520,58934,0,58934,34113,26136,288,12466,164457,6495,0,26446,3386,91032,-22460,104899,3652,0,3652,4560,73,0,0,-1655,-462,337,0,0,-242,7845,-4261,0,-433,16,0,0,0,0,-59,-4737,218,-2066,0,782,-2606,-130,-3802,-694,-4261,3584,45.93,34.82,1.75,0,12.68,5.33,1.46,0,1.97,8.7,23.88,4.19,4.9,13.77,5.57,183467.193,250988.193,-27.58,-24.46,-25.9,37.4,30.81,0,0,-2.9,1.36,6,-3.07,0.638,-3.28,0.64,0.64,7.1,31.84,29.16,0.87,1.92,5.26,2.28,-3.32,5918,5874.71,0.51,5/4/2012,5/3/2013
Jun-12,5.374,1.952,1.187,0.66,0.66,0.823,0.851,1.613,0.44,17.792,-4.374,11.117,35.66,14.99,5.83,25.98,10.6,4.62,5.61,61.19,21.59,12.36,15.83,0.625,0.388,0.242,28.86,0.118,0.667,35.92,0,0,35.92,0,0.39,0,31575,12254,19321,8005,0,0,4499,6817,0,-941,-941,155,-63,6031,-2066,34.26,3965,0,3902,0,0.67,0.66,5876,4499,11471,2151,0,2151,12430,0,0,0,0,0,0,4575,19156,4388,0,0,0,0,263648,-156165,107483,128670,69763,6597,266294,0,3705,16298,22557,3402,3743,0,3743,0,29702,61132,0,61132,34021,26011,299,11849,163014,6495,0,27788,2939,90927,-24869,103280,3965,0,3965,4499,-533,0,0,2247,2062,-976,0,0,-70,9480,-4481,0,-44,784,0,0,0,0,53,-3688,158,-2557,0,-882,-2581,-404,-6266,-474,-4481,4999,48.19,43.33,2,0,13.26,5.99,1.66,0,2.12,9.19,24.33,4.11,2.26,15.73,4.91,206997.028,269679.028,-27.71,-24.78,-26.11,38.27,30.93,0,0,-1.96,1.48,4,-3.15,0.616,-4,0.64,0.64,7.24,35.71,30.13,1.19,1.57,10,5.63,-5.29,5855,5804.74,0.49,8/3/2012,8/2/2013
Sep-12,5.431,1.861,1.082,0.63,0.63,1.037,1.114,1.956,0.44,17.69,-4.827,11.17,37.7,14.24,5.45,23.24,9.99,4.26,5.14,59.94,19.19,11.55,20.52,0.631,0.378,0.239,28.3,0.118,0.698,35.96,0,0,35.96,0,0.4,0,31459,12602,18857,8308,0,0,4512,6037,0,-824,-824,229,-66,5442,-1741,31.99,3701,0,3635,0,0.63,0.63,5792,4512,10778,2217,0,2217,12398,0,0,0,0,0,0,4343,18958,4563,0,0,0,0,267639,-159422,108217,128504,69762,6607,266849,0,2209,18936,23656,3433,3709,0,3709,0,30798,60314,0,60314,33842,29092,317,11529,165892,6495,0,28907,3106,90982,-28533,100957,3701,0,3701,4512,-111,0,0,-748,-746,4080,0,0,-216,11331,-4877,0,-74,7,0,0,0,0,118,-4826,84,-3751,0,-1007,-2551,632,-6593,-88,-4877,6454,49.61,36.35,2.13,0,12.81,6.11,1.74,0,2.17,9.55,25.47,3.93,0.34,16.51,4.67,215156.162,277003.162,-28.68,-25.75,-27.05,39.91,31.14,0,0,-1.94,1.49,5,-3.13,0.611,-4.62,0.62,0.62,7.33,38.25,34.63,1.68,2.72,3.28,-0.11,-6.85,5771,5707.06,0.47,11/2/2012,11/1/2013
Dec-12,5.739,-0.204,-1.01,-0.65,-0.65,1.756,0.777,1.853,0.45,16.548,-6.483,12.514,33.71,-15.96,-5.72,-21.03,-8.58,4.29,4.91,46.11,-18.29,-11.84,13.54,0.756,0.339,0.256,22.29,0.121,0,35.45,62.77,0,-27.32,0,0.54,0,32578,17555,15023,16409,0,0,4572,-5958,0,-820,-820,227,-78,-6551,2772,42.31,-3779,0,-3857,0,-0.65,-0.65,5677,4572,-1159,4868,0,4868,12657,0,0,0,0,0,0,5181,22706,4581,1689,28939,235867,4412,270907,-161140,109767,128548,69773,6713,272315,12076,1026,8418,24076,3486,4225,0,4225,0,31787,66358,0,66358,41392,28491,333,11592,179953,6495,0,22481,5236,91038,-32888,92362,-3779,0,-3779,4572,-794,0,0,1954,596,-1694,0,0,10825,10520,-6109,0,-277,5,0,0,0,0,-48,-6429,17,-4378,0,5861,-2503,-9,-1012,3079,-6109,4411,27.19,19.2,2.04,0,10.08,5,1.54,0,1.99,7.91,18.26,5.48,0.39,15.99,5.25,188148.657,253457.657,-31.37,-28.17,-29.67,39.94,31.54,0,0,-5.11,1.34,6,-3.1,0.591,-4.49,0.71,0.71,0,38.34,33.14,2.2,5.05,42.48,70.86,-7.66,5660,5581.39,0.47,2/22/2013,2/20/2015
Mar-13,5.67,1.932,1.113,0.67,0.67,1.814,0.714,1.483,0.45,16.227,-7.652,13.67,36.69,16.41,5.45,22.44,10.64,4.2,4.6,59.96,18.94,11.8,12.59,0.842,0.325,0.274,27.69,0.115,0.672,35.21,0,0,35.21,0,0.4,0,31356,12554,18802,8333,0,0,4529,5940,0,-827,-827,217,-73,5330,-1557,29.21,3773,0,3700,0,0.67,0.67,5530,4529,10686,3875,0,3875,12100,0,0,0,0,0,0,4397,20372,4998,0,0,0,0,274035,-164333,109702,129491,69772,6431,270994,0,2210,17523,22173,3446,4167,0,4167,0,29786,70686,0,70686,41663,28918,340,11603,182996,6495,0,23787,5344,90940,-38568,87998,3773,0,3773,4529,295,0,0,-1675,-516,433,0,0,-20,8199,-4252,0,-1045,5,0,0,0,0,-65,-5357,56,-5911,0,4832,-2502,-310,-3835,-993,-4252,3947,28.01,20.23,2.26,0,10.62,5.31,1.65,0,2.12,8.48,19.73,5.07,-0.62,18.11,4.85,198962.899,269559.899,-33.03,-29.99,-31.36,41.14,31.99,0,0,-6.23,1.37,6,-3.15,0.582,-4.37,0.68,0.68,7.18,36.86,33.2,2.84,5.84,11.67,4.94,-8.02,5513,5422.81,0.44,5/3/2013,5/2/2014
Jun-13,5.943,2.073,1.226,0.71,0.71,1.917,0.759,1.762,0.45,16.116,-8.151,14.09,35.4,17.57,5.63,24.02,10.38,4.26,4.42,58.63,19.06,11.92,12.78,0.874,0.316,0.276,27.7,0.118,0.634,35.58,0,0,35.58,0,0.41,0,32075,13270,18805,8121,0,0,4571,6113,0,-825,-825,506,-58,5794,-1914,33.03,3880,0,3822,0,0.71,0.71,5397,4571,11190,4548,0,4548,12508,0,0,0,0,0,0,4372,21428,3888,0,0,0,0,276833,-166099,110734,129468,69770,6575,272093,0,2065,19438,23904,3256,4029,0,4029,0,31189,71917,0,71917,41994,29400,335,11278,186113,6495,0,25212,5107,90985,-41819,85980,3880,0,3880,4571,-585,0,0,1335,670,648,0,0,-257,9512,-5413,0,-137,820,0,0,0,0,222,-4508,48,-3306,0,1004,-2428,351,-4331,673,-5413,4099,26.03,18.47,2.2,0,10.52,5.02,1.55,0,2.04,8.25,19.52,5.12,-0.06,17.32,5.06,188867.142,259827.142,-34.03,-30.87,-32.27,41.21,32.81,0,0,-6.36,1.33,7,-3.08,0.579,-4.09,0.69,0.69,7.41,39,34.35,1.62,10.59,7.58,6.2,-8.08,5381,5335.23,0.36,8/2/2013,8/1/2014
