Date,Title,Body
1/2/11,,
1/1/11,,
10/30/10,,
1/4/11,,
1/3/11,,
1/8/11,,
1/6/11,,
1/5/11,,
12/24/10,,
12/29/10,,
1/12/11,,
1/14/11,,
1/13/11,,
1/16/11,,
1/15/11,,
12/23/10,,
1/11/11,,
1/20/11,,
1/19/11,,
1/22/11,,
1/18/11,,
1/24/11,,
1/25/11,,
1/9/11,,
1/7/11,,
1/26/11,,
1/23/11,,
12/31/10,,
1/28/11,,
1/30/11,,
2/2/11,,
2/1/11,,
1/10/11,,
2/5/11,,
2/6/11,,
1/27/11,,
2/7/11,,
1/21/11,,
2/10/11,,
1/17/11,,
2/11/11,,
2/12/11,,
2/13/11,,
2/8/11,,
2/15/11,,
2/4/11,,
2/9/11,,
2/18/11,,
2/3/11,,
2/16/11,,
2/14/11,,
2/17/11,,
2/24/11,,
2/20/11,,
2/26/11,,
2/25/11,,
2/28/11,,
02/29/2011,,
02/30/2011,,
02/31/2011,,
2/23/11,,
2/21/11,,
1/29/11,,
2/22/11,,
3/2/11,,
3/6/11,,
3/3/11,,
2/19/11,,
3/9/11,,
3/4/11,,
1/31/11,,
3/5/11,,
3/7/11,,
3/12/11,,
3/11/11,,
3/13/11,,
3/1/11,,
3/17/11,,
3/15/11,,
2/27/11,,
3/16/11,,
3/20/11,,
3/19/11,,
3/24/11,,
3/22/11,,
3/14/11,,
3/27/11,,
3/28/11,,
3/26/11,,
3/25/11,,
3/10/11,,
3/30/11,,
4/1/11,,
4/3/11,,
4/4/11,,
3/18/11,,
3/21/11,,
3/8/11,,
4/6/11,,
4/9/11,,
4/8/11,,
4/7/11,,
4/2/11,,
4/11/11,,
3/29/11,,
4/15/11,,
4/14/11,,
3/31/11,,
4/16/11,,
4/18/11,,
4/20/11,,
4/21/11,,
4/22/11,,
4/17/11,,
4/23/11,,
4/25/11,,
4/24/11,,
4/26/11,,
4/27/11,,
4/29/11,,
4/30/11,,
4/19/11,,
4/10/11,,
5/2/11,,
5/1/11,,
5/3/11,,
5/4/11,,
3/23/11,,
5/6/11,,
5/7/11,,
5/8/11,,
4/28/11,,
04/31/2011,,
5/11/11,,
4/12/11,,
5/13/11,,
5/15/11,,
4/13/11,,
5/17/11,,
5/12/11,,
5/14/11,,
5/5/11,,
5/20/11,,
5/22/11,,
5/23/11,,
5/24/11,,
5/25/11,,
5/18/11,,
5/9/11,,
5/27/11,,
5/29/11,,
5/30/11,,
5/19/11,,
5/10/11,,
5/21/11,,
5/31/11,,
4/5/11,,
6/5/11,,
6/6/11,,
6/7/11,,
6/1/11,,
6/8/11,,
6/2/11,,
5/26/11,,
5/28/11,,
6/11/11,,
6/12/11,,
6/3/11,,
6/16/11,,
6/4/11,,
6/15/11,,
5/16/11,,
6/19/11,,
6/21/11,,
6/20/11,,
6/23/11,,
6/14/11,,
6/22/11,,
6/18/11,,
6/26/11,,
6/9/11,,
6/28/11,,
6/30/11,,
6/10/11,,
6/29/11,,
6/13/11,,
6/24/11,,
7/2/11,,
7/5/11,,
7/4/11,,
7/6/11,"UPDATE 1-Samsung estimates Q2 profit down 26 pct,S.Korea-Market Factors to watch July 7,Samsung estimates Q2 profit down 26 pct"," * Sees Q2 op profit at 3.7 trln won vs 3.9 trln wonconsensus, SEOUL, July 7 Following is a list of events inSouth Korea as well as news stories and press reports which mayinfluence financial markets.  	(Reuters News welcomes your feedback and for any queries, pleasecontact the Seoul newsroom at +822 3704 5640 or via email atkr.rtrs@gmail.com)  	WHAT IS HAPPENING IN SOUTH KOREA, TIMES LOCAL (GMT +9 HOURS):(The inclusion of diary items does not necessarily mean thatReuters will cover the event)    >Samsung Electronics , the world's , SEOUL, July 7 Samsung Electronics ,the world's top maker of memory chips and televisions, estimatedits April-June operating profit would fall 26 percent year onyear, as its LCD display business is widely expected to reportanother loss."
7/8/11,,
7/7/11,"UPDATE 3-Struggling LG slashes phone sales targets,UPDATE 5-Samsung Q2 falls as weak LCDs overshadow mobiles,UPDATE 1-Olympics-S.Korea expects huge economic boost from Winter Games,LG sees H2 smartphone sales up 40 pct, cuts 2011 handset targets,HTC limit-down on slower demand, corp governance concerns,Olympics-S.Korea expects huge economic boost from Winter Games"," * Cuts 2011 smartphone sales target 20 pct to 24mln units, * Estimates Q2 sales at 39 trln won vs 40 trln won consensus, PYEONGCHANG, South Korea, July 7 Shares in SouthKorean casino and resort operators and construction firms spikedon Thursday, buoyed by expectations that Pyeongchang's hostingof the 2018 Winter Olympics could pump tens of billions ofdollars into the economy., SEOUL, July 7 LG Electronics Inc , the world's No.3handset maker, expected its smartphone sales to rise by around 40 percent in thesecond half to 14 million units from the previous half, as it introduced Optimus3D on Thursday in South Korea in its latest push to turn around the loss-makinghandset business.,TAIPEI Shares of world No.5 handset maker HTC Corp  plunged on Thursday as investor looked beyond the forecast-beating quarterly net profit to concerns over a slowdown in smartphone demand and the company's corporate governance after its plan to acquire S3 Graphics., PYEONGCHANG, South Korea, July 7 Shares in SouthKorean casino and resort operators and construction firms spikedon Thursday, buoyed by expectations that Pyeongchang's hostingof the 2018 Winter Olympics could pump tens of billions ofdollars into the economy."
7/9/11,,
6/17/11,,
7/3/11,,
7/13/11,"S.Korea-Market Factors to watch July 14,Samsung, HTC, Apple to show Q2 cellphone gains"," SEOUL, July 14 Following is a list of events inSouth Korea as well as news stories and press reports which mayinfluence financial markets. (Reuters News welcomes yourfeedback and for any queries, please contact the Seoul newsroomat +822 3704 5640 or via email at kr.rtrs@gmail.com),HELSINKI/SEOUL Samsung Electronics and HTC are predicted to be the big winners in the global cellphone market in the second quarter, benefiting from booming demand for their smartphones running Google's software."
7/1/11,,
06/31/2011,,
