Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,955000.000000,966000.000000,950000.000000,958000.000000,891315.125000,264821
2011-01-04,956000.000000,961000.000000,949000.000000,958000.000000,891315.125000,274262
2011-01-05,955000.000000,955000.000000,942000.000000,942000.000000,876428.937500,335750
2011-01-06,942000.000000,949000.000000,923000.000000,930000.000000,865264.250000,387208
2011-01-07,915000.000000,929000.000000,914000.000000,921000.000000,856890.812500,462796
2011-01-10,918000.000000,928000.000000,909000.000000,917000.000000,853169.125000,366535
2011-01-11,917000.000000,922000.000000,908000.000000,913000.000000,849447.500000,391016
2011-01-12,914000.000000,933000.000000,914000.000000,930000.000000,865264.250000,411116
2011-01-13,949000.000000,949000.000000,917000.000000,922000.000000,857821.187500,564797
2011-01-14,928000.000000,934000.000000,915000.000000,933000.000000,868055.437500,307647
2011-01-17,945000.000000,951000.000000,940000.000000,949000.000000,882941.687500,411642
2011-01-18,950000.000000,981000.000000,949000.000000,969000.000000,901549.500000,592627
2011-01-19,979000.000000,1000000.000000,966000.000000,997000.000000,927600.500000,666864
2011-01-20,987000.000000,990000.000000,979000.000000,982000.000000,913644.625000,304888
2011-01-21,976000.000000,984000.000000,970000.000000,971000.000000,903410.250000,333328
2011-01-24,968000.000000,983000.000000,966000.000000,971000.000000,903410.250000,272187
2011-01-25,972000.000000,990000.000000,971000.000000,975000.000000,907131.875000,279411
2011-01-26,985000.000000,999000.000000,980000.000000,998000.000000,928530.937500,267050
2011-01-27,995000.000000,1002000.000000,991000.000000,994000.000000,924809.312500,307340
2011-01-28,998000.000000,1014000.000000,990000.000000,1010000.000000,939695.562500,382379
2011-01-31,1009000.000000,1010000.000000,981000.000000,981000.000000,912714.250000,428238
2011-02-01,982000.000000,995000.000000,979000.000000,983000.000000,914575.062500,269369
2011-02-07,1002000.000000,1004000.000000,972000.000000,972000.000000,904340.687500,485044
2011-02-08,970000.000000,974000.000000,959000.000000,961000.000000,894106.375000,609670
2011-02-09,973000.000000,973000.000000,951000.000000,960000.000000,893176.062500,419693
2011-02-10,960000.000000,965000.000000,935000.000000,936000.000000,870846.500000,613386
2011-02-11,935000.000000,943000.000000,913000.000000,915000.000000,851308.437500,529798
2011-02-14,928000.000000,955000.000000,925000.000000,953000.000000,886663.250000,391316
2011-02-15,963000.000000,970000.000000,947000.000000,958000.000000,891315.125000,362116
2011-02-16,952000.000000,970000.000000,945000.000000,945000.000000,879220.187500,303653
2011-02-17,953000.000000,963000.000000,943000.000000,954000.000000,887593.562500,286971
2011-02-18,965000.000000,966000.000000,957000.000000,960000.000000,893176.062500,205077
2011-02-21,964000.000000,965000.000000,942000.000000,948000.000000,882011.312500,275017
2011-02-22,939000.000000,948000.000000,934000.000000,938000.000000,872707.375000,243631
2011-02-23,925000.000000,941000.000000,925000.000000,930000.000000,865264.250000,343860
2011-02-24,926000.000000,934000.000000,920000.000000,929000.000000,864333.875000,362218
2011-02-25,928000.000000,933000.000000,923000.000000,926000.000000,861542.625000,303624
2011-02-28,920000.000000,934000.000000,920000.000000,923000.000000,858751.437500,325496
2011-03-02,914000.000000,923000.000000,912000.000000,918000.000000,854099.562500,322686
2011-03-03,919000.000000,927000.000000,916000.000000,923000.000000,858751.437500,361484
2011-03-04,934000.000000,945000.000000,927000.000000,945000.000000,879220.187500,371383
2011-03-07,943000.000000,943000.000000,906000.000000,906000.000000,842934.812500,637672
2011-03-08,911000.000000,912000.000000,894000.000000,899000.000000,836422.062500,498108
2011-03-09,906000.000000,908000.000000,882000.000000,890000.000000,828048.625000,525926
2011-03-10,879000.000000,884000.000000,866000.000000,866000.000000,805719.062500,832604
2011-03-11,861000.000000,876000.000000,860000.000000,862000.000000,801997.625000,537680
2011-03-14,880000.000000,901000.000000,853000.000000,900000.000000,837352.500000,666500
2011-03-15,901000.000000,902000.000000,856000.000000,860000.000000,800136.812500,726264
2011-03-16,885000.000000,895000.000000,872000.000000,886000.000000,824326.937500,798781
2011-03-17,878000.000000,890000.000000,868000.000000,890000.000000,828048.625000,450104
2011-03-18,892000.000000,895000.000000,883000.000000,891000.000000,828978.937500,383321
2011-03-21,891000.000000,899000.000000,884000.000000,890000.000000,828048.625000,289470
2011-03-22,892000.000000,897000.000000,870000.000000,875000.000000,814092.687500,436206
2011-03-23,880000.000000,880000.000000,859000.000000,873000.000000,812231.937500,504580
2011-03-24,880000.000000,888000.000000,874000.000000,880000.000000,818744.687500,307851
2011-03-25,892000.000000,910000.000000,890000.000000,910000.000000,846656.375000,621562
2011-03-28,915000.000000,922000.000000,909000.000000,916000.000000,852238.937500,317804
2011-03-29,907000.000000,916000.000000,900000.000000,916000.000000,852238.937500,344082
2011-03-30,916000.000000,929000.000000,916000.000000,926000.000000,861542.625000,413703
2011-03-31,936000.000000,936000.000000,921000.000000,932000.000000,867125.062500,527531
2011-04-01,936000.000000,940000.000000,927000.000000,940000.000000,874568.125000,449434
2011-04-04,940000.000000,945000.000000,939000.000000,945000.000000,879220.187500,334335
2011-04-05,948000.000000,948000.000000,935000.000000,945000.000000,879220.187500,238440
2011-04-06,940000.000000,942000.000000,915000.000000,923000.000000,858751.437500,549437
2011-04-07,925000.000000,935000.000000,905000.000000,909000.000000,845726.000000,435625
2011-04-08,911000.000000,914000.000000,895000.000000,898000.000000,835491.750000,519669
2011-04-11,898000.000000,907000.000000,888000.000000,894000.000000,831770.125000,411656
2011-04-12,886000.000000,890000.000000,882000.000000,882000.000000,820605.562500,315339
2011-04-13,887000.000000,901000.000000,880000.000000,901000.000000,838282.875000,332555
2011-04-14,900000.000000,900000.000000,884000.000000,900000.000000,837352.500000,505314
2011-04-15,898000.000000,899000.000000,882000.000000,888000.000000,826187.812500,445495
2011-04-18,891000.000000,892000.000000,866000.000000,867000.000000,806649.500000,548374
2011-04-19,853000.000000,875000.000000,853000.000000,875000.000000,814092.687500,461573
2011-04-20,889000.000000,916000.000000,886000.000000,916000.000000,852238.937500,640885
2011-04-21,930000.000000,937000.000000,918000.000000,928000.000000,863403.437500,541437
2011-04-22,924000.000000,927000.000000,902000.000000,904000.000000,841074.250000,376509
2011-04-25,901000.000000,911000.000000,889000.000000,889000.000000,827118.125000,286779
2011-04-26,899000.000000,899000.000000,880000.000000,897000.000000,834561.250000,383493
2011-04-27,917000.000000,927000.000000,911000.000000,924000.000000,859681.812500,527588
2011-04-28,924000.000000,927000.000000,899000.000000,900000.000000,837352.500000,416068
2011-04-29,901000.000000,908000.000000,880000.000000,893000.000000,830839.812500,428300
2011-05-02,910000.000000,937000.000000,904000.000000,932000.000000,867125.062500,650897
2011-05-03,936000.000000,940000.000000,922000.000000,938000.000000,872707.375000,507330
2011-05-04,930000.000000,934000.000000,900000.000000,915000.000000,851308.437500,515397
2011-05-06,899000.000000,914000.000000,895000.000000,899000.000000,836422.062500,472749
2011-05-09,908000.000000,911000.000000,891000.000000,891000.000000,828978.937500,270867
2011-05-11,889000.000000,895000.000000,882000.000000,892000.000000,829909.375000,447275
2011-05-12,886000.000000,901000.000000,883000.000000,885000.000000,823396.562500,552322
2011-05-13,896000.000000,924000.000000,890000.000000,916000.000000,852238.937500,668760
2011-05-16,917000.000000,919000.000000,898000.000000,901000.000000,838282.875000,322474
2011-05-17,897000.000000,898000.000000,889000.000000,890000.000000,828048.625000,230999
2011-05-18,893000.000000,899000.000000,886000.000000,893000.000000,830839.812500,331586
2011-05-19,891000.000000,898000.000000,880000.000000,880000.000000,818744.687500,386904
2011-05-20,885000.000000,887000.000000,880000.000000,882000.000000,820605.562500,221399
2011-05-23,877000.000000,885000.000000,872000.000000,873000.000000,812231.937500,281120
2011-05-24,872000.000000,884000.000000,865000.000000,865000.000000,804788.812500,289770
2011-05-25,879000.000000,879000.000000,853000.000000,856000.000000,796415.375000,320361
2011-05-26,868000.000000,880000.000000,865000.000000,879000.000000,817814.312500,279370
2011-05-27,874000.000000,899000.000000,867000.000000,891000.000000,828978.937500,429552
2011-05-30,895000.000000,895000.000000,876000.000000,884000.000000,822466.187500,205872
2011-05-31,890000.000000,914000.000000,886000.000000,902000.000000,839213.250000,477751
2011-06-01,902000.000000,912000.000000,895000.000000,911000.000000,847586.687500,313570
2011-06-02,894000.000000,897000.000000,880000.000000,883000.000000,821535.875000,331659
2011-06-03,890000.000000,890000.000000,877000.000000,885000.000000,823396.562500,201342
