Date,Title,Body
1/1/11,,
1/5/11,,
1/3/11,,
1/2/11,,
1/9/11,,
1/6/11,,
1/11/11,,
1/10/11,,
1/4/11,,
1/12/11,,
1/8/11,,
1/19/11,,
1/18/11,,
1/17/11,,
1/14/11,,
1/13/11,,
1/15/11,,
1/22/11,,
1/25/11,,
1/24/11,,
1/21/11,,
1/23/11,,
1/16/11,,
1/26/11,,
1/29/11,,
1/28/11,,
1/31/11,,
1/27/11,,
2/4/11,,
2/2/11,,
2/5/11,,
2/3/11,,
2/8/11,,
2/9/11,,
1/7/11,,
2/7/11,,
2/11/11,,
2/10/11,,
2/13/11,,
2/6/11,,
1/20/11,,
2/17/11,,
2/16/11,,
2/15/11,,
2/21/11,,
2/19/11,,
2/20/11,,
2/18/11,,
2/12/11,,
2/25/11,,
2/26/11,,
1/30/11,,
2/22/11,,
2/23/11,,
2/24/11,,
02/29/2011,,
2/28/11,,
3/1/11,,
2/27/11,,
02/30/2011,,
02/31/2011,,
2/1/11,,
3/3/11,,
3/4/11,,
3/7/11,,
3/8/11,,
3/6/11,,
3/9/11,,
3/10/11,,
3/11/11,,
3/13/11,,
3/16/11,,
3/17/11,,
2/14/11,,
3/19/11,,
3/18/11,,
3/14/11,,
3/20/11,,
3/23/11,,
3/21/11,,
3/15/11,,
3/27/11,,
3/26/11,,
3/24/11,,
3/25/11,,
3/5/11,,
4/1/11,,
3/29/11,,
3/31/11,,
3/30/11,,
3/2/11,,
4/6/11,,
3/22/11,,
3/12/11,,
4/3/11,,
4/4/11,,
4/2/11,,
4/7/11,,
4/12/11,,
4/10/11,,
4/8/11,,
4/9/11,,
4/5/11,,
4/13/11,,
4/14/11,,
4/17/11,,
4/18/11,,
4/15/11,,
4/11/11,,
4/20/11,,
4/21/11,,
4/19/11,,
4/22/11,,
4/23/11,,
4/16/11,,
4/24/11,,
4/29/11,,
4/27/11,,
4/28/11,,
4/25/11,,
4/26/11,,
4/30/11,,
3/28/11,,
04/31/2011,,
5/1/11,,
5/6/11,,
5/2/11,,
5/3/11,,
5/5/11,,
5/7/11,,
5/11/11,,
5/8/11,,
5/9/11,,
5/12/11,,
5/15/11,,
5/16/11,,
5/18/11,,
5/14/11,,
5/21/11,,
5/13/11,,
5/20/11,,
5/4/11,,
5/25/11,,
5/27/11,,
5/26/11,,
5/10/11,,
5/23/11,,
5/24/11,,
5/29/11,,
5/31/11,,
6/1/11,,
5/30/11,,
6/2/11,,
6/3/11,,
6/5/11,,
6/6/11,,
5/17/11,,
6/7/11,,
6/9/11,,
6/8/11,,
5/28/11,,
6/12/11,,
6/11/11,,
6/4/11,,
6/10/11,,
6/16/11,,
5/22/11,,
6/14/11,,
6/15/11,,
5/19/11,,
6/13/11,,
6/21/11,,
6/22/11,,
6/25/11,,
6/26/11,,
6/23/11,,
6/20/11,,
6/19/11,,
6/27/11,,
6/18/11,,
6/29/11,,
6/30/11,,
06/31/2011,,
7/1/11,,
6/17/11,,
7/2/11,,
7/3/11,,
7/5/11,,
7/6/11,"Facebook launches video chat with Skype,UPDATE 5-Facebook launches video chat with Skype","PALO ALTO, California Facebook will add Skype video chat to its pages, aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. |Â , * Microsoft, Google shares rise (Rewrites, adds Skype executive comments, analyst comment)"
