Date,Title,Body
1/3/11,,
1/2/11,,
1/1/11,,
1/9/11,,
1/7/11,,
1/5/11,,
1/4/11,,
1/6/11,,
1/10/11,,
1/16/11,,
1/13/11,,
1/14/11,,
1/17/11,,
1/15/11,,
1/20/11,,
1/19/11,,
1/22/11,,
1/18/11,,
1/21/11,,
1/24/11,,
1/26/11,,
1/27/11,,
1/23/11,,
1/29/11,,
1/28/11,,
1/31/11,,
1/30/11,,
2/3/11,,
2/4/11,,
2/1/11,,
2/2/11,,
2/8/11,,
2/6/11,,
2/9/11,,
2/11/11,,
2/10/11,,
1/8/11,,
2/12/11,,
2/14/11,,
1/11/11,,
2/5/11,,
2/15/11,,
2/19/11,,
2/17/11,,
2/18/11,,
2/13/11,,
1/25/11,,
2/22/11,,
2/23/11,,
2/24/11,,
2/20/11,,
2/28/11,,
2/27/11,,
2/26/11,,
2/25/11,,
1/12/11,,
02/29/2011,,
02/30/2011,,
2/7/11,,
3/4/11,,
3/3/11,,
3/5/11,,
3/6/11,,
02/31/2011,,
3/8/11,,
3/9/11,,
3/2/11,,
3/1/11,,
3/10/11,,
3/12/11,,
3/14/11,,
3/15/11,,
3/18/11,,
3/16/11,,
3/11/11,,
3/17/11,,
2/21/11,,
3/13/11,,
3/20/11,,
3/19/11,,
3/21/11,,
3/22/11,,
3/24/11,,
3/25/11,,
3/30/11,,
3/31/11,,
3/27/11,,
3/29/11,,
4/2/11,,
4/3/11,,
4/5/11,,
3/28/11,,
2/16/11,,
4/1/11,,
4/8/11,,
4/7/11,,
4/10/11,,
4/9/11,,
4/11/11,,
3/7/11,,
4/15/11,,
4/13/11,,
4/17/11,,
4/16/11,,
4/19/11,,
4/18/11,,
3/26/11,,
4/21/11,,
4/12/11,,
4/22/11,,
4/24/11,,
4/23/11,,
4/27/11,,
4/20/11,,
4/14/11,,
4/30/11,,
4/29/11,,
4/28/11,,
5/1/11,,
5/3/11,,
3/23/11,,
5/4/11,,
4/25/11,,
5/7/11,,
5/8/11,,
5/2/11,,
4/4/11,,
5/10/11,,
5/9/11,,
5/6/11,,
4/26/11,,
5/11/11,,
5/13/11,,
04/31/2011,,
5/16/11,,
5/15/11,,
5/5/11,,
5/20/11,,
5/17/11,,
5/19/11,,
5/18/11,,
5/23/11,,
5/25/11,,
5/24/11,,
4/6/11,,
5/22/11,,
5/30/11,,
5/28/11,,
5/12/11,,
5/27/11,,
6/2/11,,
6/3/11,,
5/21/11,,
6/6/11,,
6/5/11,,
6/4/11,,
5/14/11,,
6/9/11,,
6/10/11,,
6/8/11,,
6/11/11,,
6/13/11,,
6/12/11,,
5/31/11,,
5/26/11,,
6/7/11,,
6/17/11,,
6/1/11,,
6/21/11,,
6/16/11,,
6/19/11,,
6/18/11,,
6/20/11,,
5/29/11,,
6/23/11,,
6/26/11,,
6/27/11,,
6/25/11,,
6/22/11,,
6/29/11,,
7/1/11,,
06/31/2011,,
6/28/11,,
7/2/11,,
7/3/11,,
7/4/11,,
7/6/11,,
6/15/11,,
7/7/11,"Retail, tech lead Wall Street rally before jobs data,US STOCKS-Retail, tech lead Wall St rally before jobs data","NEW YORK Stocks closed sharply higher and the Nasdaq notched an eighth day of gains on Thursday as improved labor market and retail sales data added to optimism a day before the critical June payrolls report., * Dow up 0.7 pct, S&P up 1.1 pct, Nasdaq up 1.4 pct* For up-to-the-minute market news see [STXNEWS/US] (Updates to close)"
7/5/11,,
7/9/11,,
7/11/11,,
7/8/11,,
7/13/11,UPDATE 3-ASML sees slowdown for semiconductor industry," * Q2 net profit 432 mln euros, slightly above forecasts"
7/15/11,EXCLUSVE-UPDATE 2-TSMC to make new Apple chips on trial - source, * TSMC testing manufacture of next generation chip - source
7/14/11,"Would-be investors shun Mexican 'broadband for all',UPDATE 2-Fairchild Semi sees weak Q3 sales as costs rise,Samsung study rejects claims semiconductor plants caused cancers,Samsung study rejects claims semiconductor plants caused cancers"," * If plan fails, Mexico could push to get spectrum back, (Adds bullets, details in paragraphs 1-4, 6-8, share movement),GIHEUNG, South Korea A study commissioned by Samsung Electronics rejected assertions that employees may have been exposed to carcinogenic chemicals at its plants, as several cancer-stricken former employees of the world's top memory chipmaker seek compensation for their illnesses., GIHEUNG, South Korea, July 14 A study commissioned by SamsungElectronics rejected assertions that employees may have been exposedto carcinogenic chemicals at its plants, as several cancer-stricken formeremployees of the world's top memory chipmaker seek compensation for theirillnesses."
7/10/11,,
7/16/11,,
6/30/11,,
6/24/11,,
7/18/11,"UPDATE 5-IBM's services signings surge, stock rises,Chip outlook down on economy, PC sales, inventories,Economy, PC sales, inventories dim chip outlook"," * Sets positive tone for tech earns, corporate spending,SAN FRANCISCO Doubts about the economy and sluggish PC sales are clouding the second-half outlook for Intel and other chip makers as they prepare to unveil quarterly earnings this week., SAN FRANCISCO, July 18 Doubts about the economyand sluggish PC sales are clouding the second-half outlook forIntel Corp  and other chip makers as they prepare tounveil quarterly earnings this week."
7/17/11,,
7/23/11,,
7/22/11,"Analysis: Aging PC giants see writing on the wall,UPDATE 3-Air Products profit and outlook tepid; stock falls,US STOCKS-Futures up on Greece rescue deal, GE rises early","SAN FRANCISCO Silicon Valley's old guard is waking up to the fact that the era of consumer PC may be in its twilight, accelerating the need to invest and adapt to rapidly changing tastes., * Forecasts fiscal Q4 profit in range mostly below Street, * Futures up: Dow 36 pts, S&P 2.9 pts, Nasdaq 0.5 pt"
6/14/11,,
7/26/11,"Economic jitters threaten holiday chip cheer,Economic jitters threaten holiday chip cheer,CORRECTED-OFFICIAL-UPDATE 1-Israel grants Intel $295 mln,Israel grants Intel 1 bln shekels for chip plants,UPDATE 2-ARM cautious on Christmas holiday sales","SAN FRANCISCO Makers of chips for TVs, game consoles and other consumer electronics aren't expecting much for Christmas, but insatiable demand for high-end gadgets like Apple's iPad will likely deliver some cheer., SAN FRANCISCO, July 26 Makers of chips for TVs,game consoles and other consumer electronics aren't expectingmuch for Christmas, but insatiable demand for high-end gadgetslike Apple's  iPad will likely deliver some cheer., (Corrects figure in second paragraph to $5 bln, aftercorrection from government ministry), JERUSALEM, July 26 Israel's government approveda 1 billion shekel ($295 million) grant to Intel Corp to invest in two local chip plants, the Industry and TradeMinistry said on Tuesday., * Sees sequential rise in industry revenue in currentquarter"
7/27/11,RPT-Economic jitters threaten holiday chip cheer," SAN FRANCISCO, July 26 Makers of chips for TVs,game consoles and other consumer electronics aren't expectingmuch for Christmas, but insatiable demand for high-end gadgetslike Apple's  iPad will likely deliver some cheer."
7/29/11,,
7/21/11,"UPDATE 5-Microsoft Windows fizzles as PC fears loom,U.S. debt news and euro debt agreement fuel rally,Microsoft profit beats Street, Windows fizzle,AMD's outlook shines, CEO hunt top priority,UPDATE 3-AMD's outlook shines, CEO hunt top priority,US STOCKS-U.S. debt news, euro debt agreement fuel rally,US STOCKS-US, EU upbeat debt news fuels rally,BUY OR SELL-Are worries about Intel overblown?,US STOCKS-Wall St climbs on financials, debt progress,US STOCKS-Wall St higher on financials, transports"," * Sales up 8 pct to $17.37 bln, vs estimate at $17.23 bln,NEW YORK Stocks climbed on Thursday as signs of progress on the U.S. debt talks and concrete action from Europe on its own debt crisis heartened investors. |Â ,SEATTLE Microsoft Corp eased past Wall Street's earnings estimates, helped by strong sales of its Office software and Xbox game console and an unusually low tax rate.,SAN FRANCISCO Advanced Micro Devices Inc  forecast that its revenue will rise faster than Wall Street expected and that its margins will increase, helping its shares to a 6 percent after-hours rally., * Shares jump after-hours (Adds details from call, CEO search)), * Indexes up: Dow 1.2 pct, S&P 1.4 pct, Nasdaq 0.7 pct, * Indexes up: Dow 1.2 pct, S&P 1.4 pct, Nasdaq 0.7 pct, (For more Reuters BUY OR SELL stories, click on [BUYSELL/] ), * Indexes up: Dow 1.2 pct, S&P 1.4 pct, Nasdaq 0.7 pct, * Indexes up: Dow 1.4 pct, S&P 1.5 pct, Nasdaq 1 pct"
7/30/11,,
7/19/11,"Economy, PC sales and inventories dim chip outlook",SAN FRANCISCO Doubts about the economy and sluggish PC sales are clouding the second-half outlook for Intel Corp  and other chip makers as they prepare to unveil quarterly earnings this week.
7/25/11,,
7/31/11,,
8/1/11,,
7/24/11,,
8/2/11,Exclusive: Nine Google complainants in EU probe,"BRUSSELS Google faces a total of nine antitrust complaints which EU regulators are now investigating, two sources said on Tuesday, as rivals ramped up the pressure on the world No. 1 search engine."
7/28/11,"Infineon profits jump on strong car industry demand,UPDATE 4-Infineon profits jump on strong car industry demand","HELSINKI German chipmaker Infineon Technologies AG reported higher-than-expected quarterly profit and sales on strong demand from automotive and industrial customers., * Fiscal Q3 sales 1.04 mln euros vs market view 1.01 bln"
8/5/11,"Intel's McAfee product leverages old chip features,Intel's McAfee product leverages old chip features","SAN FRANCISCO Intel's first cyber-security product co-developed with its McAfee unit will take advantage of features already built into its processors and will likely be available as an extra service to customers., SAN FRANCISCO, Aug 5 Intel's  firstcyber-security product co-developed with its McAfee unit willtake advantage of features already built into its processorsand will likely be available as an extra service to customers."
8/7/11,"Hackers don't need movie magic to wreak havoc,Hackers don't need movie magic to wreak havoc","LAS VEGAS Evil hackers with state-of-the-art computers gain remote control of a power plant and blow it up, killing many people and threatening more mayhem if a huge ransom is not paid., * Targets range from electricity plants to insulin pumps"
8/4/11,RPT-UPDATE 4-'State actor' behind slew of cyber attacks, * 'Operation Shady RAT' took data from at least 72 victims
8/6/11,,
8/10/11,"Rajaratnam sentencing may be a fight to the death,Rajaratnam sentencing may be a fight to the death,Congresswoman eyes McAfee briefing on cyber attacks,US lawmaker eyes McAfee briefing on cyber attacks","NEW YORK A U.S. government request that Galleon Group hedge fund founder Raj Rajaratnam spend as much as 24-1/2 years in prison -- a term associated more with murder than financial crimes -- raises the ante in the biggest individual insider trading case in a generation., * Galleon Group founder seeks shorter term, cites health,WASHINGTON A congresswoman on Wednesday requested more information on security company McAfee's report detailing a five-year hacking campaign that breached 72 organizations globally., * Asks about hacking campaign's reach into consumers' data"
8/12/11,,
7/12/11,,
8/11/11,"UPDATE 1-Intel expects Ultrabook PCs priced below $999 in Q4,Intel expects Ultrabook PCs priced below $999 in Q4,Intel says Ultrabook PCs priced below $999 in Q4","  ,TAIPEI/BANGALORE Top chipmaker Intel Corp said computer makers Lenovo, Asustek and Acer will launch its new category of notebook computer in the third to fourth quarter, and expects to see their prices below $999 in the fourth quarter., TAIPEI, Aug 11 Top chipmaker Intel Corp said on Thursday that computer maker Lenovo andAsustek will launch Intel's new category of notebookin the third to fourth quarter, and expects to see their pricesbelow $999 in the fourth quarter."
8/8/11,"UPDATE 2-Intel CFO says view unshaken by US debt downgrade,Financial advisers have ""black Monday"" blues,REFIlE-U.S. financial advisers have ""black Monday"" blues,Intel CFO says U.S. downgrade doesn't hurt business,Intel CFO says U.S. downgrade doesn't hurt business,ASIA PRIVATE EQUITY WEEKLY NEWS, AUGUST 8, 2011"," * Outlook uncertain for much of chipmarket (Adds detail on Intel, background on industry),NEW YORK For plenty of financial advisers -- who also serve as quasi-therapists, spiritual gurus and confidantes -- Monday was bad., NEW YORK, Aug 8 For plenty of financialadvisers -- who also serve as quasi-therapists, spiritual gurusand confidantes -- Monday was bad., SAN FRANCISCO, Aug 8 Intel's chief financialofficer said he does not expect S&P's downgrade of U.S.sovereign debt to hurt business at the top personal computerchipmaker this quarter, after a sharp sell-off on Wall Streeton Monday., SAN FRANCISCO, Aug 8 Intel's chief financialofficer said he does not expect S&P's downgrade of U.S.sovereign debt to hurt business at the top personal computerchipmaker this quarter, after a sharp sell-off on Wall Streeton Monday., HONG KONG, Aug 8 News and developments in Asiaprivate equity from Reuters News for the week ending Aug 5."
7/20/11,"Intel pulls back PC market outlook, shares slide,UPDATE 5-Intel pulls back PC market outlook, shares slide,Apple rolls out new Macs, shares set record,Wall Street closes flat as debt worries offset earns,CORRECTED-BRIEF-Intel Q2 results,US STOCKS-Wall St closes flat as debt worries offset earns,How to play it: Apple surges after stellar results,HOW TO PLAY IT: Apple surges after stellar results,Stern Advice: Is it 1999 all over again for tech stocks?,Stern Advice: Is it 1999 all over again for tech stocks?","SAN FRANCISCO Intel Corp trimmed its forecast for 2011 personal computer unit sales, warning of softness in mature markets and sending its shares more than 1 percent lower. |Â , * Stock lower after hours (Adds analyst's and CEO's comment, byline; updates shareprices),SAN FRANCISCO Apple Inc shares flirted with a record $400 on Wednesday, a day after the world's most valuable technology company posted blockbuster results and triggered a spate of brokerage upgrades. |Â ,NEW YORK Stocks closed near unchanged on Wednesday, a day after Wall Street's best rally since March, as the oncoming debt ceiling deadline overshadowed strong earnings from Apple Inc. |Â , (Corrects fourth bullet point to fix period and revenue amount.Also corrects tenth bullet to fix Q3 non-GAAP margin forecast), * Indexes off: Dow 0.12 pct, S&P 0.07 pct, Nasdaq 0.43 pct  (Adds Intel, American Express earnings),NEW YORK/CHICAGO Apple Inc's stellar quarterly results trounced Wall Street expectations and sent the company's shares up more than 5 percent on Wednesday. The iPhone maker said revenue nearly doubled in its fiscal third quarter., NEW YORK/CHICAGO, July 20 Apple Inc's stellar quarterly results trounced Wall Street expectations andsent the company's shares up more than 5 percent on Wednesday.The iPhone maker said revenue nearly doubled in its fiscalthird quarter.,WASHINGTON I wasn't one of those people who lost a bunch of money when dot-com stocks blew up in 2000, but to be honest, that's because I didn't make a lot of money in the bubblicious run up, either., WASHINGTON, July 20 I wasn't one of thosepeople who lost a bunch of money when dot-com stocks blew up in2000, but to be honest, that's because I didn't make a lot ofmoney in the bubblicious run up, either."
8/9/11,"Tesla names automotive newcomers as Model S execs,Tesla names automotive newcomers as Model S execs,UPDATE 3-Emerging markets comfort Intel CFO as stocks fall","DETROIT Tesla Motors named four executives, none from the automotive industry, to help the Silicon Valley company prepare for the mass production of its Model S car, which is due out in 2012., DETROIT, Aug 9 Tesla Motors  named fourexecutives, none from the automotive industry, to help theSilicon Valley company prepare for the mass production of itsModel S car, which is due out in 2012., * Outlook uncertain for much of chip market (Rewrites first paragraph, adds detail on Intel, background)"
8/17/11,,
8/13/11,,
8/15/11,"ASIA PRIVATE EQUITY WEEKLY NEWS, AUGUST 15, 2011"," HONG KONG, August 15 News and developments inAsia private equity from Reuters News for the week ending August12."
8/18/11,"UPDATE 4-Mosaid deal would create global patent power-WiLan,Mosaid deal would create global patent power: WiLan"," * WiLan offer is at 20 premium to Mosaid's Wednesday close,TORONTO A proposed combination of two Canadian patent licensing companies will make it easier to extract lucrative licensing deals from technology giants, would-be buyer WiLan said on Thursday."
8/16/11,UPDATE 1-Asustek sees optimistic Q3 on stronger China demand," * Targets 14 pct market share in China this yr vs 13 pctlast yr"
8/19/11,"UPDATE 6-HP sinks as investors flee business revamp,HP sinks as investors flee business revamp,Intel to face heat if HP spins off PC business: Nomura"," * Shares close off 20 percent, worst day since 1987 (Adds analyst comment, share price update),NEW YORK/BANGALORE Shares of Hewlett-Packard slumped by more than 20 percent to a six-year low on Friday as investors wiped about $16 billion off the market value of the world's biggest PC maker in a resounding rejection of its plan for a major shake-up. |Â ,Intel Corp's PC business will face greater pricing pressure following Hewlett-Packard Co's decision to spin off its personal computers business, Nomura said and added that it expects the top chipmaker to miss its third-quarter guidance."
8/24/11,FACTBOX-Biggest changes in Nasdaq short interest," NEW YORK, Aug 24 Short interest on the Nasdaq rose 3.9 percentin the first half of August compared with the second half of July, the exchangesaid on Wednesday."
8/23/11,"Malware targeting Android devices jumps 76 percent in Q2: McAfee,Malware targeting Android devices jumped 76 pct in Q2 - McAfee","U.S. computer security software maker McAfee said the number of malware targeted at Android devices jumped 76 percent since last quarter, making Android the most attacked mobile operating system., Aug 23 U.S. computer security software makerMcAfee said the number of malware targeted at Android devicesjumped 76 percent since last quarter, making Android the mostattacked mobile operating system."
8/20/11,,
8/21/11,,
8/3/11,"""State actor"" behind slew of cyber attacks,UPDATE 5-'State actor' behind slew of cyber attacks,Intel Capital invests in three Chinese tech companies,UPDATE 1-Biggest-ever series of cyber attacks uncovered, UN hit,Biggest-ever series of cyber attacks uncovered, UN hit","BOSTON Security experts have discovered an unprecedented series of cyber attacks on the networks of 72 organizations globally, including the United Nations, governments and corporations, over a five-year period. |Â , * 'Operation Shady RAT' took data from at least 72 victims, Aug 3 Intel Capital, the investment arm of IntelCorp , has invested $22 million in three Chinesetechnology companies, the company president said on Wednesday., * Security firm McAfee discloses unprecedented attacks, * 'Operation Shady RAT' took data from at least 72 victims"
8/30/11,"Oracle brings new claims against HP in Itanium case,UPDATE 1-Oracle brings new claims against HP in Itanium case,HP may resurrect TouchPad, weighs PC spinoff,Oracle brings new claims against HP in Itanium case","SAN FRANCISCO Oracle Corp accused Hewlett-Packard Co of fraud for concealing facts during negotiations between the two companies, according to a court filing., * Itanium case marks poor relations between Oracle, HP (Adds HP statement),BEIJING Hewlett-Packard Co may resurrect its TouchPad as it weighs a spinoff of its personal computer arm, the head of its PC division said, suggesting HP might revive a tablet that lasted just six weeks in the face of stiff competition from Apple Inc., SAN FRANCISCO, Aug 30 Oracle  accusedHewlett-Packard  of fraud for concealing facts duringnegotiations between the two companies, according to a courtfiling."
8/25/11,"UPDATE 3-AMD ends CEO search, hires Lenovo executive,UPDATE 2-AMD ends CEO search, hires Lenovo veteran,AMD ends CEO search, hires Lenovo veteran,Newsmaker: Cook's vision center stage after Jobs's departure,NEWSMAKER-Cook's vision center stage after Jobs' departure"," * He promises to be aggressive in adding mobile products, NEW YORK, Aug 25 Advanced Micro Devices Inc named Rory Read as its new chief executive on Thursday,hiring the Lenovo Group Ltd  executive after a searchthat began in January.,NEW YORK Advanced Micro Devices Inc  named Rory Read as its new chief executive on Thursday, hiring the Lenovo Group Ltd  executive after a search that began in January.,NEW YORK Tim Cook, the small-town football fanatic turned chief executive of the world's largest technology company, long faced the question of whether he had the same remarkable vision as his predecessor Steve Jobs., NEW YORK, Aug. 24 Tim Cook, the small-townfootball fanatic turned chief executive of the world's largesttechnology company, long faced the question of whether he hadthe same remarkable vision as his predecessor Steve Jobs."
8/31/11,"UPDATE 4-US solar company that Obama visited will shut down,Solar company that Obama visited will shut down,UPDATE 3-LTX-Credence warns of surprise loss, shares fall"," * Company raised some $1 bln in venture capital funds (Adds DOE, Republican lawmaker comments),LOS ANGELES Solar start-up Solyndra LLC, succumbing to pressure from lower-cost Chinese rivals, said it has suspended operations and plans to file for bankruptcy, 15 months after President Barack Obama visited a company factory that was to be expanded with the help of a federal loan guarantee., * Shares down 21 pct (Adds analyst comment in paragraph 3,4, updates shares)"
8/27/11,,
8/26/11,,
9/1/11,"Zarlink expecting white-knight takeover offer,UPDATE 5-Zarlink expecting white-knight takeover offer,Solar company that Obama visited will shut down","TORONTO Specialty chipmaker Zarlink Semiconductor said on Thursday it expects a white knight to best a hostile C$550 million ($561 million) takeover offer from U.S. rival Microsemi, and is in talks with at least 15 potential buyers., * Zarlink shares up 3.62 percent at C$3.72 (Adds analyst comment, stock close),LOS ANGELES Solar startup Solyndra LLC, succumbing to pressure from lower-cost Chinese rivals, said it has suspended operations and plans to file for bankruptcy, 15 months after President Barack Obama visited a company factory that was to be expanded with the help of a federal loan guarantee."
8/28/11,,
9/2/11,"Microsemi says could walk away from Zarlink bid,UPDATE 3-Microsemi says could walk away from Zarlink bid,China's GCL-Poly Energy signs $713 million loan deal,China's GCL-Poly Energy signs $713 mln loan deal","TORONTO Chipmaker Microsemi Corp has dared takeover target Zarlink Semiconductor  to show it can get a bid higher than the C$550 million ($561 million) it has offered, saying it is willing to walk away from the bid., * Zarlink shares fall 1.08 percent (Reworks first paragraph),HONG KONG China's top polysilicon company GCL-Poly Energy Holdings Ltd said on Friday it secured loans worth $713 million from state-owned lender China Development Bank in a deal highlighting the nation's continuing support for the solar sector., HONG KONG, Sept 2 China's top polysiliconcompany GCL-Poly Energy Holdings Ltd said on Friday it securedloans worth $713 million from state-owned lender ChinaDevelopment Bank in a deal highlighting the nation'scontinuing support for the solar sector."
8/22/11,,
9/4/11,,
9/7/11,"Nvidia up on outlook, analysts skeptical,Nvidia up on outlook, analysts skeptical","Shares of Nvidia Corp  jumped more than 11 percent on Wednesday, as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,Shares of Nvidia Corp jumped more than 11 percent on Wednesday, as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets."
9/6/11,"S.Korea-Market Factors to watch Sept 7,U.S. solar firm Solyndra files for bankruptcy,UPDATE 1-US solar firm Solyndra files for bankruptcy protection"," SEOUL, Sept 7 Following is a list of events inSouth Korea as well as news stories and press reports which mayinfluence financial markets. (Reuters News welcomes yourfeedback and for any queries, please contact the Seoul newsroomat +822 3704 5640 or via email at kr.rtrs@gmail.com)    	WHAT IS HAPPENING IN KOREA (Times local, GMT +9 hrs) 	1300	>Korea Midland Power Co Ltd (KOMIPO) to close tenders to buy490,000 tonnes of sub-bituminous coal for delivery betweenOctober and ,WILMINGTON, Delaware Solyndra LLC, a solar panel maker that received $535 million in federal loan guarantees, filed for bankruptcy, the third U.S. solar firm to succumb to pressure from Chinese rivals in recent weeks., Sept 6 Solyndra LLC, a solar panel maker whichhad earlier received $535 million in federal loan guarantees,filed for Chapter 11 bankruptcy protection early on Tuesday,making it the third U.S. solar firm to succumb to pressure fromlower-cost Chinese rivals."
