Date,Title,Body
1/4/11,,
1/2/11,,
1/1/11,,
1/8/11,,
1/3/11,,
1/5/11,,
1/6/11,,
1/15/11,,
1/14/11,,
1/10/11,,
1/11/11,,
1/19/11,,
1/18/11,,
1/21/11,,
1/12/11,,
1/20/11,,
1/17/11,,
1/22/11,,
1/23/11,,
1/25/11,,
1/24/11,,
1/27/11,,
1/29/11,,
1/26/11,,
1/28/11,,
1/7/11,,
2/1/11,,
2/2/11,,
1/31/11,,
1/30/11,,
2/7/11,,
2/8/11,,
2/9/11,,
1/16/11,,
2/10/11,,
2/11/11,,
2/12/11,,
1/13/11,,
2/5/11,,
2/4/11,,
2/14/11,,
2/13/11,,
2/3/11,,
2/15/11,,
2/18/11,,
2/20/11,,
2/6/11,,
2/23/11,,
1/9/11,,
2/24/11,,
2/25/11,,
2/26/11,,
2/16/11,,
2/28/11,,
2/22/11,,
2/17/11,,
3/2/11,,
02/29/2011,,
3/1/11,,
02/30/2011,,
3/5/11,,
3/4/11,,
3/8/11,,
2/19/11,,
3/6/11,,
02/31/2011,,
3/3/11,,
3/12/11,,
3/7/11,,
3/10/11,,
3/13/11,,
3/11/11,,
3/15/11,,
3/18/11,,
3/19/11,,
3/9/11,,
3/17/11,,
3/14/11,,
3/20/11,,
3/16/11,,
3/23/11,,
3/21/11,,
3/25/11,,
3/27/11,,
3/26/11,,
2/21/11,,
3/29/11,,
3/31/11,,
4/3/11,,
2/27/11,,
3/22/11,,
4/2/11,,
4/7/11,,
4/5/11,,
4/6/11,,
3/28/11,,
4/4/11,,
3/24/11,,
4/9/11,,
4/10/11,,
4/11/11,,
4/8/11,,
4/14/11,,
4/13/11,,
4/18/11,,
3/30/11,,
4/1/11,,
4/19/11,,
4/20/11,,
4/21/11,,
4/12/11,,
4/22/11,,
4/23/11,,
4/16/11,,
4/29/11,,
4/24/11,,
4/17/11,,
4/25/11,,
4/15/11,,
4/30/11,,
5/2/11,,
5/4/11,,
5/3/11,,
5/5/11,,
5/8/11,,
5/9/11,,
5/1/11,,
5/6/11,,
4/26/11,,
4/27/11,,
5/10/11,,
5/11/11,,
04/31/2011,,
4/28/11,,
5/14/11,,
5/13/11,,
5/15/11,,
5/7/11,,
5/21/11,,
5/22/11,,
5/19/11,,
5/17/11,,
5/18/11,,
5/20/11,,
5/25/11,,
5/27/11,,
5/28/11,,
5/29/11,,
5/23/11,,
6/1/11,,
5/12/11,,
6/3/11,,
6/2/11,,
5/31/11,,
6/6/11,,
5/30/11,,
6/9/11,,
6/7/11,,
5/26/11,,
5/16/11,,
6/12/11,,
6/11/11,,
6/4/11,,
5/24/11,,
6/15/11,,
6/13/11,,
6/17/11,,
6/5/11,,
6/20/11,,
6/21/11,,
6/8/11,,
6/18/11,,
6/22/11,,
6/25/11,,
6/19/11,,
6/27/11,,
6/10/11,,
6/14/11,,
6/26/11,,
6/28/11,,
6/24/11,,
06/31/2011,,
6/29/11,,
7/1/11,,
7/2/11,,
6/16/11,,
7/7/11,"Buffett donates $1.5 billion to Gates Foundation,UPDATE 1-Buffett donates $1.5 billion to Gates Foundation,UPDATE 1-Canada eyes Nortel patent sale review- minister,Canada eyes Nortel patent sale review- minister,Facebook launches video chat with Skype,Hulu owners seeking best sale value, says Disney's Iger","NEW YORK Investor Warren Buffett has donated another $1.5 billion to the Bill & Melinda Gates Foundation, part of his plan that began in 2006 to donate 99 percent of his wealth., NEW YORK, July 7 Investor Warren Buffett hasdonated another $1.5 billion to the Bill & Melinda GatesFoundation, part of his plan that began in 2006 to donate 99percent of his wealth., * Gives no detail on timeline for decision (Adds quotes from minister, details), OTTAWA, July 7 Canadian Industry MinisterChristian Paradis said on Thursday that officials in his officeare studying whether to formally review a sale of Nortelpatents to ensure investment law was properly applied.,PALO ALTO, California Facebook will add Skype video chat to its pages, aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. |Â , SUN VALLEY, Idaho, July 6 Hulu's current jointowners are seeking the highest possible value in a sale ratherthan focusing on who a new owner might be, Walt Disney Co Chief Executive Bob Iger said on Wednesday."
7/6/11,"Facebook launches video chat with Skype,UPDATE 5-Facebook launches video chat with Skype","PALO ALTO, California Facebook will add Skype video chat to its pages, aiming to spice up the appeal of the world's No. 1 Internet social networking service while fending off increased competition from Google. |Â , * Microsoft, Google shares rise (Rewrites, adds Skype executive comments, analyst comment)"
7/8/11,"IFR-US CREDIT-Bondholders take backseat to shareholders,Local.com shares leap on Google deal,Buffett gives $1.78 billion to Gates, family charities,UPDATE 2-Buffett gives $1.78 bln to Gates, family charities"," NEW YORK, July 8 (IFR) - The increase inshareholder-friendly activity among investment-grade bondissuers has bondholders concerned that their interest might notbe at heart in the boardrooms of their portfolio companies.,BANGALORE Shares of Local.com Corp  surged 24 percent to a 10-week high on Friday, a day after the U.S. search provider signed an agreement with Google Inc  for advertising and search services.,NEW YORK Investor Warren Buffett has donated another $1.78 billion to several charities, with the bulk going to the Bill & Melinda Gates Foundation, as part of his plan begun in 2006 to donate 99 percent of his wealth., * Buffett donating 99 percent of wealth (Adds additional donations)"
7/10/11,,
7/9/11,Murdoch: Closing newspaper a 'collective decision'," SUN VALLEY, IDAHO, July 9 Rupert Murdoch saidon Saturday the decision to close the embattled ""News of theWorld"" tabloid was ""a collective decision."""
7/13/11,"UK spies losing Web experts to private sector: report,UK spies losing Web experts to private sector-report","LONDON British intelligence eavesdroppers are suffering a steady loss of Internet experts to the private sector because the likes of Google and Microsoft offer much higher wages, a group of lawmakers said on Wednesday., LONDON, July 13 British intelligenceeavesdroppers are suffering a steady loss of Internet experts tothe private sector because the likes of Google andMicrosoft offer much higher wages, a group of lawmakerssaid on Wednesday."
7/12/11,"Google costs in focus after busy quarter,PREVIEW-Google costs in focus after busy quarter,Apple chief patent lawyer leaving: sources,RIM could do better as two businesses: analyst,UPDATE 1-RIM could do better as two businesses - analyst","SAN FRANCISCO Google Inc's investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday, following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices., SAN FRANCISCO, July 12 Google Inc's investment spree and shrinking profit margins will draw investorscrutiny when it reports its earnings on Thursday, following aneventful quarter when the company launched the Google+ socialnetwork and the government disclosed a probe of its businesspractices.,SAN FRANCISCO Apple Inc's chief patent counsel will soon leave the company, at a time when the iPhone maker is fighting numerous legal battles around the world, according to sources familiar with the situation.,TORONTO BlackBerry maker Research In Motion should split itself in two to liberate locked-in value and speed up innovation at a company that has lagged its competitors, a brokerage said on Tuesday., * RBC says a split would promote innovation, unlock value"
7/11/11,"Courts OK Nortel patent sale to Apple/RIM group,UPDATE 3-Courts OK Nortel patent sale to Apple/RIM group,Bondholders take backseat to shareholders","WILMINGTON, Delaware Apple Inc, Microsoft Corp, Research in Motion Ltd and three other leading tech companies received court approval on Monday to buy wireless patents from bankrupt Nortel Networks Corp for $4.5 billion., * Money goes to paying off Nortel debts (Adds background on antitrust concerns in paragraph 16),NEW YORK, July 8 (IFR) - The increase in shareholder-friendly activity among investment-grade bond issuers has bondholders concerned that their interest might not be at heart in the boardrooms of their portfolio companies."
