Date,Title,Body
1/1/11,,
1/2/11,,
1/3/11,,
1/9/11,,
1/10/11,,
1/11/11,,
1/12/11,,
1/13/11,,
1/14/11,,
1/16/11,,
1/17/11,,
1/15/11,,
1/18/11,,
1/20/11,,
1/19/11,,
1/22/11,,
1/21/11,,
1/23/11,,
1/24/11,,
1/25/11,,
1/26/11,,
1/27/11,,
1/29/11,,
1/30/11,,
1/28/11,,
1/31/11,,
2/1/11,,
2/2/11,,
2/3/11,,
2/4/11,,
2/5/11,,
2/6/11,,
2/7/11,,
2/8/11,,
2/9/11,,
2/11/11,,
2/12/11,,
2/10/11,,
2/15/11,,
2/13/11,,
2/14/11,,
2/16/11,,
2/18/11,,
1/5/11,,
2/19/11,,
1/4/11,,
2/17/11,,
1/7/11,,
1/6/11,,
1/8/11,,
2/20/11,,
2/22/11,,
2/24/11,,
2/21/11,,
02/29/2011,,
2/23/11,,
02/30/2011,,
2/28/11,,
2/25/11,,
2/26/11,,
2/27/11,,
3/1/11,,
3/3/11,,
02/31/2011,,
3/8/11,,
3/4/11,,
3/2/11,,
3/9/11,,
3/5/11,,
3/6/11,,
3/7/11,,
3/11/11,,
3/10/11,,
3/13/11,,
3/14/11,,
3/12/11,,
3/16/11,,
3/17/11,,
3/19/11,,
3/18/11,,
3/20/11,,
3/21/11,,
3/15/11,,
3/22/11,,
3/23/11,,
3/25/11,,
3/24/11,,
3/26/11,,
4/1/11,,
3/27/11,,
3/28/11,,
3/29/11,,
4/2/11,,
3/31/11,,
4/3/11,,
3/30/11,,
4/4/11,,
4/5/11,,
4/6/11,,
4/12/11,,
4/10/11,,
4/13/11,,
4/11/11,,
4/7/11,,
4/9/11,,
4/8/11,,
4/14/11,,
4/16/11,,
4/18/11,,
4/15/11,,
4/19/11,,
4/20/11,,
4/21/11,,
4/17/11,,
4/22/11,,
4/24/11,,
4/23/11,,
4/25/11,,
4/26/11,,
4/29/11,,
04/31/2011,,
4/27/11,,
4/28/11,,
5/2/11,,
5/1/11,,
4/30/11,,
5/4/11,,
5/3/11,,
5/5/11,,
5/6/11,,
5/8/11,,
5/13/11,,
5/12/11,,
5/14/11,,
5/11/11,,
5/9/11,,
5/10/11,,
5/16/11,,
5/18/11,,
5/7/11,,
5/15/11,,
5/19/11,,
5/20/11,,
5/21/11,,
5/22/11,,
5/17/11,,
5/24/11,,
5/23/11,,
5/27/11,,
5/26/11,,
5/25/11,,
5/28/11,,
5/29/11,,
5/30/11,,
5/31/11,,
6/1/11,,
6/4/11,,
6/3/11,,
6/10/11,,
6/2/11,,
6/5/11,,
6/6/11,,
6/7/11,,
6/9/11,,
6/8/11,,
6/12/11,,
6/11/11,,
6/13/11,,
6/14/11,,
6/15/11,,
6/18/11,,
6/19/11,,
6/20/11,,
6/22/11,,
6/23/11,,
6/16/11,,
6/17/11,,
6/21/11,,
6/24/11,,
6/29/11,,
6/30/11,,
6/25/11,,
6/28/11,,
06/31/2011,,
6/26/11,,
6/27/11,,
7/2/11,,
7/1/11,,
7/3/11,,
7/4/11,,
7/5/11,,
7/6/11,,
7/9/11,,
7/7/11,"Internet providers to act against online pirates,US Internet providers to act against online pirates,Varney to step down as top antitrust official,UPDATE 2-Varney to step down as top U.S. antitrust official","LOS ANGELES Consumers who illegally download copyrighted films, music or television shows might see their Internet speed slowed or access restricted under an industry anti-piracy effort announced on Thursday., * Illegal downloading could lead to temporary restrictions,WASHINGTON Christine Varney, the top antitrust official in the U.S. Justice Department, is stepping down, the department said on Wednesday., * Experts do not expect sharp change in antitrust policy"
7/10/11,,
7/8/11,U.S. Internet providers to act against online pirates,"LOS ANGELES Consumers who illegally download copyrighted films, music or television shows might see their Internet speed slowed or access restricted under an industry anti-piracy effort announced on Thursday."
7/11/11,"Courts OK Nortel patent sale to Apple/RIM group,UPDATE 3-Courts OK Nortel patent sale to Apple/RIM group","WILMINGTON, Delaware Apple Inc, Microsoft Corp, Research in Motion Ltd and three other leading tech companies received court approval on Monday to buy wireless patents from bankrupt Nortel Networks Corp for $4.5 billion., * Money goes to paying off Nortel debts (Adds background on antitrust concerns in paragraph 16)"
7/12/11,"Regulators combat unauthorized phone bill fees,US regulators combat unauthorized phone bill fees","WASHINGTON Telephone companies would have to make third-party charges on landline phone bills clear and distinct to help people detect unauthorized fees under rules proposed on Tuesday by communications regulators., * Companies would have to make third-party charges clear"
7/13/11,"CORRECTED-UPDATE 1-Adtran shares fall on Q3 revenue outlook,As copper soars, thieves extract a price,As copper soars, thieves extract a price,As copper soars, thieves extract a price,Adtran shares up on Q2 profit beat,Adtran shares up on Q2 profit beat,PRESS DIGEST - Wall Street Journal - July 13"," (Removes reference to lower-than-expected revenue in paragraph1),NEW YORK When thieves ransacked eight air conditioners in an apartment complex in the city of Mobile, Alabama, the culprits made off with $800 worth of scrap metal and left residents with $38,000 worth of damages.,NEW YORK When thieves ransacked eight air conditioners in an apartment complex in the city of Mobile, Alabama, the culprits made off with $800 worth of scrap metal and left residents with $38,000 worth of damages., NEW YORK, July 13 When thieves ransacked eightair conditioners in an apartment complex in the city of Mobile,Alabama, the culprits made off with $800 worth of scrap metaland left residents with $38,000 worth of damages.,Bangalore Shares of Adtran Inc  rose 4 percent in premarket trade on Wednesday, a day after the network communications gear maker posted second-quarter profit ahead of Wall Street estimates., July 13 Shares of Adtran Inc rose 4percent in premarket trade on Wednesday, a day after the networkcommunications gear maker posted second-quarter profit ahead ofWall Street estimates., July 13 The following were the top stories inThe Wall Street Journal on Wednesday. Reuters has not verifiedthese stories and does not vouch for their accuracy."
7/14/11,"CORRECTED-As copper soars, thieves extract a price,Sweden raids local Nasdaq bourse in competition probe,UPDATE 3-Sweden raids local Nasdaq bourse in competition probe,Sweden raids stock exchange in competition probe,PRESS DIGEST - Financial Times - July 14,Swedish regulators raid stock exchange - paper"," (Corrects copper prices by adding missing decimal point infifth paragraph),STOCKHOLM, July 14 - Swedish regulators have raided U.S.-owned bourse operator Nasdaq OMX Group in a competition probe likely to raise questions over exchanges' efforts to woo controversial high-frequency traders., * Complaint involves Verizon data centre (Adds detail, background, Verizon comment),STOCKHOLM Swedish regulators have raided leading local bourse operator Nasdaq OMX Group  in a competition probe sparked by a complaint from a small local rival, officials said on Thursday., The International Monetary Fund said the Greek sovereigndebt burden could spiral out of control and that it would beappropriate for private bondholders to share in anyrestructuring. http://www.ft.com/cms/s/0/fdd18148-ad72-11e0-bc4f-00144feabdc0.html#axzz1RvODm5Bi, LONDON, July 14 Sweden's regulators have raidedthe country's stock exchange as part of an investigation intowhether Nasdaq OMX  is trying to suppress competitionfrom rival trading platforms in the region, the Financial Timesreported on Thursday."
7/16/11,,
7/15/11,,
7/17/11,,
7/18/11,,
7/19/11,"UPDATE 2-Isis hooks up with four payment networks,Isis hooks up with four credit networks,Verizon to dominate Q2 wireless growth,PREVIEW-Verizon to dominate Q2 wireless growth"," NEW YORK, July 19  Isis, a venture of three ofthe top four U.S. mobile providers, plans to launch mobilepayments services with major payment networks Visa ,MasterCard , Discover  and American Express ,the venture said on Tuesday.,NEW YORK Isis, a venture of three of the top four U.S. mobile providers, plans to launch mobile payments services with the major payments networks Visa, MasterCard, Discover and American Express.,NEW YORK Verizon Wireless is expected to far outstrip its biggest rivals AT&T Inc and Sprint Nextel in subscriber growth for its first full quarter selling the Apple Inc iPhone., * Verizon seen adding 930,000 subs in Q2 vs 90,000 at AT&T"
7/20/11,"Senator Kohl says AT&T deal should be blocked,UPDATE 2-U.S. Senator Kohl says AT&T deal should be blocked,Verizon COO expects AT&T/T-Mobile deal approval,UPDATE 1-Verizon COO expects AT&T/T-Mobile deal approval,T-Mobile to offer unlimited data plans,UPDATE 1-T-Mobile to offer unlimited data plans","WASHINGTON Senator Herb Kohl, chairman of the U.S. Senate's antitrust subcommittee, urged the federal government to block AT&T's $39 billion plan to buy T-Mobile USA, a unit of Deutsche Telekom., * Kohl: deal should be evaluated nationwide, not by region,NEW YORK The next head of Verizon Communications  expects U.S. regulators to approve rival AT&T Inc's  proposed $39 billion purchase of T-Mobile USA due to the company's need for more wireless airwaves., NEW YORK, July 20 The next head of VerizonCommunications  expects U.S. regulators to approve rivalAT&T Inc's  proposed $39 billion purchase of T-Mobile USAdue to the company's need for more wireless airwaves.,Bangalore Wireless telecom firm T-Mobile USA said it will begin offering unlimited data service plans, in a move aimed at wooing customers of bigger rivals Verizon Wireless and AT&T Inc which had stopped offering such plans., July 20 Wireless telecom firm T-Mobile USA saidit will begin offering unlimited data service plans, in a moveaimed at wooing customers of bigger rivals Verizon Wireless andAT&T Inc which had stopped offering such plans."
7/21/11,"Google boosts federal lobbying,Google boosts U.S. federal lobbying in 2nd quarter,AT&T profit, subscriber growth beat expectations,UPDATE 5-AT&T profit, subscriber growth beat expectations,UPDATE 4-AT&T profit, subscriber growth beat expectations","SAN FRANCISCO Google Inc boosted its spending to lobby the U.S. government by 54 percent in the second quarter, as the world's No.1 Internet search engine faces an investigation by the Federal Trade Commission., SAN FRANCISCO, July 21 Google Inc boosted its spending to lobby the U.S. government by 54 percentin the second quarter, as the world's No.1 Internet searchengine faces an investigation by the Federal Trade Commission.,NEW YORK AT&T Inc  posted better-than-expected subscriber growth for the second quarter, pushing its profits and sales past Wall Street estimates despite the loss of exclusive U.S. rights to sell the Apple Inc  iPhone., * Shares up 1.1 pct in afternoon trading (Adds executive comment, updates shares), * Shares up slightly in morning trade (Adds analyst comment, connected device sales, share price)"
7/22/11,"Verizon iPhone sales dash hopes; shares fall,US STOCKS-Chipmakers lift tech shares; Caterpillar hits Dow,UPDATE 6-Verizon iPhone sales dash hopes; shares fall,US STOCKS-Dow drops as Caterpillar profit misses view,US STOCKS-Markets flat on mixed earnings, Caterpillar slumps,US STOCKS-Caterpillar, Microsoft seen leading market lower,US STOCKS-Futures flat as Caterpillar earns offset Greece,CORRECTED - UPDATE 2-Verizon profit, subscribers beat Wall Street view","NEW YORK Verizon Communications may have the iPhone, but the blockbuster smartphone has yet to pay off in its battle against AT&T Inc. |Â , * Dow off 0.2 pct, S&P up 0.1 pct, Nasdaq up 0.8 pct, * Adds 1.3 mln net subscribers versus analyst view 930,000, * Dow off 0.4 pct, S&P off 0.2 pct, Nasdaq up 0.2 pct, * Dow down 0.1 pct, S&P up 0.1 pct, Nasdaq up 0.4 pct, * Futures down: Dow 34 pts, S&P 1.4 pt, Nasdaq 10.5 pts, * Futures: Dow off 3 pts, S&P up 1.2 pts, Nasdaq off 3.5, (Corrects paragraph four to reflect that revenue grew 2.8percent, not 2.2 percent)"
7/23/11,,
7/29/11,"Telecoms eye U.S. shift in subsidy focus to Web,Vodafone to pay out $3.3 billion in Verizon windfall,PRESS DIGEST - Wall Street Journal - July 29"," * Critics support shift but wary of the plan's particulars,LONDON Vodafone  shareholders will get $3.3 billion from a long-awaited Verizon Wireless dividend, raising hopes for regular payouts from the U.S. company after a six-year drought., July 29 The following were the top stories inThe Wall Street Journal on Fri  day . Reutershas not verified these stories and does not vouch for theiraccuracy."
7/25/11,,
