Date,Title,Body
1/1/11,,
1/2/11,,
1/9/11,,
1/10/11,,
1/6/11,,
1/11/11,,
1/7/11,,
1/8/11,,
1/4/11,,
1/5/11,,
1/3/11,,
1/15/11,,
1/13/11,,
1/18/11,,
1/16/11,,
1/17/11,,
1/12/11,,
1/19/11,,
1/20/11,,
1/25/11,,
1/21/11,,
1/14/11,,
1/28/11,,
1/23/11,,
1/29/11,,
1/22/11,,
1/30/11,,
2/1/11,,
2/4/11,,
2/2/11,,
1/27/11,,
2/7/11,,
2/8/11,,
2/6/11,,
1/26/11,,
2/11/11,,
2/9/11,,
2/13/11,,
1/24/11,,
2/16/11,,
2/17/11,,
2/18/11,,
2/5/11,,
2/12/11,,
2/19/11,,
2/3/11,,
2/22/11,,
2/14/11,,
2/21/11,,
1/31/11,,
2/23/11,,
2/26/11,,
2/15/11,,
2/27/11,,
2/10/11,,
02/29/2011,,
2/28/11,,
2/20/11,,
3/3/11,,
3/1/11,,
3/2/11,,
02/31/2011,,
3/4/11,,
02/30/2011,,
3/8/11,,
3/5/11,,
3/9/11,,
3/10/11,,
2/25/11,,
3/13/11,,
3/12/11,,
3/14/11,,
3/15/11,,
3/17/11,,
3/20/11,,
3/11/11,,
3/19/11,,
2/24/11,,
3/23/11,,
3/21/11,,
3/22/11,,
3/16/11,,
3/24/11,,
3/27/11,,
3/25/11,,
3/30/11,,
3/29/11,,
3/28/11,,
3/18/11,,
4/2/11,,
4/3/11,,
4/1/11,,
4/7/11,,
4/4/11,,
4/6/11,,
4/5/11,,
4/8/11,,
4/9/11,,
4/10/11,,
4/11/11,,
4/14/11,,
4/12/11,,
4/13/11,,
3/7/11,,
4/17/11,,
3/31/11,,
4/16/11,,
4/19/11,,
4/21/11,,
4/23/11,,
4/20/11,,
4/24/11,,
4/26/11,,
4/25/11,,
3/26/11,,
3/6/11,,
04/31/2011,,
4/29/11,,
4/28/11,,
4/27/11,,
5/2/11,,
5/4/11,,
4/18/11,,
5/5/11,,
5/8/11,,
4/15/11,,
5/7/11,,
5/6/11,,
4/30/11,,
4/22/11,,
5/10/11,,
5/12/11,,
5/9/11,,
5/11/11,,
5/13/11,,
5/14/11,,
5/15/11,,
5/16/11,,
5/17/11,,
5/18/11,,
5/1/11,,
5/21/11,,
5/20/11,,
5/23/11,,
5/24/11,,
5/26/11,,
5/28/11,,
5/27/11,,
5/19/11,,
5/29/11,,
5/25/11,,
5/30/11,,
5/31/11,,
6/4/11,,
6/1/11,,
6/2/11,,
6/5/11,,
6/7/11,,
6/8/11,,
6/9/11,,
6/3/11,,
6/6/11,,
6/11/11,,
6/13/11,,
6/10/11,,
6/16/11,,
6/17/11,,
6/18/11,,
6/19/11,,
6/20/11,,
6/23/11,,
6/22/11,,
6/12/11,,
5/3/11,,
6/24/11,,
6/25/11,,
6/15/11,,
6/26/11,,
6/27/11,,
6/30/11,,
6/21/11,,
6/28/11,,
6/29/11,,
06/31/2011,,
7/2/11,,
7/3/11,,
7/5/11,,
7/6/11,Exxon says Montana pipeline repairs to take weeks," HOUSTON, July 6 Exxon Mobil Corp  isworking on a plan to repair and restart a ruptured Montanapipeline that spilled up to 1,000 barrels of crude into theYellowstone River last weekend, but restoration is not expectedfor at least two weeks, an executive said on Wednesday."
7/7/11,"Montana pulls out of oil spill joint command,UPDATE 2-Chesapeake Energy trust files for IPO,Canada crude-Heavy spreads narrow as Montana fears ease,Exxon says Montana pipeline repairs to take weeks"," BOZEMAN, Mont, July 7 Montana Governor BrianSchweitzer said on Thursday he has pulled the state out of thejoint command team directing cleanup of oil spilled from aruptured Exxon Mobil  pipeline over the weekend., * Chesapeake shares rise 4 pct post-market (Adds details from filing, industry background), CALGARY, Alberta, July 7 Canadian heavy crudespreads narrowed on Thursday as refinery problems following aMontana pipeline rupture proved less severe than first feared.,HOUSTON Exxon Mobil Corp is working on a plan to repair and restart a ruptured Montana pipeline that spilled up to 1,000 barrels of crude into the Yellowstone River last weekend, but restoration is not expected for at least two weeks, an executive said on Wednesday."
7/8/11,"UPDATE 1-ExxonMobil steps up Yellowstone River cleanup,Indonesia torture case vs Exxon Mobil revived,UPDATE 4-Indonesia torture case vs Exxon Mobil revived,US Cash Products-Harbor gasoline basis firms as prices tumble,Indonesia torture case vs ExxonMobil revived,Impact expected from upset at Beaumont TX refinery,UPDATE 1-Total wants Russia offshore deal that Chevron quit,UPDATE 1-Montana pulls out of oil spill joint command,ExxonMobil finds 2 oil spots beyond 20 miles of spill,UPDATE 1-ExxonMobil finds 2 oil spots beyond 20 miles of spill"," July 8 ExxonMobil Corp's unit said itstepped up efforts to absorb the oil spilt from the rupturedpipeline in Montana and put more people at work to clean up theYellowstone River.,NEW YORK Indonesian villagers who accused Exxon Mobil Corp's security forces of murder, torture and other atrocities have regained their right to sue the giant oil company in the United States., * Exxon Mobil said to hire soldiers who committed torture, NEW YORK, July 8 New York Harbor gasolinemarkets rallied Friday even as outright prices tumbled amidrenewed buying interest. Traders cited potential outputproblems at one or more of the refineries servicing thenortheastern United States, which led to the strongerdifferentials for F2 RBOB and M2 conventional gasoline versusthe New York Mercantile Exchange's August RBOB futurescontract.,NEW YORK A U.S. appeals court revived on Friday a lawsuit against Exxon Mobil Corp by Indonesian villagers who accused the oil giant's security forces of committing murder, torture and other wrongdoing., HOUSTON, July 8 Exxon Mobil Corp  expects ""someimpact to production"" from an electrical malfunction in a processing unitlate Tuesday at its 344,500 barrel-per-day refinery in Beaumont, Texas, aspokesman said Friday., * Chevron quit Black Sea oil project with Russia'sRosneft, (Adds details, quotes throughout; Exxon and EPA comment),ExxonMobil said it found two separate spots of oil beyond 20 miles from the point of release from its ruptured Montana oil pipeline, but there was no oil between 20-40 miles from the site of the release., July 7 ExxonMobil  said it found twoseparate spots of oil beyond 20 miles from the point of releasefrom its ruptured Montana oil pipeline, but there was no oilbetween 20-40 miles from the site of the release."
7/9/11,"Exxon submits draft clean-up plan in Montana oil spill,UPDATE 1-Exxon submits draft clean-up plan in Montana oil spill,US House panel to examine oil pipeline safety,ExxonMobil steps up Yellowstone River cleanup,Montana governor threatens lawsuit over oil spill,Montana governor threatens lawsuit over oil spill","BILLINGS, Montana ExxonMobil on Saturday submitted a draft clean-up plan of its Yellowstone River oil spill to the U.S. Environmental Protection Agency., (Adds details, background throughout; previously WASHINGTON), WASHINGTON, July 9 A U.S. House ofRepresentatives panel will examine pipeline safety next week asExxon Mobil Corp  works to clean up a spill from arupture in one of its lines in Montana that released as much as1,000 barrels of crude oil.,ExxonMobil Corp's unit said it stepped up efforts to absorb the oil spilled from the ruptured pipeline in Montana and put more people at work to clean up the Yellowstone River.,BILLINGS, Montana Montana Governor Brian Schweitzer continued on Friday to press Exxon Mobil over an oil spill into the Yellowstone River and threatened to take the company to court as clean-up continued a week after the leak., BILLINGS, Mont., July 8 Montana Governor BrianSchweitzer continued  on Friday to press Exxon Mobil over an oil spill into the Yellowstone River and threatened totake the company to court as clean-up continued a week afterthe leak."
7/11/11,"UPDATE 2-Chesapeake to invest in natural gas fuels market,Exxon: Joliet refinery not affected by power outage,Analysis: Study warns of leak risks of Canada-U.S. oil pipe,Chesapeake to invest in natural gas fuels market,Study warns of leak risks of Canada-U.S. oil pipe,Exxon says Baytown, Texas HCU back in production,BP halts output at Azeri Chirag field for 2 weeks,Government asks Exxon to retool Yellowstone spill plan"," * Chesapeake shares edge up post-market (Adds analyst comment), NEW YORK, July 11 Exxon Mobil  said onMonday operations at its 238,600 barrels-per-day refinery inJoliet, Illinois were not affected by the power outages thathit the Chicago area.,WASHINGTON TransCanada Corp, a company that hopes to build a $7 billion pipeline to take crude from Canada's oil sands to Texas, has underestimated the number and volume of leaks that could occur on the duct and hurt water supplies, an analysis released on Monday said., HOUSTON, July 11 Chesapeake Energy Corp plans to spend as much as $1 billion over the next decadeinvesting in companies and technologies to replace gasoline anddiesel with fuels derived from abundant natural gas., * Assessment needed before US decision on pipe-professor, HOUSTON, July 11 Exxon Mobil Corp's    560,640-barrels-per-day Baytown, Texas refinery has returnedhydrocracking unit No. 1 to production, a company spokeswomansaid on Monday., BAKU, July 11 Output at the Chirag oil field,part of Azerbaijan's Azeri-Chirag-Guneshli (ACG) project, hasbeen halted for two weeks for maintenance, shutting in output of80,000-85,000 barrels per day, operator BP said onMonday., BILLINGS, Mont, July 10 Federal regulators saidon Sunday they want Exxon Mobil  to retool itspreliminary plan to clean up oil spilled into the YellowstoneRiver in Montana from a ruptured pipe at the start of July."
7/12/11,"UPDATE 1-Firestone wins Liberian child labor case in U.S.,Firestone wins Liberian child labor case in U.S.,Firestone wins Liberian child labor case in U.S.,UPDATE 1-Exxon starting unit at Beaumont, Texas refinery-trade,Exxon starting unit at Beaumont, Texas refinery-trade"," * Companies can be held liable for human-rights abuses abroad  * Claims of 23 Liberian children still rejected  * Children worked on Firestone rubber tree farm (Adds statement from Firestone in paragraph 6),NEW YORK A federal appeals court threw out a lawsuit accusing the Firestone tire company of illegally using child labor in Liberia, but found that U.S. law allows companies to be held liable for human rights abuses abroad., * Alien Tort Statute applies to corporations -Judge Posner, HOUSTON, July 12 Exxon Mobil Corp  wasrestarting a reformer at its 344,500-barrels-per-day refineryin Beaumont, Texas after shutting it for unplanned work lastweek, traders said on Tuesday., HOUSTON, July 12 Exxon Mobil Corp  wasrestarting a reformer at its 344,500-barrels-per-day refineryin Beaumont, Texas after shutting it for unplanned work lastweek, traders said on Tuesday."
7/13/11,"US Cash Products-Harbor gasoline up as Europe arb squeezed,UPDATE 1-US crude and gasoline stocks fall as imports drop-EIA,Exxon prepares to replace ruptured pipeline,UPDATE 2-Exxon prepares to replace ruptured pipeline,Exxon: flexicoker work on at Baytown, Texas refinery,BRIEF-Moody's ups TCO to Baa2 ; stable outlook (Kazakhstan)"," * Midwest markets fall on NYMEX RBOB hike (Updates with end-day prices),              Stocks  Change  Change   Stocks  Change  Change,HOUSTON Exxon Mobil said it had begun preliminary work to replace the pipeline that ruptured and spilled an estimated 1,000 barrels of oil into the Yellowstone River in Montana two weeks ago., * Preliminary works starts on pipe that leaked into river, HOUSTON, July 13 Exxon Mobil Corp  hasbegun planned work on a flexicoker unit at its560,640-barrels-per-day refinery in Baytown, Texas, the UnitedStates' largest, a spokeswoman said on Wednesday., July 13 Tengizchevroil Finance Company S.ar.l[TENGZF.UL]"
7/14/11,"ConocoPhillips to split in two; shares rise,UPDATE 8-ConocoPhillips to split in two; shares rise,Biggest US oil firms see refining as core strength,RPT-U.S. cash crudes - HLS leads grades up as Brent expires,U.S. chemical demand fragile, trade group says,RPT-Exxon Mobil shuts part of HLS line for maintenance,Exxon Mobil shuts part of HLS line for maintenance,Chronology: Big Oil's years of merger mania,Government probe of Exxon pipeline leak to take months,CHRONOLOGY-Big Oil's years of merger mania","NEW YORK/HOUSTON ConocoPhillips  will spin off its refining arm in a bid to improve investment returns for shareholders, abandoning the bigger-is-better strategy that drove oil giants into mergers., * Mulva had said no to split in March (Rewrites to bring rivals higher, adds reserves graphic linkand closing share price), SAN FRANCISCO, July 14 The very biggest U.S.oil companies seem perfectly happy holding on to their refiningarms given that expertise in processing oil and gas afterextraction looks likely to be more in demand in the future., * SPR release, HLS pipeline issues, diesel exports drive, NEW YORK, July 14 Demand for U.S.-madechemicals is slowly improving in the United States and islargely driven by foreign customers, a chemical industry tradegroup said on Thursday., (Repeats to widen distribution, no change to headline ortext), HOUSTON, July 14 Exxon Mobil  PipelineCo has shut part of the Heavy Louisiana Sweet crude oilpipeline system in south Louisiana for maintenance, a spokesmansaid Thursday.,ConocoPhillips'  plan to split itself into two stand-alone public companies marks a reversal from a nearly 15-year trend of consolidation among big oil companies.,WASHINGTON It will take several months to investigate the cause of the leak on ExxonMobil's Silvertip oil pipeline crossing the Yellowstone River, the U.S. pipeline safety regulator told Congress on Thursday., July 14 ConocoPhillips'  plan to splititself into two stand-alone public companies marks a reversalfrom a nearly 15-year trend of consolidation among big oilcompanies [ID:nL3E7IE1Z0]."
7/16/11,,
