Date,Abnormal Return
7/14/17,-0.000200
7/13/17,-0.000100
7/12/17,-0.000300
7/11/17,0.000000
7/10/17,0.000000
7/7/17,0.039800
7/6/17,0.000300
7/5/17,-0.000100
7/3/17,-0.000100
6/30/17,-0.000100
6/29/17,0.000300
6/28/17,-0.000300
6/27/17,0.000300
6/26/17,0.000000
6/23/17,-0.000100
6/22/17,0.000000
6/21/17,0.000000
6/20/17,0.000200
6/19/17,-0.000300
6/16/17,0.000000
6/15/17,0.000100
6/14/17,0.000000
6/13/17,-0.000200
6/12/17,0.000000
6/9/17,0.000000
6/8/17,0.000000
6/7/17,0.081000
6/6/17,0.000100
6/5/17,0.000000
6/2/17,-0.000100
6/1/17,-0.000300
5/31/17,0.000000
5/30/17,0.000000
5/26/17,0.000000
5/25/17,-0.000200
5/24/17,-0.000100
5/23/17,-0.000100
5/22/17,-0.000200
5/19/17,-0.000200
5/18/17,-0.000100
5/17/17,0.000600
5/16/17,0.000000
5/15/17,-0.000200
5/12/17,0.000100
5/11/17,0.000100
5/10/17,0.000000
5/9/17,0.000000
5/8/17,0.000000
5/5/17,-0.000100
5/4/17,0.000000
5/3/17,0.000000
5/2/17,0.000000
5/1/17,-0.000100
4/28/17,0.000100
4/27/17,0.000000
4/26/17,0.000000
4/25/17,-0.000200
4/24/17,-0.000400
4/21/17,0.000100
4/20/17,-0.000300
4/19/17,0.000100
4/18/17,0.233400
4/17/17,-0.000300
4/13/17,0.000200
4/12/17,0.000100
4/11/17,0.000100
4/10/17,0.000000
4/7/17,0.000000
4/6/17,-0.000100
4/5/17,0.000100
4/4/17,0.000000
4/3/17,0.000100
3/31/17,0.000100
3/30/17,-0.000100
3/29/17,0.000000
3/28/17,-0.000300
3/27/17,0.000000
3/24/17,0.000000
3/23/17,0.000000
3/22/17,-0.000100
3/21/17,0.000400
3/20/17,0.000100
3/17/17,0.000000
3/16/17,0.000100
3/15/17,-0.000300
3/14/17,0.000100
3/13/17,0.000000
3/10/17,-0.000100
3/9/17,0.000000
3/8/17,0.000100
3/7/17,0.000100
3/6/17,0.000100
3/3/17,0.000000
3/2/17,0.000200
3/1/17,-0.000500
2/28/17,0.000100
2/27/17,0.000000
2/24/17,-0.000100
2/23/17,0.000000
2/22/17,0.000000
2/21/17,-0.000200
2/17/17,-0.000100
2/16/17,0.000000
2/15/17,-0.000200
2/14/17,-0.000100
2/13/17,-0.000200
2/10/17,-0.000100
2/9/17,-0.000200
2/8/17,0.000000
2/7/17,0.000000
2/6/17,0.000100
2/3/17,-0.000300
2/2/17,0.000000
2/1/17,0.000000
1/31/17,0.000000
1/30/17,0.000200
1/27/17,0.071500
1/26/17,0.000000
1/25/17,-0.000300
1/24/17,0.119800
1/23/17,0.000100
1/20/17,-0.000100
1/19/17,0.000100
1/18/17,-0.000100
1/17/17,0.000100
1/13/17,-0.000100
1/12/17,0.000100
1/11/17,-0.000100
1/10/17,0.000000
1/9/17,0.000100
1/6/17,-0.000100
1/5/17,0.000000
1/4/17,-0.000200
1/3/17,-0.000300
12/30/16,0.000200
12/29/16,0.000000
12/28/16,0.000300
12/27/16,-0.000100
12/23/16,0.000000
12/22/16,0.000100
12/21/16,0.000100
12/20/16,-0.000100
12/19/16,-0.000100
12/16/16,0.000100
12/15/16,-0.000100
12/14/16,0.000300
12/13/16,-0.000200
12/12/16,0.000000
12/9/16,-0.000200
12/8/16,-0.000100
12/7/16,-0.000500
12/6/16,-0.000100
12/5/16,-0.000200
12/2/16,0.000000
12/1/16,0.000100
11/30/16,0.000100
11/29/16,0.000000
11/28/16,0.000200
11/25/16,-0.000100
11/23/16,0.000000
11/22/16,-0.000100
11/21/16,-0.000300
11/18/16,0.000100
11/17/16,-0.000200
11/16/16,0.000100
11/15/16,-0.000300
11/14/16,0.000000
11/11/16,0.000000
11/10/16,-0.000100
11/9/16,-0.000400
11/8/16,-0.000100
11/7/16,-0.000800
11/4/16,0.000100
11/3/16,0.000200
11/2/16,0.000200
11/1/16,0.000200
10/31/16,0.000000
10/28/16,0.000100
10/27/16,0.000100
10/26/16,0.000100
10/25/16,0.000100
10/24/16,-0.000200
10/21/16,0.000000
10/20/16,0.000000
10/19/16,-0.122900
10/18/16,-0.000200
10/17/16,0.000100
10/14/16,0.000000
10/13/16,0.055700
10/12/16,0.000000
10/11/16,0.000400
10/10/16,-0.000200
10/7/16,-0.156100
10/6/16,0.000000
10/5/16,0.032100
10/4/16,0.000200
10/3/16,0.000100
9/30/16,-0.000300
9/29/16,0.000300
9/28/16,-0.000200
9/27/16,-0.000200
9/26/16,0.000300
9/23/16,0.240200
9/22/16,-0.000200
