Date,Abnormal Return
7/5/2017,0.004895539
7/3/2017,-0.009379967
6/30/2017,-0.001348688
6/29/2017,-0.005107361
6/28/2017,0.00443608
6/27/2017,-0.008211812
6/26/2017,-0.016316972
6/23/2017,0.004934431
6/22/2017,-0.007265154
6/21/2017,0.001917484
6/20/2017,-0.01512727
6/19/2017,0.012114674
6/16/2017,-0.005066981
6/15/2017,0.001541812
6/14/2017,-0.009118772
6/13/2017,-0.005856668
6/12/2017,0.00296413
6/9/2017,-0.039845962
6/8/2017,0.017190001
6/7/2017,0.006370345
6/6/2017,0.007181422
6/5/2017,0.004566035
6/2/2017,-0.002486804
6/1/2017,-0.020708786
5/31/2017,0.00686538
5/30/2017,0.011844396
5/26/2017,0.003732506
5/25/2017,0.004206757
5/24/2017,0.001694696
5/23/2017,-0.01054514
5/22/2017,-0.004980173
5/19/2017,0.005830227
5/18/2017,0.002809301
5/17/2017,-0.023021565
5/16/2017,0.009607848
5/15/2017,0.005241228
5/12/2017,0.005283608
5/11/2017,0.001334656
5/10/2017,0.011807836
5/9/2017,0.00103682
5/8/2017,-0.002177315
5/5/2017,-0.000475494
5/4/2017,-0.006552004
5/3/2017,0.008003277
5/2/2017,-0.001852945
5/1/2017,-0.000575271
4/28/2017,-0.017879915
4/27/2017,0.001730007
4/26/2017,-0.014626448
4/25/2017,0.008879672
4/24/2017,0.003619568
4/21/2017,-0.008321405
4/20/2017,0.00894251
4/19/2017,-0.001068206
4/18/2017,0.014598497
4/17/2017,0.001537252
4/13/2017,-0.00042677
4/12/2017,-0.007447306
4/11/2017,-0.007359285
4/10/2017,-0.005746907
4/7/2017,0.006306252
4/6/2017,-0.001938453
4/5/2017,-0.002987195
4/4/2017,0.002351996
4/3/2017,-0.000620275
3/31/2017,-0.003365664
3/30/2017,0.003504534
3/29/2017,-0.002719508
3/28/2017,-0.007230107
3/27/2017,0.000411742
3/24/2017,-3.4541E-05
3/23/2017,0.000954482
3/22/2017,0.00964357
3/21/2017,-0.008480307
3/20/2017,-0.005141575
3/17/2017,0.00748729
3/16/2017,0.000500385
3/15/2017,-0.000495112
3/14/2017,0.004696051
3/13/2017,0.008173677
3/10/2017,0.011458064
3/9/2017,-0.003553923
3/8/2017,0.005370914
3/7/2017,0.01364757
3/6/2017,0.009496118
3/3/2017,-0.003389053
3/2/2017,0.005749807
3/1/2017,0.004461592
2/28/2017,-0.004460298
2/27/2017,-0.001801765
2/24/2017,-0.000397164
2/23/2017,-0.001640635
2/22/2017,0.003173359
2/21/2017,0.001513707
2/17/2017,0.000588195
2/16/2017,0.008644922
2/15/2017,-0.005264969
2/14/2017,-0.002955543
2/13/2017,-0.001159431
2/10/2017,-0.005903349
2/9/2017,-0.015081947
2/8/2017,-0.003805459
2/7/2017,-0.000782082
2/6/2017,-0.001261187
2/3/2017,-0.000200645
2/2/2017,-0.005629033
2/1/2017,0.009325326
1/31/2017,-0.029286046
1/30/2017,0.005149197
1/27/2017,-0.008286156
1/26/2017,0.009487599
1/25/2017,0.010358276
1/24/2017,0.010381741
1/23/2017,0.016161192
1/20/2017,0.007958466
1/19/2017,-0.002629156
1/18/2017,-0.003476842
1/17/2017,-0.003434716
1/13/2017,-9.37687E-05
1/12/2017,-0.002221923
1/11/2017,0.004833877
1/10/2017,0.003497442
1/9/2017,0.006586689
1/6/2017,0.012879365
1/5/2017,-0.006882161
1/4/2017,-0.007712595
1/3/2017,-0.001264769
12/30/2016,-0.010654909
12/29/2016,0.001682947
12/28/2016,-0.001475446
12/27/2016,0.004038036
12/23/2016,0.001006397
12/22/2016,0.002517271
12/21/2016,0.004542461
12/20/2016,0.002263325
12/19/2016,0.007089248
12/16/2016,-0.005638853
12/15/2016,0.008699607
12/14/2016,-0.000357401
12/13/2016,0.013076885
12/12/2016,-0.00232169
12/9/2016,-0.00867601
12/8/2016,-0.003418361
12/7/2016,-0.00329851
12/6/2016,0.008328655
12/5/2016,-0.009571075
12/2/2016,0.003952547
12/1/2016,-0.043625803
11/30/2016,-0.003308109
11/29/2016,-0.003258506
11/28/2016,0.007302487
11/25/2016,0.000556831
11/23/2016,-0.005486317
11/22/2016,0.007316219
11/21/2016,0.006414386
11/18/2016,0.009920977
11/17/2016,0.00705636
11/16/2016,0.004187721
11/15/2016,0.005940803
11/14/2016,0.002564756
11/11/2016,0.011854368
11/10/2016,-0.011525979
11/9/2016,-0.013134872
11/8/2016,0.007604728
11/7/2016,-0.004344809
11/4/2016,-0.002528816
11/3/2016,-0.001421915
11/2/2016,-0.001240326
11/1/2016,-0.012204356
10/31/2016,0.000844759
10/28/2016,0.004514673
10/27/2016,-0.01027902
10/26/2016,0.009136748
10/25/2016,-0.002389564
10/24/2016,0.01905248
10/21/2016,0.003249493
10/20/2016,0.005301757
10/19/2016,0.000979929
10/18/2016,0.005144483
10/17/2016,0.00242335
10/14/2016,0.0103956
10/13/2016,-0.006564298
10/12/2016,-0.005663349
10/11/2016,-0.002615799
10/10/2016,-0.018487207
10/7/2016,0.002421349
10/6/2016,0.004553169
10/5/2016,0.009640856
10/4/2016,0.004614832
10/3/2016,-0.003711583
9/30/2016,-0.004167859
9/29/2016,0.012004928
9/28/2016,-0.001830905
9/27/2016,0.007745862
9/26/2016,0.001620769
9/23/2016,-0.004675374
9/22/2016,-0.004495755
9/21/2016,-0.006887906
9/20/2016,-0.005516037
9/19/2016,0.002616094
9/16/2016,0.006300638
9/15/2016,0.009630022
9/14/2016,0.005707268
9/13/2016,0.009606415
9/12/2016,0.002404538
9/9/2016,-0.005818552
9/8/2016,-0.004674137
9/7/2016,-0.004132646
9/6/2016,-0.001802779
9/2/2016,-0.005051184
9/1/2016,0.002347842
8/31/2016,0.00601275
8/30/2016,-0.007358638
8/29/2016,-0.002631381
8/26/2016,0.000787802
8/25/2016,0.00040378
8/24/2016,0.004799632
8/23/2016,-0.002499142
8/22/2016,-0.003203304
8/19/2016,0.003629503
8/18/2016,0.001945417
8/17/2016,-0.002119095
8/16/2016,-0.001037913
8/15/2016,0.003848815
8/12/2016,-0.001383024
8/11/2016,-0.003795326
8/10/2016,-0.001875848
8/9/2016,0.00112621
8/8/2016,0.000886126
8/5/2016,-0.001999286
8/4/2016,0.010357133
8/3/2016,-0.003118365
8/2/2016,-0.007525076
8/1/2016,0.003303785
7/29/2016,-0.008684681
7/28/2016,-0.011131704
7/27/2016,-0.000741077
7/26/2016,0.078160051
7/25/2016,0.014562079
7/22/2016,0.003770639
7/21/2016,-0.004153486
7/20/2016,0.00301047
7/19/2016,-0.002207456
7/18/2016,0.002541479
7/15/2016,0.001670583
7/14/2016,-0.001780866
7/13/2016,0.002332496
7/12/2016,0.007508308
7/11/2016,-0.001810788
7/8/2016,0.006985358
7/7/2016,0.012616249
7/6/2016,-0.009172603
7/5/2016,-0.006080933
7/1/2016,-0.010829058
6/30/2016,0.00747345
6/29/2016,-0.003055869
6/28/2016,0.000162446
6/27/2016,-0.003758933
6/24/2016,-0.002866623
6/23/2016,0.004824855
6/22/2016,0.002195424
6/21/2016,-0.002591784
6/20/2016,-0.000257801
6/17/2016,-0.003395248
6/16/2016,0.002444755
6/15/2016,-0.001305074
6/14/2016,0.008053467
6/13/2016,0.003065098
6/10/2016,0.006703948
6/9/2016,0.002914473
6/8/2016,0.004693823
6/7/2016,0.002942962
6/6/2016,0.007002027
6/3/2016,-0.000483291
6/2/2016,-0.00827946
6/1/2016,0.00646857
5/31/2016,-0.005742949
5/27/2016,-0.000747711
5/26/2016,0.005698604
5/25/2016,-0.002085237
5/24/2016,0.007641356
5/23/2016,0.005782174
5/20/2016,0.015888792
5/19/2016,-0.009242284
5/18/2016,0.009866581
5/17/2016,0.000504005
5/16/2016,0.004646277
5/13/2016,0.008915119
5/12/2016,-0.007963292
5/11/2016,0.010843346
5/10/2016,-0.001505612
5/9/2016,-0.005924458
5/6/2016,0.006286774
5/5/2016,0.003992478
5/4/2016,-0.006728749
5/3/2016,-0.001396051
5/2/2016,0.005343509
