Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,7.762,0.926,0.926,0.61,0.61,0.648,0.368,0.585,0,0.639,0.613,25.375,14.91,1164.18,6.15,27.18,15.19,8.86,4.69,19.14,7.5,7.7,4.74,39.714,0.014,0.576,15.27,0.199,0,219.63,68.1,22.72,174.25,4.02,0.81,0.201,33114,26776,6338,2734,0,0,1120,2484,109,-1174,-1065,1357,-5,2776,-220,7.93,2556,0,2551,0,0.68,0.61,4266,0,3950,21318,24787,46105,79703,3244,0,-874,5044,0,7414,0,133222,2525,0,0,0,0,0,0,23407,98,0,8139,167391,19984,0,42092,62445,10869,0,0,0,4924,78238,85476,0,85476,0,1212,39,0,164965,38,0,-4487,-13684,20723,-164,2426,2551,0,2556,0,0,0,0,0,0,0,0,0,-59,2497,-929,0,-8068,0,-19194,26479,0,0,8606,6894,0,0,0,-3370,0,88,-3282,6513,-929,1568,8.88,23.01,23.33,24.32,8.84,5.74,0.5,0,0.82,7.87,7.87,12.71,-8.87,0,0,56610.884,106889.884,-31.3,-8.36,-14.58,15.04,9.93,0,4.81,-0.64,1.61,8,-2.77,0.32,-10.1,1.7,1.61,2.12,18.79,14.01,-0.5,12.35,22,10.24,-20.94,3771,3796.84,2.52,5/10/2011,5/10/2011
Jun-11,8.661,0.91,0.91,0.59,0.59,0.658,0.643,0.909,0,1.392,1.365,24.436,13.79,248.02,5.72,34.75,15.48,8.2,4.76,17.66,6.25,6.75,7.42,17.559,0.032,0.555,14.96,0.212,0,206.75,60.59,22.54,168.7,4.05,0.82,0.203,35527,29253,6274,2907,0,0,1148,2219,105,-1127,-1022,1409,-2,2606,-206,7.9,2400,0,2398,0,0.63,0.59,4102,0,3733,17472,28204,45676,80496,3156,0,-889,4769,0,7036,0,133208,2593,0,0,0,0,0,0,23263,103,0,8919,168086,19424,0,43262,62946,10146,0,0,0,5067,78159,83077,0,83077,0,1371,41,129,162777,38,0,-2089,-13236,20762,-166,5309,2398,0,2400,0,0,0,0,0,0,0,0,0,1329,3729,-1093,0,-9287,144,-22567,20201,0,0,8531,-4071,0,0,0,-3747,0,24,-3723,-3846,-1093,2636,8.31,20.96,9.91,10.1,8.02,5.13,0.44,0,0.77,7.81,7.81,12.8,-6.94,0,0,52608.85,100196.85,-30.69,-7.75,-13.95,13.96,10.28,0,7.14,1.29,1.6,7,-2.64,0.316,-6.73,1.7,1.61,1.97,15.79,12.77,-0.48,13.86,-3.28,-6.38,-22.26,3799,3815,2.36,8/5/2011,8/5/2011
Sep-11,8.198,0.73,0.73,0.41,0.41,0.696,0.665,0.941,0,1.568,1.541,23.603,9.67,116.84,3.99,28.12,10.16,7.41,4.78,16.43,4.44,4.99,8.11,15.057,0.037,0.553,13.13,0.2,0,212.13,62.53,23.54,173.14,3.88,0.84,0.216,33047,27617,5430,2861,0,0,1101,1468,101,-1096,-995,1373,-3,1846,-194,10.51,1652,0,1649,0,0.43,0.41,4031,0,2942,16460,29058,45518,76825,3307,0,-900,4805,0,7212,0,129555,2608,0,0,0,0,0,0,22304,100,0,8173,162740,18924,0,41441,60495,11499,0,0,0,4931,76925,78571,0,78571,0,1109,44,109,156758,38,0,-440,-14269,20819,-166,5982,1649,0,1652,0,0,0,0,0,0,0,0,0,2141,3793,-1113,0,0,6,-42754,15760,0,0,26269,-1832,0,0,0,-2176,0,-33,-2209,-1012,-1113,2680,5.9,13.89,6.17,6.28,5.69,3.55,0.3,0,0.61,6.54,6.54,15.29,-8.67,0,0,36900.72,81496.72,-29.15,-7.13,-13.11,13.87,10.62,0,7.54,6.15,1.6,7,-2.52,0.301,-7.22,1.68,1.59,1.34,14.12,9.62,-0.03,14.47,-4.65,-8.18,-23.21,3800,3816,2.63,11/4/2011,11/4/2011
Dec-11,8.554,0.615,0.615,3.32,3.32,4.012,-0.345,-0.058,0,3.938,3.912,26.071,10.76,518.42,31.93,17.3,299.55,10.62,4.36,14.11,14.95,39.38,-4.03,6.62,0.084,0.558,11.44,0.203,0,207.28,0,20.14,227.42,4.53,0.86,0.19,34576,29699,4877,3076,0,0,-3369,5170,180,-1034,-854,-2863,1,1453,12161,-836.96,13614,0,13615,0,3.59,3.32,4042,0,2487,17148,18618,35766,78541,2847,0,-928,3982,0,5901,0,120208,15774,384,10129,43279,1311,55245,-32874,22371,100,0,19895,178348,0,0,2632,20356,40311,2216,0,2216,10155,73038,59177,0,59177,21952,2435,43,6675,163320,38,0,12985,-18734,20905,-166,15028,13615,0,13614,0,0,0,0,0,0,0,0,0,-13849,-235,-1158,0,0,183,15792,8355,0,0,-27204,-4032,0,0,0,4960,0,13,4973,688,-1158,-1393,2.18,2.68,2.73,2.75,8.08,4.53,0.32,0,0.77,7.99,7.99,12.52,-17.01,0,0,41060.16,104825.16,-33.43,-11.3,-17.22,15.26,10.95,0,20.83,18.24,1.58,6,-1.53,0.484,7.55,1.65,1.57,5,12.51,9.37,0,13.22,10966.67,44.03,-24.35,3802,3816,2.53,2/21/2012,2/21/2012
Mar-12,8.001,0.752,0.752,0.35,0.35,3.694,0.242,0.512,0.05,4.352,4.326,26.335,12.48,35.3,3.1,16.34,10.14,11.71,4.04,17.23,8.34,4.3,3.03,6.051,0.091,0.552,12.41,0.18,0.143,224.44,0,21.97,246.41,4.15,0.83,0.199,32445,26854,5591,2886,0,0,0,2705,103,-1011,-908,241,-2,2038,-640,31.4,1398,0,1396,0,0.37,0.35,4055,0,3049,15244,34259,49503,79801,3409,0,-937,4559,0,7031,0,136335,2964,0,0,0,0,0,0,23150,97,0,19529,182075,0,0,5672,25310,16172,2494,0,2494,6993,50969,84318,0,84318,21042,2415,44,6681,165469,39,0,14190,-18314,20884,-193,16606,1396,0,1398,0,0,0,0,0,0,0,0,0,677,2075,-1093,0,0,5,-19816,17704,0,0,-1311,-4511,0,-27,0,503,-190,84,370,-1904,-1093,982,2.67,3.38,2.87,2.88,10.36,5.42,0.37,0,0.73,8.08,8.08,12.38,-12.83,0,0.4,47622.432,98653.432,-30.39,-7.63,-13.78,16.7,11.03,0,21.32,14.46,1.81,6,-1.55,0.379,13.26,2.67,2.54,2.68,12.96,11.13,0,3.08,-42.62,-18.79,-26.8,3803,3815.9,2.92,5/4/2012,5/4/2012
Jun-12,8.146,0.633,0.633,0.26,0.26,3.341,0.665,0.958,0.05,4.442,4.417,22.349,9.59,24.73,2.29,17.23,6.51,9.15,4.24,16.39,4.51,3.13,8.17,5.031,0.094,0.473,11.98,0.183,0.192,215.01,64.61,23.53,173.93,3.88,0.84,0.216,33211,27769,5442,2979,0,0,966,1497,65,-986,-921,1019,2,1595,-557,34.92,1038,0,1040,0,0.27,0.26,4077,0,2581,15101,35676,50777,78254,3475,0,-945,4759,0,7289,0,136320,2938,0,0,0,0,0,0,22808,95,0,19075,181236,19661,0,44004,63665,13640,0,0,0,0,77305,72067,0,72067,0,595,43,14190,164200,39,0,15230,-18928,20920,-225,17036,1040,0,1038,0,0,0,0,0,0,0,0,0,2866,3904,-1191,0,0,59,-17021,17207,0,0,-2092,-3038,0,-32,0,-458,-191,-36,-717,-143,-1191,2713,2.21,2.87,2.16,2.17,7.82,4.08,0.29,0,0.54,6.49,6.49,15.41,-8.52,0,1.04,36777.65,71750.65,-29.58,-7.27,-13.32,14.21,10.86,0,20.77,16.73,1.58,7,-1.73,0.286,11.9,1.76,1.67,1.52,12.64,9.59,-0.5,-5.95,-55.93,-30.44,-28.35,3928,3835,1.81,8/3/2012,8/3/2012
Sep-12,8.1,0.808,0.808,0.41,0.41,3.438,0.531,0.863,0.05,4.91,4.887,26.219,9.86,36.37,3.57,21.31,12.92,8.9,4.13,17.5,8.28,5.07,6.55,5.34,0.102,0.545,12.31,0.176,0.122,224.26,0,26.64,250.9,3.43,0.83,0.241,32172,26543,5629,2909,0,0,57,2663,85,-962,-877,460,-2,2246,-613,27.29,1633,0,1631,0,0.43,0.41,3972,0,3208,13539,38113,51652,79069,3891,0,-954,5271,0,8208,0,138929,2716,0,0,0,0,0,0,24347,89,0,18599,184680,0,0,2602,23395,15777,3012,0,3012,9446,51630,84827,0,84827,19637,2535,45,7165,165839,39,0,16670,-18541,20931,-258,18841,1631,0,1633,0,0,0,0,0,0,0,0,0,1794,3427,-1319,0,0,1,-29395,28208,0,0,-2569,-5074,0,-33,0,75,-191,114,-35,-1552,-1319,2108,2.27,2.87,2.01,2.02,9.02,4.33,0.3,0,0.66,7.67,7.67,13.04,-10.8,0,1.52,37832.82,86829.82,-29.76,-7.01,-13.23,13.93,10.82,0,21.85,11.54,1.75,6,-1.72,0.374,13.63,2.69,2.53,2.77,10.59,8.92,-0.05,-1.2,0,10.68,-28.79,3814,3837,1.72,11/2/2012,11/2/2012
Dec-12,9.086,-0.101,-0.101,0.39,0.39,0.412,-0.56,-0.09,0.05,4.041,4.019,26.624,12.95,36.75,3.41,-2.08,-6.74,4.67,-8.74,5.21,-4.08,4.39,-6.17,6.588,0.084,0.551,4.04,0.194,0.128,206.27,0,20.57,226.84,4.44,0.95,0.214,36424,34527,1897,3408,0,0,-24,-1487,68,2246,2314,1014,3,1841,-246,13.36,1595,0,1598,0,0.4,0.39,4009,0,-405,15659,20284,35943,82338,3697,0,-949,4614,0,7362,0,125643,19697,423,10249,45193,1783,57777,-32835,24942,87,0,20185,190554,0,0,2577,21885,38762,2796,0,2796,9985,73428,66296,0,66296,25565,2363,42,6913,174607,40,0,18077,-22854,20976,-292,15947,1598,0,1595,0,0,0,0,0,0,0,0,0,-1956,-361,-1885,0,0,1,-28903,30630,0,0,-1510,-1667,0,-33,0,4314,-191,-3,4087,2110,-1885,-2246,9.18,31.43,3.2,3.22,14.75,5.77,0.39,0,0.9,14.26,14.26,7.01,-18.57,0,1.54,51100.7,120257.7,-35.14,-12.41,-18.56,15.88,11,0,11.29,5.1,1.49,5,-2.52,0.461,5.73,1.71,1.61,0,12.95,9.79,-2.84,6.22,-88.25,-116.42,-26.71,3827,3946,1.51,2/19/2013,2/19/2013
Mar-13,8.794,0.572,0.572,0.4,0.4,0.459,-0.312,0.052,0.1,4.478,4.457,27.322,13.15,38.42,3.35,11.18,6.95,3.77,0.78,14.24,5.07,4.5,-3.55,6.102,0.09,0.552,10.59,0.186,0.25,211.18,57.29,23.45,177.34,3.89,0.86,0.22,35810,30711,5099,3285,0,0,0,1814,58,-206,-148,457,-1,2123,-511,24.07,1612,0,1611,0,0.41,0.4,4072,0,2329,13820,37786,51606,82874,3889,0,-960,5494,0,8423,5025,147928,3291,0,0,0,0,0,0,25671,84,0,17644,194618,19280,0,5092,25692,17725,2432,185,9621,0,53038,89631,0,89631,23216,7220,43,3875,177023,40,0,19296,-22533,21094,-302,17595,1611,0,1612,0,0,0,0,0,0,0,0,0,-1401,211,-1483,0,0,0,-38953,38761,0,0,-2176,-3851,0,-10,0,2266,-392,103,1967,-1839,-1483,-1272,9.01,28.65,2.94,2.95,40.59,7.38,0.39,0,0.78,13.93,13.93,7.18,-18.25,0,1.9,51669.769,107462.769,-31.92,-7.4,-15.03,15.59,11.26,0,12.1,7.62,1.74,5,-2.56,0.385,6.33,2.79,2.63,8.81,14.3,12.13,0.42,9.91,14.29,-23.94,-24.34,3923,3929.26,1.56,5/1/2013,5/1/2013
Jun-13,9.328,0.496,0.496,0.3,0.3,0.527,1.098,1.488,0.1,4.831,4.81,27.168,15.47,26.82,2.52,9.7,4.94,3.58,0.77,12.77,3.91,3.24,11.77,5.624,0.098,0.55,9.96,0.195,0.333,199.67,0,22.81,222.48,4,0.87,0.218,38095,33229,4866,3375,0,0,0,1491,57,-207,-150,478,-1,1819,-585,32.16,1234,0,1233,0,0.31,0.3,4084,0,2026,13362,23344,36706,83357,3841,0,-971,5322,0,8192,0,128255,23074,0,0,0,0,0,0,25863,82,0,18936,196210,0,0,12525,33486,14909,3443,0,3443,0,51838,92948,0,92948,0,2812,43,29390,177031,40,0,20136,-21837,21219,-379,19179,1233,0,1234,0,0,0,0,0,0,0,0,0,4844,6078,-1594,0,0,9,-30820,27966,0,0,-2773,-7212,0,-77,0,1131,-393,47,708,-458,-1594,4484,10.31,29.35,3.2,3.22,20.44,6.69,0.44,0,0.93,18.53,18.53,5.4,-14.8,0,1.94,61415.9,132609.9,-35.35,-12.29,-18.57,16.46,11.65,0,12.74,6.9,1.67,4,-2.51,0.464,7.4,2.47,2.32,7.2,15.9,12.44,-1.04,14.51,15.38,-21.64,-21.57,3933,3970,1.58,7/31/2013,7/31/2013
