Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar2011,3.613,1.279,1.063,0.31,0.31,0.97,0.425,0.723,0.14,11.648,4.179,40.29,20.05,11.08,1.86,13.14,4.92,6.6,3.57,56.57,29.43,8.93,11.77,3.459,0.17,0.587,11.76,0.052,0.452,777.88,86.05,67.9,759.73,1.34,0.43,0.323,38448,16699,21749,9272,0,0,1163,11314,0,-3879,-3879,0,-94,7435,-3927,52.82,3508,19,3433,75,0.32,0.31,10641,2292,13606,82173,44889,127062,327757,8111,0,-397,5613,0,13327,0,468146,0,0,0,0,0,111549,-44045,67504,79212,67920,112975,727837,15747,0,10488,26235,120278,0,0,0,43954,190467,307011,0,307011,0,1297,2254,103273,604302,702,0,133003,-15001,36783,-31952,123535,3527,0,3508,2292,985,-1288,0,1269,-36,-1400,0,0,3332,7696,-3169,1773,-4547,8908,0,0,0,-105,14425,17285,0,-394,0,-15885,-1564,-4728,-22571,3238,-3169,4527,16.85,20.67,1.72,4.8,8.55,5.83,1.41,0,3.39,11.62,14.92,6.7,4.68,11.53,2.49,212639.273,515120.273,-45,-12.84,-21.19,29.83,24.49,0,10.84,10.21,1.29,7,-2.81,0.567,-7.46,2.46,2.39,2.92,21.52,18.28,0.09,5.34,82.35,44.19,-6.43,10611,10605.45,1.74,05/06/11,05/06/11
Jun2011,3.349,0.995,0.779,0.35,0.33,0.241,0.383,0.7,0.15,12.082,4.315,40.604,18.86,11.73,2.05,9.88,6.26,6.54,3.52,50.88,23.25,10.57,11.44,3.361,0.173,0.582,9.88,0.049,0.455,819.86,82.2,72.85,810.51,1.25,0.49,0.392,35625,17500,18125,9030,0,0,811,8284,0,-3773,-3773,0,-74,4511,-890,19.73,3621,217,3764,75,0.35,0.35,10639,2302,10586,91053,45340,136393,320084,8717,0,-391,6290,0,14616,0,471093,0,0,0,0,0,113029,-44183,68846,82334,70536,116857,739130,15765,0,11074,26839,135079,0,0,0,44401,206319,295340,0,295340,0,-705,2323,107779,611056,702,0,135098,-12455,36600,-31871,128074,3838,0,3584,2302,-942,-924,0,-90,-1389,-1770,0,0,4717,7444,-3369,1732,-2972,3360,0,0,0,-515,5253,3489,0,-301,0,-1157,-1564,-673,-3695,8890,-3369,4075,14.97,78.26,1.56,4.37,9.4,5.79,1.34,0,3.3,11.25,14.45,6.92,4.41,10.74,2.92,199922.412,496271.412,-44.78,-13.2,-21.44,30.42,24.23,0,11.19,10.21,1.24,7,-2.73,0.583,-6.28,2.28,2.21,2.2,20.65,17.97,0.05,-4.29,25,-1.78,-7.54,10604,10600.34,1.83,07/29/11,07/29/11
Sep2011,3.334,0.922,0.701,0.22,0.23,0.578,0.619,0.856,0.15,11.789,3.669,40.22,15.22,7.42,1.75,9.12,6.26,5.7,3.49,53.02,21.02,9.12,18.58,3.412,0.169,0.576,10.16,0.048,0.652,807.63,88.7,81.38,800.31,1.12,0.47,0.419,35367,16615,18752,10298,0,0,1020,7434,0,-3735,-3735,0,-41,3699,-435,11.76,3264,1,3224,881,0.22,0.22,10607,2350,9784,91368,46458,137826,313025,9200,0,-394,6215,0,15021,0,465872,0,0,0,0,0,109757,-43663,66094,85724,73291,120010,737700,16150,0,11114,27264,138997,0,0,0,46757,213018,285622,0,285622,0,1980,2312,110307,613239,702,0,135857,-13664,33830,-32264,124461,3265,0,3264,2350,297,-196,0,135,-8,957,0,0,2520,9083,-2513,1132,-3320,4948,0,0,0,-182,1578,1643,0,-886,0,-9845,-1668,3379,-9020,287,-2513,6570,11.71,26.33,1.29,4.15,8.34,4.78,1.08,0,3,10.32,13.19,7.58,6.79,8.77,3.81,160682.867,449787.867,-45.03,-13.96,-22.08,29.62,24.18,9.99,10.12,10.36,1.18,8,-2.67,0.56,-5.32,2.19,2.12,1.99,19.3,15.01,0.41,-0.83,22.22,-4.46,-8.52,10580,10557.35,1.85,11/08/11,11/08/11
Dec2011,3.582,0.939,0.727,0.35,0.36,1.001,0.522,0.862,0.17,11.013,3.002,38.809,17.91,12.39,2.05,9.67,6.82,6.09,3.1,54.01,20.31,9.82,14.58,3.524,0.162,0.572,11.28,0.052,0.472,738.86,85.7,75.28,728.44,1.21,0.46,0.379,37973,17463,20510,11703,0,0,1095,7712,0,-3236,-3236,0,-83,4476,-466,10.41,4010,-197,3730,0,0.36,0.35,10602,2241,9953,84501,47374,131875,307470,8735,0,-450,5456,51,13792,0,453137,59973,611,7823,97145,2644,108117,-42378,65739,84693,72625,53700,717242,16400,0,10402,28599,148325,0,0,0,40710,217634,262003,0,262003,0,-131,1696,119602,600804,702,0,137786,-23974,33693,-31769,116438,3813,0,4010,2241,-806,1240,0,-79,-360,2010,0,0,1235,9136,-3599,1259,-363,-8339,0,0,0,67,8440,-2535,0,125,0,-2273,-1662,-7767,-11577,-6878,-3599,5537,14.56,17.89,1.63,5.97,9.19,5.7,1.29,0,3.19,10.69,13.51,7.4,3.76,10.51,3.41,189362.788,469511.788,-44.35,-13.97,-21.89,29.39,23.87,15.13,9.11,10.51,1.22,8,-2.7,0.538,-5.45,2.08,2.02,2.38,18.23,14.69,-0.15,-4.86,-16.67,4.57,-9.21,10579,10573.02,1.92,02/24/12,02/24/12
Mar2012,3.316,0.9,0.686,0.29,0.3,1.221,0.299,0.609,0.17,11.322,3.305,37.941,20.07,10.27,1.7,9.26,6.19,5.95,3.31,49.21,20.7,8.62,9.01,3.351,0.169,0.568,9.72,0.049,0.567,777.07,86.97,74.06,764.16,1.23,0.51,0.412,35182,17869,17313,9166,0,0,863,7284,0,-3358,-3358,0,-38,3926,-637,16.23,3289,-217,3034,0,0.29,0.29,10611,2263,9547,83650,47829,131479,299604,9387,0,-457,6282,0,15212,0,446295,0,0,0,0,0,108970,-42970,66000,84880,72959,110544,707719,17031,0,10673,29503,148161,0,0,0,39540,217204,253529,0,253529,0,281,1721,115117,587852,702,0,139019,-22133,33594,-31315,119867,3072,0,3289,2263,1154,-1433,0,854,979,36,0,0,-101,6466,-3295,1825,-190,84,0,0,0,62,6833,5319,0,127,0,-11711,-1799,-216,-13599,-852,-3295,3171,16.59,16.44,1.77,6.07,11.01,6.63,1.48,0,3.36,12.15,15.77,6.34,1.75,11.58,3.19,212487.512,484419.512,-43.11,-13.37,-21.16,29.72,23.36,23.39,9.52,10.71,1.23,7,-2.64,0.546,-3.72,2.05,1.98,2.17,20.21,18.36,-0.14,-8.22,-6.45,-29.63,-9.8,10581,10587.32,1.67,05/04/12,05/04/12
Jun2012,3.44,0.907,0.697,0.29,0.34,1.225,0.352,0.73,0.17,11.376,3.408,36.636,20.84,10.35,1.77,9.57,6.69,5.46,3.26,47.4,20.26,8.51,10.24,3.22,0.173,0.557,9.87,0.052,0.5,729.58,79.46,72.84,722.96,1.25,0.53,0.42,36501,19199,17302,9163,0,0,743,7396,0,-3211,-3211,0,-33,4185,-494,11.8,3691,-553,3105,0,0.29,0.29,10611,2230,9626,74295,47931,122226,291839,9404,0,-438,6474,0,15440,0,429505,0,0,0,0,0,109612,-42952,66660,84139,72401,113817,694121,16718,0,9982,28498,135053,0,0,0,38665,202216,251779,0,251779,0,456,3780,115771,574002,702,0,140324,-22723,33498,-31682,120119,3138,0,3691,2230,-1163,-212,0,18,-2060,-255,0,0,4145,7751,-4012,901,-204,33,0,0,0,-25,2626,-681,0,-632,0,-12725,-1802,27,-15132,-9362,-4012,3739,18.12,17.01,1.83,6.12,11.63,6.82,1.52,0,3.37,12.55,16.38,6.11,1.31,12.21,3.17,220046.226,488432.226,-42.79,-13.68,-21.33,29.96,23.52,28.73,9.71,10.2,1.26,5,-2.64,0.549,-3.33,2.12,2.05,2.3,20.84,18.15,0.27,2.72,-17.14,-8.84,-10.13,10574,10558.84,1.5,07/30/12,07/30/12
Sep2012,3.44,0.882,0.663,0.33,0.33,1.122,0.253,0.555,0.17,11.687,3.593,36.837,22.71,11.51,2,9.17,6.29,5.42,3.08,49.08,19.27,9.6,7.35,3.152,0.175,0.553,10.25,0.052,0.515,726.9,78.15,77.55,726.3,1.18,0.51,0.433,36349,18509,17840,9713,0,0,1122,7005,0,-2979,-2979,0,-17,4026,-555,13.79,3471,37,3491,0,0.33,0.33,10568,2321,9326,85461,48719,134180,289558,9552,0,-411,6881,0,16022,0,439760,0,0,0,0,0,111043,-43655,67388,84871,73162,106861,698880,15851,0,9402,27038,128949,0,0,0,41908,197895,257330,0,257330,0,-541,5464,116180,576328,702,0,142026,-20321,33119,-32974,122552,3508,0,3471,2321,2675,-304,0,-628,889,-1318,0,0,498,5861,-3191,2122,-210,403,0,0,0,-67,8840,7897,0,-1775,0,-1966,-1800,1366,-4175,11164,-3191,2670,18.02,20.24,1.94,6.32,15.93,8.24,1.65,0,3.4,12.89,16.86,5.93,-0.21,13.34,2.99,238143.873,495706.873,-42.16,-13.02,-20.69,29.79,23.7,39.73,10.37,10.31,1.3,7,-2.62,0.548,-3.7,2.22,2.14,2.35,22.73,19.44,0.69,3.18,50,-4.34,-10.15,10523,10486.3,1.44,11/07/12,11/07/12
Dec2012,3.75,1.026,0.785,0.38,0.4,1.124,0.632,1.073,0.19,11.823,3.613,35.327,20.99,13.07,2.32,10.9,7.41,5.19,3.14,52.37,20.92,10.2,16.85,2.988,0.18,0.536,11.9,0.057,0.475,667.06,76.35,76.47,667.18,1.19,0.48,0.399,39327,18733,20594,11202,0,0,1163,8229,0,-2960,-2960,0,-135,5269,-818,15.52,4451,-305,4011,0,0.38,0.38,10486,2532,10761,77356,48510,125866,287489,9295,0,-398,6477,0,15374,0,428729,100076,3236,8361,95828,3055,116763,-47020,69743,85434,73447,1346,685328,15675,0,10877,28532,110487,0,0,0,44065,183084,257112,0,257112,0,-75,5444,116737,562302,702,0,144055,-20230,33070,-34571,123026,4146,0,4451,2532,451,675,0,-668,691,366,0,0,3213,11253,-4628,1352,-852,3325,0,0,0,-67,-363,-1233,0,-1884,0,-14320,-1788,-176,-18168,-8113,-4628,6625,16.27,18.67,1.78,5.81,13.67,7.07,1.51,0,3.16,11.86,15.56,6.43,0.94,12.45,3.33,218414.174,465591.174,-41.94,-12.84,-20.48,30.55,23.99,50.75,10.55,10.13,1.32,7,-2.6,0.53,-4.23,2.34,2.26,2.78,23.12,20.01,0.77,4.69,8.57,9.27,-9.77,10436,10405.63,1.4,02/26/13,02/26/13
Mar2013,3.356,0.868,0.647,0.34,0.35,1.163,0.093,0.442,0.19,11.964,3.787,33.647,23.12,11.44,2.08,9.22,6.68,5.51,2.93,50.54,19.27,10.07,2.76,2.812,0.184,0.519,10.44,0.052,0.543,724.89,85,83.41,723.3,1.09,0.49,0.452,35010,17316,17694,9459,0,0,1488,6747,0,-2621,-2621,0,16,4126,-506,12.26,3620,-109,3527,0,0.34,0.34,10433,2310,9057,89781,48329,138110,278120,9738,0,-386,6929,0,16281,0,432511,0,0,0,0,0,114504,-46093,68411,84555,72737,85213,670690,16130,0,11337,29438,92218,0,0,0,48077,169733,255696,0,255696,0,0,5336,116211,546976,702,0,145608,-19664,33061,-35993,123714,3511,0,3620,2310,1951,-977,0,747,2319,-1512,0,0,-2127,4610,-3644,829,0,272,0,16699,0,115,17214,31485,0,-1733,0,-15793,-1983,-3447,-22956,12425,-3644,966,17.25,19.88,1.93,6.11,17.38,8.26,1.65,0,3.09,11.72,15.46,6.47,-0.21,13.49,3.11,239063.574,454203.574,-39.54,-11.07,-18.58,30.9,24.06,52,11,12.25,1.4,7,-2.64,0.494,-7.87,2.55,2.45,2.57,23.77,20.9,0.63,1.21,17.24,-3.56,-9.06,10374,10340.12,1.42,05/08/13,05/08/13
Jun2013,3.401,0.834,0.614,0.3,0.31,1.504,0.363,0.709,0.19,12.03,3.714,33.261,23.19,10.18,1.88,8.91,6.91,5.58,3.05,47.36,18.07,8.92,10.67,2.765,0.185,0.513,10,0.053,0.613,718.36,80.14,81.54,719.76,1.12,0.53,0.47,35123,18488,16635,9260,0,0,1029,6346,0,-2617,-2617,0,-166,3729,-308,8.26,3421,-122,3133,0,0.3,0.3,10328,2267,8613,88711,43748,132459,276504,9926,0,-360,7196,0,16762,0,425725,0,0,0,0,0,115165,-46403,68762,84684,73088,81370,660541,16237,0,12435,30611,84262,0,0,0,46731,161604,254457,0,254457,0,0,6302,115669,538032,702,0,146800,-18463,32972,-39502,122509,3299,0,3421,2267,789,-475,0,123,1534,-267,0,0,366,7321,-3574,1731,0,741,0,0,0,48,6514,5460,0,-3867,0,-12018,-1972,3995,-13862,-1078,-3574,3747,17.18,15.42,1.93,6.24,17.29,8.34,1.66,0,3.08,11.88,15.84,6.31,0.74,13.67,3.19,236161.858,448723.858,-39.83,-11.03,-18.64,30.25,23.99,52.25,10.78,11.2,1.42,7,-2.66,0.5,-8.86,2.63,2.53,2.42,24.33,21.35,1.51,-1.13,3.45,-8.05,-8.13,10263,10183.78,1.33,07/26/13,07/26/13
