Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
11-Mar,19.844,4.144,3.153,2.31,2.31,10.849,2.135,3.058,0.65,18.718,-5.004,24.981,163.07,50.1,10.12,93.69,25.86,6.92,1.26,44.13,14,11.63,10.76,1.335,0.201,0.268,38.37,0.217,0.281,41.88,44.78,16.59,13.69,5.5,0.56,0.102,24607,13749,10858,5765,323,1587,-262,3445,36,-93,-57,429,0,3817,-954,24.99,2863,0,2863,0,2.34,2.31,1240,1228,5138,12763,482,13245,11293,0,2001,0,548,0,2549,20437,47524,5380,0,0,0,0,40765,-26557,14208,28732,25408,17116,112960,6747,2531,9782,19060,8508,12820,0,12820,-1,40387,21749,0,21749,15995,3724,104,8330,90289,46278,0,94590,-18119,0,-100078,22671,2863,0,2863,1228,0,0,0,0,-147,0,170,0,-322,3792,-1002,87,-51,0,-415,1481,-143,0,541,498,877,-4045,0,1650,-795,-1,-2314,2102,-1145,2647,13.73,15.03,8.71,0,14.84,10.92,2.03,1.07,2.11,8.5,10.52,9.51,18.61,23.58,1.59,197510.384,214626.384,-63.61,-35.31,-55.56,147.15,146.89,151.83,0,92.23,4.06,8,-2.62,0.351,3.1,1.18,1.11,37.04,166.05,147.05,1.37,14.73,17.26,13.47,12.78,1222.2,1211.2,0.71,4/26/11,4/24/12
11-Jun,21.833,5.067,4.079,3,3,11.466,2.52,3.503,0.75,19.365,-4.763,24.93,171.55,64,12.95,117.1,35.45,6.55,1.29,46.44,17.95,13.74,11.54,1.287,0.204,0.262,43.76,0.236,0.25,39.92,45.44,16.36,10.84,5.58,0.54,0.096,26667,14282,12385,5951,366,1569,-287,4786,30,-97,-67,166,0,4885,-1221,24.99,3664,0,3664,0,3.04,3,1221.4,1207,6189,11714,50,11764,11666,0,2013,0,560,0,2573,20934,46937,5329,0,0,0,0,41126,-26887,14239,28815,25609,18154,113474,7112,2363,9850,19325,7858,12660,0,12660,0,39843,21915,0,21915,16014,3641,84,8850,90347,46975,0,97334,-17109,0,-104073,23127,3663,0,3663,1207,0,0,0,0,-692,0,162,0,-61,4279,-1059,249,-108,0,-359,894,-142,0,-59,-584,674,-3976,0,-698,-905,2,-4903,-1049,-1201,3078,13.98,14.96,8.86,0,15.11,11.04,2.05,1.11,2.13,8.71,10.76,9.29,18.28,23.83,1.57,204878.734,222971.734,-65.8,-36.35,-57.4,150.51,153.36,154.72,0,96.64,4.16,8,-2.56,0.365,1.68,1.18,1.11,49.34,172.87,162.33,1.4,19.34,14.94,12.35,12.61,1204.8,1194.28,0.69,7/26/11,7/31/12
11-Sep,21.709,5.25,4.261,3.19,3.19,11.545,2.941,3.883,0.75,18.913,-4.798,25.589,174.87,67.62,13.73,115.93,36.79,5.37,1.43,46.54,18.98,14.68,13.55,1.353,0.202,0.274,43.55,0.234,0.235,37.82,46.28,17.08,8.62,5.34,0.53,0.1,26157,13984,12173,5586,339,1546,-263,4965,39,-107,-68,130,0,5027,-1188,23.63,3839,0,3839,0,3.23,3.19,1204.9,1192,6326,11303,0,11303,10842,0,2045,0,618,0,2663,20565,45373,5422,0,0,0,0,40139,-26252,13887,27946,24913,17530,110158,7093,2360,9252,18705,6071,11252,0,11252,0,36028,24089,0,24089,15375,3634,87,8654,87867,47558,0,100266,-18099,0,-107434,22291,3839,0,3839,1192,0,0,0,0,-649,0,166,0,131,4679,-999,144,-64,0,-382,575,-136,0,57,-805,478,-3444,0,191,-893,-1,-3669,-80,-1135,3544,13.83,15.15,9.25,0,14.61,11.04,2.02,1.12,2.11,8.67,10.67,9.37,18.12,23.62,1.6,206105.279,225049.279,-64.96,-36.05,-56.93,150.65,158.2,155.98,0,100.95,4.38,8,-2.71,0.363,0.95,1.26,1.19,46.4,185.21,157.54,1.31,13.84,13.12,11.84,12.34,1188.6,1178.62,0.67,10/25/11,10/30/12
11-Dec,24.804,7.213,6.214,4.58,4.58,12.034,4.972,5.969,0.75,17.313,-8.139,26.926,183.88,103.51,19.38,158.74,52.94,3.9,1.47,49.93,24.05,18.62,20.04,1.555,0.173,0.269,51.98,0.26,0.164,39.18,52.64,16.25,2.79,5.62,0.5,0.089,29486,14764,14722,5915,345,1555,-184,7091,31,-113,-82,265,0,7274,-1784,24.53,5490,0,5490,0,4.65,4.58,1188.772,1188,8575,11922,0,11922,12660,0,2007,0,588,0,2595,23751,50928,4895,786,9531,26843,0,40124,-26241,13883,29605,26213,17122,116433,8517,3313,9633,21463,8463,12197,0,12197,0,42123,22857,0,22857,18374,4396,98,8447,96295,48129,0,104857,-21885,0,-110963,20138,5490,0,5490,1188,0,0,0,0,-902,0,199,0,1121,7096,-1048,128,-1588,0,-438,395,-138,0,-816,-3505,424,-3581,0,1227,-880,0,-2810,289,-1186,5910,14.06,15.28,10.62,0,14.63,11.2,2.09,1.17,2.18,8.9,10.9,9.17,17.88,23.85,1.58,213885.538,233381.538,-72.54,-39,-63.26,163.84,161.39,157.61,0,106.29,4.21,9,-2.65,0.36,0.35,1.21,1.15,62.75,194.56,173.29,1.31,7.56,10.63,9.47,12.05,1172.204,1163.18,0.4,2/28/12,2/25/14
12-Mar,21.013,4.345,3.36,2.61,2.61,12.463,2.72,3.654,0.75,17.947,-9.023,27.788,208.65,60.06,10.58,83.56,28.96,5.31,1.39,45.06,14.71,12.43,12.95,1.548,0.179,0.278,38.37,0.213,0.287,43.2,49.92,18,11.28,5.07,0.55,0.108,24673,13555,11118,5800,316,1601,-228,3629,31,-110,-79,285,0,3835,-769,20.05,3066,0,3066,0,2.65,2.61,1174.2,1157,5102,11835,500,12335,11681,0,2058,0,696,0,2754,22077,48847,4822,0,0,0,0,40441,-26496,13945,31109,27468,16624,115347,7416,2184,9047,18647,6293,13269,0,13269,0,38209,25760,0,25760,17579,3904,82,9112,94646,48800,0,107036,-21115,0,-114020,20701,3066,0,3066,1157,0,0,0,0,43,0,168,0,-143,4291,-937,95,-1319,0,-1227,681,-160,0,637,-2230,619,-3015,0,951,-870,-1,-2316,-87,-1097,3194,15.59,16.74,11.63,0,15.86,12.27,2.33,1.34,2.43,9.94,12.14,8.24,16.8,25.99,1.44,240673.602,260473.602,-71.36,-39.71,-62.57,158.04,163.53,155.61,0,110.61,4.48,6,-2.67,0.348,2.46,1.28,1.21,32.99,208.65,179.16,0.83,5.89,12.99,4.85,11.63,1159.1,1153.48,0.6,4/24/12,4/30/13
12-Jun,22.19,5.555,4.543,3.34,3.34,12.593,2.648,3.817,0.85,17.914,-9.557,28.383,195.58,75.41,13.55,112.97,35.5,4.99,1.45,47.63,18.84,15.05,11.93,1.584,0.18,0.285,42.87,0.225,0.254,42.03,50.57,18.63,10.09,4.9,0.52,0.107,25783,13502,12281,5753,344,1587,-260,4857,31,-117,-86,390,0,5161,-1280,24.8,3881,0,3881,0,3.38,3.34,1161.9,1176,6454,10864,323,11187,11875,0,2006,0,752,0,2758,21572,47392,4730,0,0,0,0,40158,-26293,13865,31393,27735,16452,113832,7482,2183,9258,18923,7669,12311,0,12311,0,38903,24766,0,24766,16544,3889,92,9166,93360,49157,0,109928,-21498,0,-117116,20472,3882,0,3882,1176,0,0,0,0,-807,0,160,0,24,4435,-1198,80,-606,13,-428,566,-160,0,49,-1684,299,-2987,0,303,-978,1,-3362,-971,-1358,3077,14.26,15.53,10.92,0,14.73,11.29,2.18,1.28,2.31,9.25,11.26,8.88,16.77,23.4,1.59,223502.957,244842.957,-71.91,-40.23,-62.91,158.45,164.18,152.43,0,113.17,4.44,6,-2.7,0.362,3.51,1.22,1.15,41.51,209.5,188.54,0.93,1.64,11.33,9.63,11.11,1149,1142.77,0.64,7/31/12,7/31/13
12-Sep,21.532,5.559,4.523,3.33,3.33,13.216,2.968,3.928,0.85,19.064,-9.109,29.796,207.45,72.82,13.32,107.77,32.6,4.76,1.5,47.41,18.56,15.45,13.78,1.563,0.186,0.291,40.88,0.216,0.255,43.65,49.67,18.73,12.71,4.87,0.53,0.108,24747,13016,11732,5810,330,1231,-231,4592,22,-124,-102,584,0,5074,-1251,24.66,3823,0,3824,0,3.36,3.33,1149.3,1191,6389,11909,345,12254,11838,0,1937,0,649,0,2586,21463,48141,5006,0,0,0,0,40716,-26688,14028,31833,28270,16770,115778,7085,2147,9703,18935,9334,11230,0,11230,0,39499,24333,0,24333,16682,4263,125,9335,94237,49603,0,112773,-20720,0,-120115,21541,3823,0,3823,1191,0,0,0,0,-104,0,182,0,-578,4514,-947,58,-341,574,-941,724,-156,0,31,-998,280,-2986,0,1167,-968,0,-2507,1045,-1103,3411,14.97,15.7,10.88,0,15.59,11.94,2.32,1.42,2.44,9.65,11.74,8.52,16,23.92,1.54,234403.979,255941.979,-72.56,-40.8,-63.55,157.13,163.86,146.08,0,117.25,4.47,7,-2.63,0.378,3.75,1.22,1.15,37.03,207.45,183.09,1.12,-0.82,4.39,5.89,10.54,1137.2,1129.93,0.6,10/30/12,10/29/13
12-Dec,24.35,8.562,7.548,5.1,5.44,13.123,4.564,5.584,0.85,16.879,-12.685,29.774,191.55,115.5,19.86,182.48,52.1,4.94,1.3,55.04,26.95,21.08,18.75,1.764,0.158,0.279,51.85,0.236,0.156,41.35,58.32,17.87,0.9,5.11,0.45,0.088,27671,12441,15230,5724,350,1941,-242,7457,26,-109,-83,1095,0,8469,-2241,26.46,6228,0,5833,0,5.15,5.1,1136.397,1152,9730,10412,717,11129,12540,0,1812,0,475,0,2287,23477,49433,346,747,9610,27731,0,40502,-26506,13996,33034,29247,22404,119213,7952,4948,9592,22492,9181,11952,0,11952,0,43625,24088,0,24088,20418,4939,124,7159,100353,50110,0,117641,-25759,0,-123131,18860,5833,0,5833,1152,0,0,0,0,-1581,0,178,0,764,6346,-1000,177,-1456,12,-1513,1171,-159,0,-1324,-4092,342,-3007,0,-169,-957,0,-3791,-1498,-1159,5187,13.32,14.6,11.35,0,14.85,11.28,2.15,1.27,2.3,8.54,10.27,9.74,16.35,21.22,1.72,214032.224,236296.224,-79.85,-45.57,-70.41,169.17,163.03,150.29,0,121.69,4.22,6,-2.7,0.355,5.05,1.13,1.08,68.41,211,185.51,1.11,-1.83,11.35,18.7,10.21,1124.834,1117.37,0.62,2/26/13,2/24/15
13-Mar,20.826,4.318,3.292,2.7,2.7,13.042,2.82,3.579,0.85,17.13,-12.143,29.966,213.3,63.91,10.26,84.54,28.45,5.13,1.13,45.62,14.77,12.95,13.54,1.749,0.163,0.285,36.12,0.198,0.315,46.99,51.63,16.87,12.23,5.41,0.54,0.101,23408,12730,10678,5577,323,1644,-323,3457,23,-94,-71,220,0,3606,-574,15.92,3032,0,3032,0,2.72,2.7,1124,1153,4853,10585,1407,11992,12055,0,1902,0,519,0,2421,22481,48949,5011,0,0,0,0,40056,-26459,13597,32626,29025,17075,117258,7203,4678,8547,20428,8725,12971,0,12971,-2,42122,24672,0,24672,19069,4409,122,7772,98166,50522,0,119713,-25466,0,-125677,19092,3032,0,3032,1153,0,0,0,0,-244,0,144,0,-62,4023,-714,123,-58,10,-2136,1169,-139,0,732,-1013,356,-2593,0,469,-948,0,-2716,173,-853,3170,14.74,16.35,12.45,0,16.41,12.62,2.4,1.45,2.55,9.45,11.39,8.78,15.5,22.76,1.59,237724.983,259251.983,-77.32,-44.16,-68.12,160.93,162.68,147.06,0,126.28,4.46,7,-2.67,0.341,4.3,1.16,1.1,36.78,215.8,192.32,0.26,-0.89,3.45,-0.62,9.93,1113.7,1114.51,0.63,4/30/13,4/29/14
13-Jun,22.466,4.848,3.824,2.91,2.91,12.059,1.963,2.861,0.95,16.209,-13.244,31.149,191.11,70.04,11.1,97.35,31.43,6.02,1.16,48.68,16.65,12.94,8.74,1.922,0.154,0.296,41.76,0.214,0.326,44.57,48.66,17.15,13.06,5.32,0.51,0.096,24924,12792,12132,6568,348,1301,-236,4151,19,-98,-79,72,0,4144,-918,22.15,3226,0,3226,0,2.93,2.91,1109.4,1136,5378,9558,799,10357,12175,0,1906,0,482,0,2388,22991,47911,4721,0,0,0,0,39552,-26196,13356,32264,28846,16901,115153,6821,4708,9437,20966,7830,12241,0,12241,0,41037,26292,0,26292,17962,4166,127,7813,97397,50886,0,121883,-25774,0,-129239,17756,3226,0,3226,1136,0,0,0,0,-1400,0,161,0,51,3174,-860,58,-121,2,-999,1590,-136,0,-397,-863,301,-3552,0,973,-1048,-1,-3327,-1027,-996,2178,13.61,15.85,11.79,0,15.52,11.98,2.14,1.4,2.32,8.85,10.74,9.31,15.72,20.03,1.83,209347.627,233239.627,-79.46,-45.17,-70.03,155.82,163.19,136.9,0,127.19,4.34,5,-2.67,0.355,4.19,1.17,1.11,42.36,214.36,187.83,1.71,1.24,-12.87,-12.73,9.52,1100.9,1095.43,0.71,7/31/13,7/29/14
