Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,2.292,1.038,0.781,0.56,0.56,2.124,0.23,0.716,0.181,8.792,5.832,0.397,20.18,26.12,19.64,92.4,35.8,9.49,1.13,61.38,32.37,24.6,10.04,0.045,0.722,0.033,49,0.2,0.323,25.16,50.7,72.23,46.69,1.26,0.39,0.306,12847,4962,7885,1775,0,1916,36,4158,28,-6,22,191,0,4371,-1211,27.71,3160,0,3160,0,0.58,0.56,5606,1442,5819,4188,7790,11978,3542,585,1783,0,1731,0,4099,3176,22795,2843,0,0,0,0,53012,-33453,19559,15941,9069,4414,65552,2757,729,6212,9698,54,1813,0,1813,0,11565,2083,0,2083,0,1783,0,2772,18203,16271,0,30597,481,0,0,47349,3160,0,3160,1442,-504,-251,0,1436,-587,-109,300,0,-193,4013,-2723,0,-8216,50,-5256,15368,0,0,133,-644,239,-4006,0,16,-994,57,-4688,-1310,-2723,1290,9.39,9.5,2.3,3.46,11.93,6.89,2.48,1.58,2.14,4.51,5.82,17.18,12.1,17.87,3.25,108672.529,98831.529,-1.16,0.85,-0.28,20.58,23.03,12.77,16.8,15.51,6,8,-2.2,0.594,6.2,1.97,1.62,693,22.14,19.81,2.28,26.42,30.23,28.62,5.94,5452,5385.16,1.03,5/9/2011,5/4/2012
Jun-11,2.395,0.999,0.722,0.54,0.54,2.199,0.273,0.73,0.181,9.219,6.222,0.409,22.16,24.6,17.95,75.58,30.79,9.38,0,60.64,30.19,22.67,11.41,0.044,0.737,0.033,48.02,0.198,0.335,23.52,48.77,72.3,47.05,1.26,0.39,0.312,13032,5130,7902,1905,0,1986,76,3935,20,0,20,-24,0,3931,-977,24.85,2954,0,2954,0,0.56,0.54,5441,1504,5435,4635,6912,11547,3359,546,1450,0,2034,0,4030,4166,23102,1884,0,0,0,0,54871,-34093,20778,15841,9141,4484,66089,2742,0,5717,8459,71,1824,0,1824,0,10354,2090,0,2090,0,2215,0,2707,17366,16245,0,32012,466,0,0,48723,2954,0,2954,1504,116,67,0,-1514,-889,140,262,0,0,3971,-2484,0,-75,0,-4072,5844,0,0,4,-783,348,-2174,0,73,-961,-31,-2745,447,-2484,1487,10.17,10.08,2.4,3.56,14.41,7.27,2.56,1.08,2.22,4.89,6.44,15.53,15.21,18.46,3.06,117115.6,107729.6,-1.1,1.09,-0.24,22.59,24.47,20.51,17.47,16.98,6.52,7,-2.37,0.6,3.73,2.23,1.84,N/A,23.88,19.49,1.86,27.06,5.88,6.96,9.41,5294,5285,1.06,8/8/2011,8/1/2012
Sep-11,2.665,1.202,0.916,0.65,0.65,2.706,0.672,1.189,0.21,9.011,5.966,1.395,21.34,29.25,20.3,88.53,35.06,7.37,0,63.36,33.62,24.37,25.23,0.155,0.654,0.101,52.8,0.208,0.323,24.5,52.48,69.89,41.91,1.31,0.37,0.281,14233,5215,9018,2017,0,2140,76,4785,22,0,22,85,0,4892,-1424,29.11,3468,0,3468,0,0.67,0.65,5340,1529,6421,7057,8141,15198,3821,614,1494,0,1851,0,3959,3720,26698,1374,0,0,0,0,56817,-34660,22157,15583,9138,4739,70551,2999,0,6927,9926,66,1917,0,1917,0,11909,7076,0,7076,0,2762,0,2687,24434,16247,0,29902,-32,0,0,46117,3468,0,3468,1529,-468,74,0,917,638,558,250,0,-94,6349,-2713,0,-186,0,-5462,4345,0,0,-91,-4107,338,-4007,0,4901,-1102,53,183,2422,-2758,3591,9.24,7.89,2.37,3.58,11.72,5.91,2.28,0.73,1.96,4.39,5.83,17.15,19.26,16.9,3.42,109218.12,101162.12,-1.8,0.44,-0.86,24.89,26.49,29.11,17.61,17.96,5.07,6,-2.68,0.576,1.96,2.24,1.91,N/A,23.23,19.19,3.16,36.67,25,26.93,12.6,5194,5118,0.94,11/4/2011,10/31/2012
Dec-11,2.647,1.184,0.881,0.64,0.64,2.86,0.718,1.264,0.21,9.182,6.078,1.466,24.25,29.21,18.97,80.76,35.24,7.3,1.93,64.46,33.12,24.2,27.11,0.16,0.646,0.103,50.55,0.196,0.328,23.98,54.66,74.47,43.79,1.23,0.36,0.29,13887,4935,8952,1973,0,2308,72,4599,28,-35,-7,-5,0,4587,-1227,26.75,3360,0,3360,0,0.66,0.64,5246,1589,6211,5065,9772,14837,3650,644,1680,0,1772,0,4096,3289,25872,1451,17883,0,34351,5839,58073,-34446,23627,15521,9254,4648,71119,2956,0,6896,9852,247,1929,0,1929,0,12028,7084,0,7084,0,2617,0,3479,25208,17036,0,29656,-781,0,0,45911,3360,0,3360,1589,178,-133,0,322,1265,201,241,0,-26,6630,-2844,0,-244,0,2867,-5452,0,0,906,-4767,1120,-4153,0,181,-1070,72,-3850,-1992,-2865,3765,10.15,8.48,2.64,3.99,12.81,6.22,2.43,0.66,2.11,4.76,6.38,15.67,21.58,18.56,3.22,121250,113744,-2.07,0.13,-1.12,28.35,28.3,36.76,18.08,18.65,5.29,5,-2.75,0.544,3.21,2.15,1.81,131.4,25.66,20.62,2.31,31.69,14.29,25.69,15.38,5073,5000,0.93,2/23/2012,2/14/2014
Mar-12,2.486,1.084,0.741,0.53,0.53,2.595,-0.001,0.572,0.21,9.337,6.252,1.488,28.12,23.64,15.32,63.11,27.75,7.7,1.68,64.04,29.52,21.21,-0.04,0.159,0.651,0.104,46.26,0.181,0.396,28.54,58.85,84.4,54.09,1.08,0.36,0.333,12906,4641,8265,1973,0,2401,81,3810,28,-31,-3,7,0,3814,-1076,28.21,2738,0,2738,0,0.55,0.53,5192,1785,5630,4429,9324,13753,4037,646,2048,0,1795,0,4489,3142,25421,1317,0,0,0,0,60602,-35575,25027,15452,9388,4600,71817,2993,0,6585,9578,362,2001,0,2001,0,11941,7088,0,7088,0,2793,0,3235,25057,18381,0,28983,-604,0,0,46760,2738,0,2738,1785,-387,-381,0,-1413,-1780,-45,274,0,0,2972,-2974,0,0,0,-1645,2227,-3,0,284,-2111,1244,-1519,0,115,-1049,-286,-1495,-636,-2977,-5,11.92,10.84,3.01,4.5,16.92,7.49,2.76,0.69,2.49,5.68,7.78,12.85,22.28,20.59,2.88,140819.617,134516.617,-2.26,0.07,-1.2,29.21,28.85,40.8,18.22,18.85,5.71,5,-2.98,0.569,6.08,2.13,1.75,122.9,28.19,24.54,-0.16,8.46,-5.36,4.43,17.29,4999,5007.81,0.94,5/4/2012,4/29/2013
Jun-12,2.597,1.114,0.761,0.54,0.54,2.721,0.383,0.912,0.21,9.731,6.655,1.433,26.65,23.67,15.69,59.94,26.61,7.74,1.15,63.36,28.38,20.94,14.75,0.147,0.674,0.099,47.47,0.187,0.389,23.95,60.3,86.63,50.28,1.05,0.37,0.348,13501,4947,8554,2131,0,2513,78,3832,25,-21,4,98,0,3934,-1107,28.14,2827,0,2827,0,0.56,0.54,5199,1839,5794,5223,8425,13648,3544,655,2068,0,2181,0,4904,3689,25785,1167,0,0,0,0,61999,-36023,25976,15416,9442,4008,72352,3269,0,5262,8531,92,1915,0,1915,0,10538,7093,0,7093,0,2775,0,3167,23573,18883,0,30753,-857,0,0,48779,2827,0,2827,1839,490,-401,0,761,-145,100,280,0,-162,4739,-2662,0,0,0,-8788,9726,-85,0,44,-1765,437,-1396,0,-270,-1057,110,-2176,794,-2747,1992,11.29,9.79,2.74,4,15.04,6.77,2.56,0.6,2.33,5.28,7.34,13.62,24.46,18.89,3.15,133596.45,127133.45,-1.98,0.44,-0.96,30.54,29.42,44.72,18.8,19.54,5.79,6,-3.15,0.589,6.15,2.45,1.98,182.48,29.18,25.04,-0.1,8.43,0,11.51,18.95,5022,5013,1.05,8/1/2012,7/29/2013
Sep-12,2.611,1.131,0.764,0.58,0.58,2.387,0.346,0.999,0.225,9.889,6.709,1.436,22.66,24.25,16.2,56.75,26.39,7.17,0.78,63.28,28.54,22.09,13.25,0.145,0.662,0.096,46.41,0.183,0.388,26.7,58.86,94.38,62.22,0.97,0.37,0.38,13457,4942,8515,1995,0,2605,74,3841,23,-14,9,71,0,3921,-949,24.2,2972,0,2972,0,0.59,0.58,5153,1893,5828,3520,6945,10465,3938,614,2363,0,2342,0,5319,3292,23014,4393,0,0,0,0,64166,-37009,27157,15844,9623,4033,74441,3188,0,6755,9943,56,1954,0,1954,0,11953,7100,0,7100,0,2904,0,3215,25172,19278,0,30492,-501,0,0,49269,2972,0,2972,1893,-386,-416,0,296,161,-97,276,0,-58,5147,-2887,0,0,0,3432,-4575,-477,0,-345,-4852,294,-1175,0,-36,-1125,38,-2004,-1703,-3364,1783,9.9,9.49,2.29,3.38,15.67,6.05,2.19,0.49,2.04,4.67,6.7,14.93,26.79,15.42,3.77,112892.12,109583.12,-2.95,-0.43,-1.83,30.96,29.27,46.19,18.59,18.76,4.89,6,-2.92,0.635,7.93,1.93,1.48,274.36,26.88,22.54,0.62,-2.03,-10.77,-5.91,20.17,4996,4982,0.97,10/31/2012,10/28/2013
Dec-12,2.644,0.963,0.57,0.48,0.48,2.227,0.642,1.182,0.225,10.357,7.131,2.72,20.62,19.65,12.43,37.41,19.81,7.38,0.93,58,23.41,18.31,24.28,0.263,0.607,0.159,39.38,0.17,0.469,25.95,48.74,81.04,58.25,1.13,0.42,0.373,13477,5660,7817,1958,0,2629,75,3155,21,-24,84,-35,0,3204,-736,22.97,2468,0,2468,0,0.49,0.48,5097,2005,4908,8478,3999,12477,3833,478,2219,0,2037,0,4734,10314,31358,7111,18807,0,39033,8206,66046,-38063,27983,15945,9710,1954,84351,3023,0,7631,10654,312,1932,0,1932,0,12898,13136,0,13136,0,3412,0,3702,33148,19464,0,32138,-399,0,0,51203,2468,0,2468,2005,107,572,0,615,1544,-200,272,0,-63,6026,-2504,0,0,0,-19060,16059,-250,0,423,-5332,136,-1020,0,6380,-1119,-110,4267,4958,-2754,3272,9.68,9.26,1.99,2.89,15.05,5.63,1.99,0.46,1.93,4.64,7.03,14.22,28.31,13.9,4.22,101945.28,102916.28,-4.18,-0.36,-3.12,31.69,29.26,44.5,18.49,17.59,3.86,5,-2.95,0.701,7.33,2.43,2.06,131.46,22.84,19.36,0.76,-0.11,-25,-18.67,20.89,4966,4944,1,2/19/2013,2/13/2015
Mar-13,2.476,0.902,0.495,0.4,0.4,2.433,0.409,0.844,0.225,10.34,7.197,2.672,21.84,15.98,9.77,28.9,15.83,7.13,2.19,56.17,20.02,16.26,16.52,0.258,0.616,0.159,33.76,0.15,0.563,25.65,43.92,75.23,56.96,1.21,0.44,0.361,12580,5514,7066,1947,0,2527,73,2519,23,-73,-50,-26,0,2443,-398,16.29,2045,0,2045,0,0.41,0.4,5080,2064,4580,5698,4323,10021,3536,451,2129,0,1778,0,4358,10762,28677,8175,0,0,0,0,67441,-39023,28418,15563,9756,2250,83083,2654,0,7155,9809,88,1901,0,1901,0,11798,13143,0,13143,0,3427,0,3521,31889,20098,0,31506,-410,0,0,51194,2045,0,2045,2064,293,372,0,-1130,-88,-56,295,0,25,4285,-2174,0,-98,0,-8701,2028,-33,0,3661,-5317,465,-559,0,-224,-1114,-306,-1738,-2780,-2207,2078,10.92,8.98,2.11,3.03,12.27,5.55,2.11,0.51,2.1,5.27,8.37,11.95,28.29,14.24,4.05,108128.748,111338.748,-4.42,-0.65,-3.44,32.71,29.23,42.86,18,17.2,3.99,5,-3.17,0.645,8.88,2.43,2.06,34.51,22.68,20.23,-0.14,-0.4,-24.53,-16.79,21.43,4948,4950.95,0.95,4/29/2013,4/25/2014
Jun-13,2.509,0.929,0.539,0.39,0.39,2.329,0.398,0.925,0.225,10.809,7.672,2.693,24.23,15.23,9.48,30.32,14.47,7.73,1.8,58.31,21.22,15.61,15.86,0.249,0.629,0.157,35.41,0.152,0.577,24.74,48.93,76.03,51.84,1.2,0.42,0.347,12811,5341,7470,2165,0,2516,70,2719,26,-60,-34,8,0,2693,-693,25.73,2000,0,2000,0,0.4,0.39,5106,1991,4744,3778,6214,9992,3474,487,2220,0,1835,0,4542,11040,29048,7003,0,0,0,0,69505,-40160,29345,15625,10005,4640,85661,2864,0,6291,9155,263,1971,0,1971,0,11389,13150,0,13150,0,3709,0,3573,31821,20678,0,33017,145,0,0,53840,2000,0,2000,1991,75,-177,0,527,737,-295,292,0,-3,4722,-2723,0,-286,0,-8362,9289,0,0,-3430,-5512,575,-796,0,175,-1123,37,-1132,-1920,-2690,2032,13.1,10.4,2.24,3.16,13.5,6.13,2.37,0.61,2.37,6.19,10.25,9.76,27.69,15.58,3.71,120689.63,124110.63,-4.38,-0.56,-3.4,33.4,28.98,39.53,17.87,16.88,4.15,5,-3.06,0.689,12.05,2.55,2.15,45.32,25.47,20.94,-0.61,-3.39,-27.78,-16.61,21.37,4978,4981,0.95,7/29/2013,7/25/2014
