Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Feb-11,1.702,0.719,0.583,0.41,0.41,1.732,0.494,0.52,0.05,7.235,1.357,2.915,32.9,23.83,12.55,416.79,33.15,9.28,5.13,77.04,34.08,24.14,29.02,0.403,0.541,0.218,40.04,0.13,0.122,46.8,30.52,11.61,27.89,7.86,0.23,0.029,8764,2012,6752,1904,0,1127,734,2987,44,-204,-160,-28,0,2799,-683,24.4,2116,0,2116,0,0.42,0.41,5149,701,3704,11864,12491,24355,4495,89,16,0,171,0,276,3333,32459,0,0,0,0,0,0,0,2894,29749,21425,2564,67666,673,0,1872,2545,0,5849,0,5849,2888,11282,14752,0,14752,0,350,442,4223,31049,16131,0,20059,427,0,0,36617,2115,0,2115,701,34,-34,-19,-179,-216,-98,129,0,45,2676,-133,0,-867,0,-6059,8006,0,0,85,1032,294,-245,0,-2253,-253,26,-2431,1444,-133,2543,21.64,19,4.55,24.24,17.66,16.89,4.89,1.1,4.58,11.28,14.14,7.07,23.93,38.68,0.61,166506.9,157345.9,-1.32,0.28,-0.63,25.35,31.66,29.85,6.81,16.61,5.06,7,-2.38,0.408,5.86,2.88,2.85,14.64,33.68,27.65,-0.2,34.87,78.26,55.63,19.64,5057,5061,1.06,3/29/2011,3/23/2012
May-11,2.088,0.978,0.846,0.63,0.63,1.955,0.717,0.732,0.06,7.848,2.045,3.142,34.22,33.61,18.18,607.2,48.99,8.97,5.09,79.87,40.45,29.78,34.33,0.4,0.541,0.217,48.76,0.153,0.095,56.13,29.49,12.18,38.82,7.49,0.2,0.027,10775,2169,8606,2353,0,1170,724,4359,45,-195,-313,124,0,4170,-961,23.05,3209,0,3209,0,0.63,0.63,5161,684,5049,16163,12685,28848,6628,94,17,0,192,0,303,3395,39174,0,692,2245,2098,60,5095,-2238,2857,29413,21553,2091,73535,701,0,2320,3021,1150,6802,0,6802,3219,14192,14772,0,14772,0,59,469,4267,33759,16653,0,22581,542,0,0,39776,3209,0,3209,684,-2106,-19,-247,1196,-381,-79,127,0,217,3777,-78,0,-174,0,-8148,7961,0,0,20,-419,348,-411,0,1150,-304,76,859,4299,-78,3699,20.37,17.5,4.36,16.73,16.3,15.65,4.93,1.07,4.52,10.72,13.17,7.59,23.48,37.27,0.61,173426.96,160969.96,-0.97,1.07,0.04,27.1,32.7,32.04,8.79,18.06,4.95,6,-2.5,0.404,4.64,2.76,2.74,22.35,36.37,30.2,-0.14,11.84,34.04,25.06,19.07,5066,5068,1.07,6/28/2011,6/26/2013
Aug-11,1.626,0.655,0.517,0.36,0.36,2.262,1.022,1.053,0.06,8.083,2.253,2.923,28.07,18.25,9.99,368.14,30.92,8.29,5,76.26,32.04,21.97,62.83,0.362,0.554,0.2,34.66,0.114,0.167,45.7,28.18,12.9,30.42,7.07,0.24,0.034,8374,1988,6386,1941,0,1050,712,2683,57,-192,-135,-77,0,2471,-631,25.54,1840,0,1840,0,0.36,0.36,5150,709,3372,13162,18498,31660,4194,73,27,0,159,0,259,3093,39206,0,0,0,0,0,0,0,2930,29493,21831,2230,73859,614,0,1553,2167,0,7925,0,7925,2964,13056,14789,0,14789,0,0,347,4775,32967,16915,0,23385,592,0,0,40892,1840,0,1840,709,2483,57,469,-1215,2798,-116,148,0,42,5421,-160,0,-343,0,-12588,6768,0,0,0,-6323,182,-800,0,-1150,-304,-139,-2211,-3001,-160,5261,15.86,12.41,3.47,12.46,11.73,11.28,3.96,0.85,3.44,8,9.73,10.28,24.57,29.78,0.78,141998.27,125474.27,-0.26,1.23,0.39,29.18,33.41,33.1,9.47,19.6,4.52,8,-2.6,0.331,6.37,3,2.98,13.97,34.09,24.78,0.18,10.16,33.33,23.58,18.7,5062,5058.72,1.1,9/23/2011,9/24/2012
Nov-11,1.716,0.752,0.615,0.43,0.43,2.324,0.22,0.245,0.06,8.331,2.539,2.937,31.35,21.18,11.95,432.52,36.57,8.48,5.19,77.75,35.38,24.93,12.81,0.353,0.575,0.203,37.26,0.12,0.14,46.02,20.76,11.13,36.39,8.2,0.22,0.027,8792,1956,6836,1974,0,1102,649,3111,58,-192,-134,-17,0,2960,-768,25.95,2192,0,2192,0,0.43,0.43,5123,701,3853,13286,17726,31012,4434,71,20,0,127,0,218,2818,38482,0,0,0,0,0,0,0,2900,29146,21994,2382,72910,445,0,1582,2027,0,6091,0,6091,2954,11072,14778,0,14778,0,0,347,4793,30990,17245,0,24383,292,0,0,41920,2192,0,2192,701,-355,36,-45,93,-1819,-21,150,0,52,1255,-129,0,-228,0,-8834,9567,0,0,0,376,252,-998,0,0,-303,29,-1020,124,-129,1126,17.13,13.49,3.76,12.35,12.78,12.29,4.4,0.94,3.87,8.88,10.76,9.29,23.42,32.23,0.73,157753.2,141866.2,0,1.49,0.69,29.91,33.59,33.32,10.22,20.22,5.07,7,-2.71,0.352,2.14,3.48,3.46,16.2,33.69,26,0.53,2.33,16.22,7.89,18.21,5041,5032,1.15,12/23/2011,12/21/2012
Feb-12,1.779,0.801,0.657,0.49,0.49,2.401,0.565,0.593,0.06,8.611,2.33,2.968,29.26,23.57,13.57,457.57,38.75,9.21,5.14,78.89,36.7,27.64,31.73,0.345,0.577,0.199,38.74,0.123,0.122,47,21.14,9.33,35.19,9.78,0.21,0.022,9039,1908,7131,1961,0,1145,708,3317,60,-190,-130,-39,0,3148,-650,20.65,2498,0,2498,0,0.5,0.49,5080,730,4068,13781,15961,29742,4656,60,13,0,99,0,172,2968,37538,0,0,0,0,0,0,0,2936,31274,23819,2613,74361,442,0,1665,2107,0,6285,0,6285,3240,11632,14777,0,14777,0,0,393,4686,31488,17341,0,25116,416,0,0,42873,2497,0,2497,730,-100,46,-337,28,-355,-63,176,0,25,3010,-142,0,-2262,0,-8323,10137,0,0,0,-590,79,-1659,0,-255,-302,18,-2119,495,-142,2868,15.32,12.19,3.4,12.56,11.59,11.16,4.06,0.87,3.55,8.02,9.7,10.31,23.61,28.96,0.82,145685.54,131113.54,-0.35,1.22,0.37,31.21,33.95,33.77,10.01,20.89,4.76,8,-2.7,0.388,4.35,3.23,3.21,17.46,31.9,25.51,1.05,4.52,19.51,11.4,17.68,5007,4979,1.3,3/23/2012,3/22/2013
May-12,2.172,1.065,0.91,0.68,0.68,2.484,0.764,0.807,0.06,8.907,2.175,3.359,26.47,31.9,18.09,614.4,49.76,8.93,4.92,80.37,42.09,31.62,35.18,0.377,0.558,0.21,45.97,0.143,0.088,53.31,18.65,7.03,41.69,12.99,0.2,0.015,10916,2143,8773,2241,0,1226,711,4595,56,-192,-136,-76,0,4383,-931,21.24,3452,0,3452,0,0.69,0.68,5026,776,5351,14955,15721,30676,6377,45,20,0,93,0,158,2812,40023,0,702,2351,2253,113,5419,-2398,3021,33018,25119,2265,78327,438,528,2002,2968,2950,7035,0,7035,2435,15388,13524,0,13524,0,0,399,5328,34639,17489,0,26087,112,0,0,43688,3452,0,3452,776,-2036,11,-138,428,-707,209,185,0,142,4057,-217,0,-1869,0,-8880,9122,0,0,0,-1844,220,-2399,0,1700,-296,26,-749,1174,-217,3840,13.51,10.66,2.97,12.17,10.3,9.81,3.63,0.79,3.13,6.97,8.45,11.83,24.09,24.68,0.91,129835.35,116032.35,-0.81,1.1,0.18,32.78,34.35,33.65,9.79,21.75,4.14,6,-2.7,0.402,5.9,2.6,2.59,23.93,30.24,25.61,1.49,4.02,7.94,8.9,17.17,4949,4905,1.33,6/26/2012,6/26/2014
Aug-12,1.656,0.736,0.585,0.41,0.41,2.557,1.12,1.148,0.06,8.969,2.208,3.058,31.65,18.7,10.51,381.64,30.53,9.66,4.81,78.3,35.19,24.86,67.62,0.341,0.566,0.193,33.09,0.106,0.146,42.11,19.95,7.87,30.03,11.6,0.22,0.019,8181,1775,6406,1820,0,1201,506,2879,57,-188,-131,-46,0,2702,-668,24.72,2034,0,2034,0,0.42,0.41,4939,746,3636,15667,15940,31607,3775,76,12,0,60,0,148,2642,38172,0,0,0,0,0,0,0,3037,32664,25288,2685,76558,388,0,1472,1860,1250,8316,0,8316,2529,13955,13521,0,13521,0,0,407,5346,33229,17901,0,25117,311,0,0,43329,2034,0,2034,746,2630,10,-72,-1272,2539,64,193,0,95,5671,-139,0,-361,0,-6804,6794,0,0,0,-510,517,-3076,0,-1700,-292,31,-4520,712,-139,5532,15.75,12.38,3.53,14.33,11.86,11.33,4.32,0.94,3.7,8.07,9.78,10.22,22.99,28.36,0.76,152901.15,136472.15,-0.34,1.02,0.27,35.28,34.49,33.71,9.99,23.41,4.68,6,-2.76,0.343,-1.63,2.74,2.72,15.31,32.2,26,1.51,1.85,13.89,12.37,16.77,4867,4831,1.45,9/24/2012,9/20/2013
Nov-12,1.868,0.861,0.714,0.53,0.53,2.482,0.12,0.163,0.06,9.053,2.243,4.161,32.18,23.92,13.22,453.51,38.76,10.04,4.52,80.27,38.17,28.38,6.41,0.46,0.54,0.248,37.38,0.116,0.113,44.16,18.92,7.93,33.17,11.5,0.2,0.017,9094,1794,7300,2048,0,1211,570,3471,61,-195,-134,-57,0,3280,-699,21.31,2581,0,2581,0,0.54,0.53,4868,718,4193,15912,17783,33695,4401,83,21,0,60,0,164,2869,41129,0,0,0,0,0,0,0,3093,32331,25458,3104,79657,372,0,1546,1918,1250,6504,0,6504,2675,12347,18507,0,18507,0,0,427,5393,36674,18015,0,24746,222,0,0,42983,2581,0,2581,718,-592,-10,-141,-77,-2662,-104,193,0,69,795,-212,0,-299,0,-10510,8469,0,0,0,-2552,235,-2996,0,4974,-291,33,1955,245,-212,583,15.25,12.97,3.55,14.35,12.53,11.87,4.31,0.93,3.74,8.08,9.75,10.26,22.27,27.83,0.75,152790.64,139279.64,-0.63,0.94,0.09,35.94,35.21,34.56,10.32,23.83,4.43,6,-2.67,0.385,3.17,3.33,3.32,17.8,33.1,29.58,1.72,8.86,23.26,14.49,16.38,4792,4748,1.51,12/21/2012,12/20/2013
Feb-13,1.862,0.835,0.685,0.52,0.52,2.527,0.64,0.664,0.18,9.186,2.243,4.186,34.24,23.2,12.59,430.23,36.26,10.13,4.15,80.84,37.22,27.95,34.36,0.456,0.546,0.249,36.41,0.113,0.346,42.47,19.2,9.97,33.24,9.15,0.19,0.021,8958,1716,7242,2062,0,1186,660,3334,62,-205,-143,-101,0,3090,-586,18.96,2504,0,2504,0,0.53,0.52,4812,725,4020,16101,17306,33407,4169,101,31,0,79,0,211,2899,40686,0,0,0,0,0,0,0,3034,32764,26102,2966,79450,361,0,1557,1918,1250,6278,0,6278,2470,11916,18502,0,18502,0,0,442,5242,36102,18645,0,24549,154,0,0,43348,2504,0,2504,725,231,-48,-28,-416,-471,148,180,0,108,3194,-116,0,-932,0,-6713,7096,0,0,0,-665,548,-2132,0,0,-850,125,-2309,189,-116,3078,16,13.55,3.73,15.27,12.95,12.31,4.53,1,3.99,8.63,10.42,9.6,21.85,28.41,1.05,161578.56,148365.56,-0.57,0.97,0.11,37.3,35.6,34.26,10.39,24.73,4.61,6,-2.79,0.378,3.05,3.41,3.4,16.26,36.21,31.61,0.61,4.67,6.12,4.24,16.01,4735,4719,1.48,3/22/2013,3/20/2014
May-13,2.301,1.214,1.058,0.8,0.8,2.657,0.921,0.959,0,9.61,2.296,3.981,33.78,34.6,18.88,661.74,51.24,10.25,4.37,80.87,45.67,34.77,40.02,0.414,0.546,0.226,43.92,0.136,0,50.42,18.26,9.83,41.99,9.29,0.19,0.021,10947,2094,8853,2216,0,1264,373,5000,57,-209,-152,-22,0,4826,-1020,21.14,3806,0,3806,0,0.81,0.8,4757,742,5777,14613,17603,32216,6049,114,31,0,95,0,240,3187,41692,0,632,2477,2619,28,5756,-2703,3053,33983,27343,3084,81812,419,911,1851,3181,0,7118,0,7118,2573,12872,18494,0,18494,0,0,497,5301,37164,18893,0,25854,-99,0,0,44648,3806,0,3806,742,-2002,-18,-314,1259,-118,-225,189,0,170,4564,-183,0,-1713,0,-8133,7800,0,0,0,-2229,227,-2817,0,-1250,0,214,-3626,-1488,-183,4381,14.95,12.71,3.52,14.71,12.06,11.51,4.39,0.94,3.87,8.15,9.78,10.22,22.09,26.71,0.89,156941.88,143716.88,-1.07,0.97,-0.06,39.15,36.21,35.82,10.81,25.82,4.45,7,-2.72,0.396,3.25,3.24,3.22,23.92,36.34,31.25,1.55,5.94,17.65,13.99,15.85,4682,4646,1.47,6/26/2013,6/25/2015
