Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar2011,2.294,1.022,0.765,0.59,0.75,2.545,1,1.047,0.19,14.986,12.831,0.66,54.83,16.75,12.27,230.97,25.72,9.83,12.43,64.83,27.69,25.78,43.59,0.044,0.738,0.033,30.86,0.119,0.253,16.84,44.59,39.5,11.75,2.31,0.35,0.152,3875,1363,2512,585,0,740,114,1073,126,-34,92,93,4,1258,-263,20.91,995,-269,999,0,0.6,0.59,1689,434,1726,6367,6658,13025,715,21,305,0,280,0,606,504,14850,9081,0,0,0,0,0,0,2114,3591,1417,4188,33824,666,69,558,1293,1100,518,0,518,1474,4385,0,0,0,0,3733,34,705,8857,0,0,14840,802,9325,0,24967,994,0,994,434,-53,-36,0,89,81,0,201,0,58,1768,-79,0,-23,0,-3536,2461,0,0,-2,-1179,1233,0,0,0,-316,141,1058,1656,-79,1689,23.84,21.54,3.66,4.27,26.37,23.54,7.03,3.33,6.17,13.99,16.88,5.92,10.31,41.94,1.39,91346.78,79455.78,2.5,3.6,3.01,41.21,43.72,16.47,27.34,24.59,8.01,6,-2.5,0.418,2.89,3.39,3.25,31.56,59.58,50.18,-2.04,44.55,28.26,50.52,6.36,1654,1666,1.05,04/20/11,04/20/11
Jun2011,2.12,0.871,0.762,0.61,0.58,2.628,0.611,0.74,0.215,15.665,11.913,0.651,56.79,16.16,12.01,237.94,23.15,9.47,10.58,64.73,30.72,28.57,28.84,0.042,0.748,0.031,27.22,0.105,0.371,20.96,54.34,48.52,15.14,1.88,0.35,0.188,3623,1278,2345,475,0,757,0,1113,127,-29,98,63,6,1274,-289,22.68,985,44,1035,0,0.62,0.61,1709,185,1488,5746,4982,10728,832,18,347,0,388,0,753,520,12833,9493,0,0,0,0,0,0,2267,6293,3195,4214,35100,761,84,568,1413,1092,541,0,541,1418,4464,0,0,0,0,3630,30,705,8829,0,0,15516,744,10011,0,26271,1030,0,1030,185,-2,38,0,-46,-135,0,193,0,-9,1264,-219,0,-3136,0,-2426,3870,0,0,-27,-1938,368,0,0,0,-360,45,53,-621,-219,1045,23.27,21.61,3.63,4.77,26.03,22.81,6.87,2.77,6.21,14.23,17.04,5.87,11.59,40.12,1.38,95236.83,85630.83,1.13,2.39,1.73,41.68,46.37,20.54,26.7,23.37,8.24,7,-2.34,0.493,6.56,2.87,2.71,38.38,58.18,52.25,-0.66,28.64,29.79,24.25,7.72,1673,1677,1.04,07/20/11,07/20/11
Sep2011,2.396,0.928,0.788,0.62,0.61,2.953,0.947,1.059,0.215,16.033,12.148,0.591,48.63,15.87,11.81,231.4,23.89,7.97,11.51,63.64,30.05,25.65,39.52,0.037,0.74,0.027,29.31,0.115,0.352,22.01,87.59,46.27,-19.31,1.97,0.36,0.184,4117,1497,2620,532,0,851,0,1237,116,-30,86,1,8,1324,-270,20.39,1054,-6,1056,0,0.63,0.62,1718,241,1595,5462,6190,11652,993,15,384,0,366,0,765,883,14293,9261,203,1427,3140,394,5427,-3013,2414,6531,3432,3923,36422,1437,18,644,2099,994,610,0,610,1586,5289,0,0,0,0,3541,21,620,9471,0,0,16204,353,10394,0,26951,1048,0,1048,241,-161,-19,0,165,325,0,256,0,-50,1820,-193,0,-399,0,-2677,1324,0,0,19,-1926,255,0,0,0,-361,94,-154,-284,-193,1627,19.22,16.47,3.03,4,19.26,16.91,5.5,1.95,4.75,11.17,13.4,7.46,13.98,32.51,1.67,81747.03,71110.03,1.3,2.87,1.97,43.75,49.6,24.92,27.17,24.59,6.99,7,-2.19,0.465,10.57,2.7,2.56,41.23,59.36,46.4,-0.24,31.65,16.98,20.83,9.23,1682,1681,1,11/02/11,11/02/11
Dec2011,2.72,1.137,1.016,0.81,0.81,2.951,0.825,1.034,0.215,16.886,12.904,0.55,54.7,20.22,15.14,278.51,29.52,7.85,11.24,62.53,33.13,29.93,30.34,0.033,0.757,0.025,31.63,0.126,0.265,20.18,50.67,38.47,7.98,2.37,0.37,0.158,4681,1754,2927,503,0,873,0,1551,130,-27,103,67,6,1721,-321,18.65,1400,-5,1401,0,0.83,0.81,1721,208,1956,4964,6576,11540,1035,14,235,0,465,0,714,745,14034,10438,0,0,0,0,0,0,2607,6717,3624,3810,37606,974,40,0,1014,928,543,0,543,2509,4994,0,0,0,0,3535,16,580,9125,0,0,17237,495,10749,0,28481,1395,0,1395,208,-38,50,0,-17,-72,0,247,0,1,1779,-359,0,-300,0,-3164,1751,0,0,4,-2068,228,-99,0,0,-362,42,-191,-498,-359,1420,20.8,18.54,3.24,4.24,16.17,14.1,5.74,1.85,5.01,12.07,14.33,6.98,15.1,35.23,1.53,92259.208,81663.208,1.43,2.91,2.1,46.53,53.46,29.59,28.26,25.72,7.93,6,-2.28,0.491,13.22,2.81,2.67,57.44,57.4,47.65,-0.34,33.86,14.08,20.32,10.76,1684,1686.64,0.99,02/01/12,02/01/12
Mar2012,2.836,1.133,1.011,1.28,0.84,3.557,0.925,1.083,0.215,18.634,14.771,0.607,68.06,29.55,22.54,262.79,28.12,9.01,11.79,63.93,30.63,45.11,32.61,0.033,0.768,0.025,31.94,0.125,0.256,21.95,63.97,38.26,-3.76,2.39,0.36,0.151,4943,1783,3160,595,0,954,97,1514,146,-29,117,103,31,1734,-296,17.07,1438,761,2230,0,1.31,1.28,1743,211,1974,5998,9081,15079,1189,19,365,0,397,0,781,812,17861,11489,0,0,0,0,0,0,2760,6609,3607,2812,41531,1250,179,572,2001,1039,558,0,558,1580,5178,0,0,0,0,3894,-12,589,9649,0,0,19090,809,11983,0,31882,2199,0,2199,211,-157,-71,0,304,232,0,241,0,-995,1888,-276,0,-29,0,-5511,2443,0,0,1868,-1505,907,0,0,81,-367,17,638,1034,-276,1612,20.5,19.13,3.65,4.61,20.57,17.38,6.76,1.96,5.9,14.6,16.6,6.02,15.9,39.89,1.26,116450.66,102398.66,3.17,4.8,3.92,48.76,56.5,34.73,30.72,28.11,9.16,7,-1.99,0.474,15.43,3.45,3.3,52.21,68.59,55.27,-1.44,23.63,116.95,10.86,12.23,1698,1711,1.13,04/18/12,04/18/12
Jun2012,2.631,1.035,0.91,0.69,0.69,3.457,0.297,0.524,0.25,19.033,14.542,0.565,55.68,14.98,11.5,226.49,22.19,8.78,7.17,62.84,29.87,26.09,11.31,0.03,0.768,0.023,27.69,0.11,0.362,24.66,59.24,42.49,7.91,2.15,0.37,0.173,4626,1719,2907,544,0,974,7,1382,156,-18,138,61,4,1581,-375,23.72,1206,-3,1207,0,0.7,0.69,1758,221,1820,3412,9983,13395,1250,17,318,0,485,0,820,912,16377,13152,0,0,0,0,0,0,2888,7688,3843,2340,42445,1116,0,608,2446,968,547,0,547,1555,5516,0,0,0,0,3809,21,515,9861,0,0,19868,620,12096,0,32584,1203,0,1203,221,-54,-32,0,-90,-413,0,264,0,-353,922,-399,0,-348,0,-5409,2877,0,0,-23,-3302,223,-373,0,38,-429,354,-187,-2586,-399,523,16.38,16.11,2.93,3.83,18.6,15.05,5.26,1.36,4.51,11.29,12.83,7.79,18.31,31.34,1.61,95324.16,82918.16,2.06,3.81,2.85,48.5,59.37,41.01,31.07,27.26,7.7,7,-2.09,0.486,19.52,2.97,2.82,76.78,68.33,53.56,-0.06,24.1,13.11,18.83,13.9,1715,1712,1.19,07/18/12,07/18/12
Sep2012,2.792,1.031,0.884,0.73,0.71,3.199,0.665,0.808,0.25,19.65,15.632,0,62.47,15.38,11.9,214.81,19.4,9.31,13.22,62.2,25.34,26.1,23.8,0,0.779,0,28.36,0.114,0.352,27.34,64.34,45.85,8.85,1.99,0.38,0.19,4870,1841,3029,681,0,1114,0,1234,178,-16,162,129,9,1525,-286,18.75,1239,23,1271,0,0.74,0.73,1744,257,1798,3807,8567,12374,1459,19,531,0,480,0,1030,782,15645,14463,203,1392,3317,774,5923,-3072,2851,6855,3917,3198,43012,1298,0,664,1962,0,545,0,545,2795,5302,0,0,0,0,3739,22,426,9489,0,0,20701,866,11956,0,33523,1262,0,1262,257,-207,-199,0,174,-412,0,283,0,19,1409,-250,0,-156,0,-5436,5847,0,0,-7,-2,356,-841,0,0,-425,-107,-1017,395,-250,1159,17.8,19.53,3.18,4,23.03,18.11,5.69,1.31,4.93,12.48,14.17,7.06,19.65,33.74,1.49,106573.82,94221.82,1.69,3.61,2.63,49.8,61.59,47.79,32.75,27.69,8.66,6,-1.98,0.499,16.25,2.95,2.76,77.13,65.08,53.73,0.35,16.53,17.74,11.1,15.67,1703,1706,1.28,11/07/12,11/07/12
Dec2012,3.437,1.471,1.334,1.09,1.09,3.257,1.011,1.128,0.25,20.611,16.67,0,61.86,22.14,17.36,326.29,31.59,9.28,0,62.83,34.7,31.67,29.41,0,0.788,0,34.43,0.137,0.229,24.97,67.59,47.05,4.43,1.94,0.37,0.192,6018,2237,3781,587,0,1106,0,2088,165,-8,157,82,3,2327,-424,18.22,1903,0,1906,0,1.12,1.09,1751,241,2576,4293,8982,13275,1647,18,607,0,652,0,1277,904,17103,15096,0,0,0,0,0,0,2874,6755,3929,3013,44841,1657,0,618,2275,0,733,0,733,1997,5005,0,0,0,0,3516,20,966,9507,0,0,22172,880,12282,0,35334,1903,0,1903,241,-185,-247,0,376,-498,0,283,0,46,1975,-205,0,-39,0,-4259,3250,0,0,26,-1227,340,-250,0,0,-428,63,-275,486,-205,1770,16.32,18.99,3,3.71,21.35,17.46,5.29,1.04,4.54,11.36,12.82,7.8,22,32.14,1.56,106049.691,92794.691,2.2,4.43,3.29,52.27,65.61,59.31,35.34,29.58,8.7,6,-1.91,0.513,14.4,3.42,3.16,261,64.35,57.43,-0.49,26.36,34.57,29.38,17.81,1709,1714.35,1.25,01/30/13,01/30/13
Mar2013,3.474,1.356,1.216,1.06,1.06,2.91,1.093,1.257,0.25,21.791,17.903,0,66.94,20.46,16.15,293.31,28.34,8.73,0,61.27,30.65,30.47,31.47,0,0.79,0,32.47,0.132,0.236,28.15,62.63,53.11,18.63,1.72,0.39,0.225,6124,2372,3752,661,0,1214,0,1877,181,-7,174,85,3,2136,-273,12.78,1863,0,1866,0,1.08,1.06,1763,248,2391,4093,9400,13493,1889,14,671,0,799,0,1484,900,17766,17046,0,0,0,0,0,0,2971,6710,3975,3106,47599,1628,0,679,2307,0,514,0,514,2442,5263,0,0,0,0,3697,17,1011,9988,0,0,23599,1021,12991,0,37611,1863,0,1863,248,-239,-207,0,1,-12,0,267,0,-150,2216,-289,0,-93,0,-4986,2880,0,0,44,-2444,407,0,0,0,-431,38,14,-200,-289,1927,18.75,23,3.07,3.74,21.83,18.01,5.43,0.94,4.72,11.89,13.4,7.46,24.21,32.51,1.49,115538.44,102062.44,2.03,4.51,3.28,54.39,69.19,71.57,37.82,30.77,8.93,5,-1.97,0.538,14.08,3.38,3.09,268.14,67.97,63.45,-0.68,22.5,-17.19,19.68,20.16,1722,1726,1.15,04/24/13,04/24/13
Jun2013,3.537,1.231,1.086,0.9,0.9,3.326,0.999,1.177,0.35,21.822,17.94,0,61.09,16.81,13.39,257.96,22.06,9.37,0,60,26.86,25.31,28.24,0,0.803,0,31.74,0.132,0.389,28.49,67.61,58.67,19.55,1.56,0.4,0.257,6243,2497,3746,613,0,1298,158,1677,182,-7,175,58,2,1910,-332,17.38,1578,0,1580,0,0.91,0.9,1765,255,2172,2533,8928,11461,1949,8,874,0,845,0,1727,835,15972,18941,0,0,0,0,0,0,2974,6685,3995,2237,46809,1850,0,713,2563,0,482,0,482,1983,5028,0,0,0,0,3679,5,519,9231,0,0,24564,698,12316,0,37578,1578,0,1578,255,-21,-245,0,221,-125,0,281,0,88,2077,-314,0,-47,0,-5525,3572,0,0,-2,-2316,217,-1039,0,0,-604,154,-1272,-1560,-314,1763,16.16,18.37,2.8,3.41,16.21,13.98,4.61,0.72,4.03,10.49,11.81,8.47,27.1,28.62,1.8,105196.98,93740.98,1.3,3.91,2.65,55.63,74.28,84.49,38.96,30.93,8.91,6,-2.06,0.549,10.54,3.18,2.83,239.57,67.29,59.89,0.23,34.44,30.43,18.94,22.47,1727,1722,1.14,07/24/13,07/24/13
