Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,220.048,39.564,20.979,15.897,15.897,0,-8.067,25.844,0,598.534,578.821,79.278,0,12.71,8.11,22.69,12.39,0,5.01,29.55,7.97,7.34,-3.67,0.132,0.639,0.085,32.66,0.276,0,0,58.35,47.69,-10.66,1.91,0.7,0.368,33043.951,23278.122,9765.829,2497.488,1146.028,2094.294,1393.674,2634.345,133.888,-123.525,10.363,382.057,-62.624,3026.765,-538.764,17.8,2488.001,0,2425.377,0,15.931,15.897,150.167,2790.886,5941.175,10461.443,9498.738,19960.181,0,4049.346,2431.155,0,4113.628,2071.593,12665.722,21835.681,54461.584,0,0,0,0,0,0,0,49301.995,2565.431,0,15654.49,121983.5,14884.037,1504.45,0,16388.487,7555.496,0,0,0,10039.479,33983.461,2678.913,82.867,2761.78,0,0,3748.883,3489.471,43983.594,695.14,106.737,77705.273,0,3934.621,0,77999.906,2425.377,0,2488.001,2790.886,1171.758,-833.366,-92.324,0,-985.379,538.764,0,0,-951.42,3880.852,-4938.467,125.027,-255.867,0,-31.5,1838.693,-153.697,0,-61.568,-3477.379,56.7,0,0,930.743,-2.016,296.503,1281.93,1685.402,-5092.276,-1211.425,9.67,0,0,0,0,5.92,0.86,0,0.73,3.83,6.26,15.97,0,0,0,0,0,-184.6,79.69,-136.75,0,894.2,0,1038.69,0,4.16,6,-5.07,0.615,10.04,1.6,1.23,21.33,0,0,-0.23,7.43,-33.02,-16.1,0,149.886,130.14,0,7/25/2011,5/10/2012
Jun-11,242.936,46.393,26.04,21.261,21.261,0,-7.704,28.136,0.463,643.642,619.98,78.009,0,15.81,10.25,25.79,15.37,0,2.27,31.98,9.51,8.77,-3.17,0.121,0.657,0.08,37.4,0.292,0.022,50.3,51.68,47.19,45.81,1.93,0.68,0.352,36502.17,24829.529,11672.641,3058.928,1696.291,2280.64,1164.273,3472.509,152.914,-58.168,94.746,287.229,-45.729,3854.483,-609.209,15.81,3245.274,0,3199.545,0,21.304,21.261,150.254,3058.029,6970.681,8563.075,9088.237,17651.312,20122.001,4400.083,2641.312,0,4078.385,1893.653,13013.433,4231.433,55018.179,0,0,0,0,0,0,0,53107.988,3079.603,0,16490.473,127696.243,14063.24,1009.402,0,15072.642,7178.874,0,0,0,11416.39,33667.906,2883.606,90.338,2973.944,0,0,3682.996,3490.865,43815.711,720.112,110.571,83696.37,0,4075.972,0,83880.531,3199.545,0,3245.274,3058.029,-2012.95,-301.598,207.908,0,-1624.566,609.209,0,0,-1060.461,4227.485,-5226.09,30.46,-181.012,0,-1.347,865.809,-156.068,0,-184.63,-4852.878,5.023,0,0,-553.419,-694.636,-315.244,-1558.276,-2183.669,-5384.979,-1157.494,9.02,0,0,0,0,5.09,0.75,0,0.65,3.52,6.04,16.56,0,0,0,0,0,-201.03,85.22,-35.93,0,927.34,0,1064.24,0,4.04,6,-4.54,0.656,9.16,1.63,1.25,59.7,0,0,-0.01,16.77,-7.2,3.76,0,149.995,130.15,0,10/17/2011,11/20/2012
Sep-11,244.895,46.198,25.516,19.581,19.581,0,10.018,39.675,0,645.344,622.008,83.206,0,14.01,9.06,23.91,15.84,7.8,5.71,32.76,10.3,8,4.09,0.129,0.637,0.082,37.11,0.283,0,0,60.02,51.34,-8.68,1.78,0.67,0.378,36789.032,24738.404,12050.629,3109.278,1844.963,2165.23,1140.391,3790.766,158.479,-149.894,8.585,-116.154,-126.171,3683.197,-615.472,16.71,3067.725,0,2941.554,0,19.608,19.581,150.224,3106.942,6940.033,9847.877,9539.534,19387.411,0,4713.985,2594.834,0,4831.466,2682.315,14822.6,25700.571,59910.583,0,0,0,0,0,0,0,53176.984,3037.891,0,15940.35,132065.808,16272.514,1025.18,0,17297.694,7744.265,0,0,0,12122.738,37164.697,2982.663,104.766,3087.429,0,0,3825.78,3870.539,47948.445,693.502,106.485,83478.294,0,3925.355,0,84117.363,2941.554,0,3067.725,3106.942,-398.377,-2154.221,-550.14,0,-598.351,615.472,0,0,-231.724,5960.065,-4336.179,106.965,327.153,0,-305.805,-559.59,-113.172,0,-247.696,-5128.324,9.576,0,0,452.965,-77.854,66.381,451.068,1282.809,-4455.17,1504.894,9.91,0,0,0,0,5.19,0.76,0,0.65,3.62,6.57,15.22,0,0,0,0,0,-219.4,91.07,-163.28,0,940.28,0,1031.38,0,3.74,6,-4.42,0.622,8.8,1.61,1.21,25.29,0,0,-0.02,5.89,-20.93,-4.09,0,150.016,130.18,0,1/15/2012,1/15/2012
Dec-11,274.443,52.228,30.887,22.707,22.707,0,7.001,42.468,4.355,647.75,625.338,97.837,0,16.16,10.18,29.07,15.17,9.01,-5.42,33.39,9.92,8.27,2.55,0.151,0.623,0.094,41.1,0.308,0.192,46.59,53.6,47.4,40.39,1.93,0.67,0.346,41200.989,27444.113,13756.876,3921.842,2586.263,2367.139,795.863,4085.769,185.33,159.935,345.265,365.79,-100.463,4796.825,-1290.04,26.89,3506.784,0,3406.322,0,22.707,22.707,150.126,3203.962,7840.851,12796.295,10042.367,22838.662,21036.91,3907.776,2675.108,0,5143.929,1962.2,13689.013,4712.595,62277.181,0,6283.921,16089.566,84152.923,6081.625,116687.591,-62648.278,54039.313,2922.358,0,16460.745,135699.597,16121.477,1099.877,0,17221.354,8434.625,0,0,0,12945.19,38601.169,4215.284,107.06,4322.344,0,0,3678.382,4533.494,51135.389,677.667,104.054,85027.998,0,3835.722,0,84564.208,3406.322,0,3506.784,3203.962,-772.095,440.567,279.663,0,-459.775,0,0,0,124.583,6375.554,-5162.213,75.796,-706.678,0,-34.736,-1181.407,-162.311,0,1750.865,-5420.684,70.72,0,0,2443.6,-30.037,0.193,2484.476,3439.347,-5324.524,1051.03,11.91,0,0,0,549.83,6.93,0.96,0,0.79,4.22,7.52,13.3,0,0,0,0,0,-217.02,84.65,-44.32,0,933.17,0,1057.27,0,3.92,8,-5,0.592,7.67,1.61,1.26,0,0,0,-0.16,-2.51,17.84,14.11,0,150.126,130.39,0,,6/13/2013
Mar-12,267.246,59.566,37.869,28.695,28.695,0,3.619,49.747,0,700.801,678.146,94.382,0,19.61,12.42,34.91,19.88,8.82,1.83,33.43,12.57,10.74,1.35,0.135,0.644,0.087,38.68,0.289,0,0,59.82,48.1,-11.72,1.9,0.67,0.351,40198.653,26761.833,13436.819,2723.86,1534.529,2487.328,1639.351,5051.752,164.911,-57.385,107.526,479.537,-166.553,5638.816,-1155.957,20.5,4482.859,0,4316.306,0,28.718,28.695,150.418,3263.601,8959.802,14139.557,8406.055,22545.612,0,4512.03,2772.118,0,4943.7,2296.178,14524.027,26235.86,63305.498,0,0,0,0,0,0,0,58604.259,2956.132,0,17347.65,142213.539,17544.301,2117.176,0,19661.477,7995.935,0,0,0,12464.515,40121.927,4214.425,104.616,4319.041,492.243,0,2139.647,3594.036,50666.892,690.879,106.083,90262.77,0,3910.505,0,91546.647,4316.306,0,4482.859,3263.601,-95.555,-829.421,-253.843,0,-1675.659,0,0,0,1412.034,7482.835,-6827.597,96.868,-83.88,0,-18.927,2450.093,-105.862,0,-217.076,-4706.381,35.172,0,0,-658.989,-257.582,-884.725,-1766.124,1010.33,-6938.523,544.311,12.34,0,0,0,84.84,7.1,1.11,0,0.91,4.57,7.77,12.87,0,0,0,0,0,-215.52,96.05,-160.68,0,978.01,0,1186.37,0,4.33,7,-4.8,0.615,6.98,1.58,1.22,88.03,0,0,-0.07,21.45,80.5,50.56,0,150.3,130.48,0,5/10/2012,7/18/2013
Jun-12,271.432,61.257,38.817,28.792,28.792,0,-2.535,33.827,0.43,707.775,683.631,95.13,1000,18.85,12.18,33.85,20.14,9.36,2.13,37.03,13.58,10.61,-0.93,0.134,0.648,0.087,42.5,0.287,0.015,0,55.33,52.28,-3.05,1.75,0.63,0.361,40912.365,25761.99,15150.375,3740.509,2225.752,2560.305,1069.702,5554.107,165.823,-65.91,99.913,130.852,-124.101,5784.873,-1320.827,22.83,4464.046,0,4339.945,0,28.814,28.792,150.728,3382.437,9233.22,13342.023,7119.077,20461.1,0,4908.371,2845.018,0,4656.549,2583.36,14993.298,27688.948,63143.345,0,0,0,0,0,0,0,59171.628,3157.091,0,17472.441,142944.506,15620.922,2000.528,0,17621.451,7380.48,0,0,0,13193.495,38195.426,4959.34,99.421,5058.761,666.496,0,2127.091,4245.424,50293.199,668.777,102.689,91719.318,0,3785.402,0,92651.308,4339.945,0,4464.046,3382.437,-1848.443,-1289.352,191.138,0,-3257.978,0,0,0,510.238,5098.743,-5311.616,143.871,-161.266,0,-30.063,1057.635,-166.564,0,-85.125,-4553.13,4.018,0,0,235.496,-730.819,-180.228,-671.532,-125.918,-5480.8,-382.056,10.55,0,1.41,1.46,58.86,6.37,1,0,0.83,4,6.58,15.2,0,0,0.48,130760,124967.922,-228.14,97.49,-171.6,0,1005.08,0,1238.83,0,4.26,6,-4.39,0.61,6.92,1.65,1.26,84.27,1174.02,942.55,-0.21,11.73,35.42,32.04,0,150.606,130.76,0,11/20/2012,8/7/2013
Sep-12,308.248,73.446,49.451,37.955,37.955,0,37.788,68.173,0,763.806,738.63,104.475,0,23.76,15.24,41.23,25.63,8.22,1.86,38.69,15.45,12.31,12.26,0.137,0.635,0.087,47.89,0.309,0,46.82,50.8,51.79,47.81,1.76,0.61,0.348,46462.764,28486.071,17976.693,4507.038,2708.673,2649.725,932.807,7178.449,199.382,-60.785,138.597,76.056,-124.716,7393.101,-1547.172,20.93,5845.93,0,5721.214,0,37.982,37.955,150.732,3616.752,11070.638,16761.961,10252.131,27014.092,23838.109,5101.502,3339.786,0,5245.574,3654.188,17341.05,4894.992,73088.243,0,0,0,0,0,0,0,61439.284,3292.713,0,19551.574,157371.814,15859.611,2988.716,0,18848.327,8564.44,0,0,0,15061.143,42473.911,5002.655,97.143,5099.798,0,0,3770.823,6022.719,57367.252,692.835,106.383,100672.903,0,3921.574,0,100004.562,5721.214,0,5845.93,3616.752,-311.109,-2143.21,-437.961,0,-154.506,0,0,0,967.723,10275.898,-4402.147,47.041,-25.33,0,-852.114,-2601.421,-167.97,0,2.434,-7999.507,11.411,0,0,825.068,-77.902,-7.899,750.679,3027.07,-4580.092,5695.806,10.01,0,0,0,26.09,6.1,1.05,0.46,0.86,3.91,6.15,16.26,25.56,0,0,0,0,-232.08,119.39,-29.9,0,1065.27,2578.36,1401.26,0,4.36,8,-4.44,0.633,7.14,1.72,1.31,118.1,0,0,-0.02,25.87,93.84,58.98,21.59,150.628,130.79,0,11/30/2012,12/4/2013
Dec-12,346.037,77.469,53.087,42.301,42.301,0,48.097,74.531,6.975,721.905,698.887,91.925,1350,24.4,15.65,43.01,29.73,8.11,1.84,38.36,15.76,12.22,13.9,0.127,0.647,0.082,49.12,0.32,0.165,43.42,44.6,48.05,46.87,1.9,0.62,0.325,52136.974,32135.439,20001.535,5043.921,3332.17,2749.081,657.332,8219.031,225.899,-63.193,162.706,-446.347,-174.764,7935.39,-1389.325,17.51,6546.066,0,6371.302,0,42.301,42.301,150.669,3673.637,11672.22,17476.811,17351.582,34828.392,24808.443,4725.902,3004.565,0,6358.916,2416.422,16505.805,5021.042,81163.682,0,6651.778,18251.134,102336.358,7898.723,139799.274,-76105.72,63693.555,3468.775,533.699,20077.803,168403.814,15707.772,2997.458,0,18705.23,8782.147,0,0,0,16162.242,43649.619,4976.301,94.651,5070.952,0,0,4079.299,6701.785,59501.655,723.615,111.109,111591.498,0,4095.797,0,108902.159,6371.302,0,6546.066,3673.637,36.378,771.318,191.322,0,67.829,0,0,0,942.054,11229.586,-3862.633,292.746,-402.501,0,-5963.162,-894.773,-81.62,0,-7.597,-10919.54,29.178,0,0,74.771,-34.734,-10.906,58.309,368.354,-3982.892,7246.694,9.89,0,1.87,1.93,15.97,6.04,1.14,0.42,1.05,4.61,7,14.29,26.85,0,0.55,203445,186660.115,-163.72,143.01,13.77,0,1133.42,3580.85,1471.73,0,5.01,8,-2.82,0.585,8.81,1.86,1.48,130.06,1359.76,1141.56,-15.22,26.09,86.29,48.33,23.65,150.669,150.7,0,6/13/2013,4/30/2014
Mar-13,317.942,78.973,54.875,41.958,41.958,0,55.043,77.094,0,859.247,831,85.61,1415,22.85,14.82,45.22,27.91,7.87,2.3,40.65,16.61,13.2,17.31,0.1,0.65,0.065,45.65,0.281,0,0,54.35,54.82,0.47,1.66,0.59,0.357,47936.79,28452.426,19484.364,5612.222,2133.804,0,3777.789,7960.548,256.601,-71.958,184.644,56.526,-161.418,8201.718,-1714.159,20.9,6487.559,0,6326.141,0,41.973,41.958,150.772,3633.304,11906.98,17081.016,22414.835,39495.851,0,6070.449,3315.899,0,5159.227,3137.195,17682.77,29139.355,86317.976,0,0,0,0,0,62351.498,0,62351.498,3696.671,0,20675.553,173041.698,16946.254,3890.967,0,20837.221,7804.389,0,0,0,17112.359,45753.969,3306.69,92.755,3399.445,0,0,4233.283,7097.07,60483.766,705.474,108.324,114094.352,0,3993.117,0,112557.932,6326.141,0,6487.559,3633.304,1260.156,-1378.351,-257.343,0,127.592,1714.159,0,0,-338.998,11623.616,-3084.35,36.05,-170.636,0,-5490.911,14.956,-239.656,0,-602.404,-9536.952,9.321,0,0,-2438.815,-2.941,57.756,-2374.678,-288.015,-3324.739,8298.877,9.1,0,1.65,1.7,10.05,5.43,1.1,0,0.83,3.55,5.27,18.98,0,0,0.52,185181.05,161230.639,-160.37,196.58,-93.64,0,1181.58,0,1680.3,0,4.66,8,-2.82,0.526,10.14,1.89,1.5,110.63,1460.41,1271.37,13.16,18.97,46.22,32.58,0,150.715,130.87,0,7/18/2013,5/9/2014
Jun-13,335.77,59.259,57.864,44.26,44.26,0,17.167,50.242,0,778.157,754.414,80.811,1140,23.22,15.14,47.77,29.32,8.52,2.27,40.24,16.59,13.18,5.11,0.104,0.654,0.068,46.23,0.287,0,0,49.77,55.31,5.54,1.65,0.6,0.362,50629.09,30256.53,20372.56,5955.379,3067.862,3119.958,-167.654,8397.015,263.884,-66.279,197.606,64.194,-175.148,8658.814,-1809.693,20.9,6849.121,0,6673.973,0,44.276,44.26,150.785,210.213,8935.306,15792.413,25604.144,41396.557,0,6460.21,4029.769,-662.851,5859.683,3310.218,18997.03,31932.084,92325.671,0,0,0,0,0,0,0,62024.447,3578.853,0,21595.334,179524.305,16503.53,2701.379,0,19204.909,8879.891,0,0,0,18854.463,46939.263,3210.232,90.444,3300.677,0,0,4522.493,7364.98,62127.413,685.499,105.256,117537.77,0,3880.053,0,117396.892,6673.973,0,6849.121,210.213,0,0,0,0,-2193.949,0,0,0,2710.413,7575.798,-4820.58,99.658,0,0.211,-3759.326,9.437,-166.662,0,-473.708,-9110.97,2.627,0,0,1171.198,-996.726,195.432,372.532,-1162.64,-4987.28,2588.518,7.27,0,1.46,1.51,7.7,4.49,0.93,0,0.8,3.61,4.84,20.66,0,0,0.61,171832.2,147243.96,-137.54,199.65,-75.22,0,1242.7,0,1681.01,0,4.6,7,-2.77,0.536,12.23,1.97,1.56,126.69,1311.59,1071.19,-15.18,23.7,53.73,-3.26,0,150.73,150.73,0,8/7/2013,8/8/2014
