Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,2.945,0.652,0.53,0.38,0.38,1.645,0.46,0.617,0,7.564,2.981,1.781,50.7,21.11,12.26,337.04,47.71,8.54,0,54.35,17.98,12.85,15.61,0.235,0.54,0.127,51.86,0.239,0,84.22,38.71,25.87,71.38,3.53,0.46,0.129,506,231,275,150,0,34,0,91,0,0,0,-1,0,90,-25,27.78,65,0,65,0,0.39,0.38,171.8,21,112,778,0,778,467,28,0,0,38,0,66,56,1367,0,0,0,0,0,0,0,111,772,516,109,2359,98,0,99,197,0,400,0,400,63,660,300,0,300,83,0,0,42,1085,2,0,949,16,706,-399,1274,65,0,65,21,-43,-1,0,-49,8,6,9,0,-3,106,-27,0,-499,0,0,0,0,0,0,-526,0,0,0,300,0,11,311,-105,-27,79,28.81,30.82,6.7,17.01,29.7,22.76,4.3,0,4,16.55,19.19,5.21,0,0,0,8538.894,8060.894,-1.82,1.67,0.45,0,31.71,0,10.86,18.05,7.08,6,-2.03,0.423,24.08,2.07,1.97,N/A,51.14,42,-0.19,17.05,-2.56,11.07,0,168.4,168.42,0.85,5/6/2011,5/4/2012
Jun-11,3.37,0.731,0.638,0.6,0.6,2.487,0.847,1.038,0,8.106,1.859,1.752,60.2,31.22,17.1,382.61,37.29,7.97,0,54.39,18.93,17.73,25.13,0.216,0.555,0.12,52.45,0.241,0,65.34,29.96,21.52,56.9,4.24,0.46,0.108,581,265,316,165,0,41,0,110,0,0,0,27,0,137,-34,24.82,103,0,103,0,0.61,0.6,172.4,16,126,682,0,682,416,25,0,0,34,0,59,65,1222,0,0,0,0,0,0,0,119,1052,714,68,2461,87,0,128,215,0,392,0,392,72,679,295,0,295,85,0,0,37,1096,2,0,1052,18,730,-437,1365,103,0,103,16,56,6,0,19,81,5,8,0,-34,179,-33,0,-220,0,0,0,0,0,0,-253,0,0,0,0,0,0,-24,-96,-33,146,31.35,24.21,7.43,32.38,25.9,20.75,4.86,1.25,4.59,19.78,23,4.35,28.41,0,0,10137.68,9750.68,-2.46,0.75,-0.43,0,33.33,48,8.96,19.17,7.88,5,-2.37,0.415,27.55,1.8,1.71,N/A,60.2,49.49,0.01,21.75,36.36,3.39,25.14,168.7,168.4,0.81,8/8/2011,8/3/2012
Sep-11,3.506,0.926,0.711,0.51,0.51,2.7,0.437,0.594,0,8.369,2.115,1.75,53.53,25.16,14.07,410.08,35.42,6.02,0,54.49,20.27,14.45,12.46,0.209,0.564,0.118,53.04,0.243,0,66.85,31.97,20.48,55.36,4.46,0.46,0.102,602,274,328,163,0,43,0,122,0,0,0,-1,0,121,-34,28.1,87,0,87,0,0.52,0.51,171.7,37,159,691,0,691,441,24,0,0,40,0,64,65,1261,0,0,0,0,0,0,0,119,1047,736,59,2486,96,0,140,236,0,353,0,353,82,671,293,0,293,83,0,0,38,1085,2,0,1139,10,744,-494,1401,87,0,87,37,-25,-5,0,30,-49,20,8,0,-1,102,-27,0,0,0,0,0,0,0,-3,-30,0,0,0,0,0,0,-53,9,-27,75,26.9,19.83,6.4,25.31,21.54,17.2,4.11,1.11,3.83,16.13,19.46,5.14,27.67,0,0,8960.922,8562.922,-2.35,1.05,-0.19,21.85,35.02,48.38,9.73,20.07,7.4,4,-2.47,0.408,25.58,1.88,1.78,N/A,62.33,43.35,0.59,21.95,15.91,30.24,24.31,167.9,167.4,0.7,11/4/2011,11/2/2012
Dec-11,3.929,0.94,0.776,0.57,0.57,2.55,0.601,0.736,0,8.93,2.684,1.733,48.51,27.08,15.37,445.19,38.91,4.49,0,55.57,19.76,14.56,15.3,0.194,0.571,0.111,58.64,0.264,0,66.98,29.6,19.07,56.45,4.78,0.44,0.093,673,299,374,185,0,56,0,133,0,0,0,0,0,133,-35,26.32,98,0,98,0,0.58,0.57,171.3,28,161,772,0,772,494,20,0,0,41,0,61,85,1412,0,8,64,230,0,302,-182,120,1045,742,39,2616,97,0,169,266,0,339,0,339,90,695,290,0,290,77,44,0,16,1122,2,0,1237,16,765,-526,1494,98,0,98,28,-53,3,0,28,-46,40,10,0,-4,126,-11,0,0,0,0,0,0,0,-12,-23,0,0,0,0,0,0,-22,81,-23,103,23.55,19.02,5.43,18.07,20.69,16.25,3.53,1.51,3.23,13.68,16.74,5.97,19.57,0,0,8115.723,7633.723,-2.09,1.73,0.3,23.29,36.99,32.18,11.15,21.31,6.84,5,-2.26,0.407,25.69,2.03,1.94,N/A,62.18,47.7,0.06,22.82,14,20.2,15.62,167.5,167.3,0.45,2/29/2012,2/27/2014
Mar-12,3.572,0.915,0.74,0.53,0.53,3.104,0.944,1.119,0,9.721,3.533,1.695,68.15,23.23,13.41,419.83,37.44,6.42,0,55.14,20.72,14.85,26.43,0.174,0.583,0.102,49.82,0.226,0,74.28,32.19,19.08,61.17,4.78,0.45,0.094,613,275,338,165,0,46,0,127,0,0,0,-1,0,126,-35,27.78,91,0,91,0,0.54,0.53,171.6,30,157,978,0,978,499,21,0,0,33,0,54,83,1614,0,0,0,0,0,0,0,122,1044,743,32,2812,97,0,111,208,0,454,0,454,83,745,286,0,286,77,0,0,64,1172,2,0,1328,21,815,-526,1640,91,0,91,30,-5,7,0,-43,64,13,11,0,-17,192,-12,0,0,0,0,0,-18,0,0,-30,0,0,0,0,0,0,41,206,-30,162,30.84,21.96,7.01,19.29,24.09,19.54,4.74,2.41,4.38,17.92,21.96,4.55,15.89,0,0,11496.905,10804.905,-1.15,2.62,1.23,25.43,38.67,28.33,13.25,23.22,8.4,6,-2.77,0.362,4.13,2.17,2.09,N/A,69.38,47.37,-0.84,21.29,39.47,40.34,12.82,167.9,168.7,0.72,5/4/2012,5/3/2013
Jun-12,3.86,1.109,0.929,0.65,0.65,2.756,0.656,0.882,0,10.297,2.718,1.674,72.01,26.55,15.65,500,41.79,5.88,0,57.44,24.06,16.84,16.99,0.163,0.595,0.097,53.36,0.232,0,69.3,32.24,14.35,51.41,6.36,0.43,0.067,665,283,382,179,0,43,0,160,0,0,0,0,0,160,-48,30,112,0,112,0,0.66,0.65,172.3,31,191,821,0,821,505,20,0,0,15,0,35,79,1440,0,0,0,0,0,0,0,134,1277,925,64,2915,100,0,121,221,0,410,0,410,88,719,282,0,282,76,0,0,103,1180,2,0,1440,11,844,-562,1735,112,0,112,31,4,19,0,21,-3,9,10,0,-7,152,-19,0,0,0,0,0,0,0,-258,-277,0,-37,0,-4,0,19,-22,-157,-39,113,31.86,26.13,6.99,26.49,27.3,21.62,4.84,2.56,4.54,17.36,21.39,4.68,15.4,0,0,12133.685,11594.685,-2.13,1.54,0.22,36.15,39.99,28.11,11.76,23.12,8.65,7,-2.56,0.425,6.04,2,1.95,N/A,77.14,64.64,0.12,14.54,8.33,51.71,12.44,168.7,168.5,0.72,8/3/2012,8/2/2013
Sep-12,3.753,1.015,0.829,0.6,0.6,2.798,0.389,0.621,0,11.106,3.489,1.644,75.41,23.03,13.95,413,34.06,5.98,0,55.8,22.1,16.07,10.36,0.148,0.616,0.091,48.41,0.217,0,73.9,34.14,12.12,51.88,7.53,0.44,0.059,647,286,361,174,0,44,0,143,0,0,0,0,0,143,-39,27.27,104,0,104,0,0.62,0.6,172.4,32,175,909,0,909,524,22,0,0,19,0,41,79,1553,0,0,0,0,0,0,0,143,1288,933,67,3051,107,0,136,243,0,352,0,352,99,694,278,0,278,80,99,0,22,1173,2,0,1544,22,875,-565,1878,104,0,104,32,-19,-5,0,45,-36,6,10,0,-9,107,-18,0,0,0,0,0,0,0,-23,-41,0,-2,0,-4,0,21,15,88,-40,67,32.09,26.95,6.79,21.61,29.12,22.46,4.99,2.33,4.67,17.72,21.53,4.64,16.62,0,0,12751.831,12120.831,-1.56,2.25,0.88,37.71,40.66,32.41,13.58,24.74,9.03,6,-2.53,0.428,6.52,2.24,2.18,N/A,80.62,62.79,-0.36,7.05,17.65,9.61,13.79,168.8,169.1,0.74,11/2/2012,11/4/2013
Dec-12,4.34,1.073,0.88,0.66,0.66,2.795,0.499,0.727,0,10.736,2.945,1.744,61.89,24.5,14.65,390.88,34.88,6.41,0,55.41,20.27,15.14,11.49,0.162,0.58,0.094,53.62,0.242,0,84.22,38.99,12.17,57.4,7.5,0.45,0.059,740,330,410,210,0,50,0,150,0,0,0,-1,0,149,-37,24.83,112,0,112,0,0.67,0.66,170.5,33,183,729,0,729,683,21,0,0,26,0,47,75,1534,0,8,67,280,0,355,-205,150,1291,932,91,3066,141,28,158,327,15,375,0,375,89,806,274,0,274,73,113,0,21,1287,2,0,1656,29,898,-806,1779,112,0,112,33,-145,-7,0,82,-78,49,12,0,-4,124,-18,0,0,0,0,0,0,0,-56,-74,0,-238,0,-3,0,11,-230,-180,-39,85,25.36,22.14,5.76,21.02,24.88,18.48,3.99,1.67,3.68,13.9,16.92,5.91,18.71,0,0,10255.173,9815.173,-3.37,1.49,-0.13,40.14,41.76,37.16,12.72,24.41,7.31,6,-2.34,0.439,8.68,1.9,1.84,N/A,76.06,57.94,2.01,10.46,15.79,14.15,15.23,167.6,165.7,0.8,2/28/2013,2/27/2015
Mar-13,3.484,0.653,0.451,0.35,0.35,3.027,1.282,1.442,0,10.62,2.908,1.642,58.51,13.36,7.76,194.87,19.06,6.47,0,51.96,12.95,10.05,36.8,0.155,0.581,0.09,40.11,0.193,0,79.28,35.92,18.12,61.48,5.04,0.48,0.095,587,282,305,179,0,50,0,76,0,0,0,-1,0,75,-16,21.33,59,0,59,0,0.36,0.35,168.5,34,110,853,0,853,510,21,0,0,44,0,65,81,1509,0,0,0,0,0,0,0,148,1273,921,87,3017,111,0,115,226,0,457,0,457,100,783,271,0,271,71,117,0,22,1264,2,0,1715,17,920,-901,1753,59,0,59,34,158,-18,0,-87,134,6,13,0,-3,243,-10,0,0,0,0,0,0,0,-17,-27,0,-93,0,-4,0,10,-87,124,-27,216,25.89,19.33,5.51,20.12,20.7,15.93,3.79,1.63,3.44,13.77,17.16,5.83,19.89,0,0,9657.661,9075.661,-2.49,1.48,0.02,41.98,41.53,35.96,12.16,26.06,7.12,6,-2.74,0.382,5.97,1.93,1.84,N/A,69.34,56.28,0.39,-2.46,-33.96,-28.63,15.91,165.4,165.06,0.8,5/3/2013,5/12/2014
Jun-13,4.029,1.1,0.884,0.65,0.65,2.92,0.613,0.842,0,10.975,3.102,1.613,50.23,24.39,14.26,386.84,36.03,8.73,0,56.57,21.94,16.12,15.22,0.147,0.588,0.086,50.04,0.221,0,70,32.93,21.17,58.24,4.31,0.43,0.101,670,291,379,185,0,47,0,147,0,0,0,0,0,147,-39,26.53,108,0,108,0,0.66,0.65,166.3,36,183,826,0,826,514,21,0,0,49,0,70,83,1493,0,0,0,0,0,0,0,156,1284,934,109,3042,105,0,116,221,0,422,0,422,131,774,263,0,263,72,115,0,28,1252,2,0,1823,12,941,-988,1790,108,0,108,36,-1,-5,0,15,-17,0,14,0,-1,140,-21,0,-39,0,0,0,0,0,-17,-77,0,-91,0,-4,0,9,-86,-27,-38,102,22.23,17.2,4.58,16.19,18.05,13.83,3.22,1.39,2.89,11.72,14.79,6.76,20.55,0,0,8192.513,7629.513,-2.61,1.48,-0.03,43.72,41.98,36.02,12.56,26.81,6.48,5,-2.81,0.407,-0.39,1.93,1.84,N/A,58.24,48.34,1.19,4.38,0,-0.81,15.94,163.4,163.1,1.09,8/2/2013,8/8/2014
Sep-13,4.002,1.028,0.793,0.59,0.59,2.585,0.174,0.385,0,11.738,3.825,1.561,55.44,21.14,12.73,337.38,30.89,9.21,0,53.75,19.82,14.71,4.35,0.133,0.615,0.082,46.49,0.216,0,74.81,29.03,20.29,66.07,4.5,0.46,0.103,666,308,358,183,0,43,0,132,0,0,0,0,0,132,-34,25.76,98,0,98,0,0.6,0.59,166.4,39,171,862,0,862,546,23,0,0,44,0,67,85,1560,0,0,0,0,0,0,0,157,1293,945,108,3118,98,0,124,222,0,374,0,374,126,722,255,0,255,81,113,0,29,1200,2,0,1921,21,963,-989,1918,98,0,98,39,-31,4,0,-14,-83,1,12,0,-3,64,-13,0,0,0,0,0,0,0,-22,-35,0,-3,0,-3,0,11,5,36,-35,29,24.64,21.45,4.72,14.49,21.59,16.33,3.5,1.57,3.17,13.06,16.74,5.97,19.78,0,0,9058.896,8451.896,-2.07,2.2,0.64,43.68,42.65,35.24,13.92,27.48,7.1,5,-2.72,0.431,0.61,2.16,2.07,N/A,64.77,50.02,-0.18,6.63,-1.67,1.28,15.66,163.2,163.4,1.14,11/4/2013,11/7/2014
