Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Jan-11,32.667,2.821,2.258,1.68,1.39,3.5,2.245,3.194,0.303,19.494,14.727,14.182,56.07,36.14,13.18,30.01,19.47,5.3,4.29,25.1,6.88,5.2,6.87,0.727,0.379,0.276,63.56,0.633,0.218,3.99,35.13,40.5,9.36,2.25,0.75,0.332,116360,87158,29202,21198,0,0,0,8004,40,-572,-532,0,-156,7472,-2294,30.7,5178,1034,6056,0,1.68,1.68,3562,2006,10050,7395,0,7395,5089,0,0,0,0,36318,36318,3091,51893,0,24386,79051,40885,4262,154489,-46611,107878,16763,16763,4129,180663,33557,157,18701,52415,6022,0,0,0,47,58484,40692,3150,43842,0,6682,2705,408,112121,352,0,63967,646,3577,0,68542,6212,0,5178,2006,-643,4910,0,-960,3307,0,0,0,887,11378,-3380,247,0,0,0,0,0,0,229,-2904,0,-3804,0,-7170,-1076,352,-11698,-3221,-3380,7998,12.54,16.02,2.88,3.81,18.45,8.61,0.49,1.44,0.57,7.25,9.4,10.64,13.87,18.52,2.16,197142.12,242316.12,-29.79,-17.13,-23.54,45.91,57.57,38.96,37.22,46.74,4.31,6,-2.48,0.608,2.75,0.89,0.27,13.99,57.57,53.31,1.87,9.71,35.48,16.86,9.32,3548,3516,0.4,3/30/2011,3/30/2011
Apr-11,29.658,2.256,1.691,0.97,0.98,3.796,-0.118,0.562,0.365,18.647,13.8,15.967,54.98,20.36,7.41,21.9,13.77,5.01,4.26,24.97,5.66,3.26,-0.4,0.856,0.349,0.299,56.74,0.568,0.372,4.19,40.06,43.57,7.7,2.09,0.75,0.358,104189,78177,26012,20116,0,0,0,5896,44,-562,-518,0,-151,5378,-1800,33.47,3578,-28,3399,0,0.97,0.97,3513,1985,7925,9400,0,9400,4785,0,0,0,0,38335,38335,3438,55958,0,0,0,0,0,157830,-48686,109144,16895,16895,4068,186065,34321,927,15962,55038,6969,0,0,0,44,62051,45486,3211,48697,0,6902,2986,423,121059,319,0,60330,878,3479,0,65006,3550,0,3578,1985,341,-1713,0,-2008,-3380,220,0,0,-429,1974,-2389,94,0,0,0,0,0,0,426,-1869,0,-2129,0,5292,-1274,-223,1666,2005,-2389,-415,12.03,14.48,2.95,3.98,16.45,8.07,0.46,1.38,0.57,7.16,9.3,10.75,13.43,17.51,2.32,191672.925,240924.925,-32.03,-18.67,-25.5,44.61,59.19,39.81,36.5,48.1,4.11,6,-2.58,0.632,1.97,0.9,0.28,10.49,56.73,51.37,0.85,12.31,11.49,10.97,9.28,3497,3486.23,0.36,6/3/2011,6/3/2011
Jul-11,31.382,2.424,1.838,1.09,1.09,3.559,1.277,2.219,0.365,19.625,13.405,16.487,52.71,22.87,8.01,23.21,14.67,4.64,4.26,25.23,5.84,3.48,4.07,0.84,0.351,0.295,58.14,0.576,0.335,4.39,38.72,42.96,8.63,2.12,0.75,0.352,109366,81770,27596,21213,0,0,0,6383,22,-600,-578,0,-136,5805,-1868,32.18,3937,0,3801,0,1.09,1.09,3485,2042,8447,8102,0,8102,5265,0,0,0,0,38651,38651,3396,55414,0,0,0,0,0,160087,-48497,111590,21532,21532,5120,193656,34701,898,17815,55970,8626,0,0,0,28,64624,45238,3214,48452,0,7304,4907,428,125715,3876,0,62779,1286,0,0,67941,3937,0,3937,2042,-22,804,0,488,1270,261,0,0,224,7734,-3282,18,0,0,0,0,0,0,-3759,-7023,0,-1411,0,1098,-1267,-292,-1872,-1298,-3282,4452,11.24,14.81,2.69,3.93,17.65,7.99,0.43,1.28,0.55,6.96,9.07,11.03,14.05,16.31,2.53,182482.02,236365.02,-33.97,-20.31,-27.25,47.97,60.89,41.01,36.47,49.31,3.94,6,-2.4,0.655,4.58,0.86,0.26,10.64,56.06,52.29,0.7,12.15,12.37,10.53,9.3,3472,3462,0.37,9/1/2011,9/1/2011
Oct-11,31.876,2.309,1.719,0.96,0.97,4.142,-0.193,0.927,0.365,19.541,13.603,17.235,56.72,19.75,6.87,21.42,12.56,4.4,4.13,25.07,5.33,3.03,-0.6,0.882,0.344,0.304,56.88,0.567,0.376,3.94,41.27,45.73,8.4,2,0.75,0.376,110226,82591,27635,21757,0,0,0,5878,65,-600,-535,0,-157,5343,-1842,34.48,3501,-8,3336,0,0.97,0.96,3458,2040,7983,7063,0,7063,4757,0,0,0,0,44135,44135,3316,59271,0,0,0,0,0,157498,-47106,110392,20409,20409,4967,195039,37350,382,16890,55927,11385,0,0,0,27,67339,44872,2979,47851,0,8085,4228,373,127876,344,0,64769,-1375,3425,0,67163,3493,0,3501,2040,180,-6362,0,2756,-3426,861,0,0,230,3206,-3872,242,0,0,0,0,0,0,-292,-3922,0,-1417,0,2911,-1259,-313,-78,-1039,-3872,-666,12.07,13.69,2.9,4.17,17.66,8.22,0.45,1.37,0.57,7.31,9.55,10.47,13.66,17.26,2.46,194946.64,251347.64,-35.15,-19.96,-27.69,48.46,62.79,41.24,36.82,50.66,4.03,6,-2.51,0.638,4.11,0.88,0.22,9.8,57.81,48.41,0.72,13.53,1.05,11.01,9.31,3445,3437,0.43,12/8/2011,12/8/2011
Jan-12,35.857,3.055,2.455,1.5,1.5,3.962,2.147,3.302,0.365,20.865,14.823,15.631,61.36,29.83,10.63,30.29,18.86,3.64,3.98,24.83,6.82,4.19,5.99,0.749,0.369,0.276,62.98,0.634,0.243,4.4,36.08,41.81,10.13,2.18,0.75,0.344,123169,92589,30580,22179,0,0,0,8401,31,-560,-529,0,-244,7872,-2434,30.92,5438,-31,5163,0,1.51,1.5,3435,2063,10495,6550,0,6550,5937,0,0,0,0,40714,40714,1774,54975,0,23499,84275,41916,5312,160938,-48614,112324,20651,20651,5456,193406,36608,1164,18154,55926,6348,0,0,0,26,62300,44070,3009,47079,0,7862,4446,404,122091,342,0,68691,-1410,3692,0,71315,5407,0,5438,2063,-1295,3544,0,1510,3759,-292,0,0,373,11341,-3967,226,0,0,0,0,0,0,-54,-3795,0,-1341,0,-6171,-1248,586,-8174,-513,-3967,7374,13.58,15.49,2.94,4.14,19.71,8.75,0.48,1.45,0.58,7.49,9.77,10.24,14.14,18.17,2.38,209728.48,261051.48,-33.8,-19.64,-26.55,52.65,64.39,42.31,38.91,53.89,4.25,5,-2.47,0.629,4.16,0.88,0.23,15,61.47,56.23,0.55,9.77,-10.71,8.29,9.32,3421,3418,0.33,3/27/2012,3/27/2012
Apr-12,32.998,2.491,1.876,1.09,1.09,5.033,0.893,1.587,0.398,20.28,14.103,16.063,58.91,21.34,7.67,22.76,13.99,4.55,4.24,24.63,5.65,3.31,2.71,0.792,0.35,0.277,57.02,0.579,0.365,4.5,39.71,43.92,8.71,2.08,0.75,0.363,113018,85186,27832,21445,0,0,0,6387,38,-573,-535,0,-152,5852,-1958,33.46,3894,0,3742,0,1.1,1.09,3425,2106,8531,8117,0,8117,5574,0,0,0,0,41284,41284,2301,57276,0,0,0,0,0,164307,-50835,113472,21003,21003,5349,197100,37068,2560,16637,60324,8630,0,0,0,24,68978,42956,3040,45996,0,7735,4971,456,128136,339,0,65463,-463,3625,0,68964,3894,0,3894,2106,494,-150,0,-348,-4,-149,0,0,-413,5434,-2375,50,0,0,0,0,0,0,-111,-2436,0,-1589,0,1223,-1352,-89,-1807,1567,-2375,3059,12.7,11.7,2.9,4.18,14.28,7.33,0.45,1.35,0.55,7.1,9.26,10.8,14.25,16.82,2.53,200333.47,251813.47,-35.29,-20.84,-27.99,53.09,66.06,43.66,38.41,56.04,4.1,6,-2.53,0.623,2.79,0.83,0.23,11.15,62.48,57.36,0.51,11.26,12.37,10.42,9.39,3409,3400.67,0.51,6/1/2012,6/1/2012
Jul-12,33.636,2.612,1.986,1.18,1.18,4.629,0.887,1.813,0.398,20.842,14.886,16.199,74.43,23.07,8.18,23.77,14.89,3.67,4.06,25.06,5.86,3.51,2.64,0.777,0.359,0.279,58.33,0.582,0.337,4.28,38.42,43.59,9.45,2.09,0.75,0.358,114296,85657,28639,21941,0,0,0,6698,50,-555,-505,0,-145,6193,-2032,32.81,4161,0,4016,0,1.19,1.18,3398,2127,8875,7935,0,7935,5365,0,0,0,0,40558,40558,2401,56259,0,0,0,159919,0,165778,-52131,113647,20081,20081,5674,195661,36067,1308,17753,57845,10446,0,0,0,24,68315,41202,2975,44177,0,8028,4423,440,125383,338,0,67732,-1531,3739,0,70278,4161,0,4161,2127,134,387,0,-647,-126,-10,0,0,9,6161,-3147,108,0,0,0,0,0,0,-223,-3262,0,-1840,0,399,-1346,-184,-2971,-182,-3147,3014,15.74,16.08,3.57,5,19.93,9.76,0.55,1.66,0.66,8.42,10.97,9.12,13.58,21.09,2.05,250977.96,302088.96,-34.83,-20.5,-27.62,55.21,67.18,44.7,39.84,57.28,4.43,5,-2.71,0.616,1.8,0.82,0.23,12.07,74.98,58.7,0.84,7.18,8.26,7.76,9.43,3384,3372,0.39,9/6/2012,9/6/2012
Oct-12,33.717,2.441,1.823,1.08,1.07,4.931,0.27,1.276,0.398,22.004,15.878,17.11,75.02,20.17,7.24,21.53,13.51,3.91,4.21,24.94,5.37,3.19,0.8,0.778,0.359,0.279,56.61,0.568,0.372,4.46,42.97,46.97,8.46,1.94,0.75,0.386,113929,85517,28412,22296,0,0,0,6116,43,-590,-547,0,-190,5569,-1744,31.32,3825,0,3635,0,1.08,1.08,3379,2089,8248,8643,0,8643,5567,0,0,0,0,47487,47487,1734,63431,0,0,0,0,0,168911,-53658,115253,20572,20572,6562,205818,40272,1010,18536,61199,15621,0,0,0,25,76845,38872,2964,41836,0,8044,4710,492,131927,336,0,70256,-562,3861,0,73891,3825,0,3825,2089,-127,-6696,0,4298,-2525,438,0,0,485,4312,-3399,185,0,0,0,0,0,0,-440,-3654,0,-1228,0,2638,-1336,10,84,708,-3399,913,15.47,15.21,3.41,4.72,17.87,9.4,0.55,1.65,0.66,8.45,11,9.09,13.52,20.73,2.08,251917.16,305441.16,-36.71,-20.4,-28.4,56.95,68.1,45.45,41.58,58.64,4.25,6,-2.55,0.651,1.19,0.83,0.21,10.37,77.15,71.43,0.42,5.78,12.5,5.72,9.39,3364,3358,0.41,12/4/2012,12/4/2012
Jan-13,38.117,3.229,2.579,1.67,1.67,4.425,1.701,2.886,0.398,23.037,16.852,16.336,69.95,29.85,10.97,29.86,19.48,3.96,3.82,24.85,6.72,4.38,4.46,0.709,0.376,0.267,62.19,0.626,0.238,4.83,36.15,43.33,12.01,2.11,0.75,0.357,127919,96128,31791,23191,0,0,0,8600,56,-533,-477,0,-270,8123,-2247,27.66,5876,0,5606,0,1.67,1.67,3356,2179,10835,7781,0,7781,6768,0,0,0,0,43803,43803,1588,59940,0,25612,90686,43699,5828,171724,-55043,116681,20497,20497,5987,203105,38080,5062,15957,59099,12719,0,0,0,0,71818,38394,3023,41417,0,7613,5395,519,126762,332,0,72978,-587,3620,0,76343,5876,0,5876,2179,-1115,3700,0,-990,1595,-412,0,0,446,9684,-3977,189,0,0,0,0,0,0,529,-3259,0,-2943,0,-2773,-1327,-235,-7278,-862,-3977,5707,13.93,15.81,3.04,4.15,18.65,9.25,0.51,1.49,0.6,7.77,10.13,9.87,14.35,18.83,2.28,231814.3,283564.3,-35.9,-20.16,-27.76,59.79,69.23,46.99,43.58,61.1,4.29,6,-2.56,0.622,1.98,0.83,0.22,16.14,73.76,67.61,1.31,6.3,11.33,5.7,9.38,3341,3314,0.37,3/26/2013,3/26/2013
Apr-13,34.414,2.62,1.959,1.14,1.14,4.266,0.58,1.475,0.47,21.372,15.368,17.367,77.72,20.65,7.47,22.31,13.63,3.83,4.13,24.66,5.65,3.31,1.69,0.813,0.347,0.282,55.58,0.563,0.412,4.95,39,46.11,12.06,1.98,0.75,0.381,114187,86027,28160,21704,0,0,0,6456,44,-574,-530,0,-161,5926,-1981,33.43,3945,13,3784,0,1.15,1.14,3318,2194,8694,8855,0,8855,6191,0,0,0,0,43138,43138,1992,60176,0,0,0,0,0,172980,-56549,116431,19734,19734,5846,202187,36770,2318,17282,61019,12533,0,0,0,0,73552,41536,3015,44551,0,7694,5592,549,131938,329,0,68489,-1968,3399,0,70249,3945,0,3945,2194,567,584,0,-2154,-1003,128,0,0,-370,4894,-2968,35,0,0,0,0,0,0,-63,-2996,0,-2246,0,3338,-1549,-284,-741,1074,-2968,1926,15.33,18.22,3.64,5.06,22.61,10.43,0.56,1.63,0.66,8.44,11.02,9.07,13.59,20.39,2.14,255465.64,309286.64,-37.45,-21.83,-29.47,59.89,69.94,47.56,41.83,61.98,4.34,6,-2.59,0.611,2.55,0.82,0.23,11.25,79.09,68.76,0.81,4.29,4.59,5.18,9.4,3301,3287,0.4,6/7/2013,6/7/2013
