Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"  Inventories, Raw Materials & Components","  Inventories, Work In Process","  Inventories, Inventories Adjustments","  Inventories, Finished Goods","  Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"  Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Income,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,"Depreciation, Depletion and Amortization",Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date
Mar-11,22.934,4.568,3.811,2.14,2.14,8.048,1.972,3.391,0.44,30.751,30.751,3.223,84.13,28.56,13.7,37.58,27.29,5.86,0.75,31.64,16.62,9.34,8.6,0.105,0.474,0.05,46.39,0.367,0.206,28.13,0,17.12,45.25,5.33,0.68,0.128,114004,77933,36071,3627,0,0,13498,18946,0,-29,-29,0,-263,18917,-8004,42.31,10913,0,10650,0,2.14,2.14,4971,3761,22707,12833,0,12833,35146,16262,0,0,0,0,16262,7781,72022,35207,0,0,0,0,0,0,203726,0,0,8578,319533,0,12316,57700,70016,3560,0,0,0,0,73576,12316,0,12316,20076,36121,6051,19913,168053,0,0,307361,-3656,9156,-161381,151480,10913,0,10913,3761,0,0,0,0,2887,0,0,0,-705,16856,-7051,0,0,1341,0,0,0,0,357,-5353,384,-5653,0,812,-2188,-104,-6749,5008,-7051,9805,11.97,10.45,2.74,2.74,17.39,8.01,1.02,0,1.04,5.63,7.05,14.18,5.03,15.16,2.09,414431.952,423525.952,-31.51,-19.49,-24.51,80.87,80.47,38.75,69.74,65.34,4.71,6,-2.64,0.531,2.18,0.98,0.76,653.31,87.07,74.55,1.06,20.35,60.9,40.47,-1.17,4963,4926.09,0.42,5/5/2011,5/3/2012
Jun-11,25.547,4.59,3.8,2.18,2.18,8.692,1.034,2.624,0.47,31.992,31.992,3.391,81.38,27.83,13.23,36.11,38.84,5.61,1.11,36.43,21.74,8.51,4.05,0.106,0.477,0.051,56.64,0.389,0.216,25.69,0,20.2,45.89,4.52,0.64,0.141,125486,79769,45717,3681,0,0,14759,27277,0,-45,-45,-8613,-218,18619,-7721,41.47,10898,0,10680,0,2.19,2.18,4912,3881,22545,8287,1754,10041,35331,3286,0,0,0,15762,19048,7885,72305,35241,0,0,0,0,0,0,209807,0,0,8851,326204,0,12315,57853,70168,4365,0,0,0,0,74533,12123,0,12123,20257,37193,6284,20263,170653,0,0,315733,-2799,9352,-166735,155551,10898,0,10898,3881,0,0,0,0,-1809,0,0,0,-81,12889,-7812,0,0,0,0,0,0,0,-2692,-10504,68,-5512,0,576,-2308,111,-7065,-4546,-7812,5077,10.69,9.36,2.54,2.54,15.92,7.28,0.92,0,0.93,5,6.19,16.16,5.04,14.06,2.2,395678.512,408409.512,-33.03,-20.23,-25.62,82.83,86.34,0,74.01,64.81,4.75,6,-2.51,0.527,3.64,0.97,0.71,606.16,87.98,76.78,1.3,30.63,36.25,34.72,-1.19,4906,4862.11,0.43,8/4/2011,8/2/2012
Sep-11,25.879,4.676,3.877,2.13,2.13,9.154,1.522,3.066,0.47,32.533,32.533,3.497,72.63,26.53,12.72,35.85,25.52,4.45,2.36,29.81,14.98,8.24,5.88,0.107,0.482,0.052,46.02,0.386,0.221,25.02,0,18.56,43.58,4.92,0.7,0.143,125330,87972,37358,3764,0,0,14816,18778,0,-98,-98,0,-341,18680,-8009,42.87,10671,0,10330,0,2.13,2.13,4843,3866,22644,11022,0,11022,34368,3332,0,0,0,13398,16730,7256,69376,35342,0,0,0,0,0,0,209194,0,0,9315,323227,0,12968,54572,67540,7431,0,0,0,0,74971,9331,0,9331,19557,36891,6273,20265,167288,0,0,323786,-5328,9506,-172025,155939,10671,0,10671,3866,0,0,0,0,1076,0,0,0,-764,14849,-7478,0,0,0,0,0,0,0,3182,-4296,164,-5468,0,247,-2277,-63,-7397,2735,-7478,7371,8.75,7.93,2.23,2.23,12.97,6.22,0.76,0,0.77,4.11,5.01,19.96,6.59,12.22,2.51,348130.842,360143.842,-32.6,-20.43,-25.48,84.79,93.35,0,77.95,62.15,4.82,7,-2.54,0.515,3.25,0.93,0.7,191.61,85.22,68.03,1.42,38.2,47.92,42,-0.47,4839,4793.21,0.45,11/3/2011,11/6/2012
Dec-11,25.463,4.437,3.584,1.97,1.97,8.397,0.443,2.251,0.47,32.614,32.614,3.598,84.76,24.23,11.49,32.31,23.46,5.38,1.78,29.27,14.07,7.73,1.74,0.11,0.466,0.051,43.52,0.372,0.239,22.54,36.04,16.84,3.34,5.42,0.71,0.131,121609,86018,35591,3911,0,0,14564,17116,0,-75,-75,0,-324,17041,-7317,42.94,9724,0,9400,0,1.97,1.97,4776,4075,21191,12664,0,12664,30044,3359,0,0,11665,0,15024,15231,72963,34333,0,0,0,0,393995,-179331,214664,0,0,9092,331052,33969,19850,0,69794,7711,0,0,0,0,77505,9322,0,9322,24994,36618,6348,21869,176656,0,0,330939,-9123,9512,-176932,154396,9724,0,9724,4075,0,0,0,0,-3166,0,0,0,118,10751,-8634,0,0,0,0,0,0,0,6622,-2012,308,-5422,0,322,-2247,-6,-7045,1642,-8634,2117,10.07,10.09,2.6,2.6,17.05,7.48,0.85,20.14,0.85,4.62,5.6,17.86,6.24,14.04,2.18,401253.84,411970.84,-34.64,-21.9,-28.29,85.77,97.83,0,78.6,58.94,4.95,7,-2.59,0.511,2.38,0.94,0.75,228.21,85.28,71.15,1.24,21.89,6.49,13.36,0.5,4774,4734,0.61,2/24/2012,2/26/2014
Mar-12,26.305,4.551,3.737,2,2,8.726,2.427,4.09,0.47,33.577,33.577,3.347,86.73,24.28,11.18,32.84,24.18,5.61,2.62,28.93,14.21,7.62,9.23,0.1,0.455,0.045,42.45,0.367,0.235,26.37,0,15.41,41.78,5.92,0.71,0.12,124053,88168,35885,3601,0,0,14662,17622,0,-107,-107,0,-349,17515,-7716,44.05,9799,0,9450,0,2,2,4716,3842,21464,18670,0,18670,35844,14749,0,0,0,0,14749,6897,76160,34527,0,0,0,0,0,0,214602,0,0,19863,345152,0,14491,59084,73575,6419,0,0,0,0,79994,9231,0,9231,23559,36286,7105,31965,188140,0,0,338168,-7998,9007,-182165,157012,9799,0,9799,3842,0,0,0,0,5792,0,0,0,-146,19287,-7843,0,0,2513,-111,0,0,0,90,-5351,82,-5704,0,-403,-2221,116,-8130,6006,-7843,11444,10.47,9.94,2.58,2.58,15.98,7.21,0.84,8.05,0.83,4.66,5.68,17.61,7.27,13.75,2.17,405564.224,409649.224,-36.24,-23.95,-28.92,87.93,101.13,0,79.09,57.34,4.78,5,-2.45,0.487,1.23,0.95,0.77,164.69,87.49,83.53,1.22,14.7,-6.54,-0.37,1.3,4715,4676.17,0.6,5/3/2012,5/2/2013
Jun-12,27.349,6.472,5.635,3.41,3.41,9.558,0.402,2.194,0.57,35.271,35.271,3.375,85.57,39.8,18.86,48.87,43.29,5.91,1.28,33.92,20.6,12.49,1.47,0.096,0.494,0.047,51.22,0.377,0.167,24.17,0,16.21,40.38,5.63,0.66,0.117,127363,84158,43205,3486,0,0,13478,26241,0,-50,-50,0,-1744,26191,-8537,32.6,17654,0,15910,0,3.41,3.41,4657,3899,30140,17802,0,17802,33741,3429,0,0,0,11729,15158,6096,72797,33921,0,0,0,0,0,0,214940,0,0,7987,329645,0,12110,51322,63432,6704,0,0,0,0,70136,8877,0,8877,22117,36851,5174,23679,166834,0,0,351421,-10659,9221,-187172,162811,17654,0,17654,3899,0,0,0,0,-2384,0,0,0,-8952,10217,-8345,0,0,0,-130,0,0,0,4719,-3756,4,-5012,0,567,-2657,-55,-7153,-868,-8345,1872,9,8.95,2.43,2.43,17.85,7.38,0.81,3.44,0.8,4.17,4.99,20.04,8.32,12.96,2.31,394985.986,397938.986,-32.29,-20.37,-25.16,91.3,102.9,0,86.87,57.32,5.23,8,-2.57,0.48,1.64,1.04,0.82,524.82,87.07,77.6,1.29,7.05,56.42,41,2.62,4656,4615.94,0.74,8/2/2012,8/6/2013
Sep-12,25.047,4.659,3.781,2.09,2.09,9.025,1.178,2.924,0.57,36.565,36.565,2.725,91.45,23.23,11.52,31.94,23.61,6.33,1.69,28.89,15.09,8.31,4.7,0.075,0.497,0.037,40.02,0.346,0.273,29.03,0,17.68,46.71,5.16,0.71,0.138,115141,81880,33261,3468,0,0,12414,17379,0,-59,-59,0,-356,17320,-7394,42.69,9926,0,9570,0,2.09,2.09,4597,4037,21416,13055,0,13055,36635,3565,0,0,13010,0,16575,5873,72138,35105,0,0,0,0,0,0,220330,0,0,7618,335191,0,13049,53516,66565,3496,0,0,0,0,70061,8928,0,8928,21652,37642,5642,24553,168478,0,0,358369,-9113,9645,-192188,166713,9926,0,9926,4037,0,0,0,0,-289,0,0,0,-232,13442,-8026,0,0,0,-168,0,0,0,702,-7492,98,-5098,0,-3088,-2622,-150,-10860,-4747,-8026,5416,9.66,10.13,2.5,2.5,20.55,7.98,0.88,2.52,0.86,4.48,5.39,18.55,9.14,13.4,2.27,416951.643,421962.643,-34.09,-21.13,-26.24,92.27,102.08,0,88.27,53,5.22,7,-2.5,0.521,2.76,1.03,0.79,294.56,92.3,83.11,1.23,-3.21,-1.88,-0.36,3.84,4597,4559.34,0.81,11/6/2012,11/5/2013
Dec-12,25.259,4.827,3.922,2.2,2.2,8.983,0.697,2.912,0.57,36.842,36.842,2.572,86.55,23.93,11.9,31.86,24.01,6.66,3.7,29.53,15.53,8.67,2.76,0.07,0.497,0.035,40.5,0.343,0.259,22.57,38.14,17.56,1.99,5.2,0.7,0.136,114699,80834,33865,3322,0,0,12732,17811,0,-111,-111,0,-352,17700,-7398,41.8,10302,0,9950,0,2.2,2.2,4541,4110,21921,9582,0,9582,28373,3706,0,0,10836,0,14542,11963,64460,34718,0,0,0,0,409314,-182365,226949,0,0,7668,333795,33789,13888,0,60486,3653,0,0,0,0,64139,7928,0,7928,25267,37570,5797,27231,167932,0,0,365727,-12184,9653,-197333,165863,10302,0,10302,4110,0,0,0,0,-2492,0,0,0,1304,13224,-10057,0,0,0,-189,0,0,0,1244,-9002,9,-5254,0,16,-2592,96,-7725,-3473,-10057,3167,8.92,9.63,2.35,2.35,18.4,7.14,0.83,1.78,0.83,4.19,5.03,19.88,10.31,12.54,2.52,389648.1,397444.1,-35.17,-22.98,-28.83,92.18,101.88,49.08,89.67,53.52,5.15,6,-2.6,0.518,4.29,1.01,0.78,160.46,93.48,85.1,1.26,-0.8,11.68,8.79,5,4541,4502,0.85,2/27/2013,2/25/2015
Mar-13,24.16,4.498,3.581,2.12,2.12,8.233,1.36,3.031,0.57,37.559,37.559,3.016,90.11,22.83,11.29,27.89,22.1,6.67,0.77,29.24,14.82,8.77,5.63,0.08,0.492,0.039,37.63,0.322,0.269,28.88,0,18.31,47.19,4.98,0.71,0.142,108357,76677,31680,3118,0,0,12500,16062,0,-24,-24,0,-261,16038,-6277,39.14,9761,0,9500,0,2.12,2.12,4485,4110,20172,6214,0,6214,34291,3785,0,0,12446,0,16231,5858,62594,35641,0,0,0,0,0,0,233728,0,0,7676,339639,0,10169,53978,64147,5937,0,0,0,0,70084,7475,0,7475,25286,38712,6076,25005,172638,0,0,372666,-12767,9665,-202563,167001,9761,0,9761,4110,0,0,0,0,2321,0,0,0,-2600,13592,-7494,0,0,360,-3032,0,0,0,112,-10054,2,-5621,0,1592,-2561,-106,-6694,-3368,-7494,6098,9.18,10.94,2.4,2.4,24.78,8.15,0.89,1.44,0.89,4.42,5.34,18.73,11.51,12.67,2.53,400663.302,413937.302,-37.43,-24.75,-29.82,89.72,99.78,62.65,91.1,50.59,5.03,6,-2.61,0.54,7.29,0.89,0.66,669.25,91.76,87.7,1.24,-8.15,6,-1.16,6.38,4485,4446.38,0.84,5/2/2013,5/7/2014
Jun-13,24.062,3.893,2.899,1.55,1.55,5.578,-0.218,1.733,0.63,37.633,37.633,4.398,90.35,16.5,8.06,21.93,15.32,6.77,2.08,27.34,12.05,6.43,-0.91,0.117,0.485,0.057,34.24,0.313,0.406,30.23,0,19.68,49.91,4.64,0.73,0.157,106666,77508,29158,3268,0,0,13037,12853,0,-85,-85,0,-115,12768,-5793,45.37,6975,0,6860,0,1.55,1.55,4433,4405,17258,4609,0,4609,35340,3824,0,0,0,13373,17197,5698,62844,35643,0,0,0,0,0,0,235240,0,0,7888,341615,0,8208,52619,60827,11861,0,0,0,0,72688,7496,0,7496,25281,38947,5941,25615,175968,0,0,376732,-14381,9882,-206586,165647,6975,0,6975,4405,0,0,0,0,-5283,0,0,0,1586,7683,-8651,0,0,0,-432,0,0,0,590,-8493,7,-4031,0,6176,-2794,-73,-715,-1605,-8651,-968,11.35,16.2,2.4,2.4,29.95,8.52,0.92,1.56,0.94,5.18,6.53,15.31,11.68,12.57,2.59,397687.271,418376.271,-38.93,-25.7,-30.96,86.21,96.56,58.03,82.1,45.09,4.79,5,-2.54,0.549,6.73,0.86,0.63,151.21,92.8,86.08,1.01,-12.02,-54.55,-39.85,7.29,4433,4401.63,0.75,8/6/2013,8/6/2014
