Date,Title,Body
1/2/11,,
1/3/11,,
1/1/11,,
1/4/11,,
1/9/11,,
1/11/11,,
1/10/11,,
1/6/11,,
1/7/11,,
1/13/11,,
1/12/11,,
1/16/11,,
1/18/11,,
1/19/11,,
1/20/11,,
1/23/11,,
1/14/11,,
1/22/11,,
1/26/11,,
1/25/11,,
1/28/11,,
1/27/11,,
1/29/11,,
1/30/11,,
2/1/11,,
1/31/11,,
1/24/11,,
1/17/11,,
2/3/11,,
2/2/11,,
2/4/11,,
2/6/11,,
2/7/11,,
2/5/11,,
2/10/11,,
2/8/11,,
2/9/11,,
2/11/11,,
2/12/11,,
2/14/11,,
2/15/11,,
2/16/11,,
2/17/11,,
2/18/11,,
2/19/11,,
2/13/11,,
2/22/11,,
1/21/11,,
2/24/11,,
2/25/11,,
2/20/11,,
1/5/11,,
1/8/11,,
2/26/11,,
2/27/11,,
2/28/11,,
2/21/11,,
02/29/2011,,
02/30/2011,,
3/1/11,,
3/2/11,,
1/15/11,,
3/7/11,,
3/8/11,,
3/9/11,,
3/11/11,,
3/10/11,,
2/23/11,,
3/12/11,,
02/31/2011,,
3/3/11,,
3/13/11,,
3/17/11,,
3/15/11,,
3/16/11,,
3/18/11,,
3/19/11,,
3/22/11,,
3/20/11,,
3/21/11,,
3/24/11,,
3/26/11,,
3/25/11,,
3/23/11,,
3/27/11,,
3/30/11,,
3/29/11,,
3/14/11,,
3/5/11,,
4/2/11,,
3/31/11,,
4/5/11,,
4/6/11,,
4/4/11,,
3/28/11,,
4/9/11,,
4/7/11,,
4/8/11,,
4/11/11,,
4/13/11,,
4/1/11,,
3/6/11,,
3/4/11,,
4/15/11,,
4/3/11,,
4/16/11,,
4/14/11,,
4/17/11,,
4/20/11,,
4/19/11,,
4/21/11,,
4/22/11,,
4/23/11,,
4/24/11,,
4/27/11,,
4/10/11,,
4/25/11,,
5/1/11,,
4/30/11,,
04/31/2011,,
4/29/11,,
4/18/11,,
5/2/11,,
5/3/11,,
5/4/11,,
5/6/11,,
5/7/11,,
5/8/11,,
4/12/11,,
5/10/11,,
5/11/11,,
5/13/11,,
5/16/11,,
5/12/11,,
5/17/11,,
4/28/11,,
5/18/11,,
4/26/11,,
5/21/11,,
5/20/11,,
5/22/11,,
5/5/11,,
5/26/11,,
5/25/11,,
5/28/11,,
5/27/11,,
5/14/11,,
5/30/11,,
6/1/11,,
5/15/11,,
5/23/11,,
5/24/11,,
5/19/11,,
6/2/11,,
5/9/11,,
6/3/11,,
6/4/11,,
6/6/11,,
6/7/11,,
6/8/11,,
6/9/11,,
6/11/11,,
6/14/11,,
6/13/11,,
5/29/11,,
6/17/11,,
6/18/11,,
6/19/11,,
6/5/11,,
6/20/11,,
6/21/11,,
6/22/11,,
5/31/11,,
6/24/11,,
6/25/11,,
6/26/11,,
6/27/11,,
6/28/11,,
6/30/11,,
06/31/2011,,
7/1/11,,
6/10/11,,
6/15/11,,
6/16/11,,
7/4/11,,
7/5/11,,
7/6/11,,
7/3/11,,
6/12/11,,
7/7/11,US fuel efficiency in new cars falls for 3rd month, * Fuel efficiency on new US cars sold in June down 1.4 pct
7/9/11,,
7/8/11,"Dealtalk: Visteon faces breakup pressure as stock lags,DEALTALK-Visteon faces breakup pressure as stock lags,RPT-Big pickups clog US dealer lots, concern analysts,UPDATE 2-China June car sales edge up, weak summer sales seen,Big pickups clog dealer lots, concern analysts,Big pickups clog US dealer lots, concern analysts","NEW YORK/DETROIT A Visteon Corp  hedge fund shareholder that will get two board seats soon has been pushing to break up the U.S. auto parts supplier, betting the company has more value in pieces than as a whole, people close to the situation said., * Visteon's $3.5 bln market value seen below sum of parts, DETROIT, July 7 Big pickup trucks are cloggingmany U.S. dealer lots, causing headaches for General Motors Co and other automakers, and raising concerns about pricewars and lower profits later in the year., * Summer demand remains weak, mild upturn seen in autumn,DETROIT Big pickup trucks are clogging many U.S. dealer lots, causing headaches for General Motors Co  and other automakers, and raising concerns about price wars and lower profits later in the year., DETROIT, July 7 Big pickup trucks are cloggingmany U.S. dealer lots, causing headaches for General Motors Co and other automakers, and raising concerns about pricewars and lower profits later in the year."
6/29/11,,
7/13/11,"UAW sees its future: organize Southern US plants,RPT-UAW wants to save ""plants on the bubble"" in talks,Pandora fails to reassure on music royalties,UAW wants to save ""plants on the bubble"" in talks"," * UAW-U.S. automaker labor talks begin last week in July, * Future of some plants may hinge on UAW-automaker talks,SAN FRANCISCO Shares of Pandora Media Inc  dropped nearly 4 percent on Tuesday after the online radio company said it will not renegotiate fees paid to music companies until 2014, offering little comfort to investors worried about hefty royalty charges., * UAW wants to keep jobs with company product commitments"
7/12/11,"UPDATE 1-UAW hosting Big 3 this week on fuel standards,UAW hosting U.S. Big 3, govt on new fuel standards,Pandora fails to reassure on music royalties,UPDATE 1-VW and UAW in talks on U.S. factory-paper,Volkswagen, Ford lead in U.S. auto quality survey,FACTBOX-Volkswagen ranked No. 1 in U.S. auto quality survey"," * 56.2 miles per gallon being eyed as new standard (Updates with regulators not attending meetings), DETROIT, July 12 The United Auto Workers,including its chief Bob King, are hosting executives from thebig U.S. automakers and federal regulators this week to discussfuture fuel economy standards and their potential impact onunion members' jobs, several sources said on Tuesday.,SAN FRANCISCO Shares of Pandora Media Inc  dropped nearly 4 percent on Tuesday after the online radio company said it will not renegotiate fees paid to music companies until 2014, offering little comfort to investors worried about hefty royalty charges., * Plant to eventually have over 1,200 production staffers, * Ford is No.2 after June pummeling in J.D. Power survey, July 12 Volkswagen of America was ranked No. 1in overall quality, according to a survey of U.S. consumersreleased on Tuesday."
7/11/11,"Mercedes-Benz tops study of U.S. auto dealers,Mercedes-Benz tops study of U.S. auto dealers,UPDATE 3-India car sales slowest in 2 yrs, more speed bumps seen,TABLE-China June car sales up 6.2 pct y/y,PRESS DIGEST - Hong Kong - July 11","DETROIT Mercedes-Benz dealerships were tops for the third straight year in an independent study issued on Monday of U.S. auto dealers that uses secret shoppers to determine how customers are treated., DETROIT, July 11 Mercedes-Benz dealerships weretops for the third straight year in an independent study issuedon Monday of U.S. auto dealers that uses secret shoppers todetermine how customers are treated., * Passenger car sales forecast for FY12 slashed to 10-12 pct- industry body, BEIJING, July 11 China car sales in June rose6.2 percent from a year earlier, reversing a decline in May,helped partly by improved availability of Japanese cars asautomakers such as Toyota Motor Corp graduallyrecovered lost output., HONG KONG, July 11 These are some of the leadingstories in Hong Kong newspapers on Monday. Reuters has notverified these stories and does not vouch for their accuracy."
6/23/11,,
7/14/11,"Ford Canada eyes plant upgrade, Ontario supportive,RPT-UAW sees its future: organize Southern US plants"," * Ontario says had informal talks, generally supportive, * UAW-U.S. automaker labor talks begin last week in July"
7/16/11,,
7/17/11,,
7/19/11,"CORRECTED - Volvo technology helps avoid car crashes - study,UPDATE 1-Renault ups Russian sales forecast, boosts capacity,UAW, other unions support tougher fuel standards,UAW, other unions support tougher fuel standards"," * Volvo's 'City Safety' technology automatically brakes, * Sees 2011 Russia car sales at 2.7 mln, up from 1.91 mln,DETROIT A coalition of eight unions and environmental groups, including the United Auto Workers, asked President Barack Obama to push for higher fuel-economy standards for light-duty vehicles., * Say tougher rules will save U.S. money and preserve jobs"
7/18/11,"UPDATE 1-Clinton seeks to improve economic ties in India visit,GM will not add products ""solely"" to cut UAW deal,UPDATE 3-GM will not add products 'solely' to cut UAW deal"," * U.S. firms hope for slice of nuclear energy market,FLINT, Michigan General Motors Co will not make any product commitments ""solely"" to achieve a deal with the United Auto Workers union in upcoming contract talks, the automaker's top labor executive said on Monday., * GM will not add product ""solely"" to reach UAW deal-exec"
7/20/11,"U.S. space shuttle spawned heart pump, fly by wire,U.S. space shuttle spawned heart pump, fly by wire,Ford recalls 20,000 small pickups for light issue,UAW says ""transplant"" deal possible in 2011","CAPE CANAVERAL, Florida As the United States prepares to end its space shuttle program, technologies developed to nurture the reusable spaceships through three decades of flight will live on in day-to-day use on Earth., * Space station crowning achievement of 30-year program, DETROIT, July 20 Ford Motor Co  isrecalling more than 20,000 Ranger compact pickup trucks andparts for other vehicles to fix a possible exterior lightingproblem, according to safety regulators.,DETROIT The United Auto Workers is talking with ""a lot of"" foreign automakers about representing their U.S. plants' hourly workers and could see a deal by year end, top union officials said."
7/21/11,"U.S. space shuttle spawned heart pump, fly by wire,NY Times boosts digital subscribers, revenue off,GM seeks to maintain gains with UAW in talks-source,UPDATE 2-NY Times boosts digital subscribers, revenue off","CAPE CANAVERAL, Florida As the United States prepares to end its space shuttle program, technologies developed to nurture the reusable spaceships through three decades of flight will live on in day-to-day use on Earth. |Â ,NEW YORK A big rise in the number of digital subscribers to the New York Times sent shares of the newspaper's parent company up as much as 8.5 percent in morning trading., * If no deal reached, sides submit to binding arbitration, * Shares up 5.7 pct (Adds analyst comment, financial detail, ad outlook)"
7/25/11,"Chrysler and union aim for deal without arbitration,UPDATE 3-Chrysler, union aim for deal without arbitration,Analysis: Doubts emerge over U.S. move to global accounting,PREVIEW-Automakers gun for healthcare savings in UAW talks","AUBURN HILLS, Michigan Chrysler Group LLC and the United Auto Workers union expect to reach a deal on a new labor contract without resorting to arbitration, officials for the company and union said on Monday., * Much has changed since last labor contract was reached (Adds comments from UAW president, source close to talks,details, background),NEW YORK Once thought inevitable, a decisive move by the United States to one-world accounting is now in serious doubt., * US automakers spent $1.5 bln on UAW healthcare last year"
7/24/11,,
7/26/11,"Debt talks buffet stocks, but chipmakers shine,US STOCKS-Debt talks buffet stocks, but chipmakers shine,US STOCKS-Debt headwinds buffet stocks, but chipmakers shine,US STOCKS-S&P 500 near flat while debt issue drags on,Automakers weigh new fuel economy proposal: source,Automakers weigh new fuel economy proposal -source,Consumer markets hurt some industrial earnings,Ford profits despite economy, rising costs,UPDATE 5-Ford profits despite economy, rising costs,US STOCKS-Wariness on debt issue keeps volume thin; 3M down","NEW YORK The stalemate in debt talks dragged down stocks for a second day on Tuesday, and light volume showed investors remained reluctant to make bets despite another round of healthy earnings. |Â , * Dow off 0.7 pct, S&P off 0.4 pct, Nasdaq off 0.1 pct, * Dow off 0.7 pct, S&P off 0.4 pct, Nasdaq off 0.1 pct, * Dow off 0.4 pct, S&P off 0.1 pct, Nasdaq up 0.2 pct,DETROIT Automakers are weighing in on a new plan by the Obama administration to slightly loosen the U.S. government's proposed fuel economy standards for the years 2017 through 2025, a person familiar with the situation said., DETROIT, July 26 Automakers are weighing in ona new plan by the Obama administration to slightly loosen theU.S. government's proposed fuel economy standards for the years2017 through 2025, a person familiar with the situation said.,NEW YORK/BOSTON U.S. industrial companies sounded warning alarms about U.S. consumer spending on Tuesday, citing high unemployment, a depressed housing market and the risk of a U.S. debt default.,DEARBORN, Michigan Ford Motor Co's profit held up well in a second quarter marked by the impact of Japan's earthquake, the shaky U.S. economy and high commodity costs, but the automaker remained cautious about consumer demand going forward., * Now sees US industry sales at low end of pvs forecast, * Indexes: Dow off 0.5 pct, S&P 0.1 pct, Nasdaq up 0.2 pct"
7/2/11,,
