Date,Text,Score
07/08/11,"['san', 'francisco', 'year', 'ago', 'mike', 'maple', 'investment', 'firm', 'floodgate', 'wa', 'investing', 'young', 'company', 'pace', 'two', 'three', 'every', 'quarter', 'backed', 'one', 'startup', 'year', 'put', 'big', 'chunk', 'blame', 'spiraling', 'price', 'tag', 'new', 'york', 'july', '8', 'wynn', 'resort', 'apple', 'among', 'company', 'likely', 'beat', 'earnings', 'forecast', 'latest', 'quarter', 'canadian', 'pacific', 'railway', 'likely', 'miss', 'thomson', 'reuters', 'starmine', 'forecast', 'show', 'corrects', 'headline', 'lead', 'paragraph', 'show', 'tsmc', 'umc', 'posted', 'forecast', 'lower', 'june', 'sale', 'beijingshanghai', 'july', '8', 'chinese', 'newspaper', 'available', 'beijing', 'shanghai', 'carried', 'following', 'story', 'friday', 'reuters', 'ha', 'checked', 'story', 'doe', 'vouch', 'accuracyanalysis', 'young', 'startup', 'demand', 'steeper', 'price', 'vcswynn', 'resort', 'apple', 'beat', 'earnings', 'viewsstarminecorrectedupdate', '1tsmc', 'umc', 'post', 'lower', 'june', 'sale', 'lack', 'rebound', 'strength', 'q3press', 'digest', 'china']","('neg', 1.0)"
07/07/11,"['give', 'detail', 'timeline', 'decision', 'add', 'quote', 'minister', 'detailstoronto', 'blackberry', 'maker', 'research', 'motion', 'said', 'thursday', 'ha', 'added', 'one', 'million', 'subscriber', 'europe', 'middle', 'east', 'africa', 'le', 'three', 'week', 'ottawa', 'july', '7', 'canadian', 'industry', 'minister', 'christian', 'paradis', 'said', 'thursday', 'official', 'office', 'studying', 'whether', 'formally', 'review', 'sale', 'nortel', 'patent', 'ensure', 'investment', 'law', 'wa', 'properly', 'appliednew', 'york', 'apple', 'inc', 'customer', 'downloaded', '15', 'billion', 'application', 'past', 'three', 'year', 'company', 'said', 'thursday', 'releasing', 'figure', 'suggest', 'rate', 'downloads', 'sharply', 'acceleratingmelbourne', 'lot', 'iphone', 'day', 'text', 'take', 'picture', 'surf', 'net', 'even', 'make', 'phone', 'call', 'estimate', 'q2', 'sale', '39', 'trln', 'v', '40', 'trln', 'consensusmelbourne', 'lot', 'iphone', 'day', 'text', 'take', 'picture', 'surf', 'net', 'even', 'make', 'phone', 'call', 'melbourne', 'july', '7', 'lot', 'iphone', 'day', 'text', 'take', 'picture', 'surf', 'net', 'even', 'make', 'phone', 'call', 'shanghai', 'july', '7', 'group', 'chinese', 'author', 'petition', 'apple', 'inc', 'stop', 'distribution', 'book', 'electronic', 'format', 'various', 'application', 'apple', 'app', 'store', '21st', 'century', 'herald', 'tribune', 'reported', 'thursdaytaipei', 'share', 'world', 'no5', 'handset', 'maker', 'htc', 'corp', 'plunged', 'thursday', 'investor', 'looked', 'beyond', 'forecastbeating', 'quarterly', 'net', 'profit', 'concern', 'slowdown', 'smartphone', 'demand', 'company', 'corporate', 'governance', 'plan', 'acquire', 's3', 'graphicsupdate', '1canada', 'eye', 'nortel', 'patent', 'sale', 'review', 'ministerrim', 'say', 'add', '1', 'million', 'emea', 'subscriber', '3', 'weekscanada', 'eye', 'nortel', 'patent', 'sale', 'review', 'ministerapples', 'app', 'downloads', 'race', 'ahead', 'surpass', '15', 'billionhow', 'beer', 'iphoneupdate', '5samsung', 'q2', 'fall', 'weak', 'lcd', 'overshadow', 'mobileshow', 'beer', 'iphonehow', 'beer', 'iphonechinese', 'writer', 'petition', 'apple', 'book', 'downloadsreporthtc', 'limitdown', 'slower', 'demand', 'corp', 'governance', 'concern']","('pos', 0.7272727272727273)"
07/06/11,"['see', 'q2', 'op', 'profit', '37', 'trln', 'v', '39', 'trln', 'consensus', 'seoul', 'july', '7', 'samsung', 'electronics', 'world', 'top', 'maker', 'memory', 'chip', 'television', 'estimated', 'apriljune', 'operating', 'profit', 'would', 'fall', '26', 'percent', 'year', 'year', 'lcd', 'display', 'business', 'widely', 'expected', 'report', 'another', 'lossboston', 'hacker', 'disclosed', 'bug', 'software', 'apple', 'inc', 'security', 'expert', 'said', 'could', 'exploited', 'criminal', 'looking', 'gain', 'remote', 'control', 'iphones', 'ipads', 'ipod', 'touch', 'device', 'could', 'develop', 'malware', 'let', 'control', 'devicesupdate', '1samsung', 'estimate', 'q2', 'profit', '26', 'pctsamsung', 'estimate', 'q2', 'profit', '26', 'pcthackers', 'expose', 'flaw', 'apple', 'ipad', 'iphone', 'softwarehackers', 'expose', 'flaw', 'apple', 'ipad', 'iphone', 'software']","('pos', 0.7272727272727273)"
07/16/11,"['new', 'york', 'stock', 'hard', 'pressed', 'turn', 'tide', 'recent', 'selling', 'next', 'week', 'political', 'jousting', 'raising', 'united', 'state', 'debt', 'ceiling', 'intensifiesstocks', 'stymied', 'without', 'u', 'debt', 'deal']","('pos', 0.7272727272727273)"
07/12/11,"['new', 'york', 'electronic', 'art', 'inc', 'video', 'game', 'publisher', 'buying', 'popcap', 'game', 'deal', 'worth', '13', 'billion', 'try', 'ramp', 'social', 'casual', 'game', 'portfolio', 'better', 'compete', 'zynga', 'inc', 'ea', 'paying', '750', 'mln', 'upfront', 'performance', 'target', 'share', 'fall', 'sector', 'worry', 'add', 'detail', 'klatencor', 'update', 'stock', 'pricesnew', 'yorkphiladelphia', 'nearly', 'year', 'barnes', 'noble', 'inc', 'put', 'sale', 'largest', 'u', 'bookstore', 'chain', 'likely', 'settle', 'firm', 'offer', 'ha', 'received', '1', 'billion', 'john', 'malone', 'liberty', 'medium', 'corp', 'new', 'yorkphiladelphia', 'july', '12', 'nearly', 'year', 'barnes', 'noble', 'inc', 'put', 'sale', 'largest', 'u', 'bookstore', 'chain', 'likely', 'settle', 'firm', 'offer', 'ha', 'received', '1', 'billion', 'john', 'malone', 'liberty', 'medium', 'corp', 'san', 'francisco', 'google', 'inc', 'investment', 'spree', 'shrinking', 'profit', 'margin', 'draw', 'investor', 'scrutiny', 'report', 'earnings', 'thursday', 'following', 'eventful', 'quarter', 'company', 'launched', 'google', 'social', 'network', 'government', 'disclosed', 'probe', 'business', 'practice', 'san', 'francisco', 'july', '12', 'google', 'inc', 'investment', 'spree', 'shrinking', 'profit', 'margin', 'draw', 'investor', 'scrutiny', 'report', 'earnings', 'thursday', 'following', 'eventful', 'quarter', 'company', 'launched', 'google', 'social', 'network', 'government', 'disclosed', 'probe', 'business', 'practicessan', 'francisco', 'apple', 'inc', 'chief', 'patent', 'counsel', 'soon', 'leave', 'company', 'time', 'iphone', 'maker', 'fighting', 'numerous', 'legal', 'battle', 'around', 'world', 'according', 'source', 'familiar', 'situationtoronto', 'blackberry', 'maker', 'research', 'motion', 'split', 'two', 'liberate', 'lockedin', 'value', 'speed', 'innovation', 'company', 'ha', 'lagged', 'competitor', 'brokerage', 'said', 'tuesday', 'san', 'francisco', 'july', '12', 'chip', 'manufacturing', 'equipment', 'maker', 'applied', 'material', 'inc', 'said', 'tough', 'economic', 'condition', 'hurting', 'demand', 'adding', 'semiconductor', 'worry', 'warning', 'novellus', 'system', 'inc', 'microchip', 'technology', 'inc', 'electronic', 'art', 'buying', 'popcap', 'game', '13', 'billionupdate', '5electronic', 'art', 'buying', 'popcap', 'game', '13', 'blnwrapup', '2semiconductor', 'worry', 'fester', 'warningsdealtalk', 'barnes', 'noble', 'wont', 'get', 'better', 'bid', 'malonesdealtalkbarnes', 'noble', 'wont', 'get', 'better', 'bid', 'malonesgoogle', 'cost', 'focus', 'busy', 'quarterpreviewgoogle', 'cost', 'focus', 'busy', 'quarterapple', 'chief', 'patent', 'lawyer', 'leaving', 'sourcesrim', 'could', 'better', 'two', 'business', 'analystwrapup', '1semiconductor', 'worry', 'fester', 'warning']","('pos', 0.7272727272727273)"
07/13/11,"['san', 'francisco', 'amazoncom', 'inc', 'launch', 'tablet', 'computer', 'year', 'extend', 'position', 'world', 'largest', 'internet', 'retailer', 'expand', 'mobile', 'commerce', 'sell', 'digital', 'good', 'according', 'analyst', 'investor', 'tablet', 'released', 'october', 'run', 'android', 'wsjhong', 'kong', 'china', 'telecom', 'corp', 'ltd', 'plan', 'offer', '106', 'million', 'subscriber', 'apple', 'inc', 'iphone', 'end', '2011', 'source', 'said', 'wednesday', 'would', 'make', 'second', 'operator', 'world', 'largest', 'mobile', 'phone', 'markethong', 'kong', 'china', 'telecom', 'corp', 'ltd', 'plan', 'offer', '106', 'million', 'subscriber', 'apple', 'inc', 'iphone', 'end', '2011', 'source', 'said', 'wednesday', 'would', 'make', 'second', 'operator', 'world', 'largest', 'mobile', 'phone', 'marketnew', 'york', 'electronic', 'art', 'inc', 'video', 'game', 'publisher', 'buying', 'popcap', 'game', 'deal', 'worth', '13', 'billion', 'try', 'ramp', 'social', 'casual', 'game', 'portfolio', 'better', 'compete', 'zynga', 'incbangalore', 'share', 'glu', 'mobile', 'inc', 'make', 'game', 'tablet', 'smartphones', 'jumped', '13', 'percent', 'near', 'fouryear', 'high', 'day', 'electronic', 'art', 'inc', 'bought', 'glu', 'mobile', 'peer', 'popcap', 'game', '13', 'billionbangalore', 'share', 'glu', 'mobile', 'inc', 'make', 'game', 'tablet', 'smartphones', 'jumped', '13', 'percent', 'near', 'fouryear', 'high', 'day', 'electronic', 'art', 'inc', 'bought', 'glu', 'mobile', 'peer', 'popcap', 'game', '13', 'billionbangalore', 'share', 'glu', 'mobile', 'inc', 'make', 'game', 'tablet', 'smartphones', 'jumped', '13', 'percent', 'near', 'fouryear', 'high', 'day', 'electronic', 'art', 'inc', 'bought', 'glu', 'mobile', 'peer', 'popcap', 'game', '13', 'billion', 'new', 'york', 'july', '13', 'amazoncom', 'inc', 'said', 'wednesday', 'ha', 'struck', 'sponsorship', 'deal', 'att', 'inc', 'sell', 'le', 'expensive', 'version', 'kindle', '3g', 'digital', 'readerbangalore', 'u', 'internet', 'company', 'see', 'doubledigit', 'growth', 'online', 'advertising', 'ecommerce', 'segment', 'coming', 'year', 'helped', 'surge', 'online', 'accessibility', 'mobile', 'device', 'tablet', 'jp', 'morgan', 'said', 'initiated', 'five', 'major', 'internet', 'stock', 'including', 'netflix', 'google', 'amazon', 'amazon', 'tablet', 'seen', 'aiming', 'widen', 'ecommerce', 'leadupdate', '3amazon', 'tablet', 'seen', 'aiming', 'widen', 'ecommerce', 'leadexclusive', 'china', 'telecom', 'plan', 'iphone', 'launch', 'near', 'yearendexclusive', 'china', 'telecom', 'plan', 'iphone', 'launch', 'yearendelectronic', 'art', 'buying', 'popcap', 'game', '13', 'billionglu', 'mobile', 'share', 'gain', 'electronic', 'art', 'popcap', 'game', 'buyglu', 'mobile', 'share', 'gain', 'electronic', 'art', 'popcap', 'game', 'buyglu', 'mobile', 'share', 'gain', 'electronic', 'art', 'popcap', 'game', 'buyupdate', '1amazon', 'offer', 'cheaper', 'kindle', 'sponsored', 'attjp', 'morgan', 'upbeat', 'internet', 'company']","('pos', 0.8181818181818182)"
07/14/11,"['san', 'francisco', 'google', 'inc', 'result', 'soundly', 'trounced', 'wall', 'street', 'bullish', 'expectation', 'sending', 'share', '12', 'percent', 'easing', 'concern', 'battle', 'facebook', 'twitter', 'costing', 'much', 'hindering', 'growth', 'í«íÈnew', 'york', 'spotify', 'popular', 'european', 'music', 'service', 'set', 'launch', 'united', 'state', 'thursday', 'company', 'said', 'í«íÈ', 'emerging', 'product', 'generate', 'huge', 'business', 'page', 'add', 'detail', 'callseoul', 'apple', 'inc', 'korean', 'unit', 'ha', 'paid', 'compensation', 'user', 'popular', 'iphone', 'collecting', 'location', 'data', 'without', 'consent', 'lawyer', 'court', 'official', 'said', 'first', 'payout', 'company', 'complaintsseoul', 'apple', 'inc', 'korean', 'unit', 'ha', 'paid', 'compensation', 'user', 'popular', 'iphone', 'collecting', 'location', 'data', 'without', 'consent', 'lawyer', 'court', 'official', 'said', 'first', 'payout', 'u', 'company', 'complaint', 'payout', 'first', 'related', 'unauthorised', 'collection', 'location', 'data', 'add', 'comment', 'apple', 'korea', 'spokesman', 'detail', 'u', 'suit', 'july', '14', 'following', 'top', 'story', 'wall', 'street', 'journal', 'thursday', 'reuters', 'ha', 'verified', 'story', 'doe', 'vouch', 'accuracy', 'seoul', 'july', '14', 'apple', 'inc', 'korean', 'unit', 'ha', 'paid', 'compensation', 'user', 'popular', 'iphone', 'collecting', 'location', 'data', 'without', 'consent', 'lawyer', 'court', 'official', 'said', 'first', 'payout', 'u', 'company', 'complaint', 'san', 'francisco', 'july', '13', 'google', 'inc', 'profit', 'margin', 'newly', 'released', 'social', 'networking', 'service', 'investor', 'spotlight', 'internet', 'company', 'report', 'quarterly', 'result', 'thursday', 'market', 'close', 'new', 'york', 'july', '13', 'spotify', 'popular', 'european', 'music', 'service', 'set', 'launch', 'united', 'state', 'thursday', 'company', 'saidgoogle', 'smash', 'street', 'expectation', 'share', 'surgespotify', 'launch', 'u', 'long', 'waitupdate', '5google', 'smash', 'street', 'expectation', 'share', 'surgeapple', 'pay', 'skorean', 'user', 'compensation', 'iphone', 'trackingapple', 'pay', 'skorean', 'user', 'compensation', 'iphone', 'trackingcourtupdate', '1apple', 'pay', 'skorean', 'user', 'compensation', 'iphone', 'trackingcourtpress', 'digest', 'wall', 'street', 'journal', 'july', '14apple', 'pay', 'skorean', 'user', 'compensation', 'iphone', 'trackingcourtgoogle', 'margin', 'new', 'social', 'product', 'spotlightspotify', 'launch', 'u', 'long', 'wait']","('neg', 0.5454545454545454)"
07/15/11,"['washingtonsan', 'francisco', 'apple', 'inc', 'preliminary', 'ruling', 'u', 'trade', 'panel', 'taiwanese', 'handset', 'maker', 'htc', 'corp', 'infringed', 'two', 'california', 'company', 'patent', 'htc', 'say', 'vigorously', 'fight', 'infringement', 'finding', 'rewrite', 'first', 'line', 'add', 'detail', 'case', 'apple', 'comment', 'backgroundsan', 'francisco', 'apple', 'inc', 'deliver', 'yet', 'another', 'bumper', 'quarter', 'investor', 'holding', 'monstrous', 'second', 'half', 'new', 'iphone', 'hit', 'new', 'online', 'content', 'service', 'take', 'wing', 'market', 'awaits', 'new', 'iphone', 'ipad', 'supply', 'crunch', 'seen', 'easing', 'new', 'york', 'july', '15', 'u', 'stock', 'hard', 'pressed', 'turn', 'tide', 'recent', 'selling', 'next', 'week', 'political', 'jousting', 'raising', 'united', 'state', 'debt', 'ceiling', 'intensifiesboston', 'apple', 'inc', 'ha', 'plugged', 'hole', 'software', 'run', 'iphones', 'ipads', 'ipod', 'touch', 'music', 'player', 'could', 'allow', 'hacker', 'take', 'remote', 'control', 'devicesboston', 'july', '15', 'apple', 'inc', 'ha', 'plugged', 'hole', 'software', 'run', 'iphones', 'ipads', 'ipod', 'touch', 'music', 'player', 'could', 'allow', 'hacker', 'take', 'remote', 'control', 'devicesbangalorelos', 'angeles', 'share', 'google', 'inc', 'surged', 'much', '135', 'percent', 'friday', 'day', 'blockbuster', 'result', 'sign', 'success', 'mobile', 'social', 'networking', 'revived', 'hope', 'internet', 'titan', 'wa', 'getting', 'back', 'growth', 'track', 'í«íÈwashington', 'may', 'able', 'eat', 'ipad', 'youre', 'top', 'federal', 'reserve', 'policymaker', 'get', 'one', 'goingaway', 'present', 'washington', 'july', '15', 'may', 'able', 'eat', 'ipad', 'youre', 'top', 'federal', 'reserve', 'policymaker', 'get', 'one', 'goingaway', 'presentapple', 'win', 'initial', 'itc', 'ruling', 'htc', 'phoneupdate', '2apple', 'win', 'initial', 'itc', 'ruling', 'htc', 'phoneapple', 'stock', 'look', 'cheap', 'ahead', 'resultspreviewapple', 'stock', 'look', 'cheap', 'ahead', 'resultswall', 'st', 'week', 'aheadstocks', 'stymied', 'without', 'u', 'debt', 'dealapple', 'fix', 'security', 'flaw', 'iphone', 'ipad', 'softwareapple', 'fix', 'security', 'flaw', 'iphone', 'ipad', 'softwareinvestors', 'toast', 'google', 'result', 'share', 'surgeyellen', 'fed', 'board', 'affluent', 'ha', 'ipad', 'tooyellen', 'fed', 'board', 'affluent', 'ha', 'ipad']","('pos', 0.7272727272727273)"
07/19/11,"['san', 'francisco', 'blockbuster', 'sale', 'iphone', 'strong', 'asian', 'business', 'helped', 'apple', 'inc', 'crush', 'wall', 'street', 'expectation', 'driving', 'share', '7', 'percent', 'record', 'high', 'í«íÈ', 'apple', 'see', 'incredible', 'opportunity', 'china', 'add', 'detail', 'net', 'incomelos', 'angeles', 'several', 'apple', 'inc', 'board', 'member', 'discussed', 'successor', 'ceo', 'steve', 'job', 'since', 'silicon', 'valley', 'icon', 'went', 'medical', 'leave', 'january', 'discussed', 'least', 'one', 'head', 'highprofile', 'tech', 'company', 'wall', 'street', 'journal', 'reported', 'tuesday', 'í«íÈnew', 'york', 'stock', 'recorded', 'best', 'day', 'since', 'march', 'tuesday', 'strong', 'corporate', 'result', 'renewed', 'hope', 'agreement', 'washington', 'thorny', 'budget', 'issue', 'boosted', 'investor', 'confidence', 'í«íÈnew', 'york', 'apple', 'inc', 'share', 'rallying', 'aftermarket', 'activity', 'following', 'strong', 'earnings', 'report', 'poised', 'break', '400', 'wednesday', 'would', 'alltime', 'high', 'stock', 'í«íÈnew', 'york', 'apple', 'inc', 'posted', 'quarterly', 'revenue', 'blew', 'past', 'analyst', 'expectation', 'quarter', 'fueled', 'swift', 'sale', 'iphones', 'ipads', 'í«íÈboston', 'business', 'software', 'maker', 'vmware', 'inc', 'issued', 'revenue', 'forecast', 'rest', 'year', 'ahead', 'wall', 'street', 'projection', 'latest', 'sign', 'technology', 'spending', 'would', 'hold', 'second', 'half', 'vmware', 'say', 'corporate', 'customer', 'larger', 'deal', 'action', 'come', 'anoymous', 'claimed', 'big', 'attack', 'recasts', '14', 'arrest', 'index', 'dow', '16', 'pct', 'sp', '16', 'pct', 'nasdaq', '22', 'pctapple', 'smash', 'street', 'view', 'share', 'soarupdate', '6apple', 'smash', 'street', 'view', 'share', 'soarapple', 'director', 'talked', 'ceo', 'job', 'recruiter', 'reportwall', 'street', 'profit', 'apple', 'surge', 'latefactbox', 'apple', 'share', 'scale', 'new', 'height', 'top', '400instant', 'view', 'apple', 'revenue', 'blow', 'past', 'expectationsvmware', 'boost', 'outlookupdate', '3vmware', 'boost', 'outlookupdate', '2fbi', 'arrest', '14', 'probe', 'hacker', 'group', 'anonymousus', 'stockswall', 'st', 'profit', 'apple', 'surge', 'late']","('neg', 0.6363636363636364)"
07/20/11,"['helsinki', 'investor', 'braced', 'bleak', 'news', 'smartphone', 'laggard', 'nokia', 'oyj', 'thursday', 'world', 'largest', 'handset', 'maker', 'likely', 'post', 'secondquarter', 'loss', 'weak', 'outlook', 'qualcomm', 'share', '27', 'percent', 'add', 'analyst', 'comment', 'share', 'price', 'update', 'bylinenew', 'york', 'qualcomm', 'inc', 'improving', 'financial', 'outlook', 'wa', 'enough', 'impress', 'investor', 'disappointed', 'wireless', 'chip', 'shipment', 'target', 'quarter', 'new', 'advanced', 'device', 'like', 'next', 'generation', 'apple', 'inc', 'iphone', 'expected', 'go', 'sale', 'seoul', 'july', '21', 'following', 'list', 'event', 'south', 'korea', 'well', 'news', 'story', 'press', 'report', 'may', 'influence', 'financial', 'market', 'reuters', 'news', 'welcome', 'feedback', 'query', 'please', 'contact', 'seoul', 'newsroom', '822', '3704', '5640', 'via', 'email', 'krrtrsgmailcom', 'happening', 'korea', 'hynix', 'world', 'no2', 'computer', 'memory', 'chipmaker', 'likely', 'report', 'reduced', 'quarterly', 'q2', 'earnings', '0900', 'second', 'hearing', 'stock', 'manipulation', 'charge', 'apple', 'sony', 'ericsson', 'saw', 'strong', 'q2', 'smartphone', 'marketsan', 'francisco', 'intel', 'corp', 'trimmed', 'forecast', '2011', 'personal', 'computer', 'unit', 'sale', 'warning', 'softness', 'mature', 'market', 'sending', 'share', '1', 'percent', 'lower', 'í«íÈ', 'stock', 'lower', 'hour', 'add', 'analyst', 'ceo', 'comment', 'byline', 'update', 'share', 'pricessan', 'francisco', 'apple', 'inc', 'share', 'flirted', 'record', '400', 'wednesday', 'day', 'world', 'valuable', 'technology', 'company', 'posted', 'blockbuster', 'result', 'triggered', 'spate', 'brokerage', 'upgrade', 'í«íÈnew', 'york', 'stock', 'closed', 'near', 'unchanged', 'wednesday', 'day', 'wall', 'street', 'best', 'rally', 'since', 'march', 'oncoming', 'debt', 'ceiling', 'deadline', 'overshadowed', 'strong', 'earnings', 'apple', 'inc', 'í«íÈ', 'corrects', 'typographical', 'error', 'paragraph', 'three', 'show', 'snyder', 'said', 'blowout', 'instead', 'blowoutnokia', 'set', 'fresh', 'smartphone', 'painupdate', '3qualcomm', 'ups', 'outlook', 'chip', 'target', 'disappointsqualcomm', 'ups', 'outlook', 'chip', 'target', 'disappointsskoreamarket', 'factor', 'watch', 'july', '21nokia', 'set', 'fresh', 'smartphone', 'painintel', 'pull', 'back', 'pc', 'market', 'outlook', 'share', 'slideupdate', '5intel', 'pull', 'back', 'pc', 'market', 'outlook', 'share', 'slideapple', 'roll', 'new', 'mac', 'share', 'set', 'recordwall', 'street', 'close', 'flat', 'debt', 'worry', 'offset', 'earnscorrected', 'update', '2qualcomm', 'boost', 'outlook', 'share', 'fall']","('pos', 0.8181818181818182)"
